tracking_number,service_code,service_name,ship_date,origin_zip,dest_zip,weight_lb,currency,total_charge,label_url
1Z9X4F250396712204,03,"UPS Ground | Fuel filter and air filter, John Deere 5075E (preventive maintenance, Aaron's own) | In transit, on schedule",2026-10-02,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F250396712204
1Z9X4F102913879077,03,UPS SurePost | Belt tensioner | Delivered,2024-05-29,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F102913879077
1Z9X4F174537138395,03,UPS 2nd Day Air | Alternator brush kit | Delivered,2025-06-28,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F174537138395
1Z9X4F779581575421,03,UPS SurePost | Alternator brush kit | Delivered,2025-01-09,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F779581575421
1Z9X4F817015716718,03,UPS Ground | Water pump gasket set | Delivered,2025-08-11,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F817015716718
1Z9X4F486482051080,03,UPS Ground | Belt tensioner | Delivered,2024-10-15,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F486482051080
1Z9X4F295280995849,03,UPS SurePost | Water pump gasket set | Delivered,2024-05-13,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F295280995849
1Z9X4F761331965653,03,UPS SurePost | Oil pump seal | Delivered,2024-01-31,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F761331965653
1Z9X4F826195960526,03,UPS SurePost | Oil pump seal | Delivered,2026-05-04,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F826195960526
1Z9X4F204296312450,03,UPS SurePost | Alternator brush kit | Delivered,2024-12-30,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F204296312450
1Z9X4F357947715091,03,UPS Ground | Oil pump seal | Delivered,2024-05-16,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F357947715091
1Z9X4F807792419736,03,UPS Ground | Water pump gasket set | Delivered,2024-12-03,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F807792419736
1Z9X4F528397076636,03,UPS 2nd Day Air | Belt tensioner | Delivered,2024-08-01,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F528397076636
1Z9X4F708678517157,03,UPS Ground | Air filter and fuel filter kit | Delivered,2026-03-21,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F708678517157
1Z9X4F222747152378,03,UPS 2nd Day Air | Water pump gasket set | Delivered,2024-04-20,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F222747152378
1Z9X4F903656125638,03,UPS SurePost | Alternator brush kit | Delivered,2025-10-11,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F903656125638
1Z9X4F695912672003,03,UPS Ground | Oil pump seal | Delivered,2026-04-21,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F695912672003
1Z9X4F128792103522,03,UPS 2nd Day Air | Oil pump seal | Delivered,2024-03-16,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F128792103522
1Z9X4F103510914208,03,UPS 2nd Day Air | Serpentine belt | Delivered,2024-10-29,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F103510914208
1Z9X4F726906578497,03,UPS SurePost | Alternator brush kit | Delivered,2024-04-09,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F726906578497
1Z9X4F428344592855,03,UPS SurePost | Water pump gasket set | Delivered,2025-10-28,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F428344592855
1Z9X4F252090785912,03,UPS Ground | Air filter and fuel filter kit | Delivered,2024-11-04,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F252090785912
1Z9X4F558115426769,03,UPS 2nd Day Air | Serpentine belt | Delivered,2024-08-25,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F558115426769
1Z9X4F183795507417,03,UPS 2nd Day Air | Serpentine belt | Delivered,2025-06-06,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F183795507417
1Z9X4F103819331017,03,UPS 2nd Day Air | Water pump gasket set | Delivered,2026-04-23,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F103819331017
1Z9X4F822158042012,03,UPS SurePost | Air filter and fuel filter kit | Delivered,2024-10-24,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F822158042012
1Z9X4F419146365940,03,UPS Ground | Alternator brush kit | Delivered,2025-03-15,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F419146365940
1Z9X4F255926946559,03,UPS SurePost | Water pump gasket set | Delivered,2025-09-08,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F255926946559
1Z9X4F338646832923,03,UPS Ground | Air filter and fuel filter kit | Delivered,2025-04-05,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F338646832923
1Z9X4F122716563938,03,UPS 2nd Day Air | Water pump gasket set | Delivered,2025-05-04,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F122716563938
1Z9X4F331974686083,03,UPS SurePost | Air filter and fuel filter kit | Delivered,2024-10-19,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F331974686083
1Z9X4F831511233814,03,UPS SurePost | Water pump gasket set | Delivered,2024-02-03,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F831511233814
1Z9X4F506655510910,03,UPS Ground | Air filter and fuel filter kit | Delivered,2024-01-18,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F506655510910
1Z9X4F562655639259,03,UPS 2nd Day Air | Oil pump seal | Delivered,2025-01-31,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F562655639259
1Z9X4F347335052503,03,UPS SurePost | Alternator brush kit | Delivered,2026-04-03,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F347335052503
1Z9X4F869054980183,03,UPS Ground | Alternator brush kit | Delivered,2024-12-06,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F869054980183
1Z9X4F124901343682,03,UPS 2nd Day Air | Belt tensioner | Delivered,2026-03-06,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F124901343682
1Z9X4F777877582687,03,UPS 2nd Day Air | Belt tensioner | Delivered,2025-01-16,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F777877582687
1Z9X4F619939279555,03,UPS Ground | Water pump gasket set | Delivered,2024-02-20,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F619939279555
1Z9X4F655223241722,03,UPS SurePost | Serpentine belt | Delivered,2025-03-27,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F655223241722
1Z9X4F468247978197,03,UPS SurePost | Belt tensioner | Delivered,2025-04-05,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F468247978197
1Z9X4F515184875308,03,UPS 2nd Day Air | Alternator brush kit | Delivered,2024-03-17,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F515184875308
1Z9X4F835512752599,03,UPS SurePost | Water pump gasket set | Delivered,2026-01-12,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F835512752599
1Z9X4F807416903554,03,UPS SurePost | Air filter and fuel filter kit | Delivered,2024-01-30,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F807416903554
1Z9X4F477815853562,03,UPS 2nd Day Air | Belt tensioner | Delivered,2024-01-13,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F477815853562
1Z9X4F654057435192,03,UPS 2nd Day Air | Air filter and fuel filter kit | Delivered,2025-06-05,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F654057435192
1Z9X4F157266275719,03,UPS Ground | Water pump gasket set | Delivered,2025-02-18,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F157266275719
1Z9X4F346471786452,03,UPS Ground | Alternator brush kit | Delivered,2025-12-28,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F346471786452
1Z9X4F598697230303,03,UPS SurePost | Air filter and fuel filter kit | Delivered,2025-04-19,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F598697230303
1Z9X4F447259873375,03,UPS Ground | Air filter and fuel filter kit | Delivered,2024-02-13,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F447259873375
1Z9X4F811756916629,03,UPS Ground | Belt tensioner | Delivered,2025-05-23,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F811756916629
1Z9X4F631802331907,03,UPS SurePost | Air filter and fuel filter kit | Delivered,2025-03-08,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F631802331907
1Z9X4F572719950053,03,UPS Ground | Air filter and fuel filter kit | Delivered,2025-02-13,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F572719950053
1Z9X4F639120889849,03,UPS 2nd Day Air | Serpentine belt | Delivered,2024-04-24,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F639120889849
1Z9X4F368759007979,03,UPS SurePost | Water pump gasket set | Delivered,2026-03-27,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F368759007979
1Z9X4F550789960030,03,UPS 2nd Day Air | Alternator brush kit | Delivered,2025-09-04,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F550789960030
1Z9X4F642295825422,03,UPS 2nd Day Air | Air filter and fuel filter kit | Delivered,2024-06-04,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F642295825422
1Z9X4F446779801704,03,UPS SurePost | Air filter and fuel filter kit | Delivered,2024-10-20,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F446779801704
1Z9X4F759979901306,03,UPS SurePost | Belt tensioner | Delivered,2025-06-25,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F759979901306
1Z9X4F519875840543,03,UPS 2nd Day Air | Serpentine belt | Delivered,2026-03-27,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F519875840543
1Z9X4F933117660314,03,UPS SurePost | Alternator brush kit | Delivered,2025-10-31,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F933117660314
1Z9X4F861874714987,03,UPS SurePost | Belt tensioner | Delivered,2026-05-20,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F861874714987
1Z9X4F865798420842,03,UPS Ground | Serpentine belt | Delivered,2024-08-05,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F865798420842
1Z9X4F888628097304,03,UPS SurePost | Belt tensioner | Delivered,2026-03-04,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F888628097304
1Z9X4F430003419452,03,UPS SurePost | Serpentine belt | Delivered,2024-09-17,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F430003419452
1Z9X4F134711442175,03,UPS 2nd Day Air | Oil pump seal | Delivered,2026-02-01,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F134711442175
1Z9X4F875147809389,03,UPS Ground | Oil pump seal | Delivered,2025-05-06,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F875147809389
1Z9X4F172163454231,03,UPS Ground | Water pump gasket set | Delivered,2025-12-18,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F172163454231
1Z9X4F109608247943,03,UPS 2nd Day Air | Water pump gasket set | Delivered,2024-07-05,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F109608247943
1Z9X4F677972257025,03,UPS Ground | Alternator brush kit | Delivered,2025-10-21,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F677972257025
1Z9X4F696543179114,03,UPS Ground | Oil pump seal | Delivered,2025-05-31,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F696543179114
1Z9X4F982532320586,03,UPS 2nd Day Air | Water pump gasket set | Delivered,2026-01-28,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F982532320586
1Z9X4F320630014036,03,UPS SurePost | Oil pump seal | Delivered,2024-04-25,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F320630014036
1Z9X4F705465775315,03,UPS Ground | Serpentine belt | Delivered,2024-01-15,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F705465775315
1Z9X4F371553662828,03,UPS 2nd Day Air | Belt tensioner | Delivered,2025-02-07,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F371553662828
1Z9X4F942933445560,03,UPS SurePost | Belt tensioner | Delivered,2025-12-09,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F942933445560
1Z9X4F439984031591,03,UPS SurePost | Belt tensioner | Delivered,2025-08-11,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F439984031591
1Z9X4F514626925927,03,UPS SurePost | Water pump gasket set | Delivered,2024-10-26,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F514626925927
1Z9X4F811395797501,03,UPS 2nd Day Air | Alternator brush kit | Delivered,2025-04-08,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F811395797501
1Z9X4F882507933725,03,UPS Ground | Air filter and fuel filter kit | Delivered,2025-10-21,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F882507933725
1Z9X4F308189797837,03,UPS 2nd Day Air | Alternator brush kit | Delivered,2026-01-12,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F308189797837
1Z9X4F801216126480,03,UPS 2nd Day Air | Serpentine belt | Delivered,2024-02-14,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F801216126480
1Z9X4F788637556792,03,UPS SurePost | Water pump gasket set | Delivered,2025-12-23,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F788637556792
1Z9X4F563861152834,03,UPS Ground | Alternator brush kit | Delivered,2025-10-08,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F563861152834
1Z9X4F168301512262,03,UPS SurePost | Alternator brush kit | Delivered,2025-12-14,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F168301512262
1Z9X4F326869308619,03,UPS Ground | Belt tensioner | Delivered,2024-10-15,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F326869308619
1Z9X4F769690271624,03,UPS SurePost | Oil pump seal | Delivered,2024-08-14,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F769690271624
1Z9X4F401037071185,03,UPS SurePost | Serpentine belt | Delivered,2024-01-07,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F401037071185
1Z9X4F830599914781,03,UPS 2nd Day Air | Water pump gasket set | Delivered,2026-03-27,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F830599914781
1Z9X4F326509743738,03,UPS 2nd Day Air | Oil pump seal | Delivered,2024-05-12,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F326509743738
1Z9X4F567040671961,03,UPS Ground | Water pump gasket set | Delivered,2024-09-05,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F567040671961
1Z9X4F818294010999,03,UPS SurePost | Air filter and fuel filter kit | Delivered,2025-07-28,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F818294010999
1Z9X4F843167082264,03,UPS Ground | Belt tensioner | Delivered,2026-05-17,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F843167082264
1Z9X4F535532132627,03,UPS 2nd Day Air | Air filter and fuel filter kit | Delivered,2025-03-24,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F535532132627
1Z9X4F572393372397,03,UPS SurePost | Oil pump seal | Delivered,2025-01-12,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F572393372397
1Z9X4F760825836988,03,UPS Ground | Oil pump seal | Delivered,2024-04-27,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F760825836988
