id,name,type,segment,genre,upcoming_events
atr-059,Beer Fest,attraction,Sports,Jazz,1
atr-060,Broadway: Wicked,attraction,Sports,Jazz,13
atr-061,Broadway: Lion King,attraction,Music,Jazz,19
atr-062,Broadway: Phantom,attraction,Sports,Basketball,20
atr-063,River City Symphony,attraction,Sports,Rock,4
atr-064,Jacksonville Symphony,attraction,Sports,Jazz,19
atr-065,Ritz Theatre Ensemble,attraction,Sports,Rock,14
atr-066,Blues Legends,attraction,Music,Rock,9
atr-067,Bruce Springsteen Tribute,attraction,Music,Rock,19
atr-068,Broadway Series: Hamilton,attraction,Sports,Basketball,4
atr-069,Broadway Series: Book of Mormon,attraction,Music,Jazz,20
atr-070,Jazz Sessions,attraction,Sports,Jazz,18
atr-071,Regional Cardiology Symposium,attraction,Music,Jazz,20
atr-072,Jacksonville Jaguars,attraction,Music,Rock,2
atr-073,John Mellencamp Live,attraction,Sports,Basketball,9
atr-074,Debussy Piano Series,attraction,Sports,Rock,18
atr-075,Family Movie Night,attraction,Music,Rock,15
atr-076,Classic Film Series,attraction,Music,Rock,4
atr-077,Family Concert Series,attraction,Music,Jazz,4
atr-078,Monster Trucks,attraction,Music,Jazz,4
atr-079,Downtown Concert Series,attraction,Music,Basketball,4
atr-080,Beer Fest,attraction,Sports,Basketball,18
atr-081,Broadway: Wicked,attraction,Music,Basketball,3
atr-082,Broadway: Lion King,attraction,Music,Jazz,7
atr-083,Broadway: Phantom,attraction,Music,Basketball,11
atr-084,River City Symphony,attraction,Sports,Jazz,13
atr-085,Jacksonville Symphony,attraction,Sports,Jazz,1
atr-086,Ritz Theatre Ensemble,attraction,Music,Basketball,4
atr-087,Blues Legends,attraction,Sports,Rock,17
atr-088,Bruce Springsteen Tribute,attraction,Sports,Jazz,7
atr-089,Broadway Series: Hamilton,attraction,Music,Rock,12
atr-090,Broadway Series: Book of Mormon,attraction,Music,Basketball,14
atr-091,Jazz Sessions,attraction,Music,Rock,1
atr-092,Regional Cardiology Symposium,attraction,Music,Rock,11
atr-093,Jacksonville Jaguars,attraction,Music,Rock,7
atr-094,John Mellencamp Live,attraction,Music,Jazz,1
atr-095,Debussy Piano Series,attraction,Music,Rock,19
atr-096,Family Movie Night,attraction,Sports,Rock,5
atr-097,Classic Film Series,attraction,Music,Basketball,9
atr-098,Family Concert Series,attraction,Music,Basketball,11
atr-099,Monster Trucks,attraction,Music,Basketball,9
atr-100,Downtown Concert Series,attraction,Sports,Jazz,12
atr-101,Beer Fest,attraction,Sports,Rock,7
atr-102,Broadway: Wicked,attraction,Music,Basketball,17
atr-103,Broadway: Lion King,attraction,Sports,Basketball,5
atr-104,Broadway: Phantom,attraction,Sports,Basketball,12
