id,name,classification_id,venue_id,attraction_id,start_datetime,status,price_min,price_max,currency
evt-tm-0017,TIAA Bank Field - Monster Trucks,cls-017,ven-017,atr-017,2026-11-27T21:00:00Z,offsale,83.74,379.69,USD
evt-tm-0018,Downtown Jax Riverfront Concert Series,cls-018,ven-018,atr-018,2026-11-02T19:00:00Z,onsale,72.78,299.91,USD
evt-tm-0019,First Coast Beer Fest,cls-019,ven-019,atr-019,2026-11-12T20:00:00Z,onsale,57.68,360.61,USD
evt-tm-0020,River City Symphony - Beethoven Symphony No. 9,cls-020,ven-020,atr-020,2026-10-20T21:00:00Z,onsale,146.49,484.59,USD
evt-tm-0021,River City Symphony - Chopin Concerto No. 1,cls-021,ven-021,atr-021,2026-11-06T19:00:00Z,offsale,44.91,447.51,USD
evt-tm-0022,Jacksonville Symphony - Mozart Requiem,cls-022,ven-022,atr-022,2026-10-23T18:00:00Z,offsale,141.73,310.79,USD
evt-tm-0023,Ritz Theatre - Blues Legends Night,cls-023,ven-023,atr-023,2026-12-17T21:00:00Z,cancelled,149.56,359.62,USD
evt-tm-0024,The Florida Theatre - Springsteen Tribute Band,cls-024,ven-024,atr-024,2026-11-14T21:00:00Z,cancelled,133.85,202.48,USD
evt-tm-0025,Times-Union Center - Broadway Series: Hamilton,cls-025,ven-025,atr-025,2026-11-16T20:00:00Z,cancelled,73.9,188.16,USD
evt-tm-0026,Times-Union Center - Broadway Series: Book of Mormon,cls-026,ven-026,atr-026,2026-11-24T18:00:00Z,onsale,99.02,238.33,USD
evt-tm-0027,Ritz Theatre - Jazz Sessions,cls-027,ven-027,atr-027,2026-12-15T18:00:00Z,offsale,98.77,180.11,USD
evt-tm-0028,Prime Osborn - Regional Cardiology Symposium,cls-028,ven-028,atr-028,2026-12-15T19:00:00Z,offsale,48.32,427.8,USD
evt-tm-0029,TIAA Bank Field - Jaguars vs Titans,cls-029,ven-029,atr-029,2026-10-15T21:00:00Z,cancelled,76.04,464.1,USD
evt-tm-0030,TIAA Bank Field - Jaguars vs Colts,cls-030,ven-030,atr-030,2026-10-22T21:00:00Z,cancelled,49.49,465.02,USD
evt-tm-0031,Vystar Veterans Memorial Arena - Bruce Springsteen,cls-031,ven-031,atr-031,2026-11-24T18:00:00Z,cancelled,27.88,274.54,USD
evt-tm-0032,The Florida Theatre - John Mellencamp Live,cls-032,ven-032,atr-032,2026-12-16T21:00:00Z,offsale,124.38,156.48,USD
evt-tm-0033,River City Symphony - Debussy Piano Works,cls-033,ven-033,atr-033,2026-11-27T19:00:00Z,onsale,66.02,388.81,USD
evt-tm-0034,Ritz Theatre - Family Movie Night,cls-034,ven-034,atr-034,2026-11-10T19:00:00Z,onsale,46.82,419.87,USD
evt-tm-0035,Sun-Ray Cinema - Classic Film Series,cls-035,ven-035,atr-035,2026-10-07T21:00:00Z,offsale,126.49,250.93,USD
evt-tm-0036,Jax Symphony - Family Concert Series,cls-036,ven-036,atr-036,2026-11-12T19:00:00Z,onsale,57.31,161.67,USD
evt-tm-0037,TIAA Bank Field - Monster Trucks,cls-037,ven-037,atr-037,2026-12-16T18:00:00Z,onsale,74.33,299.45,USD
evt-tm-0038,Downtown Jax Riverfront Concert Series,cls-038,ven-038,atr-038,2026-11-18T19:00:00Z,offsale,27.17,167.45,USD
evt-tm-0039,First Coast Beer Fest,cls-039,ven-039,atr-039,2026-10-01T19:00:00Z,offsale,128.47,442.7,USD
evt-tm-0040,River City Symphony - Beethoven Symphony No. 9,cls-040,ven-040,atr-040,2026-10-03T20:00:00Z,cancelled,34.88,278.99,USD
evt-tm-0041,River City Symphony - Chopin Concerto No. 1,cls-041,ven-041,atr-041,2026-12-01T21:00:00Z,cancelled,94.18,311.92,USD
evt-tm-0042,Jacksonville Symphony - Mozart Requiem,cls-042,ven-042,atr-042,2026-12-23T20:00:00Z,onsale,124.56,177.65,USD
evt-tm-0043,Ritz Theatre - Blues Legends Night,cls-043,ven-043,atr-043,2026-11-17T21:00:00Z,offsale,90.59,351.16,USD
evt-tm-0044,The Florida Theatre - Springsteen Tribute Band,cls-044,ven-044,atr-044,2026-12-03T18:00:00Z,cancelled,87.17,250.88,USD
evt-tm-0045,Times-Union Center - Broadway Series: Hamilton,cls-045,ven-045,atr-045,2026-10-05T20:00:00Z,cancelled,55.24,312.38,USD
evt-tm-0046,Times-Union Center - Broadway Series: Book of Mormon,cls-046,ven-046,atr-046,2026-11-13T19:00:00Z,cancelled,117.42,429.4,USD
evt-tm-0047,Ritz Theatre - Jazz Sessions,cls-047,ven-047,atr-047,2026-12-13T21:00:00Z,cancelled,50.26,314.76,USD
evt-tm-0048,Prime Osborn - Regional Cardiology Symposium,cls-048,ven-048,atr-048,2026-10-19T20:00:00Z,onsale,76.93,322.02,USD
evt-tm-0049,TIAA Bank Field - Jaguars vs Titans,cls-049,ven-049,atr-049,2026-12-27T18:00:00Z,cancelled,83.11,370.84,USD
evt-tm-0050,TIAA Bank Field - Jaguars vs Colts,cls-050,ven-050,atr-050,2026-10-05T21:00:00Z,offsale,110.16,156.5,USD
evt-tm-0051,Vystar Veterans Memorial Arena - Bruce Springsteen,cls-051,ven-051,atr-051,2026-12-25T18:00:00Z,onsale,136.13,409.61,USD
evt-tm-0052,The Florida Theatre - John Mellencamp Live,cls-052,ven-052,atr-052,2026-10-15T18:00:00Z,cancelled,105.57,401.1,USD
evt-tm-0053,River City Symphony - Debussy Piano Works,cls-053,ven-053,atr-053,2026-12-07T20:00:00Z,cancelled,68.28,377.47,USD
evt-tm-0054,Ritz Theatre - Family Movie Night,cls-054,ven-054,atr-054,2026-10-09T20:00:00Z,onsale,46.81,337.61,USD
evt-tm-0055,Sun-Ray Cinema - Classic Film Series,cls-055,ven-055,atr-055,2026-10-09T19:00:00Z,onsale,29.78,385.45,USD
evt-tm-0056,Jax Symphony - Family Concert Series,cls-056,ven-056,atr-056,2026-11-06T20:00:00Z,cancelled,123.37,272.18,USD
evt-tm-0057,TIAA Bank Field - Monster Trucks,cls-057,ven-057,atr-057,2026-12-24T21:00:00Z,offsale,96.82,224.83,USD
evt-tm-0058,Downtown Jax Riverfront Concert Series,cls-058,ven-058,atr-058,2026-10-27T19:00:00Z,offsale,63.38,383.05,USD
evt-tm-0059,First Coast Beer Fest,cls-059,ven-059,atr-059,2026-10-16T19:00:00Z,cancelled,75.18,237.77,USD
evt-tm-0060,River City Symphony - Beethoven Symphony No. 9,cls-060,ven-060,atr-060,2026-11-08T20:00:00Z,onsale,35.48,354.53,USD
evt-tm-0061,River City Symphony - Chopin Concerto No. 1,cls-061,ven-061,atr-061,2026-10-10T19:00:00Z,cancelled,54.7,235.43,USD
evt-tm-0062,Jacksonville Symphony - Mozart Requiem,cls-062,ven-062,atr-062,2026-11-11T19:00:00Z,onsale,96.82,336.47,USD
evt-tm-0063,Ritz Theatre - Blues Legends Night,cls-063,ven-063,atr-063,2026-11-17T21:00:00Z,cancelled,144.13,476.36,USD
evt-tm-0064,The Florida Theatre - Springsteen Tribute Band,cls-064,ven-064,atr-064,2026-11-10T20:00:00Z,offsale,124.62,234.79,USD
evt-tm-0065,Times-Union Center - Broadway Series: Hamilton,cls-065,ven-065,atr-065,2026-10-09T18:00:00Z,onsale,53.6,323.99,USD
evt-tm-0066,Times-Union Center - Broadway Series: Book of Mormon,cls-066,ven-066,atr-066,2026-12-07T18:00:00Z,cancelled,76.87,259.52,USD
evt-tm-0067,Ritz Theatre - Jazz Sessions,cls-067,ven-067,atr-067,2026-11-08T18:00:00Z,onsale,115.99,236.8,USD
evt-tm-0068,Prime Osborn - Regional Cardiology Symposium,cls-068,ven-068,atr-068,2026-12-15T18:00:00Z,onsale,20.7,455.79,USD
evt-tm-0069,TIAA Bank Field - Jaguars vs Titans,cls-069,ven-069,atr-069,2026-11-07T20:00:00Z,cancelled,112.63,489.93,USD
evt-tm-0070,TIAA Bank Field - Jaguars vs Colts,cls-070,ven-070,atr-070,2026-10-17T19:00:00Z,offsale,141.63,288.1,USD
evt-tm-0071,Vystar Veterans Memorial Arena - Bruce Springsteen,cls-071,ven-071,atr-071,2026-11-18T19:00:00Z,offsale,126.07,305.18,USD
evt-tm-0072,The Florida Theatre - John Mellencamp Live,cls-072,ven-072,atr-072,2026-10-22T21:00:00Z,cancelled,135.9,189.06,USD
evt-tm-0073,River City Symphony - Debussy Piano Works,cls-073,ven-073,atr-073,2026-10-10T21:00:00Z,cancelled,109.91,418.55,USD
evt-tm-0074,Ritz Theatre - Family Movie Night,cls-074,ven-074,atr-074,2026-11-03T20:00:00Z,onsale,54.63,164.42,USD
evt-tm-0075,Sun-Ray Cinema - Classic Film Series,cls-075,ven-075,atr-075,2026-11-26T20:00:00Z,offsale,129.48,456.92,USD
evt-tm-0076,Jax Symphony - Family Concert Series,cls-076,ven-076,atr-076,2026-10-15T21:00:00Z,offsale,24.55,437.55,USD
evt-tm-0077,TIAA Bank Field - Monster Trucks,cls-077,ven-077,atr-077,2026-12-15T18:00:00Z,cancelled,96.95,175.86,USD
evt-tm-0078,Downtown Jax Riverfront Concert Series,cls-078,ven-078,atr-078,2026-11-22T18:00:00Z,offsale,136.83,224.32,USD
evt-tm-0079,First Coast Beer Fest,cls-079,ven-079,atr-079,2026-12-19T21:00:00Z,cancelled,116.86,441.46,USD
evt-tm-0080,River City Symphony - Beethoven Symphony No. 9,cls-080,ven-080,atr-080,2026-10-17T20:00:00Z,cancelled,37.02,473.47,USD
evt-tm-0081,River City Symphony - Chopin Concerto No. 1,cls-081,ven-081,atr-081,2026-10-12T20:00:00Z,onsale,69.57,336.12,USD
evt-tm-0082,Jacksonville Symphony - Mozart Requiem,cls-082,ven-082,atr-082,2026-11-10T20:00:00Z,offsale,53.44,192.7,USD
evt-tm-0083,Ritz Theatre - Blues Legends Night,cls-083,ven-083,atr-083,2026-10-04T20:00:00Z,cancelled,99.93,366.8,USD
evt-tm-0084,The Florida Theatre - Springsteen Tribute Band,cls-084,ven-084,atr-084,2026-10-10T19:00:00Z,cancelled,59.65,294.42,USD
evt-tm-0085,Times-Union Center - Broadway Series: Hamilton,cls-085,ven-085,atr-085,2026-11-19T19:00:00Z,offsale,102.52,272.96,USD
evt-tm-0086,Times-Union Center - Broadway Series: Book of Mormon,cls-086,ven-086,atr-086,2026-12-17T18:00:00Z,onsale,115.54,329.57,USD
evt-tm-0087,Ritz Theatre - Jazz Sessions,cls-087,ven-087,atr-087,2026-12-02T20:00:00Z,onsale,147.21,232.22,USD
evt-tm-0088,Prime Osborn - Regional Cardiology Symposium,cls-088,ven-088,atr-088,2026-11-08T19:00:00Z,onsale,130.55,357.7,USD
evt-tm-0089,TIAA Bank Field - Jaguars vs Titans,cls-089,ven-089,atr-089,2026-11-07T18:00:00Z,onsale,42.46,418.72,USD
evt-tm-0090,TIAA Bank Field - Jaguars vs Colts,cls-090,ven-090,atr-090,2026-11-03T20:00:00Z,onsale,116.93,253.24,USD
evt-tm-0091,Vystar Veterans Memorial Arena - Bruce Springsteen,cls-091,ven-091,atr-091,2026-12-19T20:00:00Z,offsale,67.36,295.74,USD
evt-tm-0092,The Florida Theatre - John Mellencamp Live,cls-092,ven-092,atr-092,2026-10-01T19:00:00Z,onsale,84.67,363.19,USD
evt-tm-0093,River City Symphony - Debussy Piano Works,cls-093,ven-093,atr-093,2026-11-27T21:00:00Z,offsale,69.47,316.02,USD
evt-tm-0094,Ritz Theatre - Family Movie Night,cls-094,ven-094,atr-094,2026-12-23T18:00:00Z,offsale,113.99,186.08,USD
evt-tm-0095,Sun-Ray Cinema - Classic Film Series,cls-095,ven-095,atr-095,2026-12-12T19:00:00Z,cancelled,127.71,369.35,USD
evt-tm-0096,Jax Symphony - Family Concert Series,cls-096,ven-096,atr-096,2026-10-06T19:00:00Z,onsale,136.44,192.6,USD
evt-tm-0097,TIAA Bank Field - Monster Trucks,cls-097,ven-097,atr-097,2026-10-18T19:00:00Z,cancelled,26.11,270.41,USD
evt-tm-0098,Downtown Jax Riverfront Concert Series,cls-098,ven-098,atr-098,2026-12-04T19:00:00Z,onsale,41.76,398.94,USD
evt-tm-0099,First Coast Beer Fest,cls-099,ven-099,atr-099,2026-10-16T18:00:00Z,offsale,142.76,266.44,USD
evt-tm-0100,River City Symphony - Beethoven Symphony No. 9,cls-100,ven-100,atr-100,2026-10-06T18:00:00Z,cancelled,41.09,413.18,USD
evt-tm-0101,River City Symphony - Chopin Concerto No. 1,cls-101,ven-101,atr-101,2026-11-03T21:00:00Z,onsale,111.79,189.71,USD
evt-tm-0102,Jacksonville Symphony - Mozart Requiem,cls-102,ven-102,atr-102,2026-11-10T19:00:00Z,onsale,107.51,364.83,USD
evt-tm-0103,Ritz Theatre - Blues Legends Night,cls-103,ven-103,atr-103,2026-10-15T19:00:00Z,onsale,51.44,224.35,USD
evt-tm-0104,The Florida Theatre - Springsteen Tribute Band,cls-104,ven-104,atr-104,2026-11-11T19:00:00Z,offsale,139.23,325.67,USD
evt-tm-0105,Times-Union Center - Broadway Series: Hamilton,cls-000,ven-105,atr-000,2026-11-28T18:00:00Z,offsale,55.44,336.11,USD
evt-tm-0106,Times-Union Center - Broadway Series: Book of Mormon,cls-001,ven-106,atr-001,2026-11-15T21:00:00Z,cancelled,39.41,291.12,USD
evt-tm-0107,Ritz Theatre - Jazz Sessions,cls-002,ven-107,atr-002,2026-11-15T21:00:00Z,onsale,95.71,257.79,USD
evt-tm-0108,Prime Osborn - Regional Cardiology Symposium,cls-003,ven-108,atr-003,2026-12-20T19:00:00Z,onsale,49.67,207.39,USD
evt-tm-0109,TIAA Bank Field - Jaguars vs Titans,cls-004,ven-109,atr-004,2026-10-27T20:00:00Z,onsale,49.98,470.06,USD
evt-tm-0110,TIAA Bank Field - Jaguars vs Colts,cls-005,ven-000,atr-005,2026-10-13T21:00:00Z,onsale,42.07,359.69,USD
evt-tm-0111,Vystar Veterans Memorial Arena - Bruce Springsteen,cls-006,ven-001,atr-006,2026-12-12T19:00:00Z,cancelled,89.88,352.68,USD
evt-tm-0112,The Florida Theatre - John Mellencamp Live,cls-007,ven-002,atr-007,2026-12-12T21:00:00Z,offsale,117.58,493.07,USD
evt-tm-0113,River City Symphony - Debussy Piano Works,cls-008,ven-003,atr-008,2026-10-18T19:00:00Z,offsale,62.02,358.83,USD
evt-tm-0114,Ritz Theatre - Family Movie Night,cls-009,ven-004,atr-009,2026-10-08T19:00:00Z,offsale,98.26,329.7,USD
