book_id,title,author,edition,publisher,publication_year,acquisition_date,acquisition_price_usd,current_estimate_low_usd,current_estimate_high_usd,condition,signed,shelf_location,notes
CB-0014,My System,Aron Nimzowitsch,First,David McKay New York,1929,1993-11-22,180.00,550.00,850.00,Very Good,FALSE,Study Main,1929 first English edition
CB-0015,Modern Ideas in Chess,Richard Reti,First,G. Bell and Sons London,1923,1996-05-14,150.00,400.00,700.00,Very Good,FALSE,Study Main,1923 London first English
CB-0016,Masters of the Chessboard,Richard Reti,First,David McKay New York,1932,1997-09-11,120.00,500.00,800.00,Near Fine,FALSE,Study Main,1932 first English edition
CB-0017,Chess Masterpieces,Hans Kmoch on Akiba Rubinstein,First,David McKay New York,1941,2000-04-19,85.00,350.00,600.00,Very Good,FALSE,Study Main,Kmoch translation first English
CB-0018,Dreihundert Schachpartien,Siegbert Tarrasch,First,Verlag Veit Leipzig,1895,1998-10-25,300.00,750.00,1150.00,Good,FALSE,Nathan Glass Case,1895 German first. Original boards showing wear
CB-0019,Chess Openings Ancient and Modern,Johannes Zukertort,First,Estes and Lauriat Boston,1878,2005-06-30,200.00,550.00,900.00,Good,FALSE,Nathan Glass Case,Thin market for pre-1900 United States openings manuals
CB-0020,Chess Endings Essential Knowledge,Yuri Averbakh,First,G. Bell and Sons London,1966,1988-03-15,60.00,350.00,600.00,Fine,FALSE,Study Main,1966 first English edition
CB-0021,Zurich International Chess Tournament 1953,David Bronstein,First,David McKay New York,1979,1989-07-20,75.00,550.00,850.00,Fine,FALSE,Study Main,1979 first English hardback McKay
CB-0022,Selected Games 1926-1946,Mikhail Botvinnik,First,Pergamon Press Oxford,1949,1991-02-08,70.00,450.00,700.00,Near Fine,FALSE,Study Main,1949 first English edition
CB-0023,Botvinnik-Smyslov Match 1954,Mikhail Botvinnik and Vasily Smyslov,First,Fizkultura i Sport Moscow,1955,2002-08-11,80.00,200.00,350.00,Good,FALSE,Study Upper,Russian first. Thin market for 1950s Soviet match books
CB-0024,Botvinnik-Tal Match 1961,Mikhail Botvinnik and Mikhail Tal,First,Fizkultura i Sport Moscow,1961,2003-04-27,90.00,200.00,350.00,Good,FALSE,Study Upper,Russian first. Second-source pricing weak
CB-0025,Encyclopedia of Chess Openings Volume A,Chess Informant,First,Sahovski Informator Belgrade,1979,2005-01-19,85.00,150.00,220.00,Near Fine,FALSE,Study Main,First edition reference
CB-0026,Encyclopedia of Chess Openings Volume B,Chess Informant,First,Sahovski Informator Belgrade,1979,2005-01-19,85.00,150.00,220.00,Near Fine,FALSE,Study Main,First edition reference
CB-0027,Encyclopedia of Chess Openings Volume C,Chess Informant,First,Sahovski Informator Belgrade,1981,2005-01-19,85.00,150.00,220.00,Near Fine,FALSE,Study Main,First edition reference
CB-0028,Encyclopedia of Chess Openings Volume D,Chess Informant,First,Sahovski Informator Belgrade,1987,2005-01-19,85.00,150.00,220.00,Near Fine,FALSE,Study Main,First edition reference
CB-0029,Encyclopedia of Chess Openings Volume E,Chess Informant,First,Sahovski Informator Belgrade,1978,2005-01-19,85.00,150.00,220.00,Near Fine,FALSE,Study Main,First edition reference
CB-0030,On My Great Predecessors Volume 2,Garry Kasparov,First,Everyman Chess London,2003,2003-11-04,60.00,160.00,260.00,Fine,FALSE,Study Main,Unsigned hardback first
CB-0031,On My Great Predecessors Volume 3,Garry Kasparov,First,Everyman Chess London,2004,2004-04-18,60.00,160.00,260.00,Fine,FALSE,Study Main,Hardback first
CB-0032,On My Great Predecessors Volume 4,Garry Kasparov,First,Everyman Chess London,2004,2004-10-21,60.00,160.00,260.00,Fine,FALSE,Study Main,Hardback first
CB-0033,On My Great Predecessors Volume 5,Garry Kasparov,First,Everyman Chess London,2006,2006-03-12,65.00,160.00,260.00,Fine,FALSE,Study Main,Hardback first
CB-0034,Best Games of Chess 1969-1977,Anatoly Karpov,First,Batsford London,1978,1992-09-15,50.00,150.00,250.00,Near Fine,FALSE,Study Main,First English hardback
CB-0035,100 Best Games,Anatoly Karpov,First,Batsford London,1984,1993-12-17,45.00,120.00,200.00,Near Fine,FALSE,Study Upper,First English edition
CB-0036,Fischer-Larsen Candidates Match 1971,William Lombardy,First,RHM Press New York,1971,1998-06-06,80.00,180.00,300.00,Good,FALSE,Study Upper,1971 Candidates match book
CB-0037,Complete Games 1946-1963,Tigran Petrosian,First,Chess Digest Dallas,1976,1990-08-24,65.00,200.00,350.00,Very Good,FALSE,Study Main,Second duplicate copy sold 2026 via marketplace see BS-2026-19. Original English first retained here
CB-0038,125 Selected Games,Vasily Smyslov,First,Cadogan Chess London,1983,1994-01-28,50.00,150.00,250.00,Very Good,FALSE,Study Upper,Cadogan first English
CB-0039,Best Games 1947-1969,Bent Larsen,First,Batsford London,1970,1997-11-05,40.00,120.00,200.00,Very Good,FALSE,Study Upper,First English edition
CB-0040,Practical Chess Endings,Paul Keres,First,Batsford London,1974,1995-08-20,70.00,350.00,550.00,Near Fine,FALSE,Study Main,First English edition
CB-0041,Comprehensive Chess Endings Volume 1,Yuri Averbakh,First,Cadogan Chess London,1984,1999-05-13,75.00,400.00,600.00,Fine,FALSE,Study Main,Pergamon original first English
CB-0042,Comprehensive Chess Endings Volume 2,Yuri Averbakh,First,Cadogan Chess London,1985,1999-05-13,75.00,400.00,600.00,Fine,FALSE,Study Main,Pergamon original first English
CB-0043,Complete Endgame Course,Jeremy Silman,Second,Siles Press Los Angeles,2007,2013-02-14,28.00,30.00,60.00,Fine,FALSE,Study Lower,Teaching library
CB-0044,How to Reassess Your Chess,Jeremy Silman,Revised,Siles Press Los Angeles,2010,2014-06-22,32.00,30.00,60.00,Fine,FALSE,Study Lower,Teaching library
CB-0045,Understanding Chess Move by Move,John Nunn,First,Gambit Publications London,2001,2001-11-08,30.00,40.00,70.00,Fine,FALSE,Study Lower,Teaching library
CB-0046,Mastering the Chess Openings Volume 1,John Watson,First,Gambit Publications London,2006,2006-09-28,28.00,35.00,65.00,Fine,FALSE,Study Lower,Teaching library
CB-0047,Mastering the Chess Openings Volume 2,John Watson,First,Gambit Publications London,2007,2007-08-14,28.00,35.00,65.00,Fine,FALSE,Study Lower,Teaching library
CB-0048,Grandmaster Preparation Positional Play,Jacob Aagaard,First,Quality Chess Glasgow,2012,2013-03-19,35.00,40.00,75.00,Fine,FALSE,Study Lower,Teaching library
CB-0049,Grandmaster Preparation Attack and Defence,Jacob Aagaard,First,Quality Chess Glasgow,2013,2013-10-07,35.00,40.00,75.00,Fine,FALSE,Study Lower,Teaching library
CB-0050,Dvoretsky Endgame Manual,Mark Dvoretsky,Revised,Russell Enterprises Milford CT,2011,2014-01-26,45.00,50.00,90.00,Fine,FALSE,Study Lower,Fourth revised English
CB-0051,Build Up Your Chess Volume 1,Artur Yusupov,First,Quality Chess Glasgow,2008,2010-04-14,32.00,40.00,70.00,Fine,FALSE,Study Lower,Teaching library
CB-0052,Boost Your Chess Volume 1,Artur Yusupov,First,Quality Chess Glasgow,2010,2011-03-30,32.00,40.00,70.00,Fine,FALSE,Study Lower,Teaching library
CB-0053,Chess Informant Volume 100,Chess Informant,First,Sahovski Informator Belgrade,2007,2007-09-15,40.00,40.00,70.00,Near Fine,FALSE,Study Upper,Reference
CB-0054,Chess Informant Volume 105,Chess Informant,First,Sahovski Informator Belgrade,2009,2009-06-18,42.00,40.00,70.00,Near Fine,FALSE,Study Upper,Reference
CB-0055,Logical Chess Move by Move,Irving Chernev,Reprint,Batsford London,1998,1998-04-22,20.00,25.00,50.00,Very Good,FALSE,Study Lower,1998 reprint teaching copy
CB-0056,Basic Chess Endings,Reuben Fine,First,David McKay New York,1941,1993-05-19,65.00,150.00,280.00,Very Good,FALSE,Study Main,1941 first United States edition
CB-0057,Chess Masterpieces,Frank Marshall,First,Little Brown Boston,1928,2001-01-27,150.00,350.00,600.00,Good,FALSE,Study Upper,1928 first edition. Thin market for Marshall collections
CB-0058,1001 Brilliant Ways to Checkmate,Fred Reinfeld,Reprint,Barnes and Noble New York,2008,2008-12-04,10.00,15.00,35.00,Good,FALSE,Guest Room Shelf,Guest room browsing copy
CB-0059,Endgame Course,Bruce Pandolfini,First,Fireside New York,1988,2004-02-23,12.00,15.00,30.00,Very Good,FALSE,Guest Room Shelf,Guest room browsing copy
CB-0060,Chess in 5334 Positions,Laszlo Polgar,First,Black Dog and Leventhal New York,1994,1994-12-16,60.00,40.00,75.00,Very Good,FALSE,Study Lower,Puzzle library. Market softened since acquisition
CB-0061,Play Chess Combinations,David Levy,First,Batsford London,1980,1985-07-11,18.00,20.00,40.00,Good,FALSE,Guest Room Shelf,Guest room browsing copy
CB-0062,Practical Endgame Manual,Yuri Averbakh,First,Everyman Chess London,2011,2011-05-08,32.00,35.00,65.00,Fine,FALSE,Study Lower,Teaching library
CB-0063,Understanding Pawn Play in Chess,Drazen Marovic,First,Gambit Publications London,2000,2000-10-19,28.00,30.00,55.00,Fine,FALSE,Study Lower,Teaching library
CB-0064,Pawn Structure Chess,Andrew Soltis,Revised,Batsford London,1995,1996-08-27,28.00,30.00,55.00,Very Good,FALSE,Study Lower,Teaching library
CB-0065,Chess Studies of the Georgian School,various,First,Sabchota Sakartvelo Tbilisi,1968,2010-11-29,200.00,400.00,650.00,Good,FALSE,Nathan Glass Case,Georgian language rarity. Thin market and cannot price against second independent source
CB-0066,Chess Openings Ancient and Modern,Frank Marshall,First,American Chess Bulletin New York,1904,2007-03-21,180.00,450.00,700.00,Good,FALSE,Nathan Glass Case,1904 United States first. Thin market comp set only two auction records
CB-0067,Selected Games,Mikhail Chigorin,First,Fizkultura i Sport Moscow,1965,2004-07-12,80.00,220.00,380.00,Good,FALSE,Study Upper,Russian first collected games edition
CB-0068,How Not to Play Chess,Eugene Znosko-Borovsky,First,David McKay New York,1931,2000-09-14,50.00,180.00,300.00,Very Good,FALSE,Study Main,1931 first English edition
