item_id,category,item,owner,status,due_date,vendor,last_updated,notes
MOD-037,Communications,Deaconess board pantry note,Molly Lindgren,pending,2026-11-08,-,2026-10-28,draft only
MOD-038,Communications,Pastor Whitfield pantry note,Molly Lindgren,pending,2026-11-04,-,2026-10-28,draft only
MOD-039,Pantry,Pantry roster confirmation,Molly Lindgren,pending,2026-11-04,HubSpot,2026-10-28,check swap offer from Lorraine
MOD-040,Pantry,Piggly Wiggly pickup 8 AM,Deacon Ellsworth,confirmed,2026-11-07,Piggly Wiggly,2026-10-24,-
MOD-041,Pantry,Second Harvest delivery 9:30 AM,Deacon Ellsworth,confirmed,2026-11-07,Second Harvest South GA,2026-10-24,~340 lbs
MOD-042,Pantry,Sal BBQ end-of-day donation,Deacon Ellsworth,tentative,2026-11-07,Sal's BBQ,2026-10-24,Sal calls day-of
MOD-043,Logistics,Driver picture from church to tour stops,Molly Lindgren,pending,2026-11-06,Google Maps,2026-10-28,for riders
MOD-044,Logistics,Sunday workday for mulch and edging,Molly Lindgren,pending,2026-11-01,-,2026-10-27,Gladys proposes Nov 1 — not yet accepted
MOD-045,Sponsor,Vidalia Family Dentistry plaque wording,Sissy Monroe,pending,2026-11-03,-,2026-08-15,shows $500 — signed letter says $750
MOD-046,Sponsor,Sponsor list on flyer,Sissy Monroe,done,2026-10-25,-,2026-10-25,shows $500 for Vidalia Family Dentistry — check
