order_id,cafe,contact_email,delivery_date,window_start,window_end,item,qty,unit_price,subtotal,notes
WHL-2026-1202-HD,Heritage Deli,manager@heritagedeli.com,2026-12-02,08:00,08:30,Challah roll,12,2.75,33.00,standing weekly
WHL-2026-1202-HD,Heritage Deli,manager@heritagedeli.com,2026-12-02,08:00,08:30,Rugelach,6,4.50,27.00,standing weekly
WHL-2026-1202-HD,Heritage Deli,manager@heritagedeli.com,2026-12-02,08:00,08:30,Chocolate babka,4,18.00,72.00,standing weekly
WHL-2026-1204-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-04,07:00,07:30,Country sourdough loaf,6,7.50,45.00,standing weekly
WHL-2026-1204-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-04,07:00,07:30,Butter croissant,12,3.25,39.00,standing weekly
WHL-2026-1204-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-04,07:00,07:30,Kouign-amann,6,4.00,24.00,standing weekly
WHL-2026-1204-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-04,07:00,07:30,Lemon square,8,3.50,28.00,standing weekly
WHL-2026-1204-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-04,07:30,08:00,Cranberry orange loaf,4,9.50,38.00,standing weekly
WHL-2026-1204-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-04,07:30,08:00,Cinnamon scone,6,3.75,22.50,standing weekly
WHL-2026-1204-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-04,07:30,08:00,Chocolate chip cookie,10,2.50,25.00,standing weekly
WHL-2026-1204-HD,Heritage Deli,manager@heritagedeli.com,2026-12-04,08:00,08:30,Challah roll,12,2.75,33.00,standing weekly
WHL-2026-1204-HD,Heritage Deli,manager@heritagedeli.com,2026-12-04,08:00,08:30,Rugelach,6,4.50,27.00,standing weekly
WHL-2026-1204-HD,Heritage Deli,manager@heritagedeli.com,2026-12-04,08:00,08:30,Chocolate babka,4,18.00,72.00,standing weekly
WHL-2026-1207-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-07,07:00,07:30,Country sourdough loaf,6,7.50,45.00,standing weekly
WHL-2026-1207-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-07,07:00,07:30,Butter croissant,12,3.25,39.00,standing weekly
WHL-2026-1207-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-07,07:00,07:30,Kouign-amann,6,4.00,24.00,standing weekly
WHL-2026-1207-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-07,07:00,07:30,Lemon square,8,3.50,28.00,standing weekly
WHL-2026-1207-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-07,07:30,08:00,Cranberry orange loaf,4,9.50,38.00,standing weekly
WHL-2026-1207-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-07,07:30,08:00,Cinnamon scone,6,3.75,22.50,standing weekly
WHL-2026-1207-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-07,07:30,08:00,Chocolate chip cookie,10,2.50,25.00,standing weekly
WHL-2026-1207-HD,Heritage Deli,manager@heritagedeli.com,2026-12-07,08:00,08:30,Challah roll,12,2.75,33.00,standing weekly
WHL-2026-1207-HD,Heritage Deli,manager@heritagedeli.com,2026-12-07,08:00,08:30,Rugelach,6,4.50,27.00,standing weekly
WHL-2026-1207-HD,Heritage Deli,manager@heritagedeli.com,2026-12-07,08:00,08:30,Chocolate babka,4,18.00,72.00,standing weekly
WHL-2026-1209-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-09,07:00,07:30,Country sourdough loaf,6,7.50,45.00,standing weekly
WHL-2026-1209-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-09,07:00,07:30,Butter croissant,12,3.25,39.00,standing weekly
WHL-2026-1209-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-09,07:00,07:30,Kouign-amann,6,4.00,24.00,standing weekly
WHL-2026-1209-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-09,07:00,07:30,Lemon square,8,3.50,28.00,standing weekly
WHL-2026-1209-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-09,07:30,08:00,Cranberry orange loaf,4,9.50,38.00,standing weekly
WHL-2026-1209-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-09,07:30,08:00,Cinnamon scone,6,3.75,22.50,standing weekly
WHL-2026-1209-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-09,07:30,08:00,Chocolate chip cookie,10,2.50,25.00,standing weekly
WHL-2026-1209-HD,Heritage Deli,manager@heritagedeli.com,2026-12-09,08:00,08:30,Challah roll,12,2.75,33.00,standing weekly
WHL-2026-1209-HD,Heritage Deli,manager@heritagedeli.com,2026-12-09,08:00,08:30,Rugelach,6,4.50,27.00,standing weekly
WHL-2026-1209-HD,Heritage Deli,manager@heritagedeli.com,2026-12-09,08:00,08:30,Chocolate babka,4,18.00,72.00,standing weekly
WHL-2026-1211-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-11,07:00,07:30,Country sourdough loaf,6,7.50,45.00,standing weekly
WHL-2026-1211-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-11,07:00,07:30,Butter croissant,12,3.25,39.00,standing weekly
WHL-2026-1211-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-11,07:00,07:30,Kouign-amann,6,4.00,24.00,standing weekly
WHL-2026-1211-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-11,07:00,07:30,Lemon square,8,3.50,28.00,standing weekly
WHL-2026-1211-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-11,07:30,08:00,Cranberry orange loaf,4,9.50,38.00,standing weekly
WHL-2026-1211-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-11,07:30,08:00,Cinnamon scone,6,3.75,22.50,standing weekly
WHL-2026-1211-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-11,07:30,08:00,Chocolate chip cookie,10,2.50,25.00,standing weekly
WHL-2026-1211-HD,Heritage Deli,manager@heritagedeli.com,2026-12-11,08:00,08:30,Challah roll,12,2.75,33.00,standing weekly
WHL-2026-1211-HD,Heritage Deli,manager@heritagedeli.com,2026-12-11,08:00,08:30,Rugelach,6,4.50,27.00,standing weekly
WHL-2026-1211-HD,Heritage Deli,manager@heritagedeli.com,2026-12-11,08:00,08:30,Chocolate babka,4,18.00,72.00,standing weekly
WHL-2026-1123-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-23,07:00,07:30,Country sourdough loaf,6,7.50,45.00,standing weekly
WHL-2026-1123-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-23,07:00,07:30,Butter croissant,12,3.25,39.00,standing weekly
WHL-2026-1123-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-23,07:00,07:30,Kouign-amann,6,4.00,24.00,standing weekly
WHL-2026-1123-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-23,07:00,07:30,Lemon square,8,3.50,28.00,standing weekly
WHL-2026-1123-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-11-23,07:30,08:00,Cranberry orange loaf,4,9.50,38.00,standing weekly
WHL-2026-1123-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-11-23,07:30,08:00,Cinnamon scone,6,3.75,22.50,standing weekly
WHL-2026-1123-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-11-23,07:30,08:00,Chocolate chip cookie,10,2.50,25.00,standing weekly
WHL-2026-1123-HD,Heritage Deli,manager@heritagedeli.com,2026-11-23,08:00,08:30,Challah roll,12,2.75,33.00,standing weekly
WHL-2026-1123-HD,Heritage Deli,manager@heritagedeli.com,2026-11-23,08:00,08:30,Rugelach,6,4.50,27.00,standing weekly
WHL-2026-1123-HD,Heritage Deli,manager@heritagedeli.com,2026-11-23,08:00,08:30,Chocolate babka,4,18.00,72.00,standing weekly
WHL-2026-1125-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-25,07:00,07:30,Country sourdough loaf,6,7.50,45.00,standing weekly
WHL-2026-1125-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-25,07:00,07:30,Butter croissant,12,3.25,39.00,standing weekly
WHL-2026-1125-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-25,07:00,07:30,Kouign-amann,6,4.00,24.00,standing weekly
WHL-2026-1125-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-25,07:00,07:30,Lemon square,8,3.50,28.00,standing weekly
WHL-2026-1125-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-11-25,07:30,08:00,Cranberry orange loaf,4,9.50,38.00,standing weekly
WHL-2026-1125-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-11-25,07:30,08:00,Cinnamon scone,6,3.75,22.50,standing weekly
WHL-2026-1125-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-11-25,07:30,08:00,Pumpkin muffin,8,3.25,26.00,thanksgiving week special
WHL-2026-1125-HD,Heritage Deli,manager@heritagedeli.com,2026-11-25,08:00,08:30,Challah roll,12,2.75,33.00,standing weekly
WHL-2026-1125-HD,Heritage Deli,manager@heritagedeli.com,2026-11-25,08:00,08:30,Rugelach,6,4.50,27.00,standing weekly
WHL-2026-1125-HD,Heritage Deli,manager@heritagedeli.com,2026-11-25,08:00,08:30,Chocolate babka,4,18.00,72.00,standing weekly
WHL-2026-1127-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-27,07:00,07:30,Country sourdough loaf,6,7.50,45.00,standing weekly
WHL-2026-1127-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-27,07:00,07:30,Butter croissant,12,3.25,39.00,standing weekly
WHL-2026-1127-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-27,07:00,07:30,Kouign-amann,6,4.00,24.00,standing weekly
WHL-2026-1127-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-27,07:00,07:30,Lemon square,8,3.50,28.00,standing weekly
WHL-2026-1127-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-11-27,07:30,08:00,Cranberry orange loaf,4,9.50,38.00,standing weekly
WHL-2026-1127-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-11-27,07:30,08:00,Cinnamon scone,6,3.75,22.50,standing weekly
WHL-2026-1127-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-11-27,07:30,08:00,Chocolate chip cookie,10,2.50,25.00,standing weekly
WHL-2026-1127-HD,Heritage Deli,manager@heritagedeli.com,2026-11-27,08:00,08:30,Challah roll,12,2.75,33.00,standing weekly
WHL-2026-1127-HD,Heritage Deli,manager@heritagedeli.com,2026-11-27,08:00,08:30,Rugelach,6,4.50,27.00,standing weekly
WHL-2026-1127-HD,Heritage Deli,manager@heritagedeli.com,2026-11-27,08:00,08:30,Chocolate babka,4,18.00,72.00,standing weekly
WHL-2026-1130-HD,Heritage Deli,manager@heritagedeli.com,2026-11-30,08:00,08:30,Cinnamon rugelach,6,4.50,27.00,standing weekly add
WHL-2026-1207-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-07,07:00,07:30,Poppy seed roll,4,8.50,34.00,standing weekly add
WHL-2026-1209-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-09,07:30,08:00,Cranberry orange loaf,6,9.50,57.00,holiday add Dec 9 only
WHL-2026-1209-HD,Heritage Deli,manager@heritagedeli.com,2026-12-09,08:00,08:30,Rugelach,24,4.50,108.00,holiday add two dozen Dec 9
WHL-2026-1211-HD,Heritage Deli,manager@heritagedeli.com,2026-12-11,08:00,08:30,Rugelach,24,4.50,108.00,holiday add two dozen Dec 11

