sale_id,sale_at,sku,qty,unit_price_usd,payment_method,event_tag
SQ-000086,2025-11-08T20:14:00-07:00,CR-DROPIN,2,18.0,card,fall_ops
SQ-000087,2025-11-16T20:49:00-07:00,CR-GI-003,2,64.46,cash,fall_ops
SQ-000088,2025-11-13T11:52:00-07:00,CR-PATCH-006,1,27.29,card,fall_ops
SQ-000089,2025-11-03T14:01:00-07:00,CR-PATCH-003,3,41.1,card,fall_ops
SQ-000090,2025-11-10T16:12:00-07:00,CR-KIT-004,3,7.42,card,fall_ops
SQ-000091,2025-11-01T12:12:00-07:00,CR-TOWEL-003,2,29.52,card,fall_ops
SQ-000092,2025-11-09T20:11:00-07:00,CR-GI-003,2,64.46,card,fall_ops
SQ-000093,2025-11-07T09:11:00-07:00,CR-GI-004,2,14.2,card,fall_ops
SQ-000094,2025-11-27T19:08:00-07:00,CR-PATCH-003,2,41.1,card,fall_ops
SQ-000095,2025-11-07T13:29:00-07:00,CR-KIT-002,1,52.47,card,fall_ops
SQ-000096,2025-11-22T11:33:00-07:00,CR-PATCH-001,3,13.53,cash,fall_ops
SQ-000097,2025-11-04T11:56:00-07:00,CR-TOWEL-001,1,12.25,card,fall_ops
SQ-000098,2025-11-18T15:44:00-07:00,CR-PATCH-006,2,27.29,card,fall_ops
SQ-000099,2025-11-14T19:15:00-07:00,CR-KIT-001,1,12.34,card,fall_ops
SQ-000100,2025-11-10T11:20:00-07:00,CR-PATCH-005,1,54.15,card,fall_ops
SQ-000101,2025-11-26T13:55:00-07:00,CR-DROPIN,1,18.0,cash,fall_ops
SQ-000102,2025-11-24T10:50:00-07:00,CR-PATCH-006,2,27.29,card,fall_ops
SQ-000103,2025-11-17T15:48:00-07:00,CR-GI-004,3,14.2,card,fall_ops
SQ-000104,2025-11-17T16:11:00-07:00,CR-PATCH-002,2,58.34,card,fall_ops
SQ-000105,2025-11-23T16:45:00-07:00,CR-GI-001,2,17.93,cash,fall_ops
SQ-000106,2025-11-19T15:40:00-07:00,CR-PATCH-008,3,23.2,card,fall_ops
SQ-000107,2025-11-08T12:28:00-07:00,CR-PATCH-006,1,27.29,cash,fall_ops
SQ-000108,2025-11-10T15:56:00-07:00,CR-PATCH-006,2,27.29,card,fall_ops
SQ-000109,2025-11-09T17:05:00-07:00,CR-PATCH-001,1,13.53,card,fall_ops
SQ-000110,2025-11-15T17:22:00-07:00,CR-TOWEL-002,1,34.16,card,fall_ops
SQ-000111,2025-11-17T18:21:00-07:00,CR-KIT-003,2,58.66,cash,fall_ops
SQ-000112,2025-11-14T15:23:00-07:00,CR-KIT-003,2,58.66,card,fall_ops
SQ-000113,2025-11-13T09:11:00-07:00,CR-PATCH-008,2,23.2,card,fall_ops
SQ-000114,2025-11-21T10:22:00-07:00,CR-PATCH-008,1,23.2,card,fall_ops
SQ-000115,2025-11-17T17:41:00-07:00,CR-GI-001,1,17.93,card,fall_ops
SQ-000116,2025-11-04T10:04:00-07:00,CR-GI-003,2,64.46,card,fall_ops
SQ-000117,2025-11-07T14:12:00-07:00,CR-PATCH-005,3,54.15,card,fall_ops
SQ-000118,2025-11-10T20:52:00-07:00,CR-PATCH-008,3,23.2,card,fall_ops
SQ-000119,2025-11-23T18:08:00-07:00,CR-PATCH-006,3,27.29,card,fall_ops
SQ-000120,2025-11-25T13:18:00-07:00,CR-PATCH-003,2,41.1,cash,fall_ops
SQ-000121,2025-11-27T18:48:00-07:00,CR-KIT-005,3,40.38,card,fall_ops
SQ-000122,2025-11-21T17:48:00-07:00,CR-PATCH-002,1,58.34,cash,fall_ops
SQ-000123,2025-11-08T20:47:00-07:00,CR-GI-003,1,64.46,cash,fall_ops
SQ-000124,2025-11-17T18:50:00-07:00,CR-GI-003,3,64.46,cash,fall_ops
SQ-000125,2025-11-11T10:20:00-07:00,CR-KIT-003,1,58.66,cash,fall_ops
SQ-000126,2025-11-07T16:28:00-07:00,CR-PATCH-004,3,7.92,card,fall_ops
SQ-000127,2025-11-05T18:55:00-07:00,CR-PATCH-001,1,13.53,card,fall_ops
SQ-000128,2025-11-16T19:53:00-07:00,CR-PATCH-003,2,41.1,card,fall_ops
SQ-000129,2025-11-14T15:43:00-07:00,CR-GI-003,2,64.46,card,fall_ops
SQ-000130,2025-11-19T09:36:00-07:00,CR-KIT-002,1,52.47,card,fall_ops
SQ-000131,2025-11-11T18:40:00-07:00,CR-KIT-004,3,7.42,cash,fall_ops
SQ-000132,2025-11-07T15:04:00-07:00,CR-KIT-005,3,40.38,cash,fall_ops
SQ-000133,2025-11-16T10:21:00-07:00,CR-PATCH-006,3,27.29,cash,fall_ops
SQ-000134,2025-11-10T10:10:00-07:00,CR-DROPIN,1,18.0,card,fall_ops
SQ-000135,2025-11-27T20:38:00-07:00,CR-TOWEL-003,2,29.52,card,fall_ops
SQ-000136,2025-11-07T10:58:00-07:00,CR-GI-004,2,14.2,card,fall_ops
SQ-000137,2025-11-08T13:42:00-07:00,CR-PATCH-006,3,27.29,card,fall_ops
SQ-000138,2025-11-02T14:33:00-07:00,CR-KIT-003,1,58.66,card,fall_ops
SQ-000139,2025-11-28T15:25:00-07:00,CR-KIT-002,1,52.47,card,fall_ops
SQ-000140,2025-11-18T15:30:00-07:00,CR-KIT-004,3,7.42,card,fall_ops
SQ-000141,2025-11-28T12:08:00-07:00,CR-KIT-005,1,40.38,card,fall_ops
SQ-000142,2025-11-27T20:42:00-07:00,CR-PATCH-004,2,7.92,card,fall_ops
SQ-000143,2025-11-19T13:37:00-07:00,CR-KIT-001,1,12.34,cash,fall_ops
SQ-000144,2025-12-01T11:28:00-07:00,CR-PATCH-006,1,27.29,cash,winter_ops
SQ-000145,2025-12-26T12:33:00-07:00,CR-KIT-001,2,12.34,cash,winter_ops
SQ-000146,2025-12-15T18:02:00-07:00,CR-KIT-003,3,58.66,card,winter_ops
SQ-000147,2025-12-21T16:22:00-07:00,CR-TOWEL-002,3,34.16,card,winter_ops
SQ-000148,2025-12-20T11:26:00-07:00,CR-KIT-005,1,40.38,card,winter_ops
SQ-000149,2025-12-24T15:29:00-07:00,CR-KIT-001,2,12.34,card,winter_ops
SQ-000150,2025-12-04T15:44:00-07:00,CR-PATCH-007,1,34.33,card,winter_ops
SQ-000151,2025-12-09T19:34:00-07:00,CR-GI-004,2,14.2,card,winter_ops
SQ-000152,2025-12-16T15:48:00-07:00,CR-PATCH-006,3,27.29,card,winter_ops
SQ-000153,2025-12-03T10:32:00-07:00,CR-PATCH-001,2,13.53,cash,winter_ops
SQ-000154,2025-12-06T13:13:00-07:00,CR-KIT-003,3,58.66,card,winter_ops
SQ-000155,2025-12-01T10:40:00-07:00,CR-KIT-003,3,58.66,cash,winter_ops
SQ-000156,2025-12-11T20:25:00-07:00,CR-KIT-005,1,40.38,cash,winter_ops
SQ-000157,2025-12-01T13:07:00-07:00,CR-TOWEL-003,3,29.52,card,winter_ops
SQ-000158,2025-12-22T20:29:00-07:00,CR-KIT-002,2,52.47,cash,winter_ops
SQ-000159,2025-12-03T17:42:00-07:00,CR-TOWEL-001,1,12.25,cash,winter_ops
SQ-000160,2025-12-16T13:53:00-07:00,CR-KIT-004,1,7.42,card,winter_ops
SQ-000161,2025-12-20T10:11:00-07:00,CR-PATCH-003,2,41.1,card,winter_ops
SQ-000162,2025-12-24T15:10:00-07:00,CR-PATCH-005,1,54.15,card,winter_ops
SQ-000163,2025-12-05T16:22:00-07:00,CR-PATCH-008,1,23.2,card,winter_ops
SQ-000164,2025-12-22T17:13:00-07:00,CR-TOWEL-003,2,29.52,card,winter_ops
SQ-000165,2025-12-26T17:41:00-07:00,CR-DROPIN,3,18.0,card,winter_ops
SQ-000166,2025-12-23T13:28:00-07:00,CR-KIT-005,1,40.38,card,winter_ops
SQ-000167,2025-12-25T15:49:00-07:00,CR-TOWEL-003,1,29.52,card,winter_ops
SQ-000168,2025-12-08T12:05:00-07:00,CR-PATCH-001,1,13.53,cash,winter_ops
SQ-000169,2025-12-01T14:52:00-07:00,CR-PATCH-003,1,41.1,card,winter_ops
SQ-000170,2025-12-04T19:10:00-07:00,CR-GI-003,3,64.46,card,winter_ops
SQ-000171,2025-12-14T17:06:00-07:00,CR-TOWEL-003,2,29.52,card,winter_ops
SQ-000172,2025-12-21T12:39:00-07:00,CR-PATCH-005,1,54.15,cash,winter_ops
SQ-000173,2025-12-04T12:13:00-07:00,CR-PATCH-004,1,7.92,card,winter_ops
SQ-000174,2025-12-06T09:25:00-07:00,CR-KIT-002,3,52.47,card,winter_ops
SQ-000175,2025-12-13T12:29:00-07:00,CR-PATCH-003,1,41.1,card,winter_ops
SQ-000176,2025-12-21T18:23:00-07:00,CR-PATCH-008,1,23.2,card,winter_ops
SQ-000177,2025-12-14T13:49:00-07:00,CR-PATCH-006,3,27.29,cash,winter_ops
SQ-000178,2025-12-23T17:50:00-07:00,CR-GI-002,3,39.31,card,winter_ops
SQ-000179,2025-12-04T18:20:00-07:00,CR-PATCH-008,3,23.2,cash,winter_ops
SQ-000180,2025-12-11T11:40:00-07:00,CR-KIT-004,3,7.42,card,winter_ops
SQ-000181,2025-12-03T14:01:00-07:00,CR-PATCH-002,3,58.34,cash,winter_ops
SQ-000182,2025-12-17T19:47:00-07:00,CR-KIT-005,1,40.38,card,winter_ops
SQ-000183,2025-12-01T18:48:00-07:00,CR-GI-003,1,64.46,card,winter_ops
SQ-000184,2025-12-24T15:48:00-07:00,CR-GI-003,1,64.46,card,winter_ops
SQ-000185,2025-12-05T14:31:00-07:00,CR-TOWEL-003,2,29.52,card,winter_ops
SQ-000186,2025-12-13T12:41:00-07:00,CR-KIT-004,1,7.42,card,winter_ops
SQ-000187,2025-12-15T20:56:00-07:00,CR-KIT-001,2,12.34,card,winter_ops
SQ-000188,2025-12-11T19:50:00-07:00,CR-PATCH-008,1,23.2,cash,winter_ops
SQ-000189,2025-12-27T13:48:00-07:00,CR-DROPIN,1,18.0,card,winter_ops
SQ-000190,2025-12-11T12:13:00-07:00,CR-KIT-002,3,52.47,card,winter_ops
SQ-000191,2025-12-26T19:44:00-07:00,CR-GI-003,3,64.46,card,winter_ops
SQ-000192,2025-12-28T15:33:00-07:00,CR-KIT-001,2,12.34,card,winter_ops
SQ-000193,2025-12-21T09:04:00-07:00,CR-KIT-003,2,58.66,card,winter_ops
SQ-000194,2025-12-02T19:09:00-07:00,CR-PATCH-006,1,27.29,card,winter_ops
SQ-000195,2025-12-06T18:35:00-07:00,CR-TOWEL-001,1,12.25,card,winter_ops
SQ-000196,2025-12-03T15:46:00-07:00,CR-GI-001,2,17.93,card,winter_ops
SQ-000197,2025-12-24T12:15:00-07:00,CR-GI-004,2,14.2,card,winter_ops
SQ-000198,2025-12-08T13:18:00-07:00,CR-KIT-001,3,12.34,cash,winter_ops
SQ-000199,2025-12-07T13:55:00-07:00,CR-DROPIN,2,18.0,card,winter_ops
SQ-000200,2025-12-13T15:10:00-07:00,CR-PATCH-001,2,13.53,cash,winter_ops
SQ-000201,2025-12-17T18:47:00-07:00,CR-PATCH-004,2,7.92,card,winter_ops
SQ-000202,2025-12-01T15:27:00-07:00,CR-PATCH-002,1,58.34,card,winter_ops
SQ-000203,2025-12-18T11:35:00-07:00,CR-KIT-001,3,12.34,card,winter_ops
SQ-000204,2025-12-13T16:19:00-07:00,CR-PATCH-008,2,23.2,card,winter_ops
SQ-000205,2025-12-18T18:30:00-07:00,CR-KIT-005,1,40.38,card,winter_ops
SQ-000206,2025-12-23T16:12:00-07:00,CR-KIT-004,1,7.42,card,winter_ops
SQ-000207,2025-12-01T17:46:00-07:00,CR-PATCH-003,3,41.1,card,winter_ops
SQ-000208,2025-12-13T15:25:00-07:00,CR-PATCH-002,3,58.34,card,winter_ops
SQ-000209,2025-12-16T13:41:00-07:00,CR-KIT-005,3,40.38,card,winter_ops
SQ-000210,2025-12-02T10:24:00-07:00,CR-PATCH-004,3,7.92,card,winter_ops
SQ-000211,2025-12-25T15:16:00-07:00,CR-PATCH-006,3,27.29,card,winter_ops
SQ-000212,2025-12-23T16:40:00-07:00,CR-GI-001,3,17.93,card,winter_ops
SQ-000213,2025-12-21T15:59:00-07:00,CR-TOWEL-003,2,29.52,card,winter_ops
SQ-000214,2025-12-16T09:58:00-07:00,CR-GI-003,2,64.46,card,winter_ops
SQ-000215,2025-12-05T13:38:00-07:00,CR-DROPIN,2,18.0,card,winter_ops
SQ-000216,2025-12-08T18:37:00-07:00,CR-PATCH-008,3,23.2,card,winter_ops
SQ-000217,2025-12-04T10:41:00-07:00,CR-PATCH-003,3,41.1,cash,winter_ops
SQ-000218,2025-12-23T18:57:00-07:00,CR-KIT-005,1,40.38,card,winter_ops
SQ-000219,2025-12-06T15:16:00-07:00,CR-PATCH-004,3,7.92,card,winter_ops
SQ-000220,2025-12-18T19:56:00-07:00,CR-GI-001,2,17.93,card,winter_ops
SQ-000221,2025-12-25T20:55:00-07:00,CR-PATCH-004,1,7.92,card,winter_ops
SQ-000222,2025-12-19T14:52:00-07:00,CR-DROPIN,1,18.0,card,winter_ops
SQ-000223,2025-12-24T15:44:00-07:00,CR-PATCH-006,2,27.29,card,winter_ops
SQ-000224,2025-12-27T16:00:00-07:00,CR-GI-004,1,14.2,card,winter_ops
SQ-000225,2025-12-17T15:41:00-07:00,CR-PATCH-004,2,7.92,cash,winter_ops
SQ-000226,2025-12-06T14:11:00-07:00,CR-GI-004,3,14.2,card,winter_ops
SQ-000227,2025-12-16T11:32:00-07:00,CR-PATCH-006,1,27.29,cash,winter_ops
SQ-000228,2025-12-27T12:11:00-07:00,CR-PATCH-007,1,34.33,card,winter_ops
SQ-000229,2025-12-26T12:16:00-07:00,CR-GI-004,2,14.2,cash,winter_ops
SQ-000230,2025-12-20T10:55:00-07:00,CR-DROPIN,3,18.0,card,winter_ops
SQ-000231,2025-12-10T10:24:00-07:00,CR-TOWEL-001,1,12.25,card,winter_ops
SQ-000232,2025-12-11T09:37:00-07:00,CR-TOWEL-001,1,12.25,cash,winter_ops
SQ-000233,2025-12-22T10:00:00-07:00,CR-PATCH-002,1,58.34,card,winter_ops
SQ-000234,2025-12-22T18:50:00-07:00,CR-PATCH-003,1,41.1,card,winter_ops
SQ-000235,2025-12-17T09:24:00-07:00,CR-PATCH-006,3,27.29,card,winter_ops
SQ-000236,2025-12-16T14:38:00-07:00,CR-PATCH-002,2,58.34,card,winter_ops
SQ-000237,2025-12-22T14:20:00-07:00,CR-PATCH-001,1,13.53,card,winter_ops
SQ-000238,2025-12-13T18:03:00-07:00,CR-KIT-005,2,40.38,card,winter_ops
SQ-000239,2025-12-01T16:55:00-07:00,CR-GI-002,3,39.31,cash,winter_ops
SQ-000240,2025-12-01T18:07:00-07:00,CR-KIT-004,3,7.42,card,winter_ops
SQ-000241,2025-12-12T16:39:00-07:00,CR-GI-003,3,64.46,cash,winter_ops
SQ-000242,2025-12-14T19:12:00-07:00,CR-GI-001,1,17.93,card,winter_ops
SQ-000243,2025-12-21T14:55:00-07:00,CR-PATCH-003,1,41.1,card,winter_ops
SQ-000244,2025-12-08T18:31:00-07:00,CR-KIT-003,2,58.66,card,winter_ops
SQ-000245,2025-12-14T16:42:00-07:00,CR-PATCH-001,3,13.53,card,winter_ops
SQ-000246,2025-12-10T18:12:00-07:00,CR-KIT-005,3,40.38,card,winter_ops
SQ-000247,2025-12-19T20:32:00-07:00,CR-GI-001,1,17.93,card,winter_ops
SQ-000248,2025-12-26T10:19:00-07:00,CR-PATCH-002,3,58.34,cash,winter_ops
SQ-000249,2025-12-15T10:30:00-07:00,CR-GI-004,3,14.2,card,winter_ops
SQ-000250,2025-12-07T11:48:00-07:00,CR-GI-003,3,64.46,card,winter_ops
SQ-000251,2025-12-14T20:01:00-07:00,CR-GI-002,1,39.31,card,winter_ops
SQ-000252,2025-12-25T13:14:00-07:00,CR-KIT-005,3,40.38,card,winter_ops
SQ-000253,2025-12-22T10:42:00-07:00,CR-PATCH-002,1,58.34,cash,winter_ops
SQ-000254,2025-12-26T20:21:00-07:00,CR-TOWEL-001,1,12.25,card,winter_ops
SQ-000255,2025-12-11T15:58:00-07:00,CR-DROPIN,3,18.0,cash,winter_ops
SQ-000256,2025-12-21T17:54:00-07:00,CR-DROPIN,2,18.0,card,winter_ops
SQ-000257,2025-12-09T10:18:00-07:00,CR-GI-003,1,64.46,card,winter_ops
SQ-000258,2025-12-11T20:37:00-07:00,CR-TOWEL-001,1,12.25,card,winter_ops
SQ-000259,2025-12-12T11:54:00-07:00,CR-PATCH-007,2,34.33,cash,winter_ops
SQ-000260,2025-12-24T09:19:00-07:00,CR-PATCH-007,1,34.33,card,winter_ops
SQ-000261,2025-12-14T14:49:00-07:00,CR-KIT-005,2,40.38,card,winter_ops
SQ-000262,2025-12-22T18:37:00-07:00,CR-GI-001,1,17.93,card,winter_ops
SQ-000263,2025-12-01T17:54:00-07:00,CR-KIT-005,2,40.38,card,winter_ops
SQ-000264,2025-12-27T13:53:00-07:00,CR-KIT-004,1,7.42,cash,winter_ops
SQ-000265,2025-12-05T18:18:00-07:00,CR-KIT-003,1,58.66,card,winter_ops
SQ-000266,2025-12-11T13:32:00-07:00,CR-KIT-001,3,12.34,card,winter_ops
SQ-000267,2025-12-28T20:36:00-07:00,CR-PATCH-008,2,23.2,card,winter_ops
SQ-000268,2025-12-10T20:24:00-07:00,CR-PATCH-002,1,58.34,card,winter_ops
SQ-000269,2025-12-27T20:13:00-07:00,CR-KIT-004,3,7.42,card,winter_ops
SQ-000270,2025-12-28T11:54:00-07:00,CR-TOWEL-003,2,29.52,cash,winter_ops
SQ-000271,2025-12-27T19:58:00-07:00,CR-TOWEL-002,1,34.16,card,winter_ops
SQ-000272,2025-12-13T14:27:00-07:00,CR-PATCH-005,3,54.15,cash,winter_ops
SQ-000273,2025-12-25T15:25:00-07:00,CR-PATCH-001,1,13.53,card,winter_ops
SQ-000274,2025-12-23T12:44:00-07:00,CR-TOWEL-002,3,34.16,cash,winter_ops
SQ-000275,2025-12-05T14:48:00-07:00,CR-GI-002,3,39.31,card,winter_ops
SQ-000276,2025-12-15T19:10:00-07:00,CR-TOWEL-002,3,34.16,card,winter_ops
SQ-000277,2025-12-23T16:18:00-07:00,CR-KIT-003,1,58.66,card,winter_ops
SQ-000278,2025-12-26T20:12:00-07:00,CR-PATCH-006,3,27.29,card,winter_ops
SQ-000279,2025-12-24T18:06:00-07:00,CR-PATCH-001,3,13.53,card,winter_ops
SQ-000280,2025-12-14T19:53:00-07:00,CR-KIT-005,1,40.38,card,winter_ops
SQ-000281,2025-12-12T16:11:00-07:00,CR-GI-002,1,39.31,card,winter_ops
SQ-000282,2025-12-21T14:37:00-07:00,CR-GI-001,2,17.93,card,winter_ops
SQ-000283,2025-12-24T15:15:00-07:00,CR-DROPIN,1,18.0,card,winter_ops
SQ-000284,2025-12-13T16:19:00-07:00,CR-GI-003,3,64.46,card,winter_ops
SQ-000285,2025-12-24T15:49:00-07:00,CR-DROPIN,3,18.0,card,winter_ops
SQ-000286,2025-12-28T19:24:00-07:00,CR-KIT-003,2,58.66,cash,winter_ops
SQ-000287,2025-12-01T10:07:00-07:00,CR-PATCH-001,1,13.53,card,winter_ops
SQ-000288,2025-12-21T19:58:00-07:00,CR-PATCH-002,3,58.34,card,winter_ops
SQ-000289,2025-12-19T18:36:00-07:00,CR-PATCH-003,2,41.1,card,winter_ops
SQ-000290,2025-12-26T18:11:00-07:00,CR-GI-002,2,39.31,cash,winter_ops
SQ-000291,2025-12-23T15:19:00-07:00,CR-DROPIN,3,18.0,card,winter_ops
SQ-000292,2025-12-11T10:45:00-07:00,CR-GI-002,3,39.31,card,winter_ops
