po_id,vendor,sku,unit_price_usd,qty,line_total_usd,order_date,expected_ship_date,commits_over_175_threshold
PO-2026-036,Portland Kendo Supply,SHINAI-37-BAMBOO,20,12,240,2026-01-09,2026-01-17,True
PO-2026-037,Oregon Trophy Co,TROPHY-BRONZE-KENDO,30,12,360,2026-08-02,2026-08-15,True
PO-2026-038,Emerald First Aid,FIRSTAID-KIT-CLASS-B,68,15,1020,2026-05-30,2026-06-12,True
PO-2026-039,Willamette Athletic,FLOORMAT-PUZZLE-4X4,42,15,630,2026-02-12,2026-02-20,True
PO-2026-040,Tanaka Martial Supply,BOGU-DO-STD,65,8,520,2025-11-13,2025-11-21,True
PO-2026-041,Tanaka Martial Supply,BOGU-MEN-STD,85,10,850,2026-03-22,2026-03-31,True
PO-2026-042,Coastal Water,DISPENSER-COOLER,125,2,250,2026-04-01,2026-04-19,True
PO-2026-043,Cascade Signage,SIGN-ALUMINUM-24X36,65,8,520,2026-03-15,2026-04-05,True
PO-2026-044,Oregon Trophy Co,MEDAL-GOLD-BULK,12,3,36,2026-04-16,2026-05-01,False
PO-2026-045,Rain City Print,POSTER-A2,4.5,2,9.0,2026-08-23,2026-09-10,False
PO-2026-046,Oregon Trophy Co,MEDAL-SILVER-BULK,8,10,80,2026-07-06,2026-07-21,False
PO-2026-047,Emerald First Aid,ICE-PACKS-BULK-24,22,1,22,2026-05-25,2026-06-10,False
PO-2026-048,Portland Kendo Supply,SHINAI-CARBON-39,65,5,325,2026-03-08,2026-03-28,True
PO-2026-049,Willamette Athletic,TAPE-FLOOR-YELLOW,8,8,64,2026-04-04,2026-04-17,False
PO-2026-050,Bridgetown Awards,CERTIFICATE-CUSTOM-25,42,2,84,2026-02-25,2026-03-17,False
PO-2026-051,Tanaka Martial Supply,BOGU-MEN-STD,85,12,1020,2025-11-15,2025-12-06,True
PO-2026-052,Cascade Signage,SIGN-DIRECTIONAL-4PK,48,4,192,2026-01-22,2026-01-31,True
PO-2026-053,Coastal Water,CUP-DISPENSER,22,4,88,2026-05-02,2026-05-13,False
PO-2026-054,Oregon Trophy Co,PLAQUE-CUSTOM,22,5,110,2026-03-08,2026-03-24,False
PO-2026-055,Cascade Signage,SIGN-DIRECTIONAL-4PK,48,4,192,2026-09-19,2026-10-07,True
PO-2026-056,Portland Kendo Supply,SHINAI-39-BAMBOO,22,2,44,2025-12-01,2025-12-15,False
PO-2026-057,Coastal Water,CUP-DISPENSER,22,10,220,2025-11-03,2025-11-18,True
PO-2026-058,Tanaka Martial Supply,BOGU-MEN-STD,85,15,1275,2026-03-03,2026-03-20,True
PO-2026-059,Emerald First Aid,SAM-SPLINT,14,15,210,2026-05-05,2026-05-12,True
PO-2026-060,Rain City Print,PATCH-KENDO-LG,2.5,10,25.0,2025-11-30,2025-12-09,False
PO-2026-061,Bridgetown Awards,CERT-FRAME-11X14,18,12,216,2025-11-17,2025-12-07,True
PO-2026-062,Coastal Water,DISPENSER-COOLER,125,15,1875,2026-09-26,2026-10-17,True
PO-2026-063,Bridgetown Awards,CERTIFICATE-CUSTOM-25,42,3,126,2026-05-01,2026-05-09,False
PO-2026-064,Rain City Print,PATCH-JUDO-LG,2.5,2,5.0,2025-11-08,2025-11-19,False
PO-2026-065,Oregon Trophy Co,MEDAL-SILVER-BULK,8,6,48,2026-06-09,2026-06-29,False
PO-2026-066,Metro Cleaning Supply,MOP-SET,18,2,36,2026-08-26,2026-09-15,False
PO-2026-067,Bridgetown Awards,CERTIFICATE-CUSTOM-25,42,2,84,2026-05-28,2026-06-04,False
PO-2026-068,Coastal Water,CUP-DISPENSER,22,12,264,2026-04-25,2026-05-10,True
PO-2026-069,Bridgetown Awards,RIBBON-CUSTOM-100,65,10,650,2026-08-19,2026-08-26,True
PO-2026-070,Cascade Signage,SIGN-ALUMINUM-24X36,65,4,260,2025-12-13,2025-12-20,True
PO-2026-071,Rain City Print,STICKER-DOJO,1.0,15,15.0,2026-02-03,2026-02-09,False
PO-2026-072,Emerald First Aid,ATHLETIC-TAPE-BULK,24,5,120,2026-02-08,2026-02-28,False
PO-2026-073,Coastal Water,DISPENSER-COOLER,125,24,3000,2026-07-18,2026-08-07,True
PO-2026-074,Rain City Print,BANNER-VINYL-4X6,42,2,84,2026-09-12,2026-09-18,False
PO-2026-075,Cascade Signage,SIGN-DIRECTIONAL-4PK,48,2,96,2026-05-20,2026-05-25,False
PO-2026-076,Emerald First Aid,FIRSTAID-KIT-CLASS-B,68,8,544,2026-04-18,2026-05-05,True
PO-2026-077,Willamette Athletic,FLOORMAT-INTERLOCK-4X4,58,4,232,2026-05-09,2026-05-21,True
PO-2026-078,Emerald First Aid,SAM-SPLINT,14,24,336,2026-01-15,2026-01-27,True
PO-2026-079,Oregon Trophy Co,MEDAL-SILVER-BULK,8,20,160,2026-04-20,2026-05-07,False
PO-2026-080,Willamette Athletic,FLOORMAT-PUZZLE-4X4,42,10,420,2026-06-30,2026-07-08,True
PO-2026-081,Bridgetown Awards,RIBBON-CUSTOM-100,65,12,780,2025-12-18,2026-01-05,True
PO-2026-082,Tanaka Martial Supply,BOGU-DO-STD,65,6,390,2026-03-16,2026-03-30,True
PO-2026-083,Portland Kendo Supply,SHINAI-39-BAMBOO,22,5,110,2026-09-11,2026-09-26,False
PO-2026-084,Portland Kendo Supply,SHINAI-CARBON-39,65,6,390,2026-01-08,2026-01-24,True
PO-2026-085,Bridgetown Awards,RIBBON-CUSTOM-100,65,6,390,2026-01-31,2026-02-07,True
PO-2026-086,Coastal Water,CUP-DISPENSER,22,8,176,2025-11-28,2025-12-05,True
PO-2026-087,Rain City Print,BANNER-VINYL-4X6,42,24,1008,2026-02-17,2026-03-05,True
PO-2026-088,Oregon Trophy Co,PLAQUE-CUSTOM,22,8,176,2026-08-17,2026-08-30,True
PO-2026-089,Portland Kendo Supply,BOKKEN-OAK,28,8,224,2026-04-22,2026-05-11,True
PO-2026-090,Coastal Water,CUP-DISPENSER,22,1,22,2026-08-31,2026-09-14,False
PO-2026-091,Bridgetown Awards,CERT-FRAME-11X14,18,12,216,2025-11-03,2025-11-13,True
PO-2026-092,Willamette Athletic,FLOORMAT-PUZZLE-4X4,42,4,168,2026-04-24,2026-05-14,False
PO-2026-093,Willamette Athletic,FLOORMAT-PUZZLE-4X4,42,6,252,2026-06-29,2026-07-13,True
PO-2026-094,Metro Cleaning Supply,TRASH-BAGS-BULK,22,5,110,2026-09-12,2026-09-27,False
PO-2026-095,Oregon Trophy Co,MEDAL-SILVER-BULK,8,4,32,2025-12-31,2026-01-06,False
PO-2026-096,Portland Kendo Supply,SHINAI-39-BAMBOO,22,4,88,2026-01-29,2026-02-08,False
PO-2026-097,Oregon Trophy Co,MEDAL-GOLD-BULK,12,4,48,2026-02-25,2026-03-08,False
PO-2026-098,Portland Kendo Supply,BOKKEN-OAK,28,15,420,2026-03-09,2026-03-29,True
PO-2026-099,Portland Kendo Supply,SHINAI-39-BAMBOO,22,15,330,2026-02-11,2026-02-20,True
PO-2026-100,Cascade Signage,SIGN-DIRECTIONAL-4PK,48,2,96,2026-07-18,2026-07-25,False
PO-2026-101,Rain City Print,BANNER-VINYL-4X6,42,24,1008,2026-04-19,2026-05-10,True
PO-2026-102,Cascade Signage,SIGN-CORRUGATED-24X18,22,20,440,2026-01-12,2026-01-25,True
PO-2026-103,Cascade Signage,SIGN-CORRUGATED-24X18,22,12,264,2026-01-26,2026-02-01,True
PO-2026-104,Emerald First Aid,FIRSTAID-KIT-CLASS-B,68,6,408,2026-08-13,2026-08-31,True
PO-2026-105,Oregon Trophy Co,MEDAL-GOLD-BULK,12,15,180,2026-09-15,2026-09-28,True
PO-2026-106,Cascade Signage,SIGN-DIRECTIONAL-4PK,48,6,288,2026-06-17,2026-07-06,True
PO-2026-107,Willamette Athletic,FLOORMAT-PUZZLE-4X4,42,1,42,2026-02-05,2026-02-12,False
PO-2026-108,Metro Cleaning Supply,MICROFIBER-CLOTH-BULK,14,15,210,2026-06-20,2026-07-08,True
PO-2026-109,Portland Kendo Supply,SHINAI-37-BAMBOO,20,15,300,2026-03-12,2026-03-31,True
PO-2026-110,Bridgetown Awards,RIBBON-CUSTOM-100,65,1,65,2026-08-23,2026-09-05,False
PO-2026-111,Bridgetown Awards,CERT-FRAME-11X14,18,2,36,2025-11-23,2025-12-10,False
PO-2026-112,Willamette Athletic,TAPE-FLOOR-YELLOW,8,10,80,2026-04-30,2026-05-12,False
