charge_id,student_id,amount_usd,charge_date,status,tier
ch_000115,DROPIN,18.0,2025-11-24,succeeded,dropin_18
ch_000116,DROPIN,18.0,2025-11-08,succeeded,dropin_18
ch_000117,DROPIN,18.0,2025-11-18,succeeded,dropin_18
ch_000118,DROPIN,18.0,2025-11-13,succeeded,dropin_18
ch_000119,DROPIN,18.0,2025-11-07,succeeded,dropin_18
ch_000120,DROPIN,18.0,2025-11-07,succeeded,dropin_18
ch_000121,DROPIN,18.0,2025-11-17,succeeded,dropin_18
ch_000122,DROPIN,18.0,2025-11-22,succeeded,dropin_18
ch_000123,DROPIN,18.0,2025-11-08,succeeded,dropin_18
ch_000124,DROPIN,18.0,2025-11-19,succeeded,dropin_18
ch_000125,DROPIN,18.0,2025-11-21,succeeded,dropin_18
ch_000126,DROPIN,18.0,2025-11-06,succeeded,dropin_18
ch_000127,DROPIN,18.0,2025-11-18,succeeded,dropin_18
ch_000128,DROPIN,18.0,2025-11-24,succeeded,dropin_18
ch_000129,DROPIN,18.0,2025-11-18,succeeded,dropin_18
ch_000130,DROPIN,18.0,2025-11-14,succeeded,dropin_18
ch_000131,DROPIN,18.0,2025-11-24,succeeded,dropin_18
ch_000132,DROPIN,18.0,2025-11-04,succeeded,dropin_18
ch_000133,DROPIN,18.0,2025-11-25,succeeded,dropin_18
ch_000134,DROPIN,18.0,2025-11-21,succeeded,dropin_18
ch_000135,DROPIN,18.0,2025-11-19,succeeded,dropin_18
ch_000136,DROPIN,18.0,2025-11-12,succeeded,dropin_18
ch_000137,DROPIN,18.0,2025-11-22,succeeded,dropin_18
ch_000138,DROPIN,18.0,2025-11-15,succeeded,dropin_18
ch_000139,DROPIN,18.0,2025-11-23,succeeded,dropin_18
ch_000140,DROPIN,18.0,2025-11-22,succeeded,dropin_18
ch_000141,DROPIN,18.0,2025-11-14,succeeded,dropin_18
ch_000142,DROPIN,18.0,2025-11-04,succeeded,dropin_18
ch_000143,CR-00001,95.0,2025-12-04,succeeded,monthly_95
ch_000144,CR-00002,95.0,2025-12-05,succeeded,monthly_95
ch_000145,CR-00003,95.0,2025-12-03,succeeded,monthly_95
ch_000146,CR-00004,95.0,2025-12-03,succeeded,monthly_95
ch_000147,CR-00005,95.0,2025-12-04,succeeded,monthly_95
ch_000148,CR-00006,95.0,2025-12-02,succeeded,monthly_95
ch_000149,CR-00007,95.0,2025-12-05,succeeded,monthly_95
ch_000150,CR-00008,95.0,2025-12-04,succeeded,monthly_95
ch_000151,CR-00009,95.0,2025-12-01,succeeded,monthly_95
ch_000152,CR-00010,95.0,2025-12-05,succeeded,monthly_95
ch_000153,CR-00011,95.0,2025-12-01,succeeded,monthly_95
ch_000154,CR-00012,95.0,2025-12-03,succeeded,monthly_95
ch_000155,CR-00013,95.0,2025-12-03,succeeded,monthly_95
ch_000156,CR-00014,95.0,2025-12-05,succeeded,monthly_95
ch_000157,CR-00015,95.0,2025-12-01,succeeded,monthly_95
ch_000158,CR-00016,95.0,2025-12-03,succeeded,monthly_95
ch_000159,CR-00017,95.0,2025-12-02,succeeded,monthly_95
ch_000160,CR-00019,95.0,2025-12-05,succeeded,monthly_95
ch_000161,CR-00020,95.0,2025-12-01,succeeded,monthly_95
ch_000162,CR-00021,95.0,2025-12-02,succeeded,monthly_95
ch_000163,CR-00023,95.0,2025-12-05,succeeded,monthly_95
ch_000164,CR-00025,95.0,2025-12-03,succeeded,monthly_95
ch_000165,CR-00026,95.0,2025-12-04,succeeded,monthly_95
ch_000166,CR-00028,95.0,2025-12-03,succeeded,monthly_95
ch_000167,CR-00029,95.0,2025-12-04,succeeded,monthly_95
ch_000168,CR-00030,95.0,2025-12-02,succeeded,monthly_95
ch_000169,CR-00031,95.0,2025-12-01,succeeded,monthly_95
ch_000170,CR-00032,95.0,2025-12-01,succeeded,monthly_95
ch_000171,CR-00033,95.0,2025-12-05,succeeded,monthly_95
ch_000172,CR-00034,95.0,2025-12-02,succeeded,monthly_95
ch_000173,CR-00036,95.0,2025-12-04,succeeded,monthly_95
ch_000174,CR-00037,95.0,2025-12-05,succeeded,monthly_95
ch_000175,CR-00039,95.0,2025-12-03,succeeded,monthly_95
ch_000176,CR-00040,95.0,2025-12-03,succeeded,monthly_95
ch_000177,CR-00041,95.0,2025-12-01,succeeded,monthly_95
ch_000178,CR-00042,95.0,2025-12-04,succeeded,monthly_95
ch_000179,CR-00046,95.0,2025-12-02,succeeded,monthly_95
ch_000180,CR-00048,95.0,2025-12-02,succeeded,monthly_95
ch_000181,CR-00049,95.0,2025-12-02,succeeded,monthly_95
ch_000182,CR-00050,95.0,2025-12-05,succeeded,monthly_95
ch_000183,CR-00051,95.0,2025-12-04,succeeded,monthly_95
ch_000184,CR-00053,95.0,2025-12-01,succeeded,monthly_95
ch_000185,CR-00054,95.0,2025-12-03,succeeded,monthly_95
ch_000186,CR-00057,95.0,2025-12-05,succeeded,monthly_95
ch_000187,CR-00058,95.0,2025-12-02,succeeded,monthly_95
ch_000188,CR-00059,95.0,2025-12-04,succeeded,monthly_95
ch_000189,CR-EX-001,95.0,2025-12-04,succeeded,monthly_95
ch_000190,CR-EX-002,95.0,2025-12-02,succeeded,monthly_95
ch_000191,CR-EX-003,95.0,2025-12-03,succeeded,monthly_95
ch_000192,CR-EX-004,95.0,2025-12-01,succeeded,monthly_95
ch_000193,CR-EX-005,95.0,2025-12-01,succeeded,monthly_95
ch_000194,CR-EX-006,95.0,2025-12-05,succeeded,monthly_95
ch_000195,CR-EX-007,95.0,2025-12-03,succeeded,monthly_95
ch_000196,CR-EX-008,95.0,2025-12-01,failed,monthly_95
ch_000197,CR-EX-009,95.0,2025-12-04,succeeded,monthly_95
ch_000198,CR-EX-010,95.0,2025-12-02,failed,monthly_95
ch_000199,CR-EX-011,95.0,2025-12-02,succeeded,monthly_95
ch_000200,CR-EX-012,95.0,2025-12-05,succeeded,monthly_95
ch_000201,CR-EX-013,95.0,2025-12-05,succeeded,monthly_95
ch_000202,CR-EX-014,95.0,2025-12-02,succeeded,monthly_95
ch_000203,CR-EX-015,95.0,2025-12-01,succeeded,monthly_95
ch_000204,CR-EX-016,95.0,2025-12-05,succeeded,monthly_95
ch_000205,CR-EX-017,95.0,2025-12-02,succeeded,monthly_95
ch_000206,CR-EX-018,95.0,2025-12-02,succeeded,monthly_95
ch_000207,CR-EX-019,95.0,2025-12-05,succeeded,monthly_95
ch_000208,CR-EX-020,95.0,2025-12-04,succeeded,monthly_95
ch_000209,CR-EX-021,95.0,2025-12-01,succeeded,monthly_95
ch_000210,CR-EX-022,95.0,2025-12-03,succeeded,monthly_95
ch_000211,CR-EX-023,95.0,2025-12-03,succeeded,monthly_95
ch_000212,CR-EX-024,95.0,2025-12-01,succeeded,monthly_95
ch_000213,CR-EX-025,95.0,2025-12-04,succeeded,monthly_95
ch_000214,CR-EX-026,95.0,2025-12-04,succeeded,monthly_95
ch_000215,CR-EX-027,95.0,2025-12-01,succeeded,monthly_95
ch_000216,CR-EX-028,95.0,2025-12-04,succeeded,monthly_95
ch_000217,CR-EX-029,95.0,2025-12-05,succeeded,monthly_95
ch_000218,CR-EX-030,95.0,2025-12-02,succeeded,monthly_95
ch_000219,CR-EX-031,95.0,2025-12-04,succeeded,monthly_95
ch_000220,CR-EX-032,95.0,2025-12-01,succeeded,monthly_95
ch_000221,CR-EX-033,95.0,2025-12-05,succeeded,monthly_95
ch_000222,CR-EX-034,95.0,2025-12-04,succeeded,monthly_95
ch_000223,CR-EX-035,95.0,2025-12-02,succeeded,monthly_95
ch_000224,CR-EX-036,95.0,2025-12-03,failed,monthly_95
ch_000225,CR-EX-037,95.0,2025-12-03,succeeded,monthly_95
ch_000226,CR-EX-038,95.0,2025-12-05,succeeded,monthly_95
ch_000227,CR-EX-039,95.0,2025-12-01,succeeded,monthly_95
ch_000228,CR-EX-040,95.0,2025-12-04,succeeded,monthly_95
ch_000229,CR-EX-041,95.0,2025-12-01,succeeded,monthly_95
ch_000230,CR-EX-042,95.0,2025-12-03,succeeded,monthly_95
ch_000231,CR-EX-043,95.0,2025-12-03,succeeded,monthly_95
ch_000232,CR-EX-044,95.0,2025-12-02,succeeded,monthly_95
ch_000233,CR-EX-045,95.0,2025-12-04,succeeded,monthly_95
ch_000234,CR-EX-046,95.0,2025-12-05,succeeded,monthly_95
ch_000235,CR-EX-047,95.0,2025-12-02,succeeded,monthly_95
ch_000236,CR-EX-048,95.0,2025-12-05,succeeded,monthly_95
ch_000237,CR-EX-049,95.0,2025-12-03,succeeded,monthly_95
ch_000238,CR-EX-050,95.0,2025-12-03,succeeded,monthly_95
ch_000239,CR-EX-051,95.0,2025-12-02,succeeded,monthly_95
ch_000240,CR-EX-052,95.0,2025-12-02,succeeded,monthly_95
ch_000241,CR-EX-053,95.0,2025-12-02,succeeded,monthly_95
ch_000242,CR-EX-054,95.0,2025-12-03,succeeded,monthly_95
ch_000243,CR-EX-055,95.0,2025-12-05,succeeded,monthly_95
ch_000244,CR-EX-056,95.0,2025-12-04,succeeded,monthly_95
ch_000245,CR-EX-057,95.0,2025-12-02,succeeded,monthly_95
ch_000246,CR-EX-058,95.0,2025-12-05,succeeded,monthly_95
ch_000247,CR-EX-059,95.0,2025-12-03,succeeded,monthly_95
ch_000248,CR-EX-060,95.0,2025-12-05,succeeded,monthly_95
ch_000249,CR-EX-061,95.0,2025-12-01,succeeded,monthly_95
ch_000250,DROPIN,18.0,2025-12-11,succeeded,dropin_18
ch_000251,DROPIN,18.0,2025-12-27,succeeded,dropin_18
ch_000252,DROPIN,18.0,2025-12-05,succeeded,dropin_18
ch_000253,DROPIN,18.0,2025-12-24,succeeded,dropin_18
ch_000254,DROPIN,18.0,2025-12-01,succeeded,dropin_18
ch_000255,DROPIN,18.0,2025-12-25,succeeded,dropin_18
ch_000256,DROPIN,18.0,2025-12-11,succeeded,dropin_18
ch_000257,DROPIN,18.0,2025-12-14,succeeded,dropin_18
ch_000258,DROPIN,18.0,2025-12-14,succeeded,dropin_18
ch_000259,DROPIN,18.0,2025-12-10,succeeded,dropin_18
ch_000260,DROPIN,18.0,2025-12-15,succeeded,dropin_18
ch_000261,DROPIN,18.0,2025-12-24,succeeded,dropin_18
ch_000262,DROPIN,18.0,2025-12-27,succeeded,dropin_18
ch_000263,DROPIN,18.0,2025-12-21,succeeded,dropin_18
ch_000264,DROPIN,18.0,2025-12-24,succeeded,dropin_18
ch_000265,DROPIN,18.0,2025-12-09,succeeded,dropin_18
ch_000266,DROPIN,18.0,2025-12-05,succeeded,dropin_18
ch_000267,DROPIN,18.0,2025-12-25,succeeded,dropin_18
ch_000268,DROPIN,18.0,2025-12-07,succeeded,dropin_18
ch_000269,DROPIN,18.0,2025-12-04,succeeded,dropin_18
ch_000270,DROPIN,18.0,2025-12-05,succeeded,dropin_18
ch_000271,DROPIN,18.0,2025-12-06,succeeded,dropin_18
ch_000272,DROPIN,18.0,2025-12-01,succeeded,dropin_18
ch_000273,DROPIN,18.0,2025-12-25,succeeded,dropin_18
ch_000274,DROPIN,18.0,2025-12-20,succeeded,dropin_18
ch_000275,DROPIN,18.0,2025-12-20,succeeded,dropin_18
ch_000276,DROPIN,18.0,2025-12-09,succeeded,dropin_18
ch_000277,DROPIN,18.0,2025-12-20,succeeded,dropin_18
ch_000278,DROPIN,18.0,2025-12-19,succeeded,dropin_18
ch_000279,DROPIN,18.0,2025-12-20,succeeded,dropin_18
ch_000280,CR-00001,95.0,2025-12-01,succeeded,monthly_95
ch_000281,CR-00002,95.0,2025-12-04,succeeded,monthly_95
ch_000282,CR-00003,95.0,2025-12-04,succeeded,monthly_95
ch_000283,CR-00004,95.0,2025-12-04,succeeded,monthly_95
ch_000284,CR-00005,95.0,2025-12-02,succeeded,monthly_95
ch_000285,CR-00006,95.0,2025-12-01,succeeded,monthly_95
ch_000286,CR-00007,95.0,2025-12-02,succeeded,monthly_95
ch_000287,CR-00008,95.0,2025-12-02,succeeded,monthly_95
ch_000288,CR-00009,95.0,2025-12-04,succeeded,monthly_95
ch_000289,CR-00010,95.0,2025-12-03,succeeded,monthly_95
ch_000290,CR-00011,95.0,2025-12-04,succeeded,monthly_95
ch_000291,CR-00012,95.0,2025-12-04,succeeded,monthly_95
ch_000292,CR-00013,95.0,2025-12-05,succeeded,monthly_95
ch_000293,CR-00014,95.0,2025-12-01,succeeded,monthly_95
ch_000294,CR-00015,95.0,2025-12-01,succeeded,monthly_95
ch_000295,CR-00016,95.0,2025-12-05,succeeded,monthly_95
ch_000296,CR-00017,95.0,2025-12-05,succeeded,monthly_95
ch_000297,CR-00019,95.0,2025-12-01,succeeded,monthly_95
ch_000298,CR-00020,95.0,2025-12-03,succeeded,monthly_95
ch_000299,CR-00021,95.0,2025-12-02,succeeded,monthly_95
ch_000300,CR-00023,95.0,2025-12-01,succeeded,monthly_95
ch_000301,CR-00025,95.0,2025-12-04,succeeded,monthly_95
ch_000302,CR-00026,95.0,2025-12-05,succeeded,monthly_95
ch_000303,CR-00028,95.0,2025-12-05,succeeded,monthly_95
ch_000304,CR-00029,95.0,2025-12-04,succeeded,monthly_95
ch_000305,CR-00030,95.0,2025-12-02,succeeded,monthly_95
ch_000306,CR-00031,95.0,2025-12-03,succeeded,monthly_95
ch_000307,CR-00032,95.0,2025-12-02,succeeded,monthly_95
ch_000308,CR-00033,95.0,2025-12-01,succeeded,monthly_95
ch_000309,CR-00034,95.0,2025-12-01,succeeded,monthly_95
ch_000310,CR-00036,95.0,2025-12-05,succeeded,monthly_95
ch_000311,CR-00037,95.0,2025-12-05,succeeded,monthly_95
ch_000312,CR-00039,95.0,2025-12-03,succeeded,monthly_95
ch_000313,CR-00040,95.0,2025-12-02,succeeded,monthly_95
ch_000314,CR-00041,95.0,2025-12-01,succeeded,monthly_95
ch_000315,CR-00042,95.0,2025-12-04,succeeded,monthly_95
ch_000316,CR-00046,95.0,2025-12-02,succeeded,monthly_95
ch_000317,CR-00048,95.0,2025-12-03,refunded,monthly_95
ch_000318,CR-00049,95.0,2025-12-04,failed,monthly_95
ch_000319,CR-00050,95.0,2025-12-01,succeeded,monthly_95
ch_000320,CR-00051,95.0,2025-12-02,succeeded,monthly_95
ch_000321,CR-00053,95.0,2025-12-04,succeeded,monthly_95
ch_000322,CR-00054,95.0,2025-12-01,succeeded,monthly_95
ch_000323,CR-00057,95.0,2025-12-05,succeeded,monthly_95
ch_000324,CR-00058,95.0,2025-12-02,succeeded,monthly_95
ch_000325,CR-00059,95.0,2025-12-03,succeeded,monthly_95
ch_000326,CR-EX-001,95.0,2025-12-01,succeeded,monthly_95
ch_000327,CR-EX-002,95.0,2025-12-05,succeeded,monthly_95
ch_000328,CR-EX-003,95.0,2025-12-01,succeeded,monthly_95
ch_000329,CR-EX-004,95.0,2025-12-04,succeeded,monthly_95
ch_000330,CR-EX-005,95.0,2025-12-02,succeeded,monthly_95
ch_000331,CR-EX-006,95.0,2025-12-05,succeeded,monthly_95
ch_000332,CR-EX-007,95.0,2025-12-05,succeeded,monthly_95
ch_000333,CR-EX-008,95.0,2025-12-05,succeeded,monthly_95
ch_000334,CR-EX-009,95.0,2025-12-04,succeeded,monthly_95
ch_000335,CR-EX-010,95.0,2025-12-03,succeeded,monthly_95
ch_000336,CR-EX-011,95.0,2025-12-01,succeeded,monthly_95
ch_000337,CR-EX-012,95.0,2025-12-03,succeeded,monthly_95
ch_000338,CR-EX-013,95.0,2025-12-04,succeeded,monthly_95
ch_000339,CR-EX-014,95.0,2025-12-04,succeeded,monthly_95
ch_000340,CR-EX-015,95.0,2025-12-01,succeeded,monthly_95
ch_000341,CR-EX-016,95.0,2025-12-02,succeeded,monthly_95
ch_000342,CR-EX-017,95.0,2025-12-03,succeeded,monthly_95
ch_000343,CR-EX-018,95.0,2025-12-04,succeeded,monthly_95
ch_000344,CR-EX-019,95.0,2025-12-02,succeeded,monthly_95
ch_000345,CR-EX-020,95.0,2025-12-01,succeeded,monthly_95
ch_000346,CR-EX-021,95.0,2025-12-05,succeeded,monthly_95
ch_000347,CR-EX-022,95.0,2025-12-04,succeeded,monthly_95
ch_000348,CR-EX-023,95.0,2025-12-05,succeeded,monthly_95
ch_000349,CR-EX-024,95.0,2025-12-03,succeeded,monthly_95
ch_000350,CR-EX-025,95.0,2025-12-03,succeeded,monthly_95
ch_000351,CR-EX-026,95.0,2025-12-05,succeeded,monthly_95
ch_000352,CR-EX-027,95.0,2025-12-03,succeeded,monthly_95
ch_000353,CR-EX-028,95.0,2025-12-05,succeeded,monthly_95
ch_000354,CR-EX-029,95.0,2025-12-05,succeeded,monthly_95
ch_000355,CR-EX-030,95.0,2025-12-04,succeeded,monthly_95
ch_000356,CR-EX-031,95.0,2025-12-02,succeeded,monthly_95
ch_000357,CR-EX-032,95.0,2025-12-02,succeeded,monthly_95
ch_000358,CR-EX-033,95.0,2025-12-02,succeeded,monthly_95
ch_000359,CR-EX-034,95.0,2025-12-01,failed,monthly_95
ch_000360,CR-EX-035,95.0,2025-12-01,succeeded,monthly_95
ch_000361,CR-EX-036,95.0,2025-12-02,succeeded,monthly_95
ch_000362,CR-EX-037,95.0,2025-12-04,succeeded,monthly_95
ch_000363,CR-EX-038,95.0,2025-12-03,succeeded,monthly_95
ch_000364,CR-EX-039,95.0,2025-12-02,succeeded,monthly_95
ch_000365,CR-EX-040,95.0,2025-12-02,failed,monthly_95
ch_000366,CR-EX-041,95.0,2025-12-03,succeeded,monthly_95
ch_000367,CR-EX-042,95.0,2025-12-03,succeeded,monthly_95
ch_000368,CR-EX-043,95.0,2025-12-05,succeeded,monthly_95
ch_000369,CR-EX-044,95.0,2025-12-01,succeeded,monthly_95
ch_000370,CR-EX-045,95.0,2025-12-03,succeeded,monthly_95
ch_000371,CR-EX-046,95.0,2025-12-05,succeeded,monthly_95
ch_000372,CR-EX-047,95.0,2025-12-01,succeeded,monthly_95
ch_000373,CR-EX-048,95.0,2025-12-02,succeeded,monthly_95
ch_000374,CR-EX-049,95.0,2025-12-03,succeeded,monthly_95
ch_000375,CR-EX-050,95.0,2025-12-04,succeeded,monthly_95
ch_000376,CR-EX-051,95.0,2025-12-01,succeeded,monthly_95
ch_000377,CR-EX-052,95.0,2025-12-04,succeeded,monthly_95
ch_000378,CR-EX-053,95.0,2025-12-04,succeeded,monthly_95
ch_000379,CR-EX-054,95.0,2025-12-05,succeeded,monthly_95
ch_000380,CR-EX-055,95.0,2025-12-04,succeeded,monthly_95
ch_000381,CR-EX-056,95.0,2025-12-04,succeeded,monthly_95
ch_000382,CR-EX-057,95.0,2025-12-01,succeeded,monthly_95
ch_000383,DROPIN,18.0,2025-12-19,succeeded,dropin_18
ch_000384,DROPIN,18.0,2025-12-24,succeeded,dropin_18
ch_000385,DROPIN,18.0,2025-12-22,succeeded,dropin_18
ch_000386,DROPIN,18.0,2025-12-11,succeeded,dropin_18
ch_000387,DROPIN,18.0,2025-12-18,succeeded,dropin_18
ch_000388,DROPIN,18.0,2025-12-18,succeeded,dropin_18
ch_000389,DROPIN,18.0,2025-12-01,succeeded,dropin_18
ch_000390,DROPIN,18.0,2025-12-07,succeeded,dropin_18
ch_000391,DROPIN,18.0,2025-12-19,succeeded,dropin_18
ch_000392,DROPIN,18.0,2025-12-22,succeeded,dropin_18
ch_000393,DROPIN,18.0,2025-12-11,succeeded,dropin_18
ch_000394,DROPIN,18.0,2025-12-26,succeeded,dropin_18
ch_000395,DROPIN,18.0,2025-12-26,succeeded,dropin_18
ch_000396,DROPIN,18.0,2025-12-12,succeeded,dropin_18
ch_000397,DROPIN,18.0,2025-12-03,succeeded,dropin_18
ch_000398,DROPIN,18.0,2025-12-05,succeeded,dropin_18
ch_000399,DROPIN,18.0,2025-12-09,succeeded,dropin_18
ch_000400,DROPIN,18.0,2025-12-27,succeeded,dropin_18
