sku_woocommerce,product_name,on_hand_qty,reorder_threshold,last_restock_date,wholesale_cost_usd,retail_price_usd
CR-WC-SEA-069,Spring 2026 - Long Sleeve Tee - L,28,4,2026-07-18,16.74,38.5
CR-WC-SEA-070,Spring 2026 - Tank Top - S,1,4,2026-05-25,19.67,45.24
CR-WC-SEA-071,Spring 2026 - Tank Top - M,13,4,2026-09-02,17.7,40.71
CR-WC-SEA-072,Spring 2026 - Tank Top - L,9,4,2026-04-18,11.84,27.23
CR-WC-SEA-073,Spring 2026 - Beanie - S,1,4,2026-01-18,16.98,39.05
CR-WC-SEA-074,Spring 2026 - Beanie - M,0,4,2026-08-18,11.52,26.5
CR-WC-SEA-075,Spring 2026 - Beanie - L,24,4,2026-04-28,17.74,40.8
CR-WC-SEA-076,Spring 2026 - Cap - S,29,4,2026-07-02,18.65,42.89
CR-WC-SEA-077,Spring 2026 - Cap - M,7,4,2026-06-25,19.85,45.66
CR-WC-SEA-078,Spring 2026 - Cap - L,28,4,2026-03-14,8.52,19.6
CR-WC-SEA-079,Summer 2026 - Hoodie - S,25,4,2026-04-05,10.55,24.27
CR-WC-SEA-080,Summer 2026 - Hoodie - M,2,4,2026-04-10,18.06,41.54
CR-WC-SEA-081,Summer 2026 - Hoodie - L,33,4,2026-05-20,18.39,42.3
CR-WC-SEA-082,Summer 2026 - Long Sleeve Tee - S,21,4,2026-03-19,15.06,34.64
CR-WC-SEA-083,Summer 2026 - Long Sleeve Tee - M,9,4,2026-06-26,9.23,21.23
CR-WC-SEA-084,Summer 2026 - Long Sleeve Tee - L,31,4,2026-09-14,10.51,24.17
CR-WC-SEA-085,Summer 2026 - Tank Top - S,2,4,2026-04-16,17.48,40.2
CR-WC-SEA-086,Summer 2026 - Tank Top - M,15,4,2026-07-06,8.81,20.26
CR-WC-SEA-087,Summer 2026 - Tank Top - L,8,4,2026-08-04,12.32,28.34
CR-WC-SEA-088,Summer 2026 - Beanie - S,8,4,2026-08-28,19.07,43.86
CR-WC-SEA-089,Summer 2026 - Beanie - M,23,4,2026-09-25,16.19,37.24
CR-WC-SEA-090,Summer 2026 - Beanie - L,21,4,2026-05-16,19.72,45.36
CR-WC-SEA-091,Summer 2026 - Cap - S,29,4,2026-03-07,12.33,28.36
CR-WC-SEA-092,Summer 2026 - Cap - M,14,4,2026-09-19,8.17,18.79
CR-WC-SEA-093,Summer 2026 - Cap - L,29,4,2026-04-11,19.15,44.04
CR-WC-SEA-094,Fall 2026 Tournament - Hoodie - S,30,4,2026-03-09,10.31,23.71
CR-WC-SEA-095,Fall 2026 Tournament - Hoodie - M,3,4,2026-04-23,8.06,18.54
CR-WC-SEA-096,Fall 2026 Tournament - Hoodie - L,33,4,2026-04-17,13.8,31.74
CR-WC-SEA-097,Fall 2026 Tournament - Long Sleeve Tee - S,17,4,2026-09-16,19.13,44.0
CR-WC-SEA-098,Fall 2026 Tournament - Long Sleeve Tee - M,12,4,2026-01-08,9.15,21.04
CR-WC-SEA-099,Fall 2026 Tournament - Long Sleeve Tee - L,27,4,2026-06-27,19.05,43.81
CR-WC-SEA-100,Fall 2026 Tournament - Tank Top - S,17,4,2026-08-15,17.36,39.93
CR-WC-SEA-101,Fall 2026 Tournament - Tank Top - M,27,4,2026-09-25,14.74,33.9
CR-WC-SEA-102,Fall 2026 Tournament - Tank Top - L,4,4,2026-06-02,12.0,27.6
CR-WC-SEA-103,Fall 2026 Tournament - Beanie - S,6,4,2026-04-13,11.79,27.12
CR-WC-SEA-104,Fall 2026 Tournament - Beanie - M,2,4,2026-01-27,8.14,18.72
CR-WC-SEA-105,Fall 2026 Tournament - Beanie - L,12,4,2026-08-02,17.78,40.89
CR-WC-SEA-106,Fall 2026 Tournament - Cap - S,7,4,2026-09-28,10.56,24.29
CR-WC-SEA-107,Fall 2026 Tournament - Cap - M,17,4,2026-04-26,14.0,32.2
CR-WC-SEA-108,Fall 2026 Tournament - Cap - L,1,4,2026-04-05,10.89,25.05
CR-WC-SEA-109,Holiday 2026 - Hoodie - S,22,4,2026-07-09,13.46,30.96
CR-WC-SEA-110,Holiday 2026 - Hoodie - M,9,4,2026-07-27,16.87,38.8
CR-WC-SEA-111,Holiday 2026 - Hoodie - L,9,4,2026-01-28,18.34,42.18
CR-WC-SEA-112,Holiday 2026 - Long Sleeve Tee - S,14,4,2026-04-13,10.74,24.7
CR-WC-SEA-113,Holiday 2026 - Long Sleeve Tee - M,18,4,2026-03-02,16.86,38.78
CR-WC-SEA-114,Holiday 2026 - Long Sleeve Tee - L,24,4,2026-07-01,13.54,31.14
CR-WC-SEA-115,Holiday 2026 - Tank Top - S,32,4,2026-06-21,19.24,44.25
CR-WC-SEA-116,Holiday 2026 - Tank Top - M,2,4,2026-07-11,9.67,22.24
CR-WC-SEA-117,Holiday 2026 - Tank Top - L,34,4,2026-05-14,15.62,35.93
CR-WC-SEA-118,Holiday 2026 - Beanie - S,15,4,2026-07-10,8.83,20.31
CR-WC-SEA-119,Holiday 2026 - Beanie - M,24,4,2026-09-02,17.5,40.25
CR-WC-SEA-120,Holiday 2026 - Beanie - L,27,4,2026-09-27,17.94,41.26
CR-WC-SEA-121,Holiday 2026 - Cap - S,27,4,2026-09-24,19.61,45.1
CR-WC-SEA-122,Holiday 2026 - Cap - M,12,4,2026-08-20,17.54,40.34
CR-WC-SEA-123,Holiday 2026 - Cap - L,24,4,2026-01-19,9.7,22.31
CR-WC-ACC-124,Kendo Mitt Care Oil,28,6,2026-02-10,4.5,12.99
CR-WC-ACC-125,Shinai Grip Tape - Black,36,6,2026-03-14,1.8,5.99
CR-WC-ACC-126,Shinai Grip Tape - Blue,8,6,2026-05-07,1.8,5.99
CR-WC-ACC-127,Shinai Grip Tape - Red,9,6,2026-07-18,1.8,5.99
CR-WC-ACC-128,Zekken Name Tag - Custom,7,6,2026-07-08,2.0,9.99
CR-WC-ACC-129,Bogu Deodorizer Sachet,10,6,2026-04-19,1.5,4.99
CR-WC-ACC-130,Dojo Notebook,33,6,2026-05-17,2.0,7.99
CR-WC-ACC-131,Ranking Progress Chart,10,6,2026-03-03,1.0,3.99
CR-WC-ACC-132,Warmup Foam Roller,29,6,2026-02-06,6.0,15.99
CR-WC-ACC-133,Athletic Tape - 3 pack,11,6,2026-07-22,2.5,8.99
CR-WC-ACC-134,Ice Pack Reusable,14,6,2026-08-14,2.0,5.99
CR-WC-ACC-135,Wrist Wrap Set,18,6,2026-04-12,3.0,9.99
CR-WC-ACC-136,Ankle Brace,45,6,2026-08-21,4.0,14.99
CR-WC-ACC-137,Mouth Guard - Adult,17,6,2026-02-01,1.5,6.99
CR-WC-ACC-138,Mouth Guard - Youth,46,6,2026-03-04,1.5,6.99
CR-WC-ACC-139,Water Bottle - Cedar Ridge,41,6,2026-02-04,3.0,12.99
CR-WC-ACC-140,Gym Bag - Small,44,6,2026-03-23,8.0,24.99
CR-WC-ACC-141,Gym Bag - Large,33,6,2026-02-28,12.0,34.99
