sku_amazon,asin,linked_woocommerce_sku,on_hand_qty,fba_qty,retail_price_usd
AMZ-CR-056,B012459071,CR-WC-BUNDLE-042,65,10,25.86
AMZ-CR-057,B070094519,CR-WC-BUNDLE-043,6,30,20.68
AMZ-CR-058,B031641509,CR-WC-BUNDLE-044,21,18,74.33
AMZ-CR-059,B016767091,CR-WC-BUNDLE-045,65,22,63.08
AMZ-CR-060,B055764589,CR-WC-BUNDLE-046,58,27,45.36
AMZ-CR-061,B064507284,CR-WC-BUNDLE-047,14,23,75.3
AMZ-CR-062,B081949045,CR-WC-BUNDLE-048,16,20,23.27
AMZ-CR-063,B094894593,CR-WC-BUNDLE-049,21,7,59.4
AMZ-CR-064,B036855728,CR-WC-BUNDLE-050,39,12,65.64
AMZ-CR-065,B042616208,CR-WC-BUNDLE-051,48,14,59.89
AMZ-CR-066,B068956611,CR-WC-BUNDLE-052,59,3,57.32
AMZ-CR-067,B099926821,CR-WC-BUNDLE-053,52,28,78.26
AMZ-CR-068,B031726716,CR-WC-BUNDLE-054,24,16,17.99
AMZ-CR-069,B068547015,CR-WC-BUNDLE-055,80,6,60.89
AMZ-CR-070,B010250411,CR-WC-BUNDLE-056,74,10,13.13
AMZ-CR-071,B033551903,CR-WC-BUNDLE-057,56,12,43.82
AMZ-CR-072,B047180644,CR-WC-BUNDLE-058,13,7,51.74
AMZ-CR-073,B095404113,CR-WC-BUNDLE-059,35,19,16.86
AMZ-CR-074,B076883561,CR-WC-BUNDLE-060,41,6,31.29
AMZ-CR-075,B022647659,CR-WC-BUNDLE-061,64,6,19.33
AMZ-CR-076,B026683379,CR-WC-BUNDLE-062,77,14,14.25
AMZ-CR-077,B031997024,CR-WC-BUNDLE-063,72,12,76.86
AMZ-CR-078,B099011407,CR-WC-BUNDLE-064,25,15,14.78
AMZ-CR-079,B068262373,CR-WC-BUNDLE-065,63,7,77.04
AMZ-CR-080,B027753489,CR-WC-BUNDLE-066,34,4,73.5
AMZ-CR-081,B043583775,CR-WC-BUNDLE-067,39,28,78.89
AMZ-CR-082,B026191711,CR-WC-BUNDLE-068,40,26,12.26
AMZ-CR-083,B058745037,CR-WC-BUNDLE-069,34,26,40.54
AMZ-CR-084,B031004477,CR-WC-BUNDLE-070,53,18,45.99
AMZ-CR-085,B097387320,CR-WC-BUNDLE-071,58,19,32.44
AMZ-CR-086,B048319647,CR-WC-BUNDLE-072,45,26,32.46
AMZ-CR-087,B068696811,CR-WC-BUNDLE-073,6,2,64.78
AMZ-CR-088,B037752347,CR-WC-BUNDLE-074,74,10,61.65
AMZ-CR-089,B083478795,CR-WC-BUNDLE-075,30,1,29.86
AMZ-CR-090,B056023415,CR-WC-BUNDLE-076,22,27,38.38
AMZ-CR-091,B080257391,CR-WC-BUNDLE-077,72,5,66.72
AMZ-CR-092,B073126914,CR-WC-BUNDLE-078,25,25,9.4
AMZ-CR-093,B019867413,CR-WC-BUNDLE-079,57,10,35.12
AMZ-CR-094,B049482729,CR-WC-BUNDLE-080,80,12,10.9
AMZ-CR-095,B014931921,CR-WC-BUNDLE-081,64,19,26.24
AMZ-CR-096,B080777140,CR-WC-BUNDLE-082,46,19,73.87
AMZ-CR-097,B086990172,CR-WC-BUNDLE-083,16,12,7.26
AMZ-CR-098,B090633743,CR-WC-BUNDLE-084,73,24,51.69
AMZ-CR-099,B059400760,CR-WC-BUNDLE-085,55,4,72.81
AMZ-CR-100,B080391747,CR-WC-BUNDLE-086,38,0,59.95
AMZ-CR-101,B036305110,CR-WC-BUNDLE-087,13,17,44.58
AMZ-CR-102,B026517062,CR-WC-BUNDLE-088,35,7,16.87
AMZ-CR-103,B094422028,CR-WC-BUNDLE-089,65,6,54.11
AMZ-CR-104,B010486089,CR-WC-BUNDLE-090,76,15,62.63
AMZ-CR-105,B069688415,CR-WC-BUNDLE-091,22,1,63.34
