year,registration_revenue_usd,sponsor_revenue_collected_usd,merch_revenue_usd,venue_cost_usd,insurance_cost_usd,trophies_cost_usd,judge_honoraria_usd,shipping_cost_usd,other_cost_usd,operating_margin_usd
2024 Summer Kids Camp,1829.24,2435.09,1043.15,585.77,271.0,272.74,295.31,54.49,209.03,3619.14
2025 Summer Kids Camp,1967.71,2854.12,1050.38,454.92,247.15,224.06,331.49,82.79,184.39,4347.41
2020 Winter Seminar,1382.58,1693.11,1293.59,520.28,396.12,194.16,354.37,151.88,150.05,2602.42
2022 Winter Seminar,2035.49,1998.06,1384.96,525.94,227.52,173.55,330.32,138.25,257.74,3765.19
2024 Winter Seminar,1582.48,2878.45,1188.26,401.41,319.61,188.73,351.24,76.75,253.12,4058.33
2026 Winter Seminar,1569.78,2243.26,1044.96,616.62,423.12,229.05,360.71,82.22,256.75,2889.53
2020 Q1 Kids Rank Testing,879.0,581.35,225.41,167.77,202.21,129.73,146.05,68.54,83.66,887.8
2020 Q2 Kids Rank Testing,535.01,978.03,361.52,194.83,115.09,109.25,105.51,35.42,99.1,1215.36
2020 Q3 Kids Rank Testing,711.58,97.14,192.46,311.97,104.6,106.43,139.44,27.79,84.0,226.95
2020 Q4 Kids Rank Testing,782.89,737.09,396.23,339.19,198.74,104.45,65.69,44.85,131.77,1031.52
2021 Q1 Kids Rank Testing,588.82,863.7,116.52,334.47,179.48,97.94,119.99,25.01,137.03,675.12
2021 Q2 Kids Rank Testing,421.13,681.11,221.49,231.09,108.84,116.76,195.83,16.22,63.68,591.31
2021 Q3 Kids Rank Testing,419.24,14.97,145.25,247.7,178.14,90.69,95.68,75.75,147.75,-256.25
2021 Q4 Kids Rank Testing,360.08,1052.63,126.86,369.04,182.85,103.1,55.92,40.94,60.26,727.46
2022 Q1 Kids Rank Testing,385.11,592.61,233.36,197.57,113.11,51.71,120.91,61.78,142.52,523.48
2022 Q2 Kids Rank Testing,770.41,571.75,203.02,378.28,123.86,88.67,154.2,69.4,115.82,614.95
2022 Q3 Kids Rank Testing,540.44,754.62,361.52,277.63,199.54,67.26,128.78,33.7,87.34,862.33
2022 Q4 Kids Rank Testing,657.56,423.63,294.25,215.81,212.05,104.34,189.53,58.21,112.9,482.6
2023 Q1 Kids Rank Testing,852.03,91.04,228.3,334.28,215.45,123.71,72.26,60.81,90.2,274.66
2023 Q2 Kids Rank Testing,683.66,339.47,167.97,399.65,109.02,73.85,93.11,49.0,99.8,366.67
2023 Q3 Kids Rank Testing,330.94,546.66,415.63,377.29,106.0,120.24,169.48,25.69,68.89,425.64
2023 Q4 Kids Rank Testing,724.25,34.78,340.4,388.03,155.77,62.01,183.42,34.35,141.25,134.6
2024 Q1 Kids Rank Testing,580.6,11.66,273.0,339.53,90.05,61.39,141.93,61.82,73.1,97.44
2024 Q2 Kids Rank Testing,537.24,584.4,199.23,336.37,193.17,100.25,146.33,49.54,68.14,427.07
2024 Q3 Kids Rank Testing,373.13,874.24,468.69,295.77,207.73,123.09,131.18,60.84,108.95,788.5
2024 Q4 Kids Rank Testing,351.43,531.27,131.91,291.26,178.21,108.15,79.15,30.92,129.52,197.4
2025 Q1 Kids Rank Testing,837.36,324.81,487.74,257.33,135.84,144.99,115.17,30.77,43.69,922.12
2025 Q2 Kids Rank Testing,840.54,621.89,487.67,203.67,120.49,108.94,55.23,74.15,55.99,1331.63
2025 Q3 Kids Rank Testing,554.83,414.94,107.31,336.77,200.79,75.91,109.8,32.45,113.11,208.25
2025 Q4 Kids Rank Testing,815.27,1177.45,185.19,157.45,89.01,141.7,193.55,48.88,88.74,1458.58
2026 Q1 Kids Rank Testing,608.87,1105.37,184.74,230.32,120.61,149.54,145.11,31.2,65.86,1156.34
2026 Q2 Kids Rank Testing,810.51,127.77,394.92,223.35,149.89,98.09,82.95,67.67,101.92,609.33
2026 Q3 Kids Rank Testing,794.81,423.9,337.74,312.39,177.96,145.22,69.92,19.1,117.55,714.31
2026 Q4 Kids Rank Testing,786.87,1080.81,248.2,287.95,208.45,111.11,66.08,75.48,61.8,1305.01
2020 H1 Adult Rank Testing,461.49,673.34,341.89,311.35,168.41,121.12,88.76,20.14,58.06,708.88
2020 H2 Adult Rank Testing,666.32,52.14,216.72,239.27,135.01,108.14,68.54,49.38,85.66,249.18
2021 H1 Adult Rank Testing,459.97,178.32,290.33,351.99,88.7,84.57,163.34,45.19,111.14,83.69
2021 H2 Adult Rank Testing,850.35,671.43,402.13,259.7,158.32,146.87,191.94,76.07,53.38,1037.63
2022 H1 Adult Rank Testing,453.73,420.73,308.33,232.13,168.93,124.51,179.55,31.08,67.06,379.53
2022 H2 Adult Rank Testing,598.51,197.01,215.9,395.19,194.52,76.25,151.29,59.89,79.3,54.98
2023 H1 Adult Rank Testing,377.2,63.1,479.15,256.07,130.9,97.95,98.08,16.38,80.91,239.16
2023 H2 Adult Rank Testing,590.74,769.44,263.6,195.07,87.55,141.56,118.22,51.03,117.84,912.51
2024 H1 Adult Rank Testing,463.4,998.38,309.5,319.13,187.62,96.74,172.98,18.65,73.72,902.44
2024 H2 Adult Rank Testing,352.7,755.29,120.92,257.12,139.99,146.17,102.63,74.24,123.91,384.85
2025 H1 Adult Rank Testing,725.06,1080.74,209.52,237.18,80.98,134.2,198.39,18.81,146.61,1199.15
2025 H2 Adult Rank Testing,581.88,329.77,343.56,253.79,200.21,61.51,192.38,20.26,84.0,443.06
2026 H1 Adult Rank Testing,819.85,910.14,390.69,151.18,89.49,144.63,110.9,73.98,95.43,1455.07
2026 H2 Adult Rank Testing,849.36,295.99,313.51,355.38,188.6,139.47,136.65,57.74,88.15,492.87
2021 Guest Instructor Visit - Sensei Nakamura,621.99,888.68,440.85,274.92,108.41,58.45,56.86,57.98,144.64,1250.26
2022 Guest Instructor Visit - Sensei Watanabe,746.89,921.57,188.59,221.67,188.82,69.51,113.07,57.84,63.46,1142.68
2023 AUSKF Regional Seminar Hosted,581.83,600.49,162.87,398.87,88.26,109.32,70.0,69.27,127.36,482.11
2024 USJF Judo Referee Clinic Hosted,777.98,540.9,348.61,205.72,168.22,86.43,190.86,19.8,90.31,906.15
2025 10 Year Anniversary Alumni Exhibition,892.47,853.49,276.31,218.54,172.39,104.42,120.65,26.28,98.67,1281.32
2026 Special Guest Kata Demonstration,823.2,325.06,314.11,178.46,141.85,66.7,191.2,56.71,104.53,722.92
2015 Fall Tournament,4056.57,12130.6,2364.32,1256.09,1945.69,461.6,521.14,223.37,350.04,13793.56
2015 Spring Tournament,1356.75,1247.45,608.81,384.7,283.16,161.7,334.34,32.74,209.82,1806.55
2015 Summer Kids Camp,1661.92,3445.98,844.25,553.57,280.19,165.79,357.78,85.24,191.14,4318.44
2016 Fall Tournament,4099.42,6757.01,1458.88,944.48,1938.96,451.47,708.19,576.02,590.27,7105.92
2016 Spring Tournament,1000.08,2229.74,836.98,409.87,271.07,206.86,216.78,162.28,108.11,2691.83
2016 Summer Kids Camp,1104.95,1548.57,1150.6,690.71,215.58,152.79,240.71,153.6,192.06,2158.67
2017 Fall Tournament,3550.28,7437.29,2341.98,1299.57,2330.88,679.13,636.94,526.02,360.71,7496.3
2017 Spring Tournament,2151.65,1845.06,827.63,751.37,455.87,283.22,317.85,149.12,183.3,2683.61
2017 Summer Kids Camp,1299.71,2750.44,920.78,480.79,408.34,205.04,344.1,143.17,166.71,3222.78
2018 Fall Tournament,3149.43,7162.19,2430.14,1232.06,2000.76,556.02,580.22,397.18,618.4,7357.12
2018 Spring Tournament,1183.72,2988.9,659.45,409.47,254.95,207.97,348.36,70.67,274.2,3266.45
2018 Summer Kids Camp,1668.21,2835.58,1219.23,671.07,398.53,310.8,306.38,58.45,245.42,3732.37
2019 Fall Tournament,3450.72,11668.63,1408.23,1279.48,2366.18,455.87,708.78,196.58,440.66,11080.03
2019 Spring Tournament,1143.88,3143.99,877.88,605.76,222.4,303.52,195.45,84.59,232.88,3521.15
2019 Summer Kids Camp,2008.15,2617.04,1086.23,393.11,231.7,214.89,248.97,130.29,156.49,4335.97
2016 Winter Seminar,2059.96,3389.67,1312.31,613.86,410.87,299.09,183.4,164.94,157.5,4932.28
2018 Winter Seminar,2009.25,2039.22,518.91,655.07,409.61,258.55,360.2,158.57,116.08,2609.3
2016 Guest Instructor Visit - Sensei Hayashi,705.3,986.27,109.39,139.94,156.46,103.32,176.07,66.95,95.79,1062.43
2017 Guest Instructor Visit - Sensei Kobayashi,310.49,1148.73,270.51,351.06,140.01,98.33,170.31,22.67,128.38,818.97
2018 Guest Instructor Visit - Sensei Takahashi,559.05,614.69,136.99,394.92,193.49,102.32,117.46,67.94,99.05,335.55
2019 AUSKF Northwest Regional Hosted,826.36,1110.55,280.72,369.11,111.05,72.8,189.95,66.71,110.46,1297.55
2020 COVID-Modified Belt Testing,709.8,522.77,482.63,271.45,122.99,97.73,65.87,42.34,64.69,1050.13
2021 Return-to-Practice Open House,502.64,743.09,404.39,248.14,134.57,50.69,186.0,79.05,37.99,913.68
2023 Portland Kendo Alliance Exhibition,358.7,550.08,360.74,246.96,112.8,95.29,189.03,62.38,112.97,450.09
2024 Cedar Ridge Founders Day - Sensei Tom Iverson 40 Years,691.02,884.97,309.51,187.76,110.7,113.19,134.03,76.76,72.7,1190.36
2025 Beaverton Community Youth Sports Fair Booth,538.37,269.02,112.53,317.77,114.44,130.91,53.61,16.23,73.95,213.01
2026 Pacific Northwest Kendo Federation Judge Clinic,545.59,139.54,323.45,166.05,92.56,42.35,186.74,53.94,142.84,324.1
2016 Founding Class Reunion Dinner Fundraiser,796.31,737.37,211.74,310.72,79.01,107.43,173.3,77.66,104.04,893.26
2017 Sensei Tom 65th Birthday Community Dojo Day,834.75,965.95,187.24,275.2,170.4,139.85,74.79,45.84,44.21,1237.65
2019 Willamette Kendo Club Exchange Match,375.26,625.18,196.12,192.17,200.02,125.3,158.55,23.65,149.05,347.82
2021 Reopening Summer Kendo Kata Showcase,425.4,244.73,388.94,138.87,120.46,71.86,67.08,54.04,139.42,467.34
2023 Portland Judo Alliance Interclub Practice Day,590.52,278.61,485.98,296.01,218.39,91.05,150.33,16.9,143.97,438.46
