number,repo,head_branch,base_branch,merged,mergeable,draft,review_state,additions,deletions,changed_files,checks_status
github_pulls_1041,repo_41,head_branch_41,base_branch_41,merged_41,mergeable_41,draft_41,active,additions_41,deletions_41,changed_files_41,active
github_pulls_1042,repo_42,head_branch_42,base_branch_42,merged_42,mergeable_42,draft_42,active,additions_42,deletions_42,changed_files_42,done
github_pulls_1043,repo_43,head_branch_43,base_branch_43,merged_43,mergeable_43,draft_43,closed,additions_43,deletions_43,changed_files_43,active
github_pulls_1044,repo_44,head_branch_44,base_branch_44,merged_44,mergeable_44,draft_44,closed,additions_44,deletions_44,changed_files_44,open
github_pulls_1045,repo_45,head_branch_45,base_branch_45,merged_45,mergeable_45,draft_45,open,additions_45,deletions_45,changed_files_45,done
github_pulls_1046,repo_46,head_branch_46,base_branch_46,merged_46,mergeable_46,draft_46,open,additions_46,deletions_46,changed_files_46,done
github_pulls_1047,repo_47,head_branch_47,base_branch_47,merged_47,mergeable_47,draft_47,active,additions_47,deletions_47,changed_files_47,closed
github_pulls_1048,repo_48,head_branch_48,base_branch_48,merged_48,mergeable_48,draft_48,done,additions_48,deletions_48,changed_files_48,done
github_pulls_1049,repo_49,head_branch_49,base_branch_49,merged_49,mergeable_49,draft_49,closed,additions_49,deletions_49,changed_files_49,open
github_pulls_1050,repo_50,head_branch_50,base_branch_50,merged_50,mergeable_50,draft_50,done,additions_50,deletions_50,changed_files_50,open
github_pulls_1051,repo_51,head_branch_51,base_branch_51,merged_51,mergeable_51,draft_51,done,additions_51,deletions_51,changed_files_51,open
github_pulls_1052,repo_52,head_branch_52,base_branch_52,merged_52,mergeable_52,draft_52,open,additions_52,deletions_52,changed_files_52,done
github_pulls_1053,repo_53,head_branch_53,base_branch_53,merged_53,mergeable_53,draft_53,done,additions_53,deletions_53,changed_files_53,closed
github_pulls_1054,repo_54,head_branch_54,base_branch_54,merged_54,mergeable_54,draft_54,open,additions_54,deletions_54,changed_files_54,open
github_pulls_1055,repo_55,head_branch_55,base_branch_55,merged_55,mergeable_55,draft_55,active,additions_55,deletions_55,changed_files_55,done
github_pulls_1056,repo_56,head_branch_56,base_branch_56,merged_56,mergeable_56,draft_56,active,additions_56,deletions_56,changed_files_56,open
github_pulls_1057,repo_57,head_branch_57,base_branch_57,merged_57,mergeable_57,draft_57,open,additions_57,deletions_57,changed_files_57,open
github_pulls_1058,repo_58,head_branch_58,base_branch_58,merged_58,mergeable_58,draft_58,open,additions_58,deletions_58,changed_files_58,open
github_pulls_1059,repo_59,head_branch_59,base_branch_59,merged_59,mergeable_59,draft_59,open,additions_59,deletions_59,changed_files_59,closed
github_pulls_1060,repo_60,head_branch_60,base_branch_60,merged_60,mergeable_60,draft_60,open,additions_60,deletions_60,changed_files_60,done
github_pulls_1061,repo_61,head_branch_61,base_branch_61,merged_61,mergeable_61,draft_61,active,additions_61,deletions_61,changed_files_61,closed
github_pulls_1062,repo_62,head_branch_62,base_branch_62,merged_62,mergeable_62,draft_62,open,additions_62,deletions_62,changed_files_62,open
github_pulls_1063,repo_63,head_branch_63,base_branch_63,merged_63,mergeable_63,draft_63,closed,additions_63,deletions_63,changed_files_63,done
github_pulls_1064,repo_64,head_branch_64,base_branch_64,merged_64,mergeable_64,draft_64,closed,additions_64,deletions_64,changed_files_64,open
github_pulls_1065,repo_65,head_branch_65,base_branch_65,merged_65,mergeable_65,draft_65,active,additions_65,deletions_65,changed_files_65,active
github_pulls_1066,repo_66,head_branch_66,base_branch_66,merged_66,mergeable_66,draft_66,closed,additions_66,deletions_66,changed_files_66,active
github_pulls_1067,repo_67,head_branch_67,base_branch_67,merged_67,mergeable_67,draft_67,active,additions_67,deletions_67,changed_files_67,done
github_pulls_1068,repo_68,head_branch_68,base_branch_68,merged_68,mergeable_68,draft_68,done,additions_68,deletions_68,changed_files_68,closed
github_pulls_1069,repo_69,head_branch_69,base_branch_69,merged_69,mergeable_69,draft_69,closed,additions_69,deletions_69,changed_files_69,open
github_pulls_1070,repo_70,head_branch_70,base_branch_70,merged_70,mergeable_70,draft_70,open,additions_70,deletions_70,changed_files_70,closed
github_pulls_1071,repo_71,head_branch_71,base_branch_71,merged_71,mergeable_71,draft_71,open,additions_71,deletions_71,changed_files_71,open
github_pulls_1072,repo_72,head_branch_72,base_branch_72,merged_72,mergeable_72,draft_72,open,additions_72,deletions_72,changed_files_72,active
github_pulls_1073,repo_73,head_branch_73,base_branch_73,merged_73,mergeable_73,draft_73,active,additions_73,deletions_73,changed_files_73,open
github_pulls_1074,repo_74,head_branch_74,base_branch_74,merged_74,mergeable_74,draft_74,closed,additions_74,deletions_74,changed_files_74,done
github_pulls_1075,repo_75,head_branch_75,base_branch_75,merged_75,mergeable_75,draft_75,active,additions_75,deletions_75,changed_files_75,active
github_pulls_1076,repo_76,head_branch_76,base_branch_76,merged_76,mergeable_76,draft_76,done,additions_76,deletions_76,changed_files_76,closed
github_pulls_1077,repo_77,head_branch_77,base_branch_77,merged_77,mergeable_77,draft_77,open,additions_77,deletions_77,changed_files_77,active
github_pulls_1078,repo_78,head_branch_78,base_branch_78,merged_78,mergeable_78,draft_78,open,additions_78,deletions_78,changed_files_78,open
github_pulls_1079,repo_79,head_branch_79,base_branch_79,merged_79,mergeable_79,draft_79,open,additions_79,deletions_79,changed_files_79,open
github_pulls_1080,repo_80,head_branch_80,base_branch_80,merged_80,mergeable_80,draft_80,open,additions_80,deletions_80,changed_files_80,open
github_pulls_1081,repo_81,head_branch_81,base_branch_81,merged_81,mergeable_81,draft_81,open,additions_81,deletions_81,changed_files_81,active
github_pulls_1082,repo_82,head_branch_82,base_branch_82,merged_82,mergeable_82,draft_82,done,additions_82,deletions_82,changed_files_82,closed
github_pulls_1083,repo_83,head_branch_83,base_branch_83,merged_83,mergeable_83,draft_83,open,additions_83,deletions_83,changed_files_83,open
github_pulls_1084,repo_84,head_branch_84,base_branch_84,merged_84,mergeable_84,draft_84,done,additions_84,deletions_84,changed_files_84,open
github_pulls_1085,repo_85,head_branch_85,base_branch_85,merged_85,mergeable_85,draft_85,active,additions_85,deletions_85,changed_files_85,done
github_pulls_1086,repo_86,head_branch_86,base_branch_86,merged_86,mergeable_86,draft_86,done,additions_86,deletions_86,changed_files_86,done
github_pulls_1087,repo_87,head_branch_87,base_branch_87,merged_87,mergeable_87,draft_87,open,additions_87,deletions_87,changed_files_87,open
github_pulls_1088,repo_88,head_branch_88,base_branch_88,merged_88,mergeable_88,draft_88,done,additions_88,deletions_88,changed_files_88,active
github_pulls_1089,repo_89,head_branch_89,base_branch_89,merged_89,mergeable_89,draft_89,open,additions_89,deletions_89,changed_files_89,closed
github_pulls_1090,repo_90,head_branch_90,base_branch_90,merged_90,mergeable_90,draft_90,active,additions_90,deletions_90,changed_files_90,active
github_pulls_1091,repo_91,head_branch_91,base_branch_91,merged_91,mergeable_91,draft_91,closed,additions_91,deletions_91,changed_files_91,done
github_pulls_1092,repo_92,head_branch_92,base_branch_92,merged_92,mergeable_92,draft_92,done,additions_92,deletions_92,changed_files_92,active
github_pulls_1093,repo_93,head_branch_93,base_branch_93,merged_93,mergeable_93,draft_93,done,additions_93,deletions_93,changed_files_93,done
github_pulls_1094,repo_94,head_branch_94,base_branch_94,merged_94,mergeable_94,draft_94,done,additions_94,deletions_94,changed_files_94,done
github_pulls_1095,repo_95,head_branch_95,base_branch_95,merged_95,mergeable_95,draft_95,closed,additions_95,deletions_95,changed_files_95,active
github_pulls_1096,repo_96,head_branch_96,base_branch_96,merged_96,mergeable_96,draft_96,done,additions_96,deletions_96,changed_files_96,done
github_pulls_1097,repo_97,head_branch_97,base_branch_97,merged_97,mergeable_97,draft_97,closed,additions_97,deletions_97,changed_files_97,open
github_pulls_1098,repo_98,head_branch_98,base_branch_98,merged_98,mergeable_98,draft_98,active,additions_98,deletions_98,changed_files_98,closed
github_pulls_1099,repo_99,head_branch_99,base_branch_99,merged_99,mergeable_99,draft_99,open,additions_99,deletions_99,changed_files_99,closed
