id,collection_id,name,slug,is_draft,is_archived,summary,created_on,last_updated
SR-0020,col_sermons,Peter and the Charcoal Fire,sr-0020,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-04-05 | tags:sermon;sunday,2026-04-11,2026-04-11
SR-0021,col_sermons,What the Vine Requires,sr-0021,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-04-12 | tags:sermon;sunday,2026-04-17,2026-04-17
SR-0022,col_sermons,Pentecost and the Rushing Wind,sr-0022,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-04-19 | tags:sermon;sunday,2026-04-24,2026-04-24
SR-0023,col_sermons,Trinity Sunday,sr-0023,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-04-26 | tags:sermon;sunday,2026-04-28,2026-04-28
SR-0024,col_sermons,On Grace and Grit,sr-0024,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-05-03 | tags:sermon;sunday,2026-05-06,2026-05-06
SR-0025,col_sermons,Fatherhood According to Joseph,sr-0025,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-05-10 | tags:sermon;sunday,2026-05-13,2026-05-13
SR-0026,col_sermons,Kingdom Small as a Seed,sr-0026,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-05-17 | tags:sermon;sunday,2026-05-19,2026-05-19
SR-0027,col_sermons,Independence and Repentance,sr-0027,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-05-31 | tags:sermon;sunday,2026-06-04,2026-06-04
SR-0028,col_sermons,Loaves and Fishes,sr-0028,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-06-07 | tags:sermon;sunday,2026-06-09,2026-06-09
SR-0029,col_sermons,The Bread of Life,sr-0029,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-06-14 | tags:sermon;sunday,2026-06-19,2026-06-19
SR-0030,col_sermons,What Kentucky Farmers Know,sr-0030,false,false,Guest Preacher Rev. Odell Cauthen | video:uploaded | service_date:2026-06-21 | tags:sermon;sunday,2026-06-25,2026-06-25
SR-0031,col_sermons,Midweek Prayer Summer Series One,sr-0031,true,false,Elder Bud Osteen | video:not_uploaded | service_date:2026-06-24 | tags:midweek;audio_only,2026-06-24,2026-06-24
SR-0032,col_sermons,The Word Made Flesh in Everyday Work,sr-0032,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-06-28 | tags:sermon;sunday,2026-06-30,2026-06-30
SR-0033,col_sermons,Back to School with the Beatitudes,sr-0033,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-07-05 | tags:sermon;sunday,2026-07-12,2026-07-12
SR-0034,col_sermons,A Cup of Cold Water,sr-0034,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-07-12 | tags:sermon;sunday,2026-07-17,2026-07-17
SR-0035,col_sermons,The Faithful Steward,sr-0035,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-07-19 | tags:sermon;sunday,2026-07-23,2026-07-23
SR-0036,col_sermons,Midweek Prayer Summer Series Two,sr-0036,true,false,Elder Bud Osteen | video:not_uploaded | service_date:2026-07-22 | tags:midweek;audio_only,2026-07-22,2026-07-22
SR-0037,col_sermons,Harvest and Gratitude,sr-0037,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-07-26 | tags:sermon;sunday,2026-07-30,2026-07-30
SR-0038,col_sermons,Autumn of the Soul,sr-0038,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-08-02 | tags:sermon;sunday,2026-08-07,2026-08-07
SR-0039,col_sermons,The Widow's Two Coins,sr-0039,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-08-09 | tags:sermon;sunday,2026-08-11,2026-08-11
SR-0040,col_sermons,Elijah on the Mountain,sr-0040,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-08-16 | tags:sermon;sunday,2026-08-20,2026-08-20
SR-0041,col_sermons,On Forgiving Seven Times Seventy,sr-0041,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-08-23 | tags:sermon;sunday,2026-08-28,2026-08-28
SR-0042,col_sermons,Ruth in a Foreign Field,sr-0042,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-08-30 | tags:sermon;sunday,2026-09-06,2026-09-06
SR-0043,col_sermons,What the Prophets Would Say Now,sr-0043,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-09-06 | tags:sermon;sunday,2026-09-12,2026-09-12
SR-0044,col_sermons,The Quiet Work of the Spirit,sr-0044,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-09-13 | tags:sermon;sunday,2026-09-16,2026-09-16
SR-0045,col_sermons,Midweek Prayer Fall Series One,sr-0045,true,false,Elder Bud Osteen | video:not_uploaded | service_date:2026-09-16 | tags:midweek;audio_only,2026-09-16,2026-09-16
SR-0046,col_sermons,A Farmer's Almanac and Providence,sr-0046,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-09-20 | tags:sermon;sunday,2026-09-25,2026-09-25
SR-0047,col_sermons,What Baptism Still Means,sr-0047,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-09-27 | tags:sermon;sunday,2026-09-30,2026-09-30
SR-0048,col_sermons,Autumn Communion,sr-0048,true,false,Pastor James Whitlow | video:uploaded | service_date:2026-10-04 | tags:sermon;sunday;pending_review,2026-10-04,2026-10-04
SR-0049,col_sermons,Preparing the Way,sr-0049,true,false,Pastor James Whitlow | video:uploaded | service_date:2026-10-11 | tags:sermon;sunday,2026-10-11,2026-10-11
SR-0050,col_sermons,Midweek Prayer Fall Series Two,sr-0050,true,false,Elder Bud Osteen | video:not_uploaded | service_date:2026-10-14 | tags:midweek;audio_only,2026-10-14,2026-10-14
SR-0051,col_sermons,Ambassadors of Reconciliation,sr-0051,true,false,Pastor James Whitlow | video:uploaded | service_date:2026-10-18 | tags:sermon;sunday,2026-10-18,2026-10-18
SR-0052,col_sermons,The Vine and the Branches Revisited,sr-0052,true,false,Pastor James Whitlow | video:uploaded | service_date:2026-10-25 | tags:sermon;sunday,2026-10-25,2026-10-25
ADV-2026-W1,col_advent,Advent 2026 — Week One: Hope,adv-2026-w1,true,false,Pastor James Whitlow | video:not_uploaded | service_date:2026-11-29 | tags:advent;devotional;2026,2026-11-29,2026-11-29
ADV-2026-W2,col_advent,Advent 2026 — Week Two: Peace,adv-2026-w2,true,false,Pastor James Whitlow | video:not_uploaded | service_date:2026-12-06 | tags:advent;devotional;2026,2026-12-06,2026-12-06
ADV-2026-W3,col_advent,Advent 2026 — Week Three: Joy,adv-2026-w3,true,false,Pastor James Whitlow | video:not_uploaded | service_date:2026-12-13 | tags:advent;devotional;2026,2026-12-13,2026-12-13
ADV-2026-W4,col_advent,Advent 2026 — Week Four: Love,adv-2026-w4,true,false,Pastor James Whitlow | video:not_uploaded | service_date:2026-12-20 | tags:advent;devotional;2026,2026-12-20,2026-12-20
PAGE-home,col_pages,Home,home,false,false,Pastor James Whitlow | tags:page,2026-10-13,2026-10-13
PAGE-visit,col_pages,Plan Your Visit,visit,false,false,Pastor James Whitlow | tags:page,2026-10-13,2026-10-13
PAGE-give,col_pages,Give,give,false,false,Pastor James Whitlow | tags:page,2026-10-13,2026-10-13
PAGE-about,col_pages,About Us,about,false,false,Pastor James Whitlow | tags:page,2026-10-13,2026-10-13
PAGE-sermons,col_pages,Sermon Archive,sermons,false,false,Pastor James Whitlow | tags:page,2026-10-13,2026-10-13
PAGE-outreach,col_pages,Outreach,outreach,false,false,Pastor James Whitlow | tags:page,2026-10-13,2026-10-13
PAGE-events,col_pages,Events,events,false,false,Pastor James Whitlow | tags:page,2026-10-13,2026-10-13
PAGE-live,col_pages,Watch Live,live,false,false,Pastor James Whitlow | tags:page,2026-10-13,2026-10-13
PAGE-prayer-request,col_pages,Prayer Requests,prayer-request,false,false,Pastor James Whitlow | tags:page,2026-10-13,2026-10-13
PAGE-search-results/error,col_pages,Search Results — Not Found,search-results/error,false,false,Pastor James Whitlow | tags:page,2026-04-05,2026-04-05
