"pair","base","currency","amount"
"AVAX-SGD","AVAX","SGD","5405.72"
"AVAX-HKD","AVAX","HKD","49547.9"
"AVAX-KRW","AVAX","KRW","19027.43"
"LINK-USD","LINK","USD","25858.66"
"LINK-EUR","LINK","EUR","12363.27"
"LINK-GBP","LINK","GBP","2412.41"
"LINK-JPY","LINK","JPY","33069.07"
"LINK-CAD","LINK","CAD","5149.05"
"LINK-AUD","LINK","AUD","68478.93"
"LINK-CHF","LINK","CHF","4408.76"
"LINK-SGD","LINK","SGD","35008.88"
"LINK-HKD","LINK","HKD","22582.61"
"LINK-KRW","LINK","KRW","27536.0"
"MATIC-USD","MATIC","USD","35009.01"
"MATIC-EUR","MATIC","EUR","50689.03"
"MATIC-GBP","MATIC","GBP","10451.76"
"MATIC-JPY","MATIC","JPY","58281.85"
"MATIC-CAD","MATIC","CAD","26601.38"
"MATIC-AUD","MATIC","AUD","50188.89"
"MATIC-CHF","MATIC","CHF","2536.52"
"MATIC-SGD","MATIC","SGD","19657.57"
"MATIC-HKD","MATIC","HKD","42473.03"
"MATIC-KRW","MATIC","KRW","29299.08"
"UNI-USD","UNI","USD","16039.81"
"UNI-EUR","UNI","EUR","68365.31"
"UNI-GBP","UNI","GBP","5455.77"
"UNI-JPY","UNI","JPY","51368.66"
"UNI-CAD","UNI","CAD","22415.37"
"UNI-AUD","UNI","AUD","44923.56"
"UNI-CHF","UNI","CHF","28088.82"
"UNI-SGD","UNI","SGD","22047.24"
"UNI-HKD","UNI","HKD","62458.36"
"UNI-KRW","UNI","KRW","55952.32"
"AAVE-USD","AAVE","USD","59028.26"
"AAVE-EUR","AAVE","EUR","58034.73"
"AAVE-GBP","AAVE","GBP","25352.95"
"AAVE-JPY","AAVE","JPY","357.12"
"AAVE-CAD","AAVE","CAD","43128.88"
"AAVE-AUD","AAVE","AUD","32322.38"
"AAVE-CHF","AAVE","CHF","12684.4"
"AAVE-SGD","AAVE","SGD","62667.65"
"AAVE-HKD","AAVE","HKD","34882.19"
"AAVE-KRW","AAVE","KRW","64291.53"
"LTC-USD","LTC","USD","46322.19"
"LTC-EUR","LTC","EUR","56627.39"
"LTC-GBP","LTC","GBP","48755.57"
"LTC-JPY","LTC","JPY","60892.78"
"LTC-CAD","LTC","CAD","37328.63"
"LTC-AUD","LTC","AUD","15650.23"
"LTC-CHF","LTC","CHF","31597.81"
"LTC-SGD","LTC","SGD","24773.42"
"LTC-HKD","LTC","HKD","26507.17"
"LTC-KRW","LTC","KRW","14158.96"
"ATOM-USD","ATOM","USD","9217.27"
"ATOM-EUR","ATOM","EUR","15768.16"
"ATOM-GBP","ATOM","GBP","41054.78"
"ATOM-JPY","ATOM","JPY","57934.97"
"ATOM-CAD","ATOM","CAD","23800.58"
"ATOM-AUD","ATOM","AUD","42821.89"
"ATOM-CHF","ATOM","CHF","56632.05"
"ATOM-SGD","ATOM","SGD","11237.96"
"ATOM-HKD","ATOM","HKD","44974.46"
"ATOM-KRW","ATOM","KRW","30449.11"
"FIL-USD","FIL","USD","65169.27"
"FIL-EUR","FIL","EUR","60408.11"
"FIL-GBP","FIL","GBP","31971.03"
"FIL-JPY","FIL","JPY","53432.87"
"FIL-CAD","FIL","CAD","49779.89"
"FIL-AUD","FIL","AUD","40933.59"
"FIL-CHF","FIL","CHF","53330.12"
"FIL-SGD","FIL","SGD","6341.8"
"FIL-HKD","FIL","HKD","7230.28"
"FIL-KRW","FIL","KRW","67447.97"
