Id,Name,Description,Type,UnitPrice,IncomeAccountRef_value,IncomeAccountRef_name,Active,Taxable
30,Advent Wreath,Advent wreath kit,Inventory,22.0,500,Weekly Tithe Income,true,true
31,Guadalupe Meal,Feast day meal,Service,12.0,500,Weekly Tithe Income,true,false
32,Bulletin Ad,Sunday bulletin ad,Service,25.0,500,Weekly Tithe Income,true,false
33,Newsletter Ad,Monthly newsletter ad,Service,50.0,500,Weekly Tithe Income,true,false
34,Concert Ticket,Music concert ticket,Service,15.0,510,Concert & Event Income,true,false
35,Vespers Service,Special evening service,Service,0.0,500,Weekly Tithe Income,true,false
36,Ash Wednesday,Ash Wednesday service,Service,0.0,500,Weekly Tithe Income,true,false
37,Pentecost Offering,Pentecost special,Service,0.0,500,Weekly Tithe Income,true,false
38,Thanksgiving Meal,Community meal,Service,50.0,500,Weekly Tithe Income,true,false
39,Widow Fellowship,Widow fellowship dues,Service,10.0,500,Weekly Tithe Income,true,false
40,Cemetery Care,Cerro Verde plot care,Service,75.0,129,Cemetery Care Fund,true,false
41,Baptism Class,4-week baptism prep,Service,40.0,500,Weekly Tithe Income,true,false
42,Confirmation Class,6-month confirmation,Service,60.0,500,Weekly Tithe Income,true,false
43,Marriage Prep,6-session marriage prep,Service,120.0,500,Weekly Tithe Income,true,false
44,Grief Support,Grief support group donation,Service,0.0,500,Weekly Tithe Income,true,false
45,Bible Study,Weekly Bible study,Service,0.0,500,Weekly Tithe Income,true,false
46,Children's Choir,Children's choir dues,Service,0.0,500,Weekly Tithe Income,true,false
47,Youth Group Dues,Monthly youth group,Service,15.0,500,Weekly Tithe Income,true,false
48,Sunday School,Sunday school supplies,Service,0.0,500,Weekly Tithe Income,true,false
49,Choir Music,Sheet music purchase,Service,0.0,500,Weekly Tithe Income,true,false
50,Organ Maintenance,Annual organ tuning,Service,0.0,500,Weekly Tithe Income,true,false
51,Piano Tuning,Piano tuning service,Service,0.0,500,Weekly Tithe Income,true,false
52,Choir Robe Cleaning,Annual robe cleaning,Service,0.0,500,Weekly Tithe Income,true,false
53,Bulletin Print,Sunday bulletin printing,Service,0.0,500,Weekly Tithe Income,true,false
54,Newsletter Print,Monthly newsletter print,Service,0.0,500,Weekly Tithe Income,true,false
55,Sunday Coffee,Sunday morning coffee,Service,0.0,500,Weekly Tithe Income,true,false
56,Fellowship Snacks,Weekly fellowship snacks,Service,0.0,500,Weekly Tithe Income,true,false
57,Guest Speaker,Guest preacher honorarium,Service,0.0,608,Guest Honoraria,true,false
58,Missionary Support,Monthly missionary support,Service,0.0,609,Missionary Support,true,false
59,Food Pantry Grocery,Weekly food pantry,Service,0.0,611,Food Pantry Expense,true,false
60,Youth Camp Fee,Summer camp registration,Service,250.0,610,Youth Ministry Expense,true,false
61,Youth Retreat,Weekend youth retreat,Service,65.0,610,Youth Ministry Expense,true,false
62,Choir Camp,Summer choir camp,Service,120.0,500,Weekly Tithe Income,true,false
63,Music Camp,Instrumental music camp,Service,150.0,500,Weekly Tithe Income,true,false
64,Bible Camp,Vacation Bible camp,Service,125.0,500,Weekly Tithe Income,true,false
65,Kids Craft Kit,Sunday school craft,Inventory,5.0,500,Weekly Tithe Income,true,true
66,Advent Candle,Advent candle set,Inventory,10.0,500,Weekly Tithe Income,true,true
67,Christmas Wreath,Christmas wreath,Inventory,25.0,500,Weekly Tithe Income,true,true
68,Palm Sunday Palms,Palm distribution,Inventory,0.0,500,Weekly Tithe Income,true,true
69,Easter Lily,Easter lily plants,Inventory,15.0,500,Weekly Tithe Income,true,true
70,Poinsettia,Christmas poinsettia,Inventory,18.0,500,Weekly Tithe Income,true,true
71,Communion Wine,Sacramental wine,Inventory,0.0,500,Weekly Tithe Income,true,true
72,Communion Bread,Sacramental bread,Inventory,0.0,500,Weekly Tithe Income,true,true
73,Baptismal Water,Baptismal water blessing,Service,0.0,500,Weekly Tithe Income,true,false
74,Chrism Oil,Chrism oil blessing,Service,0.0,500,Weekly Tithe Income,true,false
75,Rosary Kit,Rosary making kit,Inventory,12.0,500,Weekly Tithe Income,true,true
76,Devotional Book,Monthly devotional,Inventory,8.0,500,Weekly Tithe Income,true,true
77,Church Directory,Annual church directory,Inventory,5.0,500,Weekly Tithe Income,true,true
78,Prayer Card,Prayer card packet,Inventory,3.0,500,Weekly Tithe Income,true,true
79,Bookmark,Devotional bookmark,Inventory,1.0,500,Weekly Tithe Income,true,true
80,Cross Necklace,Church cross necklace,Inventory,15.0,500,Weekly Tithe Income,true,true
81,Prayer Beads,Prayer bead set,Inventory,18.0,500,Weekly Tithe Income,true,true
82,Church Mug,Church logo mug,Inventory,10.0,500,Weekly Tithe Income,true,true
83,Church T-Shirt,Church T-shirt,Inventory,15.0,500,Weekly Tithe Income,true,true
84,Vespers Booklet,Vespers service booklet,Inventory,2.0,500,Weekly Tithe Income,true,true
85,Lent Devotional,Lenten devotional,Inventory,8.0,500,Weekly Tithe Income,true,true
86,Advent Devotional,Advent devotional,Inventory,8.0,500,Weekly Tithe Income,true,true
87,Sunday School Book,Sunday school textbook,Inventory,12.0,500,Weekly Tithe Income,true,true
88,Confirmation Bible,Confirmation Bible,Inventory,25.0,500,Weekly Tithe Income,true,true
89,Baptism Certificate,Baptism certificate print,Service,5.0,500,Weekly Tithe Income,true,false
90,Marriage Certificate,Marriage certificate print,Service,5.0,500,Weekly Tithe Income,true,false
91,Funeral Certificate,Funeral certificate print,Service,5.0,500,Weekly Tithe Income,true,false
92,Sanctuary Candle,Sanctuary candle purchase,Inventory,20.0,500,Weekly Tithe Income,true,true
93,Altar Cloth,Altar cloth purchase,Inventory,45.0,500,Weekly Tithe Income,true,true
94,Church Banner,Special occasion banner,Inventory,65.0,500,Weekly Tithe Income,true,true
95,Nativity Set,Nativity set,Inventory,80.0,500,Weekly Tithe Income,true,true
96,Stations of the Cross,Stations of the cross set,Inventory,120.0,500,Weekly Tithe Income,true,true
97,Church Flag,Church flag,Inventory,45.0,500,Weekly Tithe Income,true,true
98,Sunday Fellowship,Sunday fellowship coffee,Service,0.0,500,Weekly Tithe Income,true,false
99,Wednesday Prayer,Wednesday prayer group,Service,0.0,500,Weekly Tithe Income,true,false
100,Friday Community Meal,Friday community meal,Service,5.0,500,Weekly Tithe Income,true,false
101,Homeless Ministry,Weekly homeless outreach,Service,0.0,611,Food Pantry Expense,true,false
102,Prison Ministry,Monthly prison visit,Service,0.0,500,Weekly Tithe Income,true,false
103,Hospital Visitation,Hospital visitation ministry,Service,0.0,500,Weekly Tithe Income,true,false
104,Nursing Home Ministry,Monthly nursing home,Service,0.0,500,Weekly Tithe Income,true,false
105,Home Communion,Home communion visits,Service,0.0,500,Weekly Tithe Income,true,false
106,Grief Class,Grief support 8-week class,Service,30.0,500,Weekly Tithe Income,true,false
