id,stone_id,kind,origin,weight_g,cost_total_usd,remaining_pieces,acquired_date
recSTN0039,STN-0039,Spiny oyster,Kee Wholesale (Santa Fe),33.23,257.87,4,2026-06-15
recSTN0040,STN-0040,Mediterranean coral,Mexico Turquoise Lot (Telegram),40.79,190.91,4,2024-12-23
recSTN0041,STN-0041,Royston turquoise,Kee Wholesale (Santa Fe),24.49,234.05,1,2025-01-07
recSTN0042,STN-0042,Cerrillos turquoise,Kee Wholesale (Santa Fe),35.12,190.74,2,2024-07-05
recSTN0043,STN-0043,Sleeping Beauty turquoise,Rio Grande Jewelry Supply,36.9,111.91,10,2025-05-31
recSTN0044,STN-0044,Spiny oyster,Kee Wholesale (Santa Fe),12.66,144.39,6,2024-07-16
recSTN0045,STN-0045,Mediterranean coral,Otteson Bros,4.92,361.51,11,2025-04-26
recSTN0046,STN-0046,Spiny oyster,Mexico Turquoise Lot (Telegram),34.97,379.06,7,2025-09-06
recSTN0047,STN-0047,Spiny oyster,Rio Grande Jewelry Supply,30.64,37.05,12,2025-05-14
recSTN0048,STN-0048,Mediterranean coral,Kee Wholesale (Santa Fe),30.62,315.08,2,2024-11-19
recSTN0049,STN-0049,Cerrillos turquoise,Otteson Bros,26.85,286.48,3,2025-10-20
recSTN0050,STN-0050,Wild Horse magnesite,Rio Grande Jewelry Supply,26.37,218.62,11,2024-11-18
recSTN0051,STN-0051,Sleeping Beauty turquoise,Otteson Bros,24.12,115.75,10,2025-10-07
recSTN0052,STN-0052,Kingman turquoise,Beadwrights,4.14,240.36,4,2026-06-18
recSTN0053,STN-0053,Bisbee turquoise,Rio Grande Jewelry Supply,13.37,182.68,1,2026-01-30
recSTN0054,STN-0054,Blue Gem turquoise,Otteson Bros,39.69,55.9,12,2024-08-02
recSTN0055,STN-0055,Cerrillos turquoise,Mexico Turquoise Lot (Telegram),19.35,222.13,4,2025-05-04
recSTN0056,STN-0056,Mediterranean coral,Mexico Turquoise Lot (Telegram),38.72,87.96,4,2026-06-14
recSTN0057,STN-0057,Cerrillos turquoise,Kee Wholesale (Santa Fe),43.22,302.3,2,2026-05-03
recSTN0058,STN-0058,Royston turquoise,Mexico Turquoise Lot (Telegram),8.42,112.6,10,2025-06-28
recSTN0059,STN-0059,Blue Gem turquoise,Otteson Bros,25.59,263.42,6,2024-10-14
recSTN0060,STN-0060,Cerrillos turquoise,Mexico Turquoise Lot (Telegram),11.97,82.92,4,2025-09-19
recSTN0061,STN-0061,Pilot Mountain turquoise,Mexico Turquoise Lot (Telegram),28.88,308.45,9,2026-04-04
recSTN0062,STN-0062,Sleeping Beauty turquoise,Kee Wholesale (Santa Fe),43.27,59.11,10,2025-04-15
recSTN0063,STN-0063,Kingman turquoise,Beadwrights,16.72,239.82,6,2024-07-24
recSTN0064,STN-0064,Sleeping Beauty turquoise,Beadwrights,30.91,285.65,4,2025-01-25
recSTN0065,STN-0065,Bisbee turquoise,Rio Grande Jewelry Supply,16.26,269.04,0,2025-09-11
recSTN0066,STN-0066,Wild Horse magnesite,Otteson Bros,43.43,92.32,2,2026-03-15
recSTN0067,STN-0067,Mediterranean coral,Mexico Turquoise Lot (Telegram),42.57,46.94,3,2025-02-21
recSTN0068,STN-0068,Mediterranean coral,Rio Grande Jewelry Supply,19.24,282.02,11,2025-07-07
recSTN0069,STN-0069,Pilot Mountain turquoise,Mexico Turquoise Lot (Telegram),20.24,335.03,7,2026-02-21
recSTN0070,STN-0070,Kingman turquoise,Beadwrights,23.9,261.44,11,2025-01-03
recSTN0071,STN-0071,Pilot Mountain turquoise,Kee Wholesale (Santa Fe),29.68,120.39,3,2026-01-27
recSTN0072,STN-0072,Kingman turquoise,Kee Wholesale (Santa Fe),26.73,123.08,9,2025-11-13
recSTN0073,STN-0073,Wild Horse magnesite,Beadwrights,29.99,234.34,11,2025-08-31
recSTN0074,STN-0074,Cerrillos turquoise,Otteson Bros,12.34,268.21,10,2025-01-19
recSTN0075,STN-0075,Cerrillos turquoise,Otteson Bros,27.05,93.03,11,2025-06-03
recSTN0076,STN-0076,Kingman turquoise,Kee Wholesale (Santa Fe),6.86,324.46,9,2025-03-28
recSTN0077,STN-0077,Wild Horse magnesite,Otteson Bros,36.8,77.73,4,2026-06-17
recSTN0078,STN-0078,Sleeping Beauty turquoise,Beadwrights,19.94,263.06,8,2025-01-03
recSTN0079,STN-0079,Blue Gem turquoise,Otteson Bros,8.64,159.69,8,2025-06-20
recSTN0080,STN-0080,Sleeping Beauty turquoise,Rio Grande Jewelry Supply,41.29,108.57,8,2025-11-20
recSTN0081,STN-0081,Cerrillos turquoise,Mexico Turquoise Lot (Telegram),42.05,179.81,7,2025-02-09
recSTN0082,STN-0082,Blue Gem turquoise,Kee Wholesale (Santa Fe),36.69,94.61,1,2025-01-31
recSTN0083,STN-0083,Pilot Mountain turquoise,Rio Grande Jewelry Supply,6.62,250.7,11,2024-12-26
recSTN0084,STN-0084,Wild Horse magnesite,Beadwrights,40.38,284.52,6,2025-08-16
recSTN0085,STN-0085,Pilot Mountain turquoise,Otteson Bros,9.55,174.9,3,2026-03-18
recSTN0086,STN-0086,Cerrillos turquoise,Beadwrights,15.84,330.01,12,2025-09-22
recSTN0087,STN-0087,Bisbee turquoise,Otteson Bros,21.37,109.25,9,2026-01-27
recSTN0088,STN-0088,Bisbee turquoise,Otteson Bros,26.48,52.21,4,2024-09-12
recSTN0089,STN-0089,Mediterranean coral,Mexico Turquoise Lot (Telegram),10.41,323.79,11,2024-12-28
recSTN0090,STN-0090,Pilot Mountain turquoise,Beadwrights,29.48,205.07,7,2024-11-03
