pair,altname,ask,bid,last,volume,high,low,open
XETHZUSD-e055,ETHUSD,3680.15,553680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e056,ETHUSD,3680.15,563680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e057,ETHUSD,3680.15,573680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e058,ETHUSD,3680.15,583680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e059,ETHUSD,3680.15,593680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e060,ETHUSD,3680.15,603680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e061,ETHUSD,3680.15,613680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e062,ETHUSD,3680.15,623680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e063,ETHUSD,3680.15,633680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e064,ETHUSD,3680.15,643680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e065,ETHUSD,3680.15,653680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e066,ETHUSD,3680.15,663680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e067,ETHUSD,3680.15,673680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e068,ETHUSD,3680.15,683680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e069,ETHUSD,3680.15,693680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e070,ETHUSD,3680.15,703680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e071,ETHUSD,3680.15,713680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e072,ETHUSD,3680.15,723680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e073,ETHUSD,3680.15,733680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e074,ETHUSD,3680.15,743680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e075,ETHUSD,3680.15,753680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e076,ETHUSD,3680.15,763680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e077,ETHUSD,3680.15,773680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e078,ETHUSD,3680.15,783680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e079,ETHUSD,3680.15,793680,3680.00,42150.20,3712.40,3611.90,3612.60
