date,category,subcategory,amount_usd,direction,source_surface,counterparty,memo,conflict_flag,trusted_source
2026-10-07,dining,call_room,-14.80,out,plaid_brightpath,cafeteria_stonebridge,q4_oct07_dinner,,plaid
2026-10-08,dining,post_call,-26.15,out,plaid_brightpath,doordash,,,plaid
2026-10-10,groceries,tj,-38.44,out,plaid_brightpath,trader_joes,,,plaid
2026-10-12,wedding,val_travel_flight,-278.00,out,plaid_brightpath,southwest,den_to_sat_wedding_weekend,,plaid
2026-10-13,utilities,split_jess,-40.50,out,paypal,jess_kowalski,oct_utilities_dana_half,,paypal
2026-10-14,personal,wellness_copay,0.00,out,plaid_brightpath,stonebridge_wellness,marchetti_session_program_covered,,plaid
2026-10-15,wedding,val_gift_final,-125.00,out,stripe,crate_and_barrel,ceremony_gift_engraved_frame,,stripe
2026-10-16,transport,uber_sat,-32.20,out,plaid_brightpath,uber,sat_airport_to_parents_house,,plaid
2026-10-17,wedding,val_day_of_expenses,-64.30,out,square,various_sat_vendors,day_of_incidentals,,square
2026-10-18,wedding,val_reception_day,-38.75,out,square,various_sat_vendors,reception_incidentals,,square
2026-10-18,income,salary,3247.63,in,plaid_brightpath,stonebridge_healthcare,semi_monthly_direct_deposit,,plaid
2026-10-19,transport,uber_sat,-29.90,out,plaid_brightpath,uber,parents_house_to_sat_airport,,plaid
2026-10-19,dining,post_wedding,-45.20,out,plaid_brightpath,doordash,,,plaid
2026-10-21,groceries,latin_market,-42.60,out,plaid_brightpath,aurora_latin_grocery,,,plaid
2026-10-22,personal,books,-28.00,out,plaid_brightpath,tattered_cover,cisneros_new_release,,plaid
2026-10-23,dining,jess_split,-24.75,out,plaid_brightpath,tacos_tequila_whiskey,friday_home_together,,plaid
2026-10-25,dining,post_call,-21.40,out,plaid_brightpath,doordash,q4_oct25_late_dinner,,plaid
2026-10-26,groceries,tj,-45.10,out,plaid_brightpath,trader_joes,,,plaid
2026-10-28,transport,uber_den,-40.15,out,plaid_brightpath,uber,,,plaid
2026-10-30,personal,coffee_ritual,-28.00,out,plaid_brightpath,rincon_coffee,cafe_de_olla_bulk,,plaid
2026-10-31,loan,first_payment_setup,0.00,out,plaid_brightpath,mohela_servicer,payment_scheduled_nov_15_no_debit_yet,,servicer_statement_nov_01
2026-11-01,housing,rent,-1350.00,out,plaid_brightpath,capitol_hill_landlord,nov_rent_dana_half,,plaid
2026-11-01,transport,rtd_pass,-90.00,out,plaid_brightpath,rtd_denver,nov_subsidized_transit,,plaid
2026-11-02,utilities,phone,-55.00,out,plaid_brightpath,att_mobility,nov_line,,plaid
2026-11-03,subscription,music,-11.99,out,plaid_brightpath,spotify_premium,nov_recurring,,plaid
2026-11-03,subscription,insurance,-18.00,out,plaid_brightpath,lemonade_renters,nov_recurring,,plaid
2026-11-01,income,salary,3247.63,in,plaid_brightpath,stonebridge_healthcare,semi_monthly_direct_deposit,,plaid
2026-11-04,care_package,mama_refund,-44.60,out,paypal,carmen_serrano,tamales_shipping_reimbursement,,paypal
2026-11-05,groceries,latin_market,-58.80,out,plaid_brightpath,aurora_latin_grocery,,,plaid
2026-11-06,dining,post_call,-25.90,out,plaid_brightpath,doordash,,,plaid
2026-11-07,transport,uber_den,-42.55,out,plaid_brightpath,uber,parents_visit_trip_prep,,plaid
2026-11-07,personal,books,-19.50,out,plaid_brightpath,tattered_cover,,,plaid
2026-11-09,groceries,tj,-40.15,out,plaid_brightpath,trader_joes,,,plaid
2026-11-11,utilities,split_jess,-42.00,out,paypal,jess_kowalski,nov_utilities_dana_half,,paypal
2026-11-13,dining,jess_split,-29.30,out,plaid_brightpath,el_taco_de_mexico,friday_home_together,,plaid
2026-11-14,personal,dental_cleaning,-95.00,out,plaid_brightpath,cherry_creek_dental,cleaning_and_xrays_after_insurance,,plaid
2026-11-15,loan,mohela_payment_1,-347.82,out,plaid_brightpath,mohela_servicer,first_scheduled_payment_repaye,,servicer_statement_nov_01
2026-11-15,income,salary,3247.63,in,plaid_brightpath,stonebridge_healthcare,semi_monthly_direct_deposit,,plaid
2026-11-17,groceries,latin_market,-71.20,out,plaid_brightpath,aurora_latin_grocery,,,plaid
2026-11-19,dining,post_call,-23.65,out,plaid_brightpath,doordash,,,plaid
2026-11-21,personal,val_visit_denver,-88.40,out,plaid_brightpath,various_denver,val_visit_shared_meals,,plaid
2026-11-23,transport,uber_den,-39.75,out,plaid_brightpath,uber,thanksgiving_trip_prep,,plaid
2026-11-24,groceries,tj,-52.10,out,plaid_brightpath,trader_joes,pre_thanksgiving_travel,,plaid
2026-11-25,dining,post_call,-24.40,out,plaid_brightpath,doordash,,,plaid
2026-11-26,transport,uber_sat,-31.55,out,plaid_brightpath,uber,sat_airport_to_parents_thanksgiving,,plaid
2026-11-27,personal,tia_lupe_gift,-45.00,out,plaid_brightpath,etsy,handmade_papel_picado_hostess,,plaid
2026-11-29,transport,uber_sat,-28.85,out,plaid_brightpath,uber,parents_house_to_sat_airport_return,,plaid
2026-11-30,dining,post_return,-22.10,out,plaid_brightpath,doordash,,,plaid
