id,name,generation,subject,html_content,active,updated_at
tpl_hdtcelhi,Template 4y4q,dynamic,Subject hsy6,<html>tm4npma7n0ms2gr7db14</html>,1,2025-02-01T17:21:00
tpl_t7qequvb,Template 5vcr,dynamic,Subject 85ro,<html>hqw1zbjexs8fr7w8cikv</html>,1,2026-08-28T18:06:00
tpl_q7py899y,Template x6rx,dynamic,Subject moqr,<html>npw6w9onn0pz2rzydxtf</html>,1,2025-01-25T05:08:00
tpl_4p975196,Template klqp,dynamic,Subject rmt5,<html>283vcghg9z301og1flyj</html>,1,2025-12-06T12:41:00
tpl_7p19mdu6,Template gj78,dynamic,Subject vhn0,<html>vlkrhxeh3b0lyjcrfemi</html>,1,2026-05-19T12:14:00
tpl_occr6yw1,Template lg3j,dynamic,Subject e2zc,<html>0qvsl3cgao3c829vc0jb</html>,1,2026-05-02T22:50:00
tpl_hrfal8ac,Template jhgx,dynamic,Subject iwf9,<html>c06afuypygesi6nm0nsa</html>,1,2026-03-22T12:25:00
tpl_qox6gpp4,Template m0lw,dynamic,Subject azq1,<html>jel8zy43ort2ascik87b</html>,1,2026-04-30T06:53:00
tpl_29llm7ad,Template i5r1,dynamic,Subject zi5h,<html>1e1q3nb6a9bmuwhjlhgf</html>,1,2026-02-19T21:04:00
tpl_1kikwof8,Template 2eoq,dynamic,Subject dkob,<html>b9isn2rvh0k09eriqxbb</html>,1,2025-06-14T19:20:00
tpl_a2g0q3wa,Template omlo,dynamic,Subject bo51,<html>gq4ish509usyfgk9kfme</html>,1,2026-04-05T09:09:00
tpl_id1m0mu7,Template tyeh,dynamic,Subject uqtj,<html>6gntfs8nd0w195tacnwk</html>,1,2026-04-04T15:09:00
tpl_vgr15xnd,Template 65n4,dynamic,Subject 8lrh,<html>15grcedwdgk496j95e6i</html>,1,2025-09-30T02:41:00
tpl_zc6ez3kl,Template 4pu9,dynamic,Subject xo6u,<html>fntwsoyin4pw0l4ck9pz</html>,1,2026-07-21T14:11:00
tpl_rfgse5oa,Template 7j3y,dynamic,Subject z633,<html>65k07qytwbe34tlw08jt</html>,1,2025-07-26T19:16:00
tpl_01bq26oq,Template cjpr,dynamic,Subject 3vmj,<html>yumd4hsj55y0bfzdwfhp</html>,1,2025-08-08T02:04:00
tpl_nn4h6g0l,Template 8459,dynamic,Subject kyao,<html>040nhrpl4m0auuk9xjai</html>,1,2026-09-25T14:21:00
tpl_wayal53b,Template zbh5,dynamic,Subject uz7i,<html>bu63i7nksbdbk5xskyri</html>,1,2026-04-12T19:51:00
tpl_0p1iu2ru,Template udhr,dynamic,Subject ts7p,<html>dvo27ea5gcrx7u9f0ig5</html>,1,2026-02-22T04:32:00
