name,language,category,status,body_text,header_text
tpl_vyc4,en_US,UTILITY,APPROVED,body 3ckvt0or5go4o3uqlhfj,
tpl_bxj6,en_US,MARKETING,APPROVED,body i0yad17qe8lplwcy0n2m,
tpl_41t1,en_US,MARKETING,APPROVED,body jt3o41luh6f4gvcqtmsp,
tpl_ulyp,en_US,MARKETING,APPROVED,body bz05pmmuqxwj9ei1o7uv,
tpl_b5ql,en_US,MARKETING,APPROVED,body lk2q5dp4ty4tld9biefq,
tpl_w2wi,en_US,MARKETING,APPROVED,body xsatm8y29eseiiepiieh,
tpl_wpne,en_US,UTILITY,APPROVED,body ck6at4b2e1p4p4mjzbxc,
tpl_ki9i,en_US,MARKETING,APPROVED,body zcn4njq78u3numko5jzm,
tpl_vab9,en_US,UTILITY,APPROVED,body 9sydi8xfjqtmtnv4z0wy,
tpl_ma42,en_US,UTILITY,APPROVED,body s6j49zr3azxn9q0h2a9g,
tpl_xhuw,en_US,UTILITY,APPROVED,body dl5g4vmss0pg2nif8drn,
tpl_rs9i,en_US,UTILITY,APPROVED,body 76ptgsr533p8xst4ghsj,
tpl_pvnd,en_US,UTILITY,APPROVED,body uy8j98zey6m52l6lbatk,
tpl_2508,en_US,UTILITY,APPROVED,body wduzsazmdwk3ko5kks2t,
tpl_82m7,en_US,UTILITY,APPROVED,body j7a3agk3jp184lgrz9rj,
tpl_9fpv,en_US,MARKETING,APPROVED,body f1szi3bl8royo0s3yemg,
tpl_tyhs,en_US,MARKETING,APPROVED,body nrfzklcq3ll2vgmi6xra,
tpl_ps5w,en_US,MARKETING,APPROVED,body jybljd62egkr3r5fc08p,
tpl_ryzw,en_US,UTILITY,APPROVED,body dzubxr3ztf3blrikdkpb,
tpl_cwqt,en_US,UTILITY,APPROVED,body x9qr78mj242gb53lrwfx,
tpl_37yw,en_US,MARKETING,APPROVED,body fgg33h0at1bgio6gfmuu,
tpl_eeb3,en_US,UTILITY,APPROVED,body m43t1k186c2oo0xnd8mh,
tpl_rgqo,en_US,MARKETING,APPROVED,body aag2hfvufvagxqqqtdf5,
tpl_5m2l,en_US,MARKETING,APPROVED,body 8gwo1si9rl7lg7fdllut,
tpl_mqgp,en_US,UTILITY,APPROVED,body rxke8d7r0pa7qgt45huj,
tpl_1meu,en_US,MARKETING,APPROVED,body r4fxi8rfiv1ner6x6m5m,
tpl_abl7,en_US,MARKETING,APPROVED,body qc5uo77thf32sopnad1a,
tpl_6z0g,en_US,MARKETING,APPROVED,body pto06su010rh15ul21s6,
tpl_via7,en_US,UTILITY,APPROVED,body p894mapedmhksn97a806,
tpl_wx5b,en_US,MARKETING,APPROVED,body jlzsgzlt9j5jukgbg75e,
tpl_x8p6,en_US,MARKETING,APPROVED,body so5sgd75xsa03s0zij1c,
tpl_5c8v,en_US,UTILITY,APPROVED,body h50v1kjkuijuywzpuzmt,
tpl_1pqe,en_US,MARKETING,APPROVED,body x9q6vjdvnlh2ftx25m6s,
tpl_f50v,en_US,MARKETING,APPROVED,body sds2bgvmf66vq437vrc5,
tpl_3fdk,en_US,MARKETING,APPROVED,body lmtnto32oyzc5jyh3h5n,
tpl_4i01,en_US,MARKETING,APPROVED,body 8jtjl53mddlmq8ot8yzf,
tpl_sk8f,en_US,UTILITY,APPROVED,body xlxdee5z7lxsv37kkutr,
tpl_qc87,en_US,UTILITY,APPROVED,body vmexdkt9bfuh8dlg3110,
tpl_0jx2,en_US,MARKETING,APPROVED,body sitxp7syyew6rdzt7v96,
tpl_axj4,en_US,MARKETING,APPROVED,body pla5evvlqh1uxz4rcsyc,
tpl_f5wa,en_US,UTILITY,APPROVED,body xbp83a7l4fyp3pfc2905,
tpl_jre6,en_US,MARKETING,APPROVED,body j7ggsts28orvtt9lju7v,
tpl_30xn,en_US,UTILITY,APPROVED,body 50ybac8i5rl4cqplr1ef,
tpl_4b39,en_US,MARKETING,APPROVED,body 1tb3efm8ggv23gfmlgz0,
tpl_9rcn,en_US,MARKETING,APPROVED,body 77nbh6ytq3a7pp4n42ze,
tpl_i1no,en_US,UTILITY,APPROVED,body 0vdtzkoozf6u26hpa30d,
tpl_a35i,en_US,UTILITY,APPROVED,body 21glqqoykhha1arrx1uq,
tpl_ika4,en_US,UTILITY,APPROVED,body 773tjindu99lm73gjg26,
tpl_r6oq,en_US,UTILITY,APPROVED,body wz1m1r3a87a3cbr4xbt3,
tpl_dij7,en_US,UTILITY,APPROVED,body i1kq5j42fg1dtqoxtjhy,
tpl_jtvu,en_US,UTILITY,APPROVED,body 6o3h0w5a4or9il1r6bsz,
tpl_mtvt,en_US,UTILITY,APPROVED,body eaclqdqwtdmhj8whyumb,
tpl_t96y,en_US,MARKETING,APPROVED,body y3smu1r358f3r4unc4kh,
tpl_4reh,en_US,UTILITY,APPROVED,body l8hpqxkuy9ik6a965f8p,
tpl_vm4m,en_US,UTILITY,APPROVED,body u35xtbwp6ihzzbm8gdy8,
tpl_qj0m,en_US,UTILITY,APPROVED,body fw5kxrboqfg3dp6hoa6m,
tpl_7m2s,en_US,UTILITY,APPROVED,body fu2tylgqom77k0prt6n4,
tpl_rucl,en_US,MARKETING,APPROVED,body w84imqqzepu5jw76sqr3,
tpl_coyb,en_US,UTILITY,APPROVED,body riv5nzp25u4yokqayw3h,
tpl_poke,en_US,UTILITY,APPROVED,body h4n7at5blx05tdy2mcni,
tpl_vk0x,en_US,MARKETING,APPROVED,body rnc2b2vs1r84da98tdye,
tpl_p6jx,en_US,UTILITY,APPROVED,body ncfiailqawbsa5bllomf,
tpl_96jo,en_US,MARKETING,APPROVED,body 54ucyp1i63n9b8y51iw9,
tpl_qp4b,en_US,MARKETING,APPROVED,body t1lhpn2gd5dxqt46lk9n,
