tracking_number,status_code,status_description,carrier_code,service_name,ship_date,estimated_delivery,latest_event,latest_event_location,latest_event_time
FDX60000059,DL,Delivered,FDXG,FedEx Ground,2026-04-11,2026-08-26,Delivered,"Tulsa, OK",2026-05-21T14:50:00Z
FDX60000060,DL,Delivered,FDXG,FedEx Ground,2026-02-25,2026-02-22,Delivered,"Sand Springs, OK",2026-04-20T06:51:00Z
FDX60000061,DL,Delivered,FDXG,FedEx Ground,2026-07-13,2026-06-21,Delivered,"Sand Springs, OK",2026-07-10T14:29:00Z
FDX60000062,DL,Delivered,FDXG,FedEx Ground,2026-04-15,2026-03-12,Delivered,"Sand Springs, OK",2026-04-06T20:21:00Z
FDX60000063,DL,Delivered,FDXG,FedEx Ground,2026-08-26,2026-03-12,Delivered,"Jenks, OK",2026-01-05T05:01:00Z
FDX60000064,DL,Delivered,FDXG,FedEx Ground,2026-02-18,2026-03-18,Delivered,"Stillwater, OK",2026-01-18T22:07:00Z
FDX60000065,DL,Delivered,FDXG,FedEx Ground,2026-08-13,2026-02-03,Delivered,"Norman, OK",2026-03-08T09:43:00Z
FDX60000066,DL,Delivered,FDXG,FedEx Ground,2026-09-07,2026-06-04,Delivered,"Norman, OK",2026-05-10T10:27:00Z
FDX60000067,DL,Delivered,FDXG,FedEx Ground,2026-03-05,2026-09-24,Delivered,"Tulsa, OK",2026-04-04T03:03:00Z
FDX60000068,DL,Delivered,FDXG,FedEx Ground,2026-03-08,2026-06-04,Delivered,"Edmond, OK",2026-06-05T14:21:00Z
FDX60000069,DL,Delivered,FDXG,FedEx Ground,2026-08-13,2026-06-26,Delivered,"Jenks, OK",2026-08-03T10:29:00Z
FDX60000070,DL,Delivered,FDXG,FedEx Ground,2026-02-23,2026-02-21,Delivered,"Broken Arrow, OK",2026-05-24T05:50:00Z
FDX60000071,DL,Delivered,FDXG,FedEx Ground,2026-05-19,2026-01-22,Delivered,"Norman, OK",2026-01-10T23:05:00Z
FDX60000072,DL,Delivered,FDXG,FedEx Ground,2026-07-18,2026-02-11,Delivered,"Owasso, OK",2026-01-19T21:12:00Z
FDX60000073,DL,Delivered,FDXG,FedEx Ground,2026-01-22,2026-02-23,Delivered,"Sand Springs, OK",2026-06-07T10:17:00Z
FDX60000074,DL,Delivered,FDXG,FedEx Ground,2026-09-06,2026-05-10,Delivered,"Edmond, OK",2026-08-06T09:42:00Z
FDX60000075,DL,Delivered,FDXG,FedEx Ground,2026-08-28,2026-04-25,Delivered,"Broken Arrow, OK",2026-09-27T18:43:00Z
FDX60000076,DL,Delivered,FDXG,FedEx Ground,2026-08-21,2026-01-12,Delivered,"Edmond, OK",2026-07-24T23:03:00Z
FDX60000077,DL,Delivered,FDXG,FedEx Ground,2026-05-01,2026-03-17,Delivered,"Sand Springs, OK",2026-05-10T01:46:00Z
FDX60000078,DL,Delivered,FDXG,FedEx Ground,2026-08-26,2026-03-26,Delivered,"Bixby, OK",2026-01-11T00:32:00Z
FDX60000079,DL,Delivered,FDXG,FedEx Ground,2026-06-24,2026-01-17,Delivered,"Stillwater, OK",2026-04-03T02:16:00Z
FDX60000080,DL,Delivered,FDXG,FedEx Ground,2026-02-13,2026-04-09,Delivered,"Broken Arrow, OK",2026-07-16T05:14:00Z
FDX60000081,DL,Delivered,FDXG,FedEx Ground,2026-09-03,2026-07-06,Delivered,"Bixby, OK",2026-02-16T23:56:00Z
FDX60000082,DL,Delivered,FDXG,FedEx Ground,2026-02-28,2026-03-01,Delivered,"Owasso, OK",2026-08-02T03:01:00Z
FDX60000083,DL,Delivered,FDXG,FedEx Ground,2026-06-01,2026-09-14,Delivered,"Muskogee, OK",2026-09-01T13:52:00Z
FDX60000084,DL,Delivered,FDXG,FedEx Ground,2026-09-28,2026-08-10,Delivered,"Jenks, OK",2026-07-19T11:11:00Z
FDX60000085,DL,Delivered,FDXG,FedEx Ground,2026-02-01,2026-02-18,Delivered,"Edmond, OK",2026-02-05T02:48:00Z
FDX60000086,DL,Delivered,FDXG,FedEx Ground,2026-07-06,2026-08-08,Delivered,"Jenks, OK",2026-06-19T08:59:00Z
FDX60000087,DL,Delivered,FDXG,FedEx Ground,2026-02-05,2026-08-02,Delivered,"Bixby, OK",2026-05-22T09:05:00Z
FDX60000088,DL,Delivered,FDXG,FedEx Ground,2026-07-01,2026-01-12,Delivered,"Owasso, OK",2026-02-14T20:29:00Z
FDX60000089,DL,Delivered,FDXG,FedEx Ground,2026-08-09,2026-04-18,Delivered,"Norman, OK",2026-05-02T20:58:00Z
FDX60000090,DL,Delivered,FDXG,FedEx Ground,2026-08-19,2026-03-03,Delivered,"Norman, OK",2026-07-23T09:55:00Z
FDX60000091,DL,Delivered,FDXG,FedEx Ground,2026-03-27,2026-06-12,Delivered,"Bixby, OK",2026-08-09T12:42:00Z
FDX60000092,DL,Delivered,FDXG,FedEx Ground,2026-03-28,2026-09-23,Delivered,"Norman, OK",2026-05-11T03:36:00Z
FDX60000093,DL,Delivered,FDXG,FedEx Ground,2026-06-26,2026-09-10,Delivered,"Tulsa, OK",2026-06-21T12:09:00Z
FDX60000094,DL,Delivered,FDXG,FedEx Ground,2026-09-13,2026-08-25,Delivered,"Jenks, OK",2026-08-25T08:05:00Z
FDX60000095,DL,Delivered,FDXG,FedEx Ground,2026-06-03,2026-07-21,Delivered,"Edmond, OK",2026-07-13T04:28:00Z
FDX60000096,DL,Delivered,FDXG,FedEx Ground,2026-02-21,2026-09-19,Delivered,"Owasso, OK",2026-01-27T13:57:00Z
FDX60000097,DL,Delivered,FDXG,FedEx Ground,2026-04-09,2026-08-12,Delivered,"Edmond, OK",2026-02-08T20:10:00Z
FDX60000098,DL,Delivered,FDXG,FedEx Ground,2026-06-23,2026-05-01,Delivered,"Bixby, OK",2026-01-06T10:29:00Z
FDX60000099,DL,Delivered,FDXG,FedEx Ground,2026-03-08,2026-04-03,Delivered,"Tulsa, OK",2026-02-08T19:45:00Z
FDX60000100,DL,Delivered,FDXG,FedEx Ground,2026-04-03,2026-02-14,Delivered,"Muskogee, OK",2026-01-18T00:40:00Z
FDX60000101,DL,Delivered,FDXG,FedEx Ground,2026-08-17,2026-05-07,Delivered,"Jenks, OK",2026-02-27T18:40:00Z
FDX60000102,DL,Delivered,FDXG,FedEx Ground,2026-01-18,2026-03-14,Delivered,"Jenks, OK",2026-01-18T17:01:00Z
FDX60000103,DL,Delivered,FDXG,FedEx Ground,2026-02-20,2026-08-06,Delivered,"Broken Arrow, OK",2026-01-05T17:00:00Z
FDX60000104,DL,Delivered,FDXG,FedEx Ground,2026-06-25,2026-01-03,Delivered,"Jenks, OK",2026-05-10T13:53:00Z
FDX60000105,DL,Delivered,FDXG,FedEx Ground,2026-07-02,2026-07-22,Delivered,"Owasso, OK",2026-03-10T21:29:00Z
FDX60000106,DL,Delivered,FDXG,FedEx Ground,2026-02-21,2026-01-08,Delivered,"Sand Springs, OK",2026-03-13T16:43:00Z
FDX60000107,DL,Delivered,FDXG,FedEx Ground,2026-01-27,2026-03-03,Delivered,"Bixby, OK",2026-06-16T20:27:00Z
