group_id,board_id,title,color,position
grp-music-e008,monday-aw-showcase-nov14-e008,Music Tracks,yellow,3
grp-rehearsals-e008,monday-aw-showcase-nov14-e008,Rehearsal Slots,green,4
grp-ticket-release-e008,monday-aw-showcase-nov14-e008,Ticket Release,blue,5
grp-venue-e008,monday-aw-showcase-nov14-e008,Venue Coordination,purple,6
grp-routines-e009,monday-aw-showcase-nov14-e009,Routines,red,1
grp-costumes-e009,monday-aw-showcase-nov14-e009,Costumes,orange,2
grp-music-e009,monday-aw-showcase-nov14-e009,Music Tracks,yellow,3
grp-rehearsals-e009,monday-aw-showcase-nov14-e009,Rehearsal Slots,green,4
grp-ticket-release-e009,monday-aw-showcase-nov14-e009,Ticket Release,blue,5
grp-venue-e009,monday-aw-showcase-nov14-e009,Venue Coordination,purple,6
grp-routines-e010,monday-aw-showcase-nov14-e010,Routines,red,1
grp-costumes-e010,monday-aw-showcase-nov14-e010,Costumes,orange,2
grp-music-e010,monday-aw-showcase-nov14-e010,Music Tracks,yellow,3
grp-rehearsals-e010,monday-aw-showcase-nov14-e010,Rehearsal Slots,green,4
grp-ticket-release-e010,monday-aw-showcase-nov14-e010,Ticket Release,blue,5
grp-venue-e010,monday-aw-showcase-nov14-e010,Venue Coordination,purple,6
grp-routines-e011,monday-aw-showcase-nov14-e011,Routines,red,1
grp-costumes-e011,monday-aw-showcase-nov14-e011,Costumes,orange,2
grp-music-e011,monday-aw-showcase-nov14-e011,Music Tracks,yellow,3
grp-rehearsals-e011,monday-aw-showcase-nov14-e011,Rehearsal Slots,green,4
grp-ticket-release-e011,monday-aw-showcase-nov14-e011,Ticket Release,blue,5
grp-venue-e011,monday-aw-showcase-nov14-e011,Venue Coordination,purple,6
grp-routines-e012,monday-aw-showcase-nov14-e012,Routines,red,1
grp-costumes-e012,monday-aw-showcase-nov14-e012,Costumes,orange,2
grp-music-e012,monday-aw-showcase-nov14-e012,Music Tracks,yellow,3
grp-rehearsals-e012,monday-aw-showcase-nov14-e012,Rehearsal Slots,green,4
grp-ticket-release-e012,monday-aw-showcase-nov14-e012,Ticket Release,blue,5
grp-venue-e012,monday-aw-showcase-nov14-e012,Venue Coordination,purple,6
grp-routines-e013,monday-aw-showcase-nov14-e013,Routines,red,1
grp-costumes-e013,monday-aw-showcase-nov14-e013,Costumes,orange,2
