Date	Host	Location	Cuisine	Main_Dish	Side_Dish	Notes
2023-12-07	Sasha	Sasha's apartment	Burmese	Mohinga (fish noodle soup)	Fried shallots on top	Sasha sourced lemongrass and fish paste from an Asian market in Missoula
2023-12-21	Frank	Frank's apartment	Austrian	Wiener Schnitzel	Red cabbage braised with apple	Frank's paternal grandmother's recipe passed through Carter; used veal
2024-01-04	Sasha	Sasha's apartment	Korean	Doenjang jjigae (fermented soybean stew)	Japchae	Slow warming meal for January; fermented paste from Asian market
2024-01-18	Frank	Frank's apartment	Lebanese	Slow-roasted lamb shoulder with spices	Roasted cauliflower; flatbread	Hetty McKinnon adjacent; different book but same style
2024-02-01	Sasha	Sasha's apartment	Sichuan	Mapo tofu	Rice; blanched bok choy	Sasha went heavy on the doubanjiang; correct decision
2024-02-15	Frank	Frank's apartment	Mediterranean	Salt-baked whole fish	Braised white beans with rosemary	First time salt-baking; fish was perfectly moist; will do again
2024-02-29	Sasha	Sasha's apartment	Venezuelan	Pabellon criollo	Sweet plantains	Sasha's college roommate taught her this; very comforting
2024-03-14	Frank	Frank's apartment	Japanese	Chawanmushi (savory egg custard)	Miso soup; pickled vegetables	Technique-focused meal; custard required careful temperature control
2024-03-28	Sasha	Sasha's apartment	Tunisian	Brik (egg pastry)	Mechouia salad	First time frying brik; second attempt was perfect
2024-04-11	Frank	Frank's apartment	Italian	Ribollita (Tuscan bread soup)	Bitter greens with olive oil	A cold April night; this was exactly right
2024-04-25	Sasha	Sasha's apartment	Thai	Khao soi (northern Thai curry noodles)	Pickled mustard greens; shallots	Made the curry paste from scratch; Sasha's best result yet
2024-05-09	Frank	Frank's apartment	Taiwanese	Oyster vermicelli (Oa-a-mi-suann)	Braised pork belly on rice	Third Hetty McKinnon recipe this year; always reliable
2024-05-23	Sasha	Sasha's apartment	Mexican	Chiles en nogada	Pomegranate; parsley	Seasonal; visually striking; Sasha made the walnut cream from scratch
2024-06-06	Frank	Frank's apartment	Greek	Slow-roasted lamb with oregano	Orzo with feta	Summer version; lighter than the winter tagine style
2024-06-20	Sasha	Sasha's apartment	Japanese	Okonomiyaki (savory pancake)	Pickled ginger; bonito if available	Casual and satisfying; good for a hot evening
2024-07-04	Frank	Frank's apartment	American	Smash burgers on cast iron	Potato salad	Fourth of July; simple and correct
2024-07-18	Sasha	Sasha's apartment	Persian	Joojeh kabab (saffron chicken)	Shirazi salad; lavash	Sasha marinated the chicken 24 hours; the color was extraordinary
2024-08-01	Frank	Frank's apartment	Italian	Pasta al pomodoro with end-of-summer tomatoes	Caprese salad	August tomatoes only; this cannot be made other months
2024-08-15	Sasha	Sasha's apartment	Chinese	Braised pork belly (Hong Shao Rou)	Steamed buns	Three-hour braise; Sasha nailed the caramel at the start
2024-08-29	Frank	Frank's apartment	Mexican	Green chile chicken enchiladas	Pinto beans; rice	Roasted the Hatch chiles fresh from the co-op
2024-09-12	Sasha	Sasha's apartment	Japanese	Yakitori (grilled skewers)	Edamame; grilled onigiri	Used Sasha's tabletop grill; excellent late-summer meal
2024-09-26	Frank	Frank's apartment	Moroccan	Chicken bastilla (pastry)	Harissa carrots	Sweet and savory filling; phyllo challenge again; worth it
2024-10-10	Sasha	Sasha's apartment	Indian	Rogan josh (Kashmiri lamb)	Dal makhani	Sasha ordered the whole spices online; deeply fragrant
2024-10-24	Frank	Frank's apartment	Korean	Galbi jjim (braised short ribs)	Banchan spread (kimchi, spinach, radish)	Frank made four banchan; most ambitious prep yet
2024-11-07	Sasha	Sasha's apartment	French	Cassoulet	Crusty sourdough	Started the beans the night before; slow afternoon cook; very good
2024-11-21	Frank	Frank's apartment	American	Pre-Thanksgiving dry run: roasted pork tenderloin	Sweet potato gratin	Testing new sweet potato preparation; will use for the real meal
2024-12-05	Sasha	Sasha's apartment	Italian	Bollito misto (boiled meats)	Salsa verde; mostarda	Old-school winter meal; unusual for two Americans; Sasha found the idea in a food memoir
2024-12-19	Frank	Frank's apartment	Austrian	Braised red cabbage with duck	Potato dumplings	Winter meal; Carter's family recipe adapted by Frank; very satisfying
2025-01-02	Sasha	Sasha's apartment	Japanese	Osechi-style new year dishes	Mochi soup	New year tradition attempt; not all authentic but all good
2025-01-16	Frank	Frank's apartment	Taiwanese	Braised pork rice (Lu rou fan)	Soft-boiled eggs; blanched greens	Hetty McKinnon recipe; comfort food in January; perfect
2025-01-30	Sasha	Sasha's apartment	Turkish	Sis kebab and lahmacun	Cacik (yogurt sauce)	Sasha bought a tabletop grill for the kebabs; good investment
2025-02-13	Frank	Frank's apartment	Italian	Baccala mantecato (salt cod spread) on polenta	Winter greens salad	Valentine's adjacent; low-key; salted cod soaked 48 hours
2025-02-27	Sasha	Sasha's apartment	Korean	Sundubu jjigae (soft tofu stew)	Kimchi pancakes	February cold; this was exactly right; Sasha's best Korean dish yet
