"jurisdiction"	"value"	"race_ethnicity"	"year"	"measure"
"Washington"	"0.5"	"All races/ ethnicities (aggregated)"	"2020"	"Children with Elevated BLL"
"Wicomico"	"0.2"	"All races/ ethnicities (aggregated)"	"2020"	"Children with Elevated BLL"
"State"	"0.2"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Worcester"	"0.2"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Wicomico"	"0.3"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Washington"	"0.4"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Talbot"	"0.6"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Somerset"	"0"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Saint Mary's"	"0.1"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Queen Anne's"	"0"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Prince George's"	"0.2"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Montgomery"	"0.2"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Kent"	"0.5"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Howard"	"0.2"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Harford"	"0.2"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Garrett"	"0"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Frederick"	"0.1"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Dorchester"	"0.3"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Charles"	"0"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Cecil"	"0.1"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Carroll"	"0.2"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Caroline"	"0.5"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Calvert"	"0"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Baltimore County"	"0.7"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Baltimore City"	"0.2"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Anne Arundel"	"0.1"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Allegany"	"0.3"	"All races/ ethnicities (aggregated)"	"2019"	"Children with Elevated BLL"
"Frederick"	"0.2"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"State"	"0.3"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Allegany"	"0.7"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Anne Arundel"	"0.1"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Baltimore City"	"0.3"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Baltimore County"	"1"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Calvert"	"0.1"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Caroline"	"0.3"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Carroll"	"0.3"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Cecil"	"0.1"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Charles"	"0"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Dorchester"	"0.5"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Garrett"	"0"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Harford"	"0.1"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Howard"	"0.3"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Kent"	"0.5"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Montgomery"	"0.1"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Prince George's"	"0.2"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Queen Anne's"	"0"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Saint Mary's"	"0.1"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Somerset"	"0"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Talbot"	"0.6"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Washington"	"0.4"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Wicomico"	"0.5"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Worcester"	"0.2"	"All races/ ethnicities (aggregated)"	"2018"	"Children with Elevated BLL"
"Worcester"	"0.1"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Anne Arundel"	"0.1"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Baltimore City"	"0.9"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Baltimore County"	"0.2"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Calvert"	"0.2"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Caroline"	"0.5"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Carroll"	"0.2"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Cecil"	"0.2"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Charles"	"0.1"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Dorchester"	"1.1"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Frederick"	"0.2"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Garrett"	"0.0"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Allegany"	"0.6"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"State"	"0.3"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Harford"	"0.1"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Howard"	"0.2"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Kent"	"0.0"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Montgomery"	"0.1"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Prince George's"	"0.3"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Queen Anne's"	"0.1"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Saint Mary's"	"0.2"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Somerset"	"0.0"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Talbot"	"0.3"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Washington"	"0.2"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Wicomico"	"0.3"	"All races/ ethnicities (aggregated)"	"2017"	"Children with Elevated BLL"
"Garrett"	"0.3"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"State"	"0.3"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Allegany"	"0.5"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Anne Arundel"	"0.1"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Baltimore City"	"1.0"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Baltimore County"	"0.2"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Calvert"	"0.0"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Caroline"	"0.3"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Carroll"	"0.2"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Cecil"	"0.2"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Charles"	"0.1"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Dorchester"	"0.3"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Frederick"	"0.1"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Harford"	"0.1"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Howard"	"0.3"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Kent"	"0.0"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Montgomery"	"0.1"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Prince George's"	"0.2"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Queen Anne's"	"0.3"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Saint Mary's"	"0.1"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Somerset"	"0.7"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Talbot"	"0.3"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Washington"	"0.3"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Wicomico"	"0.4"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"Worcester"	"0.2"	"All races/ ethnicities (aggregated)"	"2016"	"Children with Elevated BLL"
"State"	"0.3"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Worcester"	"0.0"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Wicomico"	"0.3"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Washington"	"0.2"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Talbot"	"0.2"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Somerset"	"0.6"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Saint Mary's"	"0.1"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Queen Anne's"	"0.0"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Prince George's"	"0.3"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Montgomery"	"0.2"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Kent"	"0.4"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Howard"	"0.2"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Harford"	"0.1"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Garrett"	"0.0"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Frederick"	"0.1"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Dorchester"	"0.2"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Charles"	"0.1"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Cecil"	"0.1"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Carroll"	"0.1"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Caroline"	"0.6"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Calvert"	"0.0"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Baltimore County"	"0.2"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Baltimore City"	"1.2"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Anne Arundel"	"0.1"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Allegany"	"0.4"	"All races/ ethnicities (aggregated)"	"2015"	"Children with Elevated BLL"
"Worcester"	"0.1"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"State"	"0.3"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Allegany"	"0.6"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Anne Arundel"	"0.1"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Baltimore City"	"1.1"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Baltimore County"	"0.2"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Calvert"	"0.2"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Caroline"	"0.6"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Carroll"	"0.4"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Cecil"	"0.3"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Charles"	"0.0"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Dorchester"	"0.5"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Frederick"	"0.3"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Garrett"	"0.2"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Harford"	"0.1"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Howard"	"0.1"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Kent"	"0.8"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Montgomery"	"0.1"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Prince George's"	"0.2"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Queen Anne's"	"0.3"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Saint Mary's"	"0.2"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Somerset"	"0.4"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Talbot"	"0.2"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Washington"	"0.2"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Wicomico"	"0.2"	"All races/ ethnicities (aggregated)"	"2014"	"Children with Elevated BLL"
"Worcester"	"0.4"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"State"	"0.3"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Allegany"	"0.4"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Anne Arundel"	"0.1"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Baltimore City"	"1.2"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Baltimore County"	"0.2"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Calvert"	"0.0"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Caroline"	"0.7"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Carroll"	"0.7"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Cecil"	"0.3"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Charles"	"0.2"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Dorchester"	"0.1"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Frederick"	"0.3"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Garrett"	"0.0"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Harford"	"0.0"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Howard"	"0.1"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Kent"	"0.4"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Montgomery"	"0.1"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Prince George's"	"0.1"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Queen Anne's"	"0.5"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Saint Mary's"	"0.0"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Somerset"	"0.7"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Talbot"	"1.3"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Washington"	"0.3"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"Wicomico"	"0.3"	"All races/ ethnicities (aggregated)"	"2013"	"Children with Elevated BLL"
"State"	"0.3"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Allegany"	"0.9"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Anne Arundel"	"0.1"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Baltimore City"	"1.2"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Baltimore County"	"0.2"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Calvert"	"0.1"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Caroline"	"0.3"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Carroll"	"0.3"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Cecil"	"0.0"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Charles"	"0.2"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Dorchester"	"0.1"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Frederick"	"0.2"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Garrett"	"0.2"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Harford"	"0.2"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Howard"	"0.2"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Kent"	"0.8"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Montgomery"	"0.1"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Prince George's"	"0.1"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Queen Anne's"	"0.4"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Saint Mary's"	"0.1"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Somerset"	"0.3"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Talbot"	"0.5"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Washington"	"0.0"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Wicomico"	"0.2"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Worcester"	"0.2"	"All races/ ethnicities (aggregated)"	"2012"	"Children with Elevated BLL"
"Worcester"	"0.2"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Wicomico"	"0.2"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Washington"	"0.4"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Talbot"	"0.6"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Somerset"	"0.4"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Saint Mary's"	"0.0"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Queen Anne's"	"0.4"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Prince George's"	"0.2"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Montgomery"	"0.2"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Kent"	"0.4"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Howard"	"0.3"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Harford"	"0.2"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Garrett"	"0.7"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Frederick"	"0.4"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Dorchester"	"0.1"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Charles"	"0.1"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Cecil"	"0.1"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Carroll"	"1.1"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Caroline"	"0.5"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Calvert"	"0.0"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Baltimore County"	"0.2"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Baltimore City"	"1.4"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Anne Arundel"	"0.1"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Allegany"	"0.7"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"State"	"0.4"	"All races/ ethnicities (aggregated)"	"2011"	"Children with Elevated BLL"
"Caroline"	"1.0"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Wicomico"	"0.4"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Washington"	"0.4"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Talbot"	"0.4"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Somerset"	"0.2"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Saint Mary's"	"0.0"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Queen Anne's"	"0.7"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Prince George's"	"0.2"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Montgomery"	"0.1"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Kent"	"0.7"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Howard"	"0.1"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Harford"	"0.3"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Garrett"	"0.2"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Frederick"	"0.3"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Dorchester"	"0.6"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Charles"	"0.1"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Cecil"	"0.1"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Carroll"	"0.5"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Worcester"	"0.2"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Calvert"	"0.1"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Baltimore County"	"0.2"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Baltimore City"	"1.6"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Anne Arundel"	"0.2"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"Allegany"	"0.8"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"State"	"0.5"	"All races/ ethnicities (aggregated)"	"2010"	"Children with Elevated BLL"
"State"	"0.5"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Allegany"	"1.1"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Anne Arundel"	"0.1"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Baltimore City"	"1.8"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Baltimore County"	"0.2"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Calvert"	"0.1"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Caroline"	"0.8"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
