message_id,chat_id,from_id,text,date,reply_to_message_id
58,-1003,8501852,Anyone need Number 8 turquoise?,1782980441,
59,-1003,8501849,"Fair season tallies, anyone above $6K?",1782980290,
60,-1003,8501862,"Fair season tallies, anyone above $6K?",1782980295,
61,-1003,8501859,Cerrillos coming back in stock next month.,1782980417,
62,-1003,8501860,Cerrillos coming back in stock next month.,1782980261,
63,-1003,8501849,Fresh spiny oyster from Ensenada.,1782980512,
64,-1003,8501848,Restone tutorial night Friday.,1782980214,
65,-1003,8501855,New Otteson lot dropped.,1782980319,
66,-1003,8501858,Anyone need Number 8 turquoise?,1782980433,
67,-1003,8501858,Cerrillos coming back in stock next month.,1782980481,
68,-1003,8501848,"Fair season tallies, anyone above $6K?",1782980445,
69,-1003,8501862,Angela's winter window is filling in.,1782980458,
70,-1003,8501857,"Fair season tallies, anyone above $6K?",1782980243,
71,-1003,8501853,Rio Grande corrected invoice went out this week.,1782980378,
72,-1003,8501862,Anyone need Number 8 turquoise?,1782980416,
73,-1003,8501848,Anyone need Number 8 turquoise?,1782980501,
74,-1003,8501861,Restone tutorial night Friday.,1782980327,
75,-1003,8501860,New Otteson lot dropped.,1782980364,
76,-1003,8501856,Rio Grande corrected invoice went out this week.,1782980303,
77,-1003,8501860,Restone tutorial night Friday.,1782980225,
78,-1003,8501853,"Fair season tallies, anyone above $6K?",1782980355,
79,-1003,8501848,Fresh spiny oyster from Ensenada.,1782980349,
80,-1003,8501848,Fresh spiny oyster from Ensenada.,1782980247,
81,-1003,8501851,Rio Grande corrected invoice went out this week.,1782980493,
82,-1003,8501852,Cerrillos coming back in stock next month.,1782980242,
83,-1003,8501849,Rio Grande corrected invoice went out this week.,1782980437,
84,-1003,8501859,Rio Grande corrected invoice went out this week.,1782980504,
85,-1003,8501858,Restone tutorial night Friday.,1782980322,
86,-1003,8501854,Restone tutorial night Friday.,1782980451,
87,-1003,8501851,Fresh spiny oyster from Ensenada.,1782980351,
88,-1003,8501847,New Otteson lot dropped.,1782980256,
89,-1003,8501857,Fresh spiny oyster from Ensenada.,1782980564,
90,-1003,8501858,Restone tutorial night Friday.,1782980306,
91,-1003,8501851,Restone tutorial night Friday.,1782980422,
92,-1003,8501857,Fresh spiny oyster from Ensenada.,1782980532,
93,-1003,8501857,Restone tutorial night Friday.,1782980341,
94,-1003,8501852,Angela's winter window is filling in.,1782980414,
95,-1003,8501858,Rio Grande corrected invoice went out this week.,1782980302,
96,-1003,8501849,"Fair season tallies, anyone above $6K?",1782980232,
97,-1003,8501851,Angela's winter window is filling in.,1782980222,
98,-1003,8501849,New Otteson lot dropped.,1782980304,
99,-1003,8501861,Cerrillos coming back in stock next month.,1782980400,
100,-1003,8501855,Fresh spiny oyster from Ensenada.,1782980256,
101,-1003,8501858,Rio Grande corrected invoice went out this week.,1782980440,
102,-1003,8501851,Fresh spiny oyster from Ensenada.,1782980263,
103,-1003,8501856,Angela's winter window is filling in.,1782980317,
104,-1003,8501848,Rio Grande corrected invoice went out this week.,1782980378,
105,-1003,8501860,Angela's winter window is filling in.,1782980250,
