order_id,item_id,quantity,unit_price,line_total
order-00072,item-0218,1,13.89,13.89
order-00073,item-0211,1,8.72,8.72
order-00073,item-0125,1,15.16,15.16
order-00074,item-0244,1,14.22,14.22
order-00075,item-0178,2,12.75,25.50
order-00075,item-0087,2,11.54,23.08
order-00076,item-0054,2,15.94,31.88
order-00077,item-0151,1,12.52,12.52
order-00077,item-0043,1,15.69,15.69
order-00078,item-0203,1,17.85,17.85
order-00079,item-0063,2,8.61,17.22
order-00079,item-0241,2,17.42,34.84
order-00080,item-0230,1,8.55,8.55
order-00081,item-0197,2,12.80,25.60
order-00081,item-0005,1,11.79,11.79
order-00081,item-0057,1,6.69,6.69
order-00082,item-0220,2,6.67,13.34
order-00082,item-0183,2,17.09,34.18
order-00082,item-0236,1,14.94,14.94
order-00083,item-0081,1,10.02,10.02
order-00083,item-0004,2,15.86,31.72
order-00084,item-0077,2,14.54,29.08
order-00085,item-0066,2,12.84,25.68
order-00086,item-0212,2,7.73,15.46
order-00086,item-0238,2,9.27,18.54
order-00087,item-0080,1,8.64,8.64
order-00087,item-0202,2,13.82,27.64
order-00087,item-0002,1,12.04,12.04
order-00088,item-0060,2,6.81,13.62
order-00089,item-0036,1,8.52,8.52
order-00089,item-0061,2,7.78,15.56
order-00090,item-0008,2,12.84,25.68
order-00090,item-0003,2,12.50,25.00
order-00090,item-0247,1,14.50,14.50
order-00091,item-0114,1,7.85,7.85
order-00092,item-0251,1,10.45,10.45
order-00092,item-0081,1,10.02,10.02
order-00093,item-0237,1,8.57,8.57
order-00093,item-0148,1,15.21,15.21
order-00094,item-0189,2,15.70,31.40
order-00095,item-0211,1,8.72,8.72
order-00095,item-0084,2,11.05,22.10
order-00096,item-0051,1,8.15,8.15
order-00096,item-0142,1,17.20,17.20
order-00097,item-0213,2,7.00,14.00
order-00098,item-0149,1,8.10,8.10
order-00098,item-0112,1,8.16,8.16
order-00098,item-0127,2,13.67,27.34
order-00099,item-0109,1,6.51,6.51
order-00099,item-0118,1,10.21,10.21
order-00099,item-0033,2,9.93,19.86
order-00100,item-0195,1,15.93,15.93
order-00101,item-0212,1,7.73,7.73
order-00102,item-0189,1,15.70,15.70
order-00102,item-0120,1,8.95,8.95
order-00103,item-0246,2,8.69,17.38
order-00103,item-0033,2,9.93,19.86
order-00103,item-0084,1,11.05,11.05
order-00104,item-0145,2,17.53,35.06
order-00104,item-0188,1,15.79,15.79
order-00104,item-0230,2,8.55,17.10
order-00105,item-0186,1,7.81,7.81
order-00105,item-0033,2,9.93,19.86
order-00105,item-0120,2,8.95,17.90
order-00106,item-0059,2,13.31,26.62
order-00106,item-0133,1,14.36,14.36
order-00106,item-0133,2,14.36,28.72
order-00107,item-0077,1,14.54,14.54
order-00107,item-0149,1,8.10,8.10
order-00108,item-0023,1,14.15,14.15
order-00109,item-0038,2,12.15,24.30
order-00110,item-0203,1,17.85,17.85
order-00111,item-0157,2,14.85,29.70
order-00111,item-0101,2,16.78,33.56
order-00111,item-0097,2,8.22,16.44
order-00112,item-0030,2,15.78,31.56
order-00113,item-0120,2,8.95,17.90
order-00114,item-0135,1,11.14,11.14
order-00115,item-0154,1,10.33,10.33
order-00116,item-0113,2,10.86,21.72
order-00116,item-0180,1,7.14,7.14
order-00117,item-0130,1,8.96,8.96
order-00118,item-0087,1,11.54,11.54
order-00119,item-0067,2,9.91,19.82
order-00119,item-0049,2,9.71,19.42
order-00119,item-0198,1,7.86,7.86
order-00120,item-0054,1,15.94,15.94
order-00120,item-0240,2,14.29,28.58
order-00120,item-0023,1,14.15,14.15
order-00121,item-0069,2,8.69,17.38
order-00121,item-0087,1,11.54,11.54
order-00122,item-0180,1,7.14,7.14
order-00122,item-0047,1,12.28,12.28
order-00123,item-0103,1,8.84,8.84
order-00124,item-0081,1,10.02,10.02
order-00125,item-0228,2,6.94,13.88
order-00126,item-0245,1,17.52,17.52
order-00127,item-0111,1,13.04,13.04
order-00127,item-0217,1,16.13,16.13
order-00128,item-0197,1,12.80,12.80
order-00129,item-0180,2,7.14,14.28
order-00129,item-0088,2,13.08,26.16
order-00130,item-0045,1,7.54,7.54
order-00131,item-0247,1,14.50,14.50
order-00132,item-0005,2,11.79,23.58
order-00133,item-0050,1,11.34,11.34
order-00134,item-0165,1,6.65,6.65
order-00134,item-0051,1,8.15,8.15
order-00135,item-0166,1,7.56,7.56
order-00135,item-0015,1,13.19,13.19
order-00135,item-0137,1,8.91,8.91
order-00136,item-0239,2,6.81,13.62
order-00137,item-0027,1,9.03,9.03
order-00137,item-0062,2,8.90,17.80
order-00138,item-0223,1,9.00,9.00
order-00139,item-0021,2,11.45,22.90
order-00139,item-0168,2,14.93,29.86
order-00140,item-0090,1,9.55,9.55
order-00140,item-0136,1,15.57,15.57
order-00140,item-0241,2,17.42,34.84
order-00141,item-0053,2,9.04,18.08
order-00141,item-0017,1,10.94,10.94
order-00141,item-0200,1,16.41,16.41
order-00142,item-0168,2,14.93,29.86
order-00143,item-0081,1,10.02,10.02
order-00143,item-0181,2,14.01,28.02
order-00143,item-0028,2,9.06,18.12
order-00144,item-0152,2,10.61,21.22
order-00145,item-0061,1,7.78,7.78
order-00145,item-0087,1,11.54,11.54
order-00146,item-0004,1,15.86,15.86
order-00146,item-0067,1,9.91,9.91
order-00147,item-0061,2,7.78,15.56
order-00148,item-0010,2,14.00,28.00
order-00149,item-0129,1,14.88,14.88
order-00149,item-0227,2,10.93,21.86
order-00150,item-0218,1,13.89,13.89
order-00150,item-0170,1,17.43,17.43
order-00150,item-0026,2,9.72,19.44
order-00151,item-0031,1,12.93,12.93
order-00151,item-0114,1,7.85,7.85
order-00152,item-0126,1,8.03,8.03
order-00152,item-0127,2,13.67,27.34
order-00153,item-0234,2,17.12,34.24
order-00153,item-0110,1,10.95,10.95
order-00153,item-0165,1,6.65,6.65
order-00154,item-0114,1,7.85,7.85
order-00154,item-0250,1,15.12,15.12
order-00154,item-0150,2,13.54,27.08
order-00155,item-0055,1,8.85,8.85
order-00155,item-0087,2,11.54,23.08
order-00155,item-0013,1,9.77,9.77
order-00156,item-0043,1,15.69,15.69
order-00156,item-0240,2,14.29,28.58
order-00156,item-0019,2,16.29,32.58
order-00157,item-0028,1,9.06,9.06
order-00158,item-0203,2,17.85,35.70
order-00158,item-0005,2,11.79,23.58
order-00159,item-0049,2,9.71,19.42
order-00159,item-0236,1,14.94,14.94
order-00160,item-0233,2,12.99,25.98
order-00161,item-0168,1,14.93,14.93
order-00161,item-0191,2,6.94,13.88
order-00161,item-0019,1,16.29,16.29
order-00162,item-0031,1,12.93,12.93
order-00163,item-0004,1,15.86,15.86
order-00163,item-0051,1,8.15,8.15
order-00164,item-0135,2,11.14,22.28
order-00164,item-0185,2,8.74,17.48
order-00164,item-0037,1,13.26,13.26
order-00165,item-0146,2,10.70,21.40
order-00165,item-0205,2,10.50,21.00
order-00165,item-0084,1,11.05,11.05
order-00166,item-0175,2,14.62,29.24
order-00167,item-0075,1,17.37,17.37
order-00168,item-0054,2,15.94,31.88
order-00168,item-0117,2,9.33,18.66
order-00169,item-0147,2,7.90,15.80
order-00169,item-0009,2,9.19,18.38
order-00170,item-0195,2,15.93,31.86
order-00170,item-0174,1,17.57,17.57
order-00170,item-0189,2,15.70,31.40
order-00171,item-0197,2,12.80,25.60
order-00171,item-0152,2,10.61,21.22
order-00172,item-0127,1,13.67,13.67
order-00172,item-0027,2,9.03,18.06
order-00173,item-0069,2,8.69,17.38
order-00174,item-0126,2,8.03,16.06
order-00175,item-0174,2,17.57,35.14
order-00175,item-0184,1,12.00,12.00
order-00176,item-0139,1,7.28,7.28
order-00176,item-0098,1,12.08,12.08
order-00176,item-0067,1,9.91,9.91
order-00177,item-0128,1,12.04,12.04
order-00177,item-0157,2,14.85,29.70
order-00178,item-0181,2,14.01,28.02
order-00179,item-0141,1,8.68,8.68
order-00179,item-0217,1,16.13,16.13
order-00179,item-0235,2,10.63,21.26
order-00180,item-0117,2,9.33,18.66
order-00181,item-0015,2,13.19,26.38
order-00181,item-0187,2,9.45,18.90
order-00182,item-0112,2,8.16,16.32
order-00182,item-0163,2,15.90,31.80
order-00182,item-0191,1,6.94,6.94
order-00183,item-0201,2,16.14,32.28
order-00184,item-0233,1,12.99,12.99
order-00184,item-0242,2,9.74,19.48
order-00185,item-0089,1,9.31,9.31
order-00185,item-0135,2,11.14,22.28
order-00185,item-0110,2,10.95,21.90
order-00186,item-0004,2,15.86,31.72
order-00186,item-0057,2,6.69,13.38
order-00186,item-0192,1,14.52,14.52
order-00187,item-0207,2,7.39,14.78
order-00187,item-0209,2,8.24,16.48
order-00188,item-0192,1,14.52,14.52
order-00189,item-0085,2,11.10,22.20
order-00190,item-0041,1,8.69,8.69
order-00190,item-0066,2,12.84,25.68
order-00190,item-0233,1,12.99,12.99
order-00191,item-0002,1,12.04,12.04
order-00191,item-0106,2,12.38,24.76
order-00191,item-0239,1,6.81,6.81
order-00192,item-0236,1,14.94,14.94
order-00192,item-0189,1,15.70,15.70
order-00192,item-0232,2,15.40,30.80
order-00193,item-0092,2,15.83,31.66
order-00194,item-0177,1,13.58,13.58
order-00195,item-0137,2,8.91,17.82
order-00195,item-0056,2,9.23,18.46
order-00196,item-0006,1,14.21,14.21
order-00197,item-0053,1,9.04,9.04
order-00197,item-0053,1,9.04,9.04
order-00198,item-0189,1,15.70,15.70
order-00198,item-0066,1,12.84,12.84
order-00199,item-0032,2,11.82,23.64
order-00200,item-0021,2,11.45,22.90
order-00200,item-0234,2,17.12,34.24
order-00201,item-0079,2,8.48,16.96
order-00201,item-0059,2,13.31,26.62
order-00202,item-0158,1,9.60,9.60
order-00203,item-0157,2,14.85,29.70
order-00203,item-0224,2,11.76,23.52
order-00203,item-0205,2,10.50,21.00
order-00204,item-0225,1,13.32,13.32
order-00205,item-0049,2,9.71,19.42
order-00205,item-0179,2,16.07,32.14
order-00206,item-0131,2,13.68,27.36
order-00206,item-0146,1,10.70,10.70
order-00206,item-0107,2,7.24,14.48
order-00207,item-0096,2,11.90,23.80
order-00207,item-0040,2,11.43,22.86
order-00207,item-0235,1,10.63,10.63
order-00208,item-0052,1,10.35,10.35
order-00208,item-0217,2,16.13,32.26
order-00208,item-0210,2,9.76,19.52
order-00209,item-0048,1,12.49,12.49
order-00209,item-0240,1,14.29,14.29
order-00210,item-0023,2,14.15,28.30
order-00210,item-0104,1,7.40,7.40
order-00210,item-0037,1,13.26,13.26
order-00211,item-0145,1,17.53,17.53
order-00212,item-0205,1,10.50,10.50
order-00212,item-0244,2,14.22,28.44
order-00212,item-0151,1,12.52,12.52
order-00213,item-0117,1,9.33,9.33
order-00213,item-0031,2,12.93,25.86
order-00214,item-0247,2,14.50,29.00
order-00215,item-0156,2,7.74,15.48
order-00215,item-0109,2,6.51,13.02
order-00216,item-0171,2,12.49,24.98
order-00216,item-0133,1,14.36,14.36
order-00217,item-0003,1,12.50,12.50
order-00217,item-0050,2,11.34,22.68
order-00218,item-0065,2,7.78,15.56
order-00218,item-0235,2,10.63,21.26
order-00219,item-0121,2,17.72,35.44
order-00219,item-0201,1,16.14,16.14
order-00220,item-0190,2,11.31,22.62
order-00221,item-0169,2,8.58,17.16
order-00221,item-0186,1,7.81,7.81
order-00222,item-0197,1,12.80,12.80
order-00223,item-0210,1,9.76,9.76
order-00224,item-0214,1,11.15,11.15
order-00224,item-0060,2,6.81,13.62
order-00225,item-0216,1,11.97,11.97
order-00225,item-0175,1,14.62,14.62
order-00225,item-0193,1,10.93,10.93
order-00226,item-0139,1,7.28,7.28
order-00227,item-0030,2,15.78,31.56
order-00227,item-0038,1,12.15,12.15
order-00228,item-0164,1,9.97,9.97
order-00228,item-0165,2,6.65,13.30
order-00229,item-0165,2,6.65,13.30
order-00229,item-0035,1,7.54,7.54
order-00229,item-0030,2,15.78,31.56
order-00230,item-0057,1,6.69,6.69
order-00230,item-0043,1,15.69,15.69
order-00231,item-0006,1,14.21,14.21
order-00231,item-0181,2,14.01,28.02
order-00231,item-0029,2,9.01,18.02
order-00232,item-0129,1,14.88,14.88
order-00233,item-0225,1,13.32,13.32
order-00233,item-0152,2,10.61,21.22
order-00233,item-0203,1,17.85,17.85
order-00061,item-0084,2,11.05,22.10
order-00073,item-0211,1,8.72,8.72
order-00120,item-0054,1,15.94,15.94
order-00233,item-0203,1,17.85,17.85
order-00006,item-0045,1,7.54,7.54
order-00182,item-0163,2,15.90,31.80
order-00210,item-0037,1,13.26,13.26
order-00007,item-0208,2,7.98,15.96
order-00225,item-0216,1,11.97,11.97
order-00098,item-0112,1,8.16,8.16
order-00067,item-0042,2,7.96,15.92
order-00072,item-0194,1,13.92,13.92
order-00129,item-0180,2,7.14,14.28
order-00175,item-0184,1,12.00,12.00
order-00179,item-0217,1,16.13,16.13
order-00063,item-0016,2,13.27,26.54
order-00175,item-0184,1,12.00,12.00
order-00183,item-0201,2,16.14,32.28
order-00066,item-0249,2,9.10,18.20
order-00175,item-0174,2,17.57,35.14
order-00100,item-0195,1,15.93,15.93
order-00195,item-0056,2,9.23,18.46
order-00002,item-0224,1,11.76,11.76
