id,board_id,name,state,start_date,end_date,goal
122,1,TAVR Study Q3 Sprint 2,active,2026-05-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 019 goal
123,2,TAVR Study Q3 Sprint 3,closed,2026-07-01T09:00:00Z,2026-08-15T17:00:00Z,Sprint 020 goal
124,2,IRB Renewal Sprint,future,2026-06-01T09:00:00Z,2026-08-15T17:00:00Z,Sprint 021 goal
125,3,Manuscript Prep Sprint,active,2026-08-01T09:00:00Z,2026-04-15T17:00:00Z,Sprint 022 goal
126,3,Site Onboarding Sprint,future,2026-06-01T09:00:00Z,2026-05-15T17:00:00Z,Sprint 023 goal
127,2,Data Lock Sprint,active,2026-08-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 024 goal
128,2,Analysis Pipeline Sprint,closed,2026-04-01T09:00:00Z,2026-07-15T17:00:00Z,Sprint 025 goal
129,2,Conference Prep Sprint,closed,2026-03-01T09:00:00Z,2026-04-15T17:00:00Z,Sprint 026 goal
130,1,Coordinator Training Sprint,active,2026-03-01T09:00:00Z,2026-04-15T17:00:00Z,Sprint 027 goal
131,2,TAVR Study Q3 Sprint 1,closed,2026-09-01T09:00:00Z,2026-09-15T17:00:00Z,Sprint 028 goal
132,2,TAVR Study Q3 Sprint 2,active,2026-06-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 029 goal
133,2,TAVR Study Q3 Sprint 3,future,2026-01-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 030 goal
134,1,IRB Renewal Sprint,active,2026-07-01T09:00:00Z,2026-03-15T17:00:00Z,Sprint 031 goal
135,3,Manuscript Prep Sprint,closed,2026-07-01T09:00:00Z,2026-05-15T17:00:00Z,Sprint 032 goal
136,1,Site Onboarding Sprint,closed,2026-05-01T09:00:00Z,2026-02-15T17:00:00Z,Sprint 033 goal
137,1,Data Lock Sprint,active,2026-05-01T09:00:00Z,2026-08-15T17:00:00Z,Sprint 034 goal
138,2,Analysis Pipeline Sprint,future,2026-06-01T09:00:00Z,2026-03-15T17:00:00Z,Sprint 035 goal
139,3,Conference Prep Sprint,future,2026-07-01T09:00:00Z,2026-09-15T17:00:00Z,Sprint 036 goal
140,1,Coordinator Training Sprint,future,2026-07-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 037 goal
141,1,TAVR Study Q3 Sprint 1,closed,2026-02-01T09:00:00Z,2026-02-15T17:00:00Z,Sprint 038 goal
142,3,TAVR Study Q3 Sprint 2,closed,2026-02-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 039 goal
143,2,TAVR Study Q3 Sprint 3,closed,2026-09-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 040 goal
144,3,IRB Renewal Sprint,future,2026-02-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 041 goal
145,2,Manuscript Prep Sprint,closed,2026-08-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 042 goal
146,1,Site Onboarding Sprint,closed,2026-05-01T09:00:00Z,2026-05-15T17:00:00Z,Sprint 043 goal
147,3,Data Lock Sprint,closed,2026-08-01T09:00:00Z,2026-07-15T17:00:00Z,Sprint 044 goal
148,2,Analysis Pipeline Sprint,future,2026-09-01T09:00:00Z,2026-02-15T17:00:00Z,Sprint 045 goal
149,1,Conference Prep Sprint,closed,2026-07-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 046 goal
150,1,Coordinator Training Sprint,active,2026-05-01T09:00:00Z,2026-05-15T17:00:00Z,Sprint 047 goal
151,1,TAVR Study Q3 Sprint 1,future,2026-05-01T09:00:00Z,2026-07-15T17:00:00Z,Sprint 048 goal
152,3,TAVR Study Q3 Sprint 2,future,2026-05-01T09:00:00Z,2026-09-15T17:00:00Z,Sprint 049 goal
153,3,TAVR Study Q3 Sprint 3,future,2026-08-01T09:00:00Z,2026-04-15T17:00:00Z,Sprint 050 goal
154,2,IRB Renewal Sprint,future,2026-03-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 051 goal
155,2,Manuscript Prep Sprint,future,2026-05-01T09:00:00Z,2026-07-15T17:00:00Z,Sprint 052 goal
156,1,Site Onboarding Sprint,future,2026-05-01T09:00:00Z,2026-05-15T17:00:00Z,Sprint 053 goal
157,3,Data Lock Sprint,future,2026-08-01T09:00:00Z,2026-03-15T17:00:00Z,Sprint 054 goal
158,3,Analysis Pipeline Sprint,active,2026-04-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 055 goal
159,1,Conference Prep Sprint,future,2026-09-01T09:00:00Z,2026-07-15T17:00:00Z,Sprint 056 goal
160,1,Coordinator Training Sprint,active,2026-06-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 057 goal
161,2,TAVR Study Q3 Sprint 1,future,2026-06-01T09:00:00Z,2026-04-15T17:00:00Z,Sprint 058 goal
162,2,TAVR Study Q3 Sprint 2,closed,2026-05-01T09:00:00Z,2026-09-15T17:00:00Z,Sprint 059 goal
163,1,TAVR Study Q3 Sprint 3,closed,2026-07-01T09:00:00Z,2026-05-15T17:00:00Z,Sprint 060 goal
164,1,IRB Renewal Sprint,active,2026-02-01T09:00:00Z,2026-09-15T17:00:00Z,Sprint 061 goal
165,1,Manuscript Prep Sprint,active,2026-09-01T09:00:00Z,2026-07-15T17:00:00Z,Sprint 062 goal
166,2,Site Onboarding Sprint,closed,2026-03-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 063 goal
167,2,Data Lock Sprint,closed,2026-05-01T09:00:00Z,2026-04-15T17:00:00Z,Sprint 064 goal
168,2,Analysis Pipeline Sprint,future,2026-04-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 065 goal
169,1,Conference Prep Sprint,future,2026-09-01T09:00:00Z,2026-03-15T17:00:00Z,Sprint 066 goal
170,2,Coordinator Training Sprint,future,2026-08-01T09:00:00Z,2026-03-15T17:00:00Z,Sprint 067 goal
171,2,TAVR Study Q3 Sprint 1,closed,2026-07-01T09:00:00Z,2026-08-15T17:00:00Z,Sprint 068 goal
172,3,TAVR Study Q3 Sprint 2,future,2026-06-01T09:00:00Z,2026-04-15T17:00:00Z,Sprint 069 goal
173,3,TAVR Study Q3 Sprint 3,active,2026-06-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 070 goal
174,3,IRB Renewal Sprint,closed,2026-06-01T09:00:00Z,2026-09-15T17:00:00Z,Sprint 071 goal
175,2,Manuscript Prep Sprint,active,2026-09-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 072 goal
176,1,Site Onboarding Sprint,closed,2026-01-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 073 goal
177,2,Data Lock Sprint,closed,2026-08-01T09:00:00Z,2026-03-15T17:00:00Z,Sprint 074 goal
178,3,Analysis Pipeline Sprint,closed,2026-05-01T09:00:00Z,2026-07-15T17:00:00Z,Sprint 075 goal
179,1,Conference Prep Sprint,active,2026-06-01T09:00:00Z,2026-04-15T17:00:00Z,Sprint 076 goal
180,2,Coordinator Training Sprint,future,2026-04-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 077 goal
181,2,TAVR Study Q3 Sprint 1,closed,2026-06-01T09:00:00Z,2026-09-15T17:00:00Z,Sprint 078 goal
182,1,TAVR Study Q3 Sprint 2,future,2026-06-01T09:00:00Z,2026-05-15T17:00:00Z,Sprint 079 goal
183,1,TAVR Study Q3 Sprint 3,closed,2026-08-01T09:00:00Z,2026-05-15T17:00:00Z,Sprint 080 goal
184,3,IRB Renewal Sprint,closed,2026-07-01T09:00:00Z,2026-02-15T17:00:00Z,Sprint 081 goal
185,1,Manuscript Prep Sprint,future,2026-09-01T09:00:00Z,2026-04-15T17:00:00Z,Sprint 082 goal
186,1,Site Onboarding Sprint,future,2026-06-01T09:00:00Z,2026-02-15T17:00:00Z,Sprint 083 goal
187,3,Data Lock Sprint,active,2026-07-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 084 goal
188,3,Analysis Pipeline Sprint,closed,2026-06-01T09:00:00Z,2026-03-15T17:00:00Z,Sprint 085 goal
189,1,Conference Prep Sprint,active,2026-08-01T09:00:00Z,2026-07-15T17:00:00Z,Sprint 086 goal
190,2,Coordinator Training Sprint,active,2026-01-01T09:00:00Z,2026-02-15T17:00:00Z,Sprint 087 goal
191,2,TAVR Study Q3 Sprint 1,closed,2026-06-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 088 goal
192,2,TAVR Study Q3 Sprint 2,active,2026-02-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 089 goal
193,1,TAVR Study Q3 Sprint 3,future,2026-07-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 090 goal
194,2,IRB Renewal Sprint,closed,2026-01-01T09:00:00Z,2026-03-15T17:00:00Z,Sprint 091 goal
195,2,Manuscript Prep Sprint,future,2026-03-01T09:00:00Z,2026-02-15T17:00:00Z,Sprint 092 goal
196,1,Site Onboarding Sprint,future,2026-08-01T09:00:00Z,2026-08-15T17:00:00Z,Sprint 093 goal
197,3,Data Lock Sprint,closed,2026-03-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 094 goal
198,3,Analysis Pipeline Sprint,future,2026-05-01T09:00:00Z,2026-03-15T17:00:00Z,Sprint 095 goal
199,3,Conference Prep Sprint,closed,2026-04-01T09:00:00Z,2026-09-15T17:00:00Z,Sprint 096 goal
200,1,Coordinator Training Sprint,closed,2026-07-01T09:00:00Z,2026-07-15T17:00:00Z,Sprint 097 goal
201,1,TAVR Study Q3 Sprint 1,future,2026-02-01T09:00:00Z,2026-05-15T17:00:00Z,Sprint 098 goal
202,3,TAVR Study Q3 Sprint 2,active,2026-09-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 099 goal
203,3,TAVR Study Q3 Sprint 3,future,2026-04-01T09:00:00Z,2026-01-15T17:00:00Z,Sprint 100 goal
204,3,IRB Renewal Sprint,active,2026-08-01T09:00:00Z,2026-05-15T17:00:00Z,Sprint 101 goal
205,3,Manuscript Prep Sprint,future,2026-08-01T09:00:00Z,2026-03-15T17:00:00Z,Sprint 102 goal
206,2,Site Onboarding Sprint,active,2026-07-01T09:00:00Z,2026-08-15T17:00:00Z,Sprint 103 goal
207,3,Data Lock Sprint,future,2026-05-01T09:00:00Z,2026-06-15T17:00:00Z,Sprint 104 goal
