section_id,board_id,name,pin_count
section_2061,board_1003,Techniques,5
section_2062,board_1004,Paphiopedilum,8
section_2063,board_1002,Flavors & Recipes,6
section_2064,board_1002,Flavors & Recipes,5
section_2065,board_1005,Phalaenopsis,6
section_2066,board_1004,Cattleya,6
section_2067,board_1004,Flavors & Recipes,4
section_2068,board_1002,Layout & Benches,8
section_2069,board_1003,Climate Systems,4
section_2070,board_1004,Layout & Benches,6
section_2071,board_1003,Layout & Benches,6
section_2072,board_1005,Weeknight Meals,5
section_2073,board_1005,Layout & Benches,4
section_2074,board_1002,Flavors & Recipes,8
section_2075,board_1003,Layout & Benches,4
section_2076,board_1002,Flavors & Recipes,6
section_2077,board_1003,Climate Systems,6
section_2078,board_1002,Flavors & Recipes,8
section_2079,board_1002,Cattleya,5
section_2080,board_1003,Cattleya,5
section_2081,board_1004,Weeknight Meals,8
section_2082,board_1005,Weeknight Meals,6
section_2083,board_1005,Layout & Benches,4
section_2084,board_1002,Layout & Benches,6
section_2085,board_1005,Paphiopedilum,6
section_2086,board_1004,Flavors & Recipes,6
section_2087,board_1003,Layout & Benches,6
section_2088,board_1002,Cattleya,5
section_2089,board_1005,Layout & Benches,3
section_2090,board_1005,Climate Systems,7
section_2091,board_1003,Cattleya,7
section_2092,board_1003,Flavors & Recipes,5
section_2093,board_1004,Techniques,7
section_2094,board_1004,Cattleya,8
section_2095,board_1003,Phalaenopsis,4
section_2096,board_1002,Climate Systems,4
section_2097,board_1002,Flavors & Recipes,3
section_2098,board_1002,Weeknight Meals,8
section_2099,board_1002,Weeknight Meals,8
section_2100,board_1004,Layout & Benches,4
section_2101,board_1004,Cattleya,5
section_2102,board_1002,Techniques,3
section_2103,board_1002,Phalaenopsis,6
section_2104,board_1003,Flavors & Recipes,4
section_2105,board_1002,Flavors & Recipes,6
section_2106,board_1002,Techniques,7
section_2107,board_1004,Climate Systems,6
section_2108,board_1004,Layout & Benches,6
section_2109,board_1002,Flavors & Recipes,5
section_2110,board_1003,Paphiopedilum,6
section_2111,board_1002,Paphiopedilum,3
section_2112,board_1002,Layout & Benches,5
section_2113,board_1002,Flavors & Recipes,4
section_2114,board_1002,Layout & Benches,4
section_2115,board_1005,Paphiopedilum,6
section_2116,board_1002,Layout & Benches,5
section_2117,board_1005,Climate Systems,8
section_2118,board_1002,Cattleya,6
section_2119,board_1005,Layout & Benches,5
section_2120,board_1005,Techniques,4
section_2121,board_1004,Climate Systems,7
section_2122,board_1003,Paphiopedilum,7
section_2123,board_1003,Cattleya,6
section_2124,board_1003,Cattleya,5
section_2125,board_1004,Techniques,5
section_2126,board_1004,Flavors & Recipes,3
section_2127,board_1003,Climate Systems,7
section_2128,board_1004,Techniques,6
section_2129,board_1003,Paphiopedilum,6
section_2130,board_1005,Phalaenopsis,5
section_2131,board_1002,Layout & Benches,6
section_2132,board_1004,Climate Systems,6
section_2133,board_1004,Climate Systems,5
section_2134,board_1003,Cattleya,8
section_2135,board_1004,Paphiopedilum,4
section_2136,board_1004,Cattleya,6
section_2137,board_1003,Cattleya,6
section_2138,board_1004,Flavors & Recipes,4
section_2139,board_1002,Climate Systems,4
section_2140,board_1002,Flavors & Recipes,4
section_2141,board_1004,Layout & Benches,7
section_2142,board_1002,Paphiopedilum,4
section_2143,board_1002,Layout & Benches,4
section_2144,board_1002,Paphiopedilum,4
section_2145,board_1004,Flavors & Recipes,8
section_2146,board_1002,Weeknight Meals,6
section_2147,board_1002,Weeknight Meals,8
section_2148,board_1004,Phalaenopsis,4
section_2149,board_1003,Flavors & Recipes,7
section_2150,board_1005,Flavors & Recipes,3
section_2151,board_1002,Flavors & Recipes,6
section_2152,board_1003,Flavors & Recipes,6
section_2153,board_1004,Techniques,7
section_2154,board_1004,Weeknight Meals,5
section_2155,board_1004,Cattleya,7
section_2156,board_1003,Phalaenopsis,7
section_2157,board_1004,Layout & Benches,4
section_2158,board_1002,Techniques,7
section_2159,board_1003,Climate Systems,6
section_2160,board_1002,Paphiopedilum,4
section_2161,board_1003,Layout & Benches,3
section_2162,board_1004,Flavors & Recipes,8
section_2163,board_1002,Climate Systems,4
section_2164,board_1002,Layout & Benches,5
section_2165,board_1002,Phalaenopsis,6
section_2166,board_1005,Phalaenopsis,5
section_2167,board_1004,Layout & Benches,5
section_2168,board_1004,Layout & Benches,4
section_2169,board_1002,Phalaenopsis,7
section_2170,board_1005,Flavors & Recipes,4
section_2171,board_1002,Climate Systems,7
section_2172,board_1002,Techniques,4
section_2173,board_1004,Weeknight Meals,3
section_2174,board_1002,Cattleya,5
section_2175,board_1005,Phalaenopsis,4
section_2176,board_1004,Layout & Benches,8
section_2177,board_1002,Techniques,6
section_2178,board_1002,Flavors & Recipes,6
section_2179,board_1002,Paphiopedilum,4
section_2180,board_1003,Climate Systems,5
section_2181,board_1005,Cattleya,6
section_2182,board_1004,Layout & Benches,8
section_2183,board_1003,Cattleya,7
section_2184,board_1002,Flavors & Recipes,5
section_2185,board_1004,Phalaenopsis,5
section_2186,board_1002,Flavors & Recipes,7
section_2187,board_1002,Climate Systems,6
section_2188,board_1002,Weeknight Meals,5
section_2189,board_1003,Flavors & Recipes,5
section_2190,board_1003,Flavors & Recipes,4
section_2191,board_1002,Weeknight Meals,3
section_2192,board_1004,Weeknight Meals,4
section_2193,board_1003,Cattleya,6
section_2194,board_1004,Phalaenopsis,7
section_2195,board_1003,Climate Systems,5
section_2196,board_1004,Paphiopedilum,6
section_2197,board_1003,Flavors & Recipes,8
section_2198,board_1002,Cattleya,6
section_2199,board_1002,Layout & Benches,5
section_2200,board_1004,Phalaenopsis,8
section_2201,board_1004,Flavors & Recipes,4
section_2202,board_1003,Techniques,4
section_2203,board_1005,Layout & Benches,4
section_2204,board_1005,Techniques,3
section_2205,board_1003,Climate Systems,6
section_2206,board_1003,Cattleya,6
section_2207,board_1003,Phalaenopsis,5
section_2208,board_1003,Weeknight Meals,6
section_2209,board_1003,Cattleya,4
section_2210,board_1002,Flavors & Recipes,5
section_2211,board_1003,Techniques,7
section_2212,board_1002,Cattleya,7
section_2213,board_1002,Techniques,6
section_2214,board_1003,Paphiopedilum,7
section_2215,board_1004,Techniques,6
section_2216,board_1004,Layout & Benches,7
section_2217,board_1003,Layout & Benches,4
section_2218,board_1002,Weeknight Meals,5
section_2219,board_1004,Paphiopedilum,4
section_2220,board_1005,Weeknight Meals,4
section_2221,board_1003,Climate Systems,5
section_2222,board_1002,Techniques,4
section_2223,board_1004,Cattleya,4
section_2224,board_1005,Layout & Benches,4
section_2225,board_1002,Climate Systems,8
section_2226,board_1003,Flavors & Recipes,4
section_2227,board_1003,Techniques,5
section_2228,board_1002,Layout & Benches,7
section_2229,board_1002,Layout & Benches,7
section_2230,board_1005,Weeknight Meals,5
section_2231,board_1004,Layout & Benches,4
section_2232,board_1003,Techniques,5
section_2233,board_1005,Layout & Benches,7
section_2234,board_1002,Cattleya,3
section_2235,board_1002,Layout & Benches,7
section_2236,board_1005,Techniques,3
section_2237,board_1003,Weeknight Meals,8
section_2238,board_1004,Techniques,4
section_2239,board_1004,Climate Systems,4
section_2240,board_1003,Flavors & Recipes,8
section_2241,board_1002,Techniques,6
section_2242,board_1002,Weeknight Meals,6
section_2243,board_1003,Weeknight Meals,6
section_2244,board_1003,Paphiopedilum,8
section_2245,board_1002,Techniques,3
section_2246,board_1004,Flavors & Recipes,4
section_2247,board_1003,Phalaenopsis,4
section_2248,board_1005,Paphiopedilum,7
section_2249,board_1002,Layout & Benches,8
section_2250,board_1002,Layout & Benches,7
