"broadcaster_id","broadcaster_login","broadcaster_name","game_id","game_name","title","broadcaster_language","tags","follower_count"
"u_0127","user39","User 39","g_0002","Fortnite","alpha hotel river stone river","de","gaming","133844"
"u_1039","user40","User 40","g_0015","Call of Duty","valley charlie bravo bravo delta","ja","moba","423029"
"u_1040","user41","User 41","g_0012","Dota 2","river stone stone alpha ocean","fr","irl","40293"
"u_0023","user42","User 42","g_0013","Fortnite","valley delta echo foxtrot hotel","ja","fps","21017"
"u_0068","user43","User 43","g_0015","Dota 2","foxtrot foxtrot delta valley alpha","ko","rpg","22450"
"u_0031","user44","User 44","g_0012","Counter-Strike 2","river delta ocean mountain golf","ja","creative","376934"
"u_0024","user45","User 45","g_0012","Fortnite","market valley valley ocean delta","pt","irl","332712"
"u_1045","user46","User 46","g_0015","Fortnite","hotel mountain stone bridge forest","fr","moba","490031"
"u_1046","user47","User 47","g_0007","Valorant","forest echo delta juliet cloud","es","gaming","412875"
"u_1047","user48","User 48","g_0015","GTA V","tower mountain market forest tower","ja","moba","498946"
"u_0050","user49","User 49","g_0003","League of Legends","valley tower tower foxtrot market","es","esports","343624"
"u_0083","user50","User 50","g_0002","Apex Legends","echo hotel tower hotel market","ja","gaming","471183"
"u_0049","user51","User 51","g_0015","Valorant","golf india forest foxtrot bridge","ja","moba","360982"
"u_0042","user52","User 52","g_0015","Fortnite","charlie juliet forest echo market","en","esports","216674"
"u_0116","user53","User 53","g_0002","Apex Legends","ocean bravo hotel market ocean","pt","fps","415258"
"u_0110","user54","User 54","g_0012","Minecraft","golf alpha river charlie golf","pt","rpg","229436"
"u_1054","user55","User 55","g_0005","Counter-Strike 2","stone mountain ocean market golf","ja","irl","265556"
"u_0047","user56","User 56","g_0007","Dota 2","india stone tower echo ocean","pt","rpg","337545"
"u_0052","user57","User 57","g_0014","Overwatch 2","alpha mountain golf golf bridge","ja","music","121563"
"u_0075","user58","User 58","g_0011","GTA V","alpha golf juliet juliet india","de","rpg","187986"
"u_1058","user59","User 59","g_0007","GTA V","bridge hotel golf mountain bravo","es","music","363406"
"u_0105","user60","User 60","g_0012","Call of Duty","ocean alpha ocean bridge delta","fr","fps","159325"
"u_0128","user61","User 61","g_0008","League of Legends","ocean bridge valley echo alpha","ja","fps","477742"
"u_0037","user62","User 62","g_0008","Dota 2","golf cloud delta cloud charlie","ko","music","89053"
"u_0143","user63","User 63","g_0001","Apex Legends","hotel delta mountain tower market","pt","esports","237595"
"u_1063","user64","User 64","g_0009","GTA V","river alpha hotel tower delta","en","gaming","21751"
"u_0104","user65","User 65","g_0006","GTA V","juliet golf bridge alpha alpha","ja","gaming","492102"
"u_1065","user66","User 66","g_0002","GTA V","india forest india cloud valley","fr","esports","182249"
"u_1066","user67","User 67","g_0010","Minecraft","river hotel tower stone alpha","ko","fps","176247"
"u_0069","user68","User 68","g_0008","GTA V","hotel mountain river cloud valley","ja","fps","219186"
"u_0065","user69","User 69","g_0001","Fortnite","delta river echo market market","en","gaming","77099"
"u_1069","user70","User 70","g_0008","Call of Duty","cloud bravo hotel hotel stone","es","esports","463781"
"u_0004","user71","User 71","g_0015","League of Legends","cloud delta alpha foxtrot bridge","ja","moba","226765"
"u_0016","user72","User 72","g_0011","League of Legends","hotel tower cloud delta valley","en","moba","12113"
"u_1072","user73","User 73","g_0014","Counter-Strike 2","stone tower juliet charlie golf","fr","fps","255997"
"u_1073","user74","User 74","g_0001","Dota 2","charlie mountain echo juliet india","de","esports","62556"
"u_1074","user75","User 75","g_0010","Fortnite","valley hotel valley delta forest","ja","esports","387680"
"u_0008","user76","User 76","g_0006","Valorant","mountain juliet cloud hotel market","de","moba","306913"
"u_0015","user77","User 77","g_0001","Minecraft","alpha cloud stone echo valley","pt","fps","70160"
"u_0093","user78","User 78","g_0013","Overwatch 2","juliet charlie charlie delta cloud","es","esports","264836"
"u_0096","user79","User 79","g_0013","Minecraft","forest delta juliet charlie valley","fr","irl","220524"
"u_1079","user80","User 80","g_0005","Fortnite","india alpha alpha tower valley","es","creative","140823"
"u_0026","user81","User 81","g_0004","Valorant","hotel tower charlie charlie forest","es","fps","119895"
"u_1081","user82","User 82","g_0007","Fortnite","market india alpha cloud river","de","music","217506"
"u_1082","user83","User 83","g_0002","Apex Legends","ocean alpha juliet tower valley","ko","creative","290365"
"u_1083","user84","User 84","g_0007","Counter-Strike 2","forest alpha juliet juliet valley","fr","music","196121"
"u_0020","user85","User 85","g_0012","Apex Legends","delta market cloud stone ocean","ja","moba","104449"
"u_0091","user86","User 86","g_0007","Fortnite","bridge charlie forest golf market","es","moba","419594"
"u_1086","user87","User 87","g_0014","Overwatch 2","cloud ocean forest ocean alpha","en","rpg","380014"
"u_1087","user88","User 88","g_0008","League of Legends","hotel bridge delta valley ocean","pt","gaming","131587"
"u_1088","user89","User 89","g_0012","League of Legends","golf valley cloud echo ocean","fr","music","60484"
"u_0107","user90","User 90","g_0008","Fortnite","delta golf river charlie charlie","fr","music","283866"
"u_1090","user91","User 91","g_0003","Overwatch 2","bridge mountain forest stone hotel","es","rpg","219106"
"u_1091","user92","User 92","g_0004","GTA V","ocean foxtrot stone golf foxtrot","pt","rpg","116577"
"u_0115","user93","User 93","g_0005","Fortnite","forest valley bridge india hotel","es","creative","315244"
"u_1093","user94","User 94","g_0007","Counter-Strike 2","hotel ocean alpha delta ocean","pt","creative","34355"
"u_0109","user95","User 95","g_0005","Dota 2","bravo delta charlie india valley","de","fps","209523"
"u_1095","user96","User 96","g_0012","Counter-Strike 2","echo alpha river stone alpha","fr","esports","77819"
"u_0144","user97","User 97","g_0015","Minecraft","valley cloud charlie echo forest","ko","moba","65696"
"u_0135","user98","User 98","g_0005","Minecraft","hotel delta foxtrot tower india","ko","fps","336390"
"u_1098","user99","User 99","g_0002","Counter-Strike 2","tower alpha cloud hotel stone","de","creative","24518"
"u_1099","user100","User 100","g_0014","League of Legends","delta bravo alpha golf bravo","es","gaming","391386"
"u_1100","user101","User 101","g_0013","Counter-Strike 2","ocean juliet foxtrot bridge stone","es","moba","142934"
"u_0081","user102","User 102","g_0013","Valorant","stone bravo valley bridge juliet","en","creative","67987"
"u_0137","user103","User 103","g_0015","League of Legends","ocean tower tower alpha india","pt","fps","474388"
"u_0125","user104","User 104","g_0013","Fortnite","alpha india ocean forest echo","en","irl","106199"
"u_0077","user105","User 105","g_0013","Valorant","bravo juliet river foxtrot river","fr","creative","298753"
"u_0132","user106","User 106","g_0008","Minecraft","ocean golf juliet bridge golf","es","gaming","20081"
"u_0087","user107","User 107","g_0002","Apex Legends","river river valley market delta","de","fps","40437"
"u_1107","user108","User 108","g_0002","Minecraft","bridge stone stone delta forest","fr","creative","425994"
"u_0140","user109","User 109","g_0012","Fortnite","market bravo bridge golf ocean","en","music","333595"
"u_1109","user110","User 110","g_0013","Apex Legends","ocean forest mountain stone bridge","en","moba","150920"
"u_1110","user111","User 111","g_0007","Apex Legends","ocean cloud market delta cloud","ko","moba","347458"
"u_0113","user112","User 112","g_0010","Overwatch 2","market river foxtrot ocean delta","de","creative","421965"
"u_0053","user113","User 113","g_0009","Minecraft","forest hotel foxtrot charlie echo","fr","music","157704"
"u_1113","user114","User 114","g_0011","Apex Legends","foxtrot golf valley market delta","de","creative","123372"
"u_1114","user115","User 115","g_0014","Fortnite","market ocean foxtrot bravo market","ja","music","221008"
"u_1115","user116","User 116","g_0012","GTA V","foxtrot juliet alpha charlie foxtrot","pt","music","77780"
"u_1116","user117","User 117","g_0005","Call of Duty","foxtrot market foxtrot charlie valley","pt","fps","341471"
"u_1117","user118","User 118","g_0012","Call of Duty","bravo bravo charlie cloud stone","es","irl","453634"
"u_1118","user119","User 119","g_0005","Counter-Strike 2","bridge market tower delta stone","ko","gaming","130611"
"u_1119","user120","User 120","g_0001","Overwatch 2","ocean charlie india juliet charlie","de","creative","484465"
"u_0136","user121","User 121","g_0012","Valorant","hotel foxtrot india tower golf","es","esports","206545"
"u_1121","user122","User 122","g_0008","League of Legends","delta india echo market alpha","ko","irl","414225"
"u_0012","user123","User 123","g_0011","Valorant","ocean stone cloud river hotel","fr","gaming","73610"
"u_1123","user124","User 124","g_0014","Fortnite","golf india stone juliet tower","de","esports","90638"
"u_1124","user125","User 125","g_0010","Apex Legends","mountain golf valley india river","fr","fps","419547"
"u_0076","user126","User 126","g_0004","Minecraft","echo bridge ocean india market","pt","fps","252937"
"u_1126","user127","User 127","g_0013","Minecraft","alpha india ocean bridge forest","pt","music","221414"
"u_0124","user128","User 128","g_0007","Minecraft","mountain delta bravo juliet market","ko","esports","33806"
"u_1128","user129","User 129","g_0003","Fortnite","market river alpha juliet alpha","es","moba","363720"
"u_0027","user130","User 130","g_0014","Minecraft","alpha market tower river india","ja","moba","469524"
"u_1130","user131","User 131","g_0002","Overwatch 2","stone hotel golf mountain stone","ko","creative","333267"
"u_1131","user132","User 132","g_0004","Apex Legends","stone foxtrot bridge india india","fr","creative","269427"
"u_1132","user133","User 133","g_0007","Apex Legends","echo echo hotel foxtrot stone","es","irl","35381"
"u_1133","user134","User 134","g_0014","Apex Legends","forest bravo echo cloud mountain","en","moba","327652"
"u_0040","user135","User 135","g_0010","Fortnite","tower market foxtrot charlie forest","de","creative","165693"
"u_1135","user136","User 136","g_0002","Apex Legends","charlie india juliet stone market","ko","fps","188590"
"u_0022","user137","User 137","g_0004","Fortnite","juliet hotel hotel bravo forest","es","gaming","30195"
"u_0088","user138","User 138","g_0005","League of Legends","charlie india foxtrot bravo cloud","de","moba","385782"
"u_1138","user139","User 139","g_0012","Fortnite","hotel delta foxtrot market mountain","de","music","23717"
"u_0054","user140","User 140","g_0002","Apex Legends","cloud forest delta valley foxtrot","fr","fps","269562"
"u_0041","user141","User 141","g_0004","Call of Duty","market market charlie stone river","ja","creative","182613"
"u_1141","user142","User 142","g_0006","Apex Legends","hotel bravo ocean echo valley","en","fps","385977"
"u_1142","user143","User 143","g_0009","Call of Duty","forest delta mountain ocean india","de","creative","496615"
"u_1143","user144","User 144","g_0008","Counter-Strike 2","golf bridge hotel valley juliet","ko","rpg","330799"
"u_0046","user145","User 145","g_0013","Dota 2","echo juliet river bravo bravo","es","music","119043"
"u_1145","user146","User 146","g_0002","Fortnite","valley market charlie juliet mountain","ja","moba","266039"
"u_1146","user147","User 147","g_0013","GTA V","juliet foxtrot bravo cloud ocean","pt","esports","212647"
"u_1147","user148","User 148","g_0014","Fortnite","bravo india hotel bravo ocean","ja","esports","235948"
"u_0063","user149","User 149","g_0005","Counter-Strike 2","tower valley alpha valley hotel","pt","moba","462916"
"u_0044","user150","User 150","g_0004","Apex Legends","delta bridge foxtrot bridge india","ja","music","398605"
