transaction_id,receipt_id,listing_id,shop_id,buyer_user_id,title,quantity,price,shipping_cost,is_digital,variations,created_timestamp
7100045,4200045,5300004,29457183,6100044,Wide serving platter,2,95.0,7.5,false,,2026-08-18T10:44:00-05:00
7100046,4200046,5300005,29457183,6100045,Pour-over coffee dripper,2,56.0,7.5,false,,2026-08-27T10:45:00-05:00
7100047,4200047,5300006,29457183,6100046,Berry colander,1,48.0,7.5,false,,2026-08-13T10:46:00-05:00
7100048,4200048,5300007,29457183,6100047,Matte black tumbler,1,30.0,14.5,false,,2026-08-11T10:47:00-05:00
7100049,4200049,5300008,29457183,6100048,Handled soup crock,1,52.0,12.0,false,,2026-09-09T10:48:00-05:00
7100050,4200050,5300009,29457183,6100049,Spoon rest set,1,22.0,12.0,false,,2026-07-12T10:49:00-05:00
7100051,4200051,5300000,29457183,6100050,Coil-built stoneware mug,1,38.0,7.5,false,,2026-09-20T10:50:00-05:00
7100052,4200052,5300001,29457183,6100051,Speckled dinner bowl,1,42.0,9.0,false,,2026-08-06T10:51:00-05:00
7100053,4200053,5300002,29457183,6100052,Tall carafe with cork,1,68.0,7.5,false,,2026-08-17T10:52:00-05:00
7100054,4200054,5300003,29457183,6100053,Small planter with drip tray,1,34.0,9.0,false,,2026-07-08T10:53:00-05:00
7100055,4200055,5300004,29457183,6100054,Wide serving platter,1,95.0,12.0,false,,2026-07-02T10:54:00-05:00
7100056,4200056,5300005,29457183,6100055,Pour-over coffee dripper,1,56.0,9.0,false,,2026-08-02T10:55:00-05:00
7100057,4200057,5300006,29457183,6100056,Berry colander,1,48.0,14.5,false,,2026-09-12T10:56:00-05:00
7100058,4200058,5300007,29457183,6100057,Matte black tumbler,2,30.0,12.0,false,,2026-07-28T10:57:00-05:00
7100059,4200059,5300008,29457183,6100058,Handled soup crock,1,52.0,14.5,false,,2026-07-04T10:58:00-05:00
7100060,4200060,5300009,29457183,6100059,Spoon rest set,1,22.0,14.5,false,,2026-08-12T10:00:00-05:00
7100061,4200061,5300000,29457183,6100060,Coil-built stoneware mug,1,38.0,14.5,false,,2026-08-14T10:01:00-05:00
7100062,4200062,5300001,29457183,6100061,Speckled dinner bowl,1,42.0,7.5,false,,2026-07-05T10:02:00-05:00
7100063,4200063,5300002,29457183,6100062,Tall carafe with cork,1,68.0,12.0,false,,2026-09-21T10:03:00-05:00
7100064,4200064,5300003,29457183,6100063,Small planter with drip tray,1,34.0,7.5,false,,2026-07-20T10:04:00-05:00
7100065,4200065,5300004,29457183,6100064,Wide serving platter,1,95.0,7.5,false,,2026-07-13T10:05:00-05:00
7100066,4200066,5300005,29457183,6100065,Pour-over coffee dripper,2,56.0,12.0,false,,2026-08-04T10:06:00-05:00
7100067,4200067,5300006,29457183,6100066,Berry colander,2,48.0,12.0,false,,2026-08-06T10:07:00-05:00
7100068,4200068,5300007,29457183,6100067,Matte black tumbler,1,30.0,14.5,false,,2026-07-04T10:08:00-05:00
7100069,4200069,5300008,29457183,6100068,Handled soup crock,2,52.0,14.5,false,,2026-09-06T10:09:00-05:00
7100070,4200070,5300009,29457183,6100069,Spoon rest set,1,22.0,12.0,false,,2026-08-13T10:10:00-05:00
7100071,4200071,5300000,29457183,6100070,Coil-built stoneware mug,1,38.0,12.0,false,,2026-08-09T10:11:00-05:00
7100072,4200072,5300001,29457183,6100071,Speckled dinner bowl,1,42.0,9.0,false,,2026-07-09T10:12:00-05:00
7100073,4200073,5300002,29457183,6100072,Tall carafe with cork,1,68.0,12.0,false,,2026-07-15T10:13:00-05:00
7100074,4200074,5300003,29457183,6100073,Small planter with drip tray,2,34.0,12.0,false,,2026-07-21T10:14:00-05:00
7100075,4200075,5300004,29457183,6100074,Wide serving platter,1,95.0,7.5,false,,2026-08-12T10:15:00-05:00
7100076,4200076,5300005,29457183,6100075,Pour-over coffee dripper,2,56.0,9.0,false,,2026-07-18T10:16:00-05:00
7100077,4200077,5300006,29457183,6100076,Berry colander,1,48.0,9.0,false,,2026-07-07T10:17:00-05:00
7100078,4200078,5300007,29457183,6100077,Matte black tumbler,2,30.0,7.5,false,,2026-09-28T10:18:00-05:00
7100079,4200079,5300008,29457183,6100078,Handled soup crock,1,52.0,12.0,false,,2026-09-09T10:19:00-05:00
7100080,4200080,5300009,29457183,6100079,Spoon rest set,1,22.0,12.0,false,,2026-09-07T10:20:00-05:00
7100081,4200081,5300000,29457183,6100080,Coil-built stoneware mug,1,38.0,14.5,false,,2026-07-01T10:21:00-05:00
7100082,4200082,5300001,29457183,6100081,Speckled dinner bowl,1,42.0,12.0,false,,2026-07-05T10:22:00-05:00
7100083,4200083,5300002,29457183,6100082,Tall carafe with cork,1,68.0,14.5,false,,2026-07-09T10:23:00-05:00
7100084,4200084,5300003,29457183,6100083,Small planter with drip tray,1,34.0,12.0,false,,2026-07-14T10:24:00-05:00
7100085,4200085,5300004,29457183,6100084,Wide serving platter,1,95.0,14.5,false,,2026-07-01T10:25:00-05:00
7100086,4200086,5300005,29457183,6100085,Pour-over coffee dripper,2,56.0,12.0,false,,2026-09-15T10:26:00-05:00
7100087,4200087,5300006,29457183,6100086,Berry colander,1,48.0,14.5,false,,2026-07-10T10:27:00-05:00
7100088,4200088,5300007,29457183,6100087,Matte black tumbler,2,30.0,7.5,false,,2026-08-10T10:28:00-05:00
7100089,4200089,5300008,29457183,6100088,Handled soup crock,2,52.0,14.5,false,,2026-07-22T10:29:00-05:00
7100090,4200090,5300009,29457183,6100089,Spoon rest set,2,22.0,7.5,false,,2026-09-18T10:30:00-05:00
7100091,4200091,5300000,29457183,6100090,Coil-built stoneware mug,1,38.0,7.5,false,,2026-09-03T10:31:00-05:00
7100092,4200092,5300001,29457183,6100091,Speckled dinner bowl,2,42.0,7.5,false,,2026-09-13T10:32:00-05:00
7100093,4200093,5300002,29457183,6100092,Tall carafe with cork,1,68.0,14.5,false,,2026-09-21T10:33:00-05:00
7100094,4200094,5300003,29457183,6100093,Small planter with drip tray,1,34.0,14.5,false,,2026-07-10T10:34:00-05:00
7100095,4200095,5300004,29457183,6100094,Wide serving platter,2,95.0,9.0,false,,2026-08-25T10:35:00-05:00
7100096,4200096,5300005,29457183,6100095,Pour-over coffee dripper,1,56.0,7.5,false,,2026-09-26T10:36:00-05:00
7100097,4200097,5300006,29457183,6100096,Berry colander,2,48.0,12.0,false,,2026-09-08T10:37:00-05:00
7100098,4200098,5300007,29457183,6100097,Matte black tumbler,1,30.0,14.5,false,,2026-07-18T10:38:00-05:00
7100099,4200099,5300008,29457183,6100098,Handled soup crock,1,52.0,9.0,false,,2026-07-15T10:39:00-05:00
7100100,4200100,5300009,29457183,6100099,Spoon rest set,1,22.0,7.5,false,,2026-08-03T10:40:00-05:00
7100101,4200101,5300000,29457183,6100100,Coil-built stoneware mug,1,38.0,7.5,false,,2026-07-28T10:41:00-05:00
7100102,4200102,5300001,29457183,6100101,Speckled dinner bowl,1,42.0,12.0,false,,2026-08-22T10:42:00-05:00
7100103,4200103,5300002,29457183,6100102,Tall carafe with cork,1,68.0,7.5,false,,2026-09-02T10:43:00-05:00
7100104,4200104,5300003,29457183,6100103,Small planter with drip tray,2,34.0,9.0,false,,2026-09-05T10:44:00-05:00
7100105,4200105,5300009,29457183,6109901,Handled soup crock,1,52.0,12.5,false,,2026-09-27T11:15:00-05:00
7100106,4200106,5300004,29457183,6109902,Wide serving platter,1,95.0,12.0,false,,2026-09-22T13:00:00-05:00
7100107,4200107,5300000,29457183,6109910,Coil-built stoneware mug,1,38.0,9.0,false,,2026-09-29T16:00:00-05:00
7100108,4200108,5300000,29457183,6109911,Coil-built stoneware mug,1,38.0,9.0,false,,2026-09-29T16:01:00-05:00
