"identifier","image","caption","date","centroid_lat","centroid_lon"
"epic_000020","epic_RGB_000020","india bravo delta mountain golf charlie cloud cloud","2024-12-19 00:00:00","43.1642","-115.81"
"epic_000021","epic_RGB_000021","golf river forest alpha foxtrot foxtrot market bravo","2024-05-23 00:00:00","23.2385","-130.2366"
"epic_000022","epic_RGB_000022","cloud bridge cloud mountain mountain india cloud ocean","2024-03-15 00:00:00","52.8281","160.9463"
"epic_000023","epic_RGB_000023","india valley alpha bravo stone charlie delta ocean","2024-07-13 00:00:00","-67.8727","-86.5223"
"epic_000024","epic_RGB_000024","delta ocean alpha mountain alpha alpha ocean juliet","2024-12-01 00:00:00","19.3311","62.6683"
"epic_000025","epic_RGB_000025","hotel bridge mountain cloud stone bravo golf echo","2024-02-15 00:00:00","-80.1224","61.4563"
"epic_000026","epic_RGB_000026","hotel echo juliet juliet market bravo valley echo","2024-08-12 00:00:00","9.0613","-115.1744"
"epic_000027","epic_RGB_000027","hotel juliet juliet alpha charlie echo echo alpha","2024-03-11 00:00:00","81.1921","27.1382"
"epic_000028","epic_RGB_000028","mountain foxtrot ocean bridge bravo bridge echo bridge","2024-06-03 00:00:00","17.0724","1.1349"
"epic_000029","epic_RGB_000029","stone tower ocean cloud delta india india bravo","2024-05-07 00:00:00","-86.8288","136.9845"
"epic_000030","epic_RGB_000030","stone tower stone cloud golf river echo hotel","2024-07-21 00:00:00","-28.3289","129.1918"
"epic_000031","epic_RGB_000031","forest india bravo india india bridge delta bravo","2024-05-11 00:00:00","-59.6224","5.4136"
"epic_000032","epic_RGB_000032","stone echo valley cloud mountain market golf delta","2024-12-20 00:00:00","-9.5662","40.4422"
"epic_000033","epic_RGB_000033","echo foxtrot mountain hotel india golf echo stone","2024-06-06 00:00:00","-68.5287","38.6727"
"epic_000034","epic_RGB_000034","alpha cloud foxtrot tower foxtrot charlie bridge bridge","2024-12-21 00:00:00","-76.2666","-78.8797"
"epic_000035","epic_RGB_000035","delta foxtrot juliet echo valley juliet golf charlie","2024-04-05 00:00:00","-0.4592","-172.4635"
"epic_000036","epic_RGB_000036","delta foxtrot charlie charlie alpha golf hotel stone","2024-07-07 00:00:00","57.804","-31.1717"
"epic_000037","epic_RGB_000037","foxtrot juliet delta bravo bridge india bridge cloud","2024-05-07 00:00:00","-20.2464","-29.4556"
"epic_000038","epic_RGB_000038","stone ocean stone india cloud hotel stone bridge","2024-07-20 00:00:00","2.488","75.3322"
"epic_000039","epic_RGB_000039","alpha ocean cloud echo charlie stone river mountain","2024-12-18 00:00:00","80.8561","112.2421"
"epic_000040","epic_RGB_000040","mountain alpha stone india valley charlie river bravo","2024-10-10 00:00:00","22.1564","128.5587"
"epic_000041","epic_RGB_000041","hotel golf juliet india charlie india alpha echo","2024-05-19 00:00:00","80.7387","170.8862"
"epic_000042","epic_RGB_000042","delta alpha india valley mountain tower juliet golf","2024-07-03 00:00:00","-34.7672","-149.5335"
"epic_000043","epic_RGB_000043","alpha bridge hotel cloud hotel delta valley delta","2024-06-15 00:00:00","5.009","-163.4497"
"epic_000044","epic_RGB_000044","market golf valley india alpha bravo forest ocean","2024-05-24 00:00:00","44.7192","-6.2501"
"epic_000045","epic_RGB_000045","mountain forest ocean bravo delta charlie echo mountain","2024-11-05 00:00:00","72.7117","134.3763"
"epic_000046","epic_RGB_000046","stone tower stone mountain forest mountain cloud charlie","2024-11-05 00:00:00","86.6793","-167.3306"
"epic_000047","epic_RGB_000047","delta delta ocean echo forest delta echo market","2024-11-12 00:00:00","-77.8286","71.5464"
"epic_000048","epic_RGB_000048","tower stone tower river ocean juliet ocean market","2024-11-15 00:00:00","18.2903","-21.9584"
"epic_000049","epic_RGB_000049","tower hotel india market delta hotel stone forest","2024-03-05 00:00:00","16.7682","-42.0512"
"epic_000050","epic_RGB_000050","valley mountain india charlie foxtrot foxtrot market golf","2024-05-07 00:00:00","-85.7451","-34.944"
"epic_000051","epic_RGB_000051","mountain hotel bravo cloud tower river foxtrot river","2024-11-04 00:00:00","15.7693","73.091"
"epic_000052","epic_RGB_000052","charlie delta river bravo echo ocean market echo","2024-11-07 00:00:00","15.3022","179.884"
"epic_000053","epic_RGB_000053","valley river market ocean bravo tower india india","2024-04-01 00:00:00","22.6168","178.4545"
"epic_000054","epic_RGB_000054","tower ocean foxtrot tower bravo foxtrot echo valley","2024-08-04 00:00:00","58.6407","32.6148"
"epic_000055","epic_RGB_000055","river valley tower charlie market tower stone ocean","2024-02-26 00:00:00","51.135","-148.871"
"epic_000056","epic_RGB_000056","hotel echo cloud india delta mountain market market","2024-06-28 00:00:00","-69.3613","140.7911"
"epic_000057","epic_RGB_000057","cloud echo echo charlie juliet tower forest juliet","2024-11-10 00:00:00","-76.2376","-92.5564"
"epic_000058","epic_RGB_000058","india delta india forest stone charlie golf hotel","2024-09-07 00:00:00","4.7496","-149.8788"
"epic_000059","epic_RGB_000059","india golf market tower charlie foxtrot ocean forest","2024-07-27 00:00:00","0.0778","110.1291"
"epic_000060","epic_RGB_000060","charlie delta cloud stone ocean charlie bravo delta","2024-10-21 00:00:00","-71.8199","-58.1638"
"epic_000061","epic_RGB_000061","ocean bridge cloud golf charlie bravo hotel bravo","2024-02-27 00:00:00","80.028","-146.2499"
"epic_000062","epic_RGB_000062","hotel charlie ocean hotel valley stone river hotel","2024-03-17 00:00:00","16.593","-144.945"
"epic_000063","epic_RGB_000063","foxtrot alpha charlie charlie echo india mountain hotel","2024-07-13 00:00:00","-81.1684","-16.9238"
"epic_000064","epic_RGB_000064","hotel river juliet valley river foxtrot juliet ocean","2024-08-03 00:00:00","8.1507","127.3554"
"epic_000065","epic_RGB_000065","delta tower echo juliet valley forest golf bravo","2024-11-27 00:00:00","47.3145","77.9687"
"epic_000066","epic_RGB_000066","juliet tower tower river delta market bridge echo","2024-12-03 00:00:00","35.5042","121.8904"
"epic_000067","epic_RGB_000067","delta stone valley mountain golf echo foxtrot foxtrot","2024-07-19 00:00:00","-6.4004","45.6422"
"epic_000068","epic_RGB_000068","foxtrot ocean river echo river mountain alpha alpha","2024-02-19 00:00:00","-8.7134","9.3435"
"epic_000069","epic_RGB_000069","forest echo foxtrot alpha foxtrot stone bravo bravo","2024-11-02 00:00:00","-51.3942","-20.4142"
"epic_000070","epic_RGB_000070","hotel hotel juliet hotel bridge hotel forest river","2024-05-28 00:00:00","-15.5227","106.6247"
"epic_000071","epic_RGB_000071","market bridge ocean tower bridge market charlie golf","2024-09-27 00:00:00","69.3649","4.2799"
"epic_000072","epic_RGB_000072","market river stone echo foxtrot valley bravo hotel","2024-03-28 00:00:00","76.3033","-0.5529"
"epic_000073","epic_RGB_000073","juliet bravo echo river valley cloud india alpha","2024-10-03 00:00:00","-16.5301","162.121"
"epic_000074","epic_RGB_000074","tower river bridge tower juliet forest valley bravo","2024-10-01 00:00:00","-78.7436","-159.8784"
"epic_000075","epic_RGB_000075","mountain india mountain bridge echo india bravo market","2024-06-26 00:00:00","9.8587","-102.4338"
"epic_000076","epic_RGB_000076","golf bridge forest bridge cloud mountain golf alpha","2024-06-23 00:00:00","-7.8126","117.7059"
"epic_000077","epic_RGB_000077","mountain mountain golf tower hotel bridge foxtrot cloud","2024-06-13 00:00:00","-19.8439","-15.2818"
"epic_000078","epic_RGB_000078","golf ocean bridge tower mountain charlie bridge alpha","2024-09-23 00:00:00","28.2844","69.3314"
"epic_000079","epic_RGB_000079","stone ocean delta hotel india stone mountain mountain","2024-07-06 00:00:00","-24.9227","133.7032"
"epic_000080","epic_RGB_000080","charlie juliet bravo alpha forest mountain valley delta","2024-10-26 00:00:00","23.0553","52.4205"
"epic_000081","epic_RGB_000081","market mountain india market cloud cloud stone forest","2024-04-25 00:00:00","-88.1925","-88.9671"
"epic_000082","epic_RGB_000082","foxtrot charlie river valley mountain market echo mountain","2024-02-23 00:00:00","34.188","-156.7628"
"epic_000083","epic_RGB_000083","echo bridge market mountain alpha alpha alpha echo","2024-07-12 00:00:00","9.7461","120.134"
"epic_000084","epic_RGB_000084","bridge cloud cloud alpha valley alpha golf golf","2024-01-05 00:00:00","60.1365","-17.9625"
"epic_000085","epic_RGB_000085","juliet cloud mountain river stone stone charlie bridge","2024-12-20 00:00:00","11.453","-82.3557"
"epic_000086","epic_RGB_000086","delta stone bravo river river charlie ocean ocean","2024-07-09 00:00:00","5.5136","14.6819"
"epic_000087","epic_RGB_000087","hotel india bridge india india delta tower cloud","2024-08-03 00:00:00","-8.0251","75.3724"
"epic_000088","epic_RGB_000088","golf river forest cloud forest bridge ocean cloud","2024-10-04 00:00:00","-25.6472","-82.0572"
"epic_000089","epic_RGB_000089","market stone bridge market bravo stone bravo charlie","2024-06-27 00:00:00","-60.5059","-19.9241"
"epic_000090","epic_RGB_000090","mountain alpha alpha market tower golf golf golf","2024-03-09 00:00:00","-36.8474","116.3031"
"epic_000091","epic_RGB_000091","bravo forest ocean forest forest market cloud bridge","2024-08-17 00:00:00","82.968","77.6259"
"epic_000092","epic_RGB_000092","valley charlie valley charlie river market bravo bridge","2024-12-03 00:00:00","-36.2149","-119.4337"
"epic_000093","epic_RGB_000093","charlie foxtrot stone cloud market golf river valley","2024-03-18 00:00:00","29.4751","154.373"
"epic_000094","epic_RGB_000094","bridge golf foxtrot delta juliet india forest ocean","2024-08-25 00:00:00","-56.7066","-32.202"
"epic_000095","epic_RGB_000095","delta bridge echo market river echo golf foxtrot","2024-07-21 00:00:00","0.0019","109.2542"
"epic_000096","epic_RGB_000096","echo ocean mountain tower bridge alpha bridge golf","2024-10-13 00:00:00","11.1829","-143.3793"
"epic_000097","epic_RGB_000097","juliet forest delta ocean juliet bridge river bravo","2024-12-19 00:00:00","19.9504","153.9492"
"epic_000098","epic_RGB_000098","stone ocean mountain mountain mountain valley hotel india","2024-08-01 00:00:00","17.4048","-45.999"
"epic_000099","epic_RGB_000099","bravo alpha forest hotel forest delta juliet hotel","2024-02-02 00:00:00","86.2738","81.4388"
"epic_000100","epic_RGB_000100","river charlie alpha juliet bridge river forest hotel","2024-01-26 00:00:00","-80.1346","-87.5475"
"epic_000101","epic_RGB_000101","foxtrot golf valley mountain hotel echo bridge hotel","2024-08-06 00:00:00","-0.5627","-23.8303"
"epic_000102","epic_RGB_000102","mountain bridge delta delta juliet market delta bridge","2024-04-19 00:00:00","36.0951","-64.6479"
"epic_000103","epic_RGB_000103","juliet charlie echo juliet hotel forest tower cloud","2024-03-01 00:00:00","30.9191","-102.0451"
"epic_000104","epic_RGB_000104","valley foxtrot tower delta ocean echo juliet bridge","2024-06-14 00:00:00","-1.524","40.0805"
"epic_000105","epic_RGB_000105","foxtrot hotel valley golf mountain foxtrot tower foxtrot","2024-05-05 00:00:00","-14.6573","171.7229"
"epic_000106","epic_RGB_000106","stone tower forest valley india juliet stone foxtrot","2024-06-17 00:00:00","-29.0229","89.9342"
"epic_000107","epic_RGB_000107","market hotel foxtrot bravo cloud delta charlie river","2024-05-13 00:00:00","6.8689","-134.1217"
"epic_000108","epic_RGB_000108","cloud cloud tower bravo golf delta market tower","2024-04-11 00:00:00","-70.5841","18.2764"
"epic_000109","epic_RGB_000109","juliet hotel foxtrot stone foxtrot river juliet juliet","2024-05-15 00:00:00","79.3372","99.9201"
"epic_000110","epic_RGB_000110","river cloud bravo tower alpha bravo market valley","2024-03-16 00:00:00","-2.4388","24.6687"
"epic_000111","epic_RGB_000111","india bravo india market ocean cloud india forest","2024-05-24 00:00:00","75.4822","162.5893"
"epic_000112","epic_RGB_000112","golf forest cloud mountain juliet tower india charlie","2024-02-13 00:00:00","-52.3364","97.7865"
"epic_000113","epic_RGB_000113","golf market india golf charlie echo charlie foxtrot","2024-02-22 00:00:00","64.5575","76.4254"
"epic_000114","epic_RGB_000114","charlie stone stone juliet alpha forest forest cloud","2024-07-11 00:00:00","51.8112","151.4613"
"epic_000115","epic_RGB_000115","foxtrot mountain mountain ocean charlie alpha ocean golf","2024-04-20 00:00:00","-15.3391","-166.6822"
"epic_000116","epic_RGB_000116","tower mountain golf cloud delta hotel bravo charlie","2024-07-12 00:00:00","-29.7273","67.7806"
"epic_000117","epic_RGB_000117","bridge stone forest river tower tower delta golf","2024-07-18 00:00:00","-47.0729","-177.9535"
"epic_000118","epic_RGB_000118","mountain delta valley forest bravo cloud market bravo","2024-02-24 00:00:00","-39.9561","6.7825"
"epic_000119","epic_RGB_000119","alpha ocean market india cloud mountain golf india","2024-08-08 00:00:00","-37.7797","52.2696"
"epic_000120","epic_RGB_000120","charlie delta valley bravo charlie cloud tower market","2024-11-08 00:00:00","-15.1393","28.8531"
"epic_000121","epic_RGB_000121","forest foxtrot market hotel market alpha foxtrot stone","2024-08-07 00:00:00","-65.1223","172.9786"
"epic_000122","epic_RGB_000122","juliet golf foxtrot golf charlie charlie stone juliet","2024-11-05 00:00:00","-43.3042","-72.4114"
"epic_000123","epic_RGB_000123","mountain market golf market stone alpha bravo hotel","2024-01-19 00:00:00","-36.5551","8.8049"
"epic_000124","epic_RGB_000124","tower mountain charlie mountain foxtrot forest golf valley","2024-10-19 00:00:00","9.6102","-116.1197"
"epic_000125","epic_RGB_000125","foxtrot ocean hotel tower echo charlie market foxtrot","2024-03-22 00:00:00","77.1984","28.5189"
"epic_000126","epic_RGB_000126","delta golf echo river alpha market cloud charlie","2024-01-06 00:00:00","82.3616","-153.3646"
"epic_000127","epic_RGB_000127","cloud tower stone market bravo hotel foxtrot golf","2024-02-23 00:00:00","-20.2129","-60.5117"
"epic_000128","epic_RGB_000128","tower juliet alpha market bridge juliet hotel stone","2024-01-07 00:00:00","-58.337","167.0336"
"epic_000129","epic_RGB_000129","india juliet foxtrot valley market foxtrot delta juliet","2024-05-18 00:00:00","-34.2762","-82.0206"
"epic_000130","epic_RGB_000130","stone bravo bravo mountain echo echo echo bridge","2024-06-26 00:00:00","-43.6426","-19.2274"
"epic_000131","epic_RGB_000131","india valley echo forest market market bravo india","2024-12-09 00:00:00","47.1695","36.9051"
"epic_000132","epic_RGB_000132","stone market charlie echo bridge cloud valley charlie","2024-06-17 00:00:00","0.3276","7.0916"
"epic_000133","epic_RGB_000133","forest delta echo juliet charlie charlie bridge ocean","2024-08-01 00:00:00","29.3365","-17.8084"
"epic_000134","epic_RGB_000134","bravo juliet stone cloud tower cloud stone mountain","2024-05-09 00:00:00","71.576","114.5223"
"epic_000135","epic_RGB_000135","golf mountain juliet cloud tower bravo echo charlie","2024-12-14 00:00:00","54.0746","120.1767"
"epic_000136","epic_RGB_000136","echo cloud charlie delta mountain golf forest india","2024-04-19 00:00:00","80.2311","167.9044"
"epic_000137","epic_RGB_000137","market hotel echo bravo alpha river delta golf","2024-11-12 00:00:00","0.6165","-8.5563"
"epic_000138","epic_RGB_000138","hotel cloud cloud juliet alpha delta stone stone","2024-07-10 00:00:00","-56.8335","88.5244"
"epic_000139","epic_RGB_000139","delta market india delta valley tower market juliet","2024-07-14 00:00:00","78.0789","140.7061"
"epic_000140","epic_RGB_000140","forest golf tower alpha stone mountain river stone","2024-12-24 00:00:00","32.9889","-137.88"
"epic_000141","epic_RGB_000141","mountain cloud mountain echo cloud forest golf charlie","2024-10-11 00:00:00","51.8773","-118.0216"
"epic_000142","epic_RGB_000142","valley valley valley tower juliet cloud tower alpha","2024-03-06 00:00:00","-66.9909","-160.1788"
"epic_000143","epic_RGB_000143","echo forest alpha river river hotel tower alpha","2024-10-17 00:00:00","-84.5424","-27.1197"
"epic_000144","epic_RGB_000144","bravo india mountain alpha bravo juliet market foxtrot","2024-08-27 00:00:00","-26.5598","23.4937"
"epic_000145","epic_RGB_000145","forest ocean bridge delta alpha hotel golf forest","2024-09-17 00:00:00","23.3256","0.9571"
"epic_000146","epic_RGB_000146","juliet india alpha juliet bridge charlie alpha mountain","2024-06-02 00:00:00","-62.3287","-70.0658"
"epic_000147","epic_RGB_000147","valley alpha mountain tower charlie juliet mountain bravo","2024-12-23 00:00:00","31.016","-124.3861"
"epic_000148","epic_RGB_000148","bridge bridge cloud bridge stone foxtrot ocean forest","2024-07-10 00:00:00","-21.3135","-30.354"
"epic_000149","epic_RGB_000149","juliet ocean bridge forest foxtrot stone bridge foxtrot","2024-12-17 00:00:00","-35.0977","-173.7553"
"epic_000150","epic_RGB_000150","bridge mountain mountain charlie ocean tower foxtrot india","2024-05-16 00:00:00","41.6994","-173.793"
