"name","status","landing_date","launch_date","max_sol","max_date","total_photos"
"Rover_44","planned","2027-03-26","2025-12-03","0","2026-06-25","0"
"Rover_45","planned","2029-12-16","2027-04-13","0","2026-01-17","0"
"Rover_46","planned","2026-09-09","2026-09-21","0","2026-07-06","0"
"Rover_47","planned","2030-01-27","2028-04-18","0","2026-08-13","0"
"Rover_48","planned","2027-04-24","2025-01-26","0","2026-01-27","0"
"Rover_49","planned","2028-12-03","2024-11-27","0","2026-10-09","0"
"Rover_50","planned","2026-01-02","2029-08-21","0","2026-09-07","0"
"Rover_51","planned","2026-08-11","2029-12-07","0","2026-07-15","0"
"Rover_52","planned","2028-07-05","2028-07-01","0","2026-10-25","0"
"Rover_53","planned","2029-08-15","2027-02-17","0","2026-06-12","0"
"Rover_54","planned","2028-04-29","2025-04-30","0","2026-06-20","0"
"Rover_55","planned","2026-09-14","2025-09-13","0","2026-10-29","0"
"Rover_56","planned","2025-04-05","2025-10-01","0","2026-10-31","0"
"Rover_57","planned","2027-12-12","2024-06-16","0","2026-08-12","0"
"Rover_58","planned","2029-05-29","2029-08-23","0","2026-07-14","0"
"Rover_59","planned","2025-11-10","2025-08-26","0","2026-09-26","0"
"Rover_60","planned","2025-03-20","2029-12-13","0","2026-01-23","0"
"Rover_61","planned","2028-11-06","2029-07-25","0","2026-03-21","0"
"Rover_62","planned","2027-10-04","2024-10-21","0","2026-11-11","0"
"Rover_63","planned","2027-03-23","2025-05-15","0","2026-12-03","0"
"Rover_64","planned","2026-08-21","2026-08-07","0","2026-03-01","0"
"Rover_65","planned","2028-05-05","2027-03-19","0","2026-01-28","0"
"Rover_66","planned","2025-09-01","2029-12-21","0","2026-01-12","0"
"Rover_67","planned","2025-02-27","2027-06-14","0","2026-11-23","0"
"Rover_68","planned","2027-06-20","2029-07-20","0","2026-08-21","0"
"Rover_69","planned","2028-05-30","2027-05-07","0","2026-07-08","0"
"Rover_70","planned","2025-01-23","2027-08-21","0","2026-06-05","0"
"Rover_71","planned","2027-05-14","2029-11-06","0","2026-11-07","0"
"Rover_72","planned","2029-10-16","2024-12-29","0","2026-09-09","0"
"Rover_73","planned","2025-12-25","2027-09-07","0","2026-11-18","0"
"Rover_74","planned","2028-09-22","2029-12-31","0","2026-09-21","0"
"Rover_75","planned","2025-05-01","2024-03-25","0","2026-05-27","0"
"Rover_76","planned","2029-03-11","2025-12-12","0","2026-12-13","0"
"Rover_77","planned","2030-01-01","2024-10-13","0","2026-04-20","0"
"Rover_78","planned","2026-06-04","2024-09-30","0","2026-09-03","0"
"Rover_79","planned","2025-06-13","2029-06-10","0","2026-12-17","0"
"Rover_80","planned","2025-04-11","2028-11-16","0","2026-04-10","0"
"Rover_81","planned","2025-04-28","2028-01-06","0","2026-04-08","0"
"Rover_82","planned","2027-05-18","2025-02-23","0","2026-05-08","0"
"Rover_83","planned","2028-04-22","2024-03-18","0","2026-12-31","0"
"Rover_84","planned","2029-07-09","2029-01-15","0","2026-05-19","0"
"Rover_85","planned","2029-09-21","2029-10-07","0","2026-02-25","0"
"Rover_86","planned","2029-10-05","2027-12-26","0","2026-07-06","0"
"Rover_87","planned","2029-10-17","2027-04-27","0","2026-03-12","0"
"Rover_88","planned","2030-04-01","2029-10-26","0","2026-03-10","0"
"Rover_89","planned","2028-09-25","2024-11-14","0","2026-10-30","0"
"Rover_90","planned","2026-09-25","2025-12-25","0","2026-12-06","0"
"Rover_91","planned","2029-10-04","2027-04-18","0","2026-10-23","0"
"Rover_92","planned","2025-11-19","2024-08-02","0","2026-04-02","0"
"Rover_93","planned","2025-05-22","2027-08-24","0","2026-10-15","0"
"Rover_94","planned","2028-04-10","2024-04-23","0","2026-10-05","0"
"Rover_95","planned","2025-07-18","2028-02-04","0","2026-10-20","0"
"Rover_96","planned","2027-10-07","2027-09-03","0","2026-01-21","0"
"Rover_97","planned","2028-11-28","2027-12-24","0","2026-11-10","0"
"Rover_98","planned","2029-07-28","2026-05-20","0","2026-05-21","0"
"Rover_99","planned","2029-02-02","2024-10-06","0","2026-06-29","0"
"Rover_100","planned","2025-01-22","2024-06-24","0","2026-05-15","0"
"Rover_101","planned","2030-03-27","2027-03-31","0","2026-06-15","0"
"Rover_102","planned","2027-08-24","2025-01-08","0","2026-02-22","0"
"Rover_103","planned","2029-01-24","2028-09-10","0","2026-03-11","0"
"Rover_104","planned","2027-09-15","2026-03-31","0","2026-04-25","0"
"Rover_105","planned","2025-03-09","2025-11-25","0","2026-09-01","0"
"Rover_106","planned","2026-09-06","2029-07-10","0","2026-03-23","0"
"Rover_107","planned","2025-12-18","2026-03-28","0","2026-09-07","0"
"Rover_108","planned","2030-12-08","2025-05-04","0","2026-02-05","0"
"Rover_109","planned","2025-12-25","2026-04-24","0","2026-05-28","0"
"Rover_110","planned","2025-07-17","2027-04-30","0","2026-10-05","0"
"Rover_111","planned","2026-08-02","2027-08-13","0","2026-07-07","0"
"Rover_112","planned","2029-08-13","2025-08-27","0","2026-08-14","0"
"Rover_113","planned","2028-02-26","2029-10-20","0","2026-09-18","0"
"Rover_114","planned","2030-05-21","2027-01-14","0","2026-06-30","0"
"Rover_115","planned","2026-12-26","2026-07-21","0","2026-06-19","0"
"Rover_116","planned","2030-08-14","2026-02-01","0","2026-11-11","0"
"Rover_117","planned","2028-10-02","2025-05-13","0","2026-12-20","0"
"Rover_118","planned","2030-10-01","2027-11-17","0","2026-11-01","0"
"Rover_119","planned","2029-09-08","2024-08-06","0","2026-12-22","0"
"Rover_120","planned","2027-07-25","2025-11-11","0","2026-03-06","0"
"Rover_121","planned","2029-02-17","2027-09-03","0","2026-04-09","0"
"Rover_122","planned","2028-01-10","2026-05-04","0","2026-11-02","0"
"Rover_123","planned","2025-10-06","2024-02-13","0","2026-01-07","0"
"Rover_124","planned","2025-01-17","2027-12-26","0","2026-08-30","0"
"Rover_125","planned","2029-05-02","2024-09-22","0","2026-03-22","0"
"Rover_126","planned","2030-07-29","2025-09-02","0","2026-11-24","0"
"Rover_127","planned","2027-02-06","2028-10-03","0","2026-09-06","0"
"Rover_128","planned","2030-01-25","2025-04-04","0","2026-04-06","0"
"Rover_129","planned","2027-01-29","2029-09-21","0","2026-02-15","0"
"Rover_130","planned","2029-04-12","2025-11-16","0","2026-12-12","0"
"Rover_131","planned","2026-03-24","2027-05-13","0","2026-11-29","0"
"Rover_132","planned","2027-07-09","2026-12-04","0","2026-12-22","0"
"Rover_133","planned","2027-05-26","2026-09-04","0","2026-03-24","0"
"Rover_134","planned","2028-09-22","2027-12-30","0","2026-11-04","0"
"Rover_135","planned","2026-05-29","2026-08-13","0","2026-12-13","0"
"Rover_136","planned","2030-12-18","2027-02-08","0","2026-08-22","0"
"Rover_137","planned","2027-01-13","2027-07-20","0","2026-10-13","0"
"Rover_138","planned","2028-08-18","2028-10-22","0","2026-05-14","0"
"Rover_139","planned","2026-01-03","2029-07-12","0","2026-03-03","0"
"Rover_140","planned","2026-08-30","2027-11-08","0","2026-09-30","0"
"Rover_141","planned","2026-04-08","2027-07-12","0","2026-02-13","0"
"Rover_142","planned","2029-03-09","2026-11-06","0","2026-04-15","0"
"Rover_143","planned","2025-10-06","2027-09-23","0","2026-09-10","0"
"Rover_144","planned","2029-01-15","2028-02-05","0","2026-04-01","0"
"Rover_145","planned","2029-02-09","2025-02-12","0","2026-03-24","0"
"Rover_146","planned","2028-04-21","2026-10-12","0","2026-02-27","0"
"Rover_147","planned","2027-08-11","2027-02-08","0","2026-01-18","0"
"Rover_148","planned","2026-07-19","2025-03-29","0","2026-12-30","0"
"Rover_149","planned","2027-02-22","2028-04-12","0","2026-04-09","0"
"Rover_150","planned","2027-08-03","2025-09-17","0","2026-05-28","0"
