album_id,name,artist_id,album_type,release_date,total_tracks,label
al-0057,Scarecrow,ar-0057,album,2020-10-03,2,Independent
al-0058,Live/1975-85,ar-0058,single,2014-07-08,14,Independent
al-0059,Devil Without a Cause,ar-0059,compilation,2012-12-11,6,WMG
al-0060,John Mellencamp Best Of,ar-0060,compilation,2022-10-23,7,UMG
al-0061,Ballades and Impromptus,ar-0061,album,2012-12-04,10,Independent
al-0062,American Fool,ar-0062,album,2010-11-11,2,WMG
al-0063,Suite Bergamasque,ar-0063,compilation,2012-01-24,15,WMG
al-0064,Human Wheels,ar-0064,album,2018-08-25,9,Sony
al-0065,Wonder Boy,ar-0065,single,2013-06-13,9,Sony
al-0066,Etudes Op. 10 & 25,ar-0066,compilation,2014-10-04,4,Independent
al-0067,Whenever We Wanted,ar-0067,album,2014-03-12,11,WMG
al-0068,Dance Naked,ar-0068,album,2021-02-07,2,Sony
al-0069,Preludes Book 2,ar-0069,album,2016-01-11,4,Sony
al-0070,Cuttin' Heads,ar-0070,album,2017-04-07,9,Independent
al-0071,Freedom's Road,ar-0071,single,2025-04-11,13,Sony
al-0072,"Life, Death, Love and Freedom",ar-0072,compilation,2015-10-14,11,Sony
al-0073,No Better Than This,ar-0073,single,2015-02-27,1,Sony
al-0074,Plain Spoken,ar-0074,single,2018-05-04,4,Independent
al-0075,Sad Clowns & Hillbillies,ar-0075,single,2014-01-12,13,Sony
al-0076,Other People's Stuff,ar-0076,album,2019-01-24,12,UMG
al-0077,Chopin: The Poet at the Piano,ar-0077,single,2021-06-13,1,Independent
al-0078,Kind of Blue,ar-0078,compilation,2016-04-05,4,Sony
al-0079,A Love Supreme,ar-0079,album,2016-06-26,10,UMG
al-0080,Giant Steps,ar-0080,single,2017-02-01,2,Independent
al-0081,Time Out,ar-0081,single,2025-06-05,9,UMG
al-0082,Sketches of Spain,ar-0082,single,2025-07-14,1,Sony
al-0083,Bitches Brew,ar-0083,single,2017-09-16,8,UMG
al-0084,Miles Ahead,ar-0084,compilation,2018-07-24,4,Sony
al-0085,Milestones,ar-0085,album,2021-08-10,11,Sony
al-0086,Round About Midnight,ar-0086,compilation,2016-04-28,6,UMG
al-0087,In a Silent Way,ar-0087,album,2024-09-05,15,Sony
al-0088,On the Corner,ar-0088,single,2014-11-27,3,Sony
al-0089,The Complete Studio Recordings,ar-0089,album,2010-10-28,4,UMG
al-0090,Blue Train,ar-0090,single,2023-10-17,15,UMG
al-0091,My Favorite Things,ar-0091,compilation,2025-04-09,7,UMG
al-0092,Live at Birdland,ar-0092,compilation,2022-02-23,12,Independent
al-0093,The Blues Roar,ar-0093,album,2016-08-15,13,UMG
al-0094,Something Else,ar-0094,compilation,2021-01-23,12,Independent
al-0095,Somethin' Else,ar-0095,single,2023-07-02,7,UMG
al-0096,Speak No Evil,ar-0096,compilation,2022-02-20,11,WMG
al-0097,Maiden Voyage,ar-0097,single,2019-12-28,4,UMG
al-0098,The Sidewinder,ar-0098,album,2012-10-21,6,Sony
al-0099,Nefertiti,ar-0099,single,2019-09-07,2,Sony
al-0100,Chopin Nocturnes Complete,ar-0100,album,2017-04-26,7,UMG
al-0101,Debussy Piano Works Vol 1,ar-0101,single,2011-03-18,8,Independent
al-0102,Born to Run,ar-0102,album,2011-10-20,5,Independent
al-0103,Uh-Huh,ar-0103,album,2022-10-07,5,Sony
al-0104,Nebraska,ar-0104,compilation,2012-11-09,9,Independent
