id,createdTime,Name,provenance,condition,chain_of_custody,verdict,exclusion_reason,blocking_ticket
recNF7obj00000065,2025-08-15T10:00:00.000Z,NF7-065 barrel stave,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000066,2025-08-15T10:00:00.000Z,NF7-066 coin,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000067,2025-08-15T10:00:00.000Z,NF7-067 glass bead,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000068,2025-08-15T10:00:00.000Z,NF7-068 bone tool,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000069,2025-08-15T10:00:00.000Z,NF7-069 leather scrap,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000070,2025-08-15T10:00:00.000Z,NF7-070 timber,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000071,2025-08-15T10:00:00.000Z,NF7-071 ceramic sherd,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000072,2025-08-15T10:00:00.000Z,NF7-072 iron fitting,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000073,2025-08-15T10:00:00.000Z,NF7-073 rope fragment,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000074,2025-08-15T10:00:00.000Z,NF7-074 lead weight,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000075,2025-08-15T10:00:00.000Z,NF7-075 barrel stave,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000076,2025-08-15T10:00:00.000Z,NF7-076 coin,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000077,2025-08-15T10:00:00.000Z,NF7-077 glass bead,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000078,2025-08-15T10:00:00.000Z,NF7-078 bone tool,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000079,2025-08-15T10:00:00.000Z,NF7-079 leather scrap,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000080,2025-08-15T10:00:00.000Z,NF7-080 timber,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000081,2025-08-15T10:00:00.000Z,NF7-081 ceramic sherd,Site NF-7 Phase 3,review,field->lab->store,blocked,,nf7-sonar-processing#204
recNF7obj00000082,2025-08-15T10:00:00.000Z,NF7-082 iron fitting,Site NF-7 Phase 3,review,field->lab->store,blocked,,nf7-sonar-processing#209
recNF7obj00000083,2025-08-15T10:00:00.000Z,NF7-083 rope fragment,Site NF-7 Phase 3,review,field->lab->store,blocked,,nf7-sonar-processing#215
recNF7obj00000084,2025-08-15T10:00:00.000Z,NF7-084 lead weight,Site NF-7 Phase 3,review,field->lab->store,blocked,,nf7-sonar-processing#221
recNF7obj00000085,2025-08-15T10:00:00.000Z,NF7-085 barrel stave,Site NF-7 Phase 3,review,field->lab->store,blocked,,
recNF7obj00000086,2025-08-15T10:00:00.000Z,NF7-086 coin,Site NF-7 Phase 3,review,field->lab->store,blocked,,
recNF7obj00000087,2025-08-15T10:00:00.000Z,NF7-087 glass bead,Site NF-7 Phase 3,review,field->lab->store,blocked,,
recNF7obj00000088,2025-08-15T10:00:00.000Z,NF7-088 bone tool,Site NF-7 Phase 3,review,field->lab->store,blocked,,
recNF7obj00000089,2025-08-15T10:00:00.000Z,NF7-089 leather scrap,Site NF-7 Phase 3,review,field->lab->store,blocked,,
recNF7obj00000090,2025-08-15T10:00:00.000Z,NF7-090 timber,Site NF-7 Phase 3,review,field->lab->store,blocked,,
recNF7obj00000091,2025-08-15T10:00:00.000Z,NF7-091 ceramic sherd,Site NF-7 Phase 3,review,field->lab->store,blocked,,
recNF7obj00000092,2025-08-15T10:00:00.000Z,NF7-092 iron fitting,Site NF-7 Phase 3,review,field->lab->store,blocked,,
recNF7obj00000093,2025-08-15T10:00:00.000Z,NF7-093 rope fragment,Site NF-7 Phase 3,review,field->lab->store,blocked,,
recNF7obj00000094,2025-08-15T10:00:00.000Z,NF7-094 lead weight,Site NF-7 Phase 3,review,field->lab->store,blocked,,
recNF7obj00000095,2025-08-15T10:00:00.000Z,NF7-095 Modern shackle,ambiguous,n/a,field,excluded_lookalike,"modern hardware, not medieval",
recNF7obj00000096,2025-08-15T10:00:00.000Z,NF7-096 Trawl-scarred cobble,ambiguous,n/a,field,excluded_lookalike,"natural stone, no working",
recNF7obj00000097,2025-08-15T10:00:00.000Z,NF7-097 Plastic crate fragment,ambiguous,n/a,field,excluded_lookalike,modern debris,
recNF7obj00000098,2025-08-15T10:00:00.000Z,NF7-098 Site datum peg,ambiguous,n/a,field,excluded_lookalike,"survey equipment, not a find",
recNF7obj00000099,2025-08-15T10:00:00.000Z,NF7-099 Reference scale bar,ambiguous,n/a,field,excluded_lookalike,"photographic aid, not a find",
recNF7obj00000100,2025-08-15T10:00:00.000Z,NF7-100 Adjacent wreck timber,ambiguous,n/a,field,excluded_lookalike,"belongs to NF-9, wrong site",
