service_code,service_name,origin_zip,dest_zip,weight_lb,currency,total_charge,transit_days,delivery_date
03,UPS Ground,74104,74008,1.8,USD,35.71,5,2026-04-26
02,UPS 2nd Day Air,74104,74063,4.7,USD,30.01,3,2026-06-06
03,UPS Ground,74104,74074,3.6,USD,12.30,2,2026-05-16
03,UPS Ground,74104,74074,6.5,USD,19.55,4,2026-01-22
03,UPS Ground,74104,74055,6.1,USD,33.71,3,2026-05-07
12,UPS 3 Day Select,74104,74008,7.3,USD,38.53,5,2026-02-25
12,UPS 3 Day Select,74104,74037,3.2,USD,40.30,5,2026-01-26
03,UPS Ground,74104,74104,4.3,USD,22.02,1,2026-09-16
01,UPS Next Day Air,74104,73003,5.5,USD,32.33,5,2026-04-22
02,UPS 2nd Day Air,74104,74037,6.0,USD,41.79,5,2026-04-23
02,UPS 2nd Day Air,74104,73069,6.9,USD,11.68,1,2026-01-14
12,UPS 3 Day Select,74104,74104,5.3,USD,21.51,1,2026-05-24
01,UPS Next Day Air,74104,74074,5.7,USD,15.46,2,2026-09-07
03,UPS Ground,74104,74074,1.2,USD,28.63,4,2026-05-03
02,UPS 2nd Day Air,74104,74074,1.9,USD,27.49,1,2026-01-07
12,UPS 3 Day Select,74104,73003,1.9,USD,29.87,4,2026-05-07
12,UPS 3 Day Select,74104,74104,4.8,USD,26.19,1,2026-09-16
03,UPS Ground,74104,74008,3.4,USD,15.83,2,2026-02-06
03,UPS Ground,74104,74037,3.9,USD,41.60,2,2026-01-12
02,UPS 2nd Day Air,74104,74104,3.7,USD,16.97,1,2026-06-19
03,UPS Ground,74104,74037,5.9,USD,15.55,2,2026-04-02
01,UPS Next Day Air,74104,74008,4.5,USD,9.33,1,2026-04-20
01,UPS Next Day Air,74104,74104,3.3,USD,13.91,3,2026-03-24
03,UPS Ground,74104,74401,7.4,USD,31.19,1,2026-09-07
03,UPS Ground,74104,74037,1.4,USD,24.51,2,2026-07-04
03,UPS Ground,74104,73003,6.2,USD,10.19,1,2026-07-03
12,UPS 3 Day Select,74104,74008,7.5,USD,28.63,2,2026-02-06
03,UPS Ground,74104,74401,1.7,USD,13.86,5,2026-01-24
02,UPS 2nd Day Air,74104,74104,3.5,USD,19.95,2,2026-02-13
03,UPS Ground,74104,74037,6.9,USD,28.83,1,2026-08-13
02,UPS 2nd Day Air,74104,73069,4.5,USD,39.56,5,2026-09-05
02,UPS 2nd Day Air,74104,74063,7.0,USD,32.46,1,2026-09-21
02,UPS 2nd Day Air,74104,73069,4.0,USD,41.87,2,2026-01-01
02,UPS 2nd Day Air,74104,73069,7.9,USD,24.04,2,2026-09-05
12,UPS 3 Day Select,74104,73003,7.4,USD,32.20,5,2026-05-10
12,UPS 3 Day Select,74104,74055,5.4,USD,18.07,5,2026-09-14
02,UPS 2nd Day Air,74104,74037,7.8,USD,27.87,5,2026-07-27
01,UPS Next Day Air,74104,73003,7.5,USD,30.84,3,2026-05-07
02,UPS 2nd Day Air,74104,74104,5.7,USD,31.94,3,2026-03-10
01,UPS Next Day Air,74104,74055,4.4,USD,25.64,3,2026-01-26
01,UPS Next Day Air,74104,73003,6.3,USD,12.71,5,2026-09-18
03,UPS Ground,74104,74012,4.3,USD,33.64,3,2026-03-04
02,UPS 2nd Day Air,74104,74012,7.9,USD,17.35,3,2026-05-06
01,UPS Next Day Air,74104,74012,7.4,USD,29.89,3,2026-06-10
01,UPS Next Day Air,74104,74055,4.0,USD,29.88,5,2026-02-05
12,UPS 3 Day Select,74104,73069,8.0,USD,28.28,3,2026-07-28
12,UPS 3 Day Select,74104,74055,5.8,USD,32.57,1,2026-06-03
01,UPS Next Day Air,74104,74074,6.2,USD,10.80,3,2026-09-23
02,UPS 2nd Day Air,74104,74401,4.8,USD,36.88,3,2026-05-02
12,UPS 3 Day Select,74104,74074,5.0,USD,33.41,4,2026-05-28
03,UPS Ground,74104,74037,1.1,USD,20.27,1,2026-03-06
01,UPS Next Day Air,74104,73003,1.6,USD,12.26,3,2026-08-15
03,UPS Ground,74104,74104,1.0,USD,25.96,3,2026-05-08
02,UPS 2nd Day Air,74104,74055,4.2,USD,38.49,4,2026-04-13
01,UPS Next Day Air,74104,74401,6.5,USD,39.13,5,2026-09-11
12,UPS 3 Day Select,74104,74055,7.4,USD,26.65,3,2026-09-17
12,UPS 3 Day Select,74104,74104,7.1,USD,27.08,4,2026-03-10
03,UPS Ground,74104,74104,2.8,USD,21.82,5,2026-06-08
02,UPS 2nd Day Air,74104,74055,2.7,USD,18.75,4,2026-02-25
03,UPS Ground,74104,74104,7.7,USD,16.52,5,2026-09-04
02,UPS 2nd Day Air,74104,73069,2.6,USD,35.81,4,2026-08-14
01,UPS Next Day Air,74104,74104,4.5,USD,38.88,3,2026-06-18
02,UPS 2nd Day Air,74104,74008,7.2,USD,30.40,2,2026-05-20
02,UPS 2nd Day Air,74104,74055,7.0,USD,10.33,3,2026-08-09
02,UPS 2nd Day Air,74104,73003,2.2,USD,36.97,5,2026-03-03
01,UPS Next Day Air,74104,74037,6.5,USD,25.55,2,2026-05-02
12,UPS 3 Day Select,74104,74055,4.2,USD,17.25,5,2026-01-02
01,UPS Next Day Air,74104,74063,2.1,USD,40.09,1,2026-07-14
12,UPS 3 Day Select,74104,74074,3.9,USD,9.23,5,2026-08-06
01,UPS Next Day Air,74104,74063,3.4,USD,23.41,3,2026-09-04
12,UPS 3 Day Select,74104,74037,4.1,USD,15.24,3,2026-01-26
01,UPS Next Day Air,74104,74012,1.9,USD,29.80,3,2026-08-27
01,UPS Next Day Air,74104,73003,2.9,USD,40.54,5,2026-05-03
03,UPS Ground,74104,74037,4.0,USD,11.60,3,2026-01-11
03,UPS Ground,74104,74008,3.3,USD,15.14,3,2026-06-06
12,UPS 3 Day Select,74104,74055,6.8,USD,34.41,5,2026-01-14
12,UPS 3 Day Select,74104,74074,7.7,USD,11.55,2,2026-07-24
12,UPS 3 Day Select,74104,74063,2.1,USD,20.27,5,2026-08-02
03,UPS Ground,74104,74037,2.4,USD,28.40,2,2026-05-03
01,UPS Next Day Air,74104,74055,2.5,USD,26.09,4,2026-04-14
12,UPS 3 Day Select,74104,73069,1.1,USD,12.55,3,2026-08-25
