weight_id,date,weight_lbs,notes
crcob2ws,crcob2ws,crcob2ws,crcob2ws
e20iiq3n,e20iiq3n,e20iiq3n,e20iiq3n
30z94r1f,30z94r1f,30z94r1f,30z94r1f
yo42nj79,yo42nj79,yo42nj79,yo42nj79
16dkm5df,16dkm5df,16dkm5df,16dkm5df
k90o7h44,k90o7h44,k90o7h44,k90o7h44
l41zxfc9,l41zxfc9,l41zxfc9,l41zxfc9
8l32xk1g,8l32xk1g,8l32xk1g,8l32xk1g
5lz5x457,5lz5x457,5lz5x457,5lz5x457
xc26gufo,xc26gufo,xc26gufo,xc26gufo
p0dp7rbk,p0dp7rbk,p0dp7rbk,p0dp7rbk
gmge8hyu,gmge8hyu,gmge8hyu,gmge8hyu
ite3js7z,ite3js7z,ite3js7z,ite3js7z
jr6a7tft,jr6a7tft,jr6a7tft,jr6a7tft
lyl3gb7r,lyl3gb7r,lyl3gb7r,lyl3gb7r
8ilazes0,8ilazes0,8ilazes0,8ilazes0
t7ltydxc,t7ltydxc,t7ltydxc,t7ltydxc
o7jeb818,o7jeb818,o7jeb818,o7jeb818
q2mj5yja,q2mj5yja,q2mj5yja,q2mj5yja
eq04h4fa,eq04h4fa,eq04h4fa,eq04h4fa
uhlr2b61,uhlr2b61,uhlr2b61,uhlr2b61
z3s6qjfb,z3s6qjfb,z3s6qjfb,z3s6qjfb
oi65tzn1,oi65tzn1,oi65tzn1,oi65tzn1
6j3oo3kp,6j3oo3kp,6j3oo3kp,6j3oo3kp
fj5grasj,fj5grasj,fj5grasj,fj5grasj
hhiipkz8,hhiipkz8,hhiipkz8,hhiipkz8
tumoecjn,tumoecjn,tumoecjn,tumoecjn
temqfifs,temqfifs,temqfifs,temqfifs
35lt34wa,35lt34wa,35lt34wa,35lt34wa
0xa6h58i,0xa6h58i,0xa6h58i,0xa6h58i
nv2wz8m8,nv2wz8m8,nv2wz8m8,nv2wz8m8
z0uwu4ru,z0uwu4ru,z0uwu4ru,z0uwu4ru
k1zn4dlv,k1zn4dlv,k1zn4dlv,k1zn4dlv
e77062b1,e77062b1,e77062b1,e77062b1
tjme98m4,tjme98m4,tjme98m4,tjme98m4
3g6haiog,3g6haiog,3g6haiog,3g6haiog
qphyid7r,qphyid7r,qphyid7r,qphyid7r
k12xj960,k12xj960,k12xj960,k12xj960
2x3c1ykn,2x3c1ykn,2x3c1ykn,2x3c1ykn
7indnm1j,7indnm1j,7indnm1j,7indnm1j
afmz6pg0,afmz6pg0,afmz6pg0,afmz6pg0
mvf79d6q,mvf79d6q,mvf79d6q,mvf79d6q
vz2i8y19,vz2i8y19,vz2i8y19,vz2i8y19
x4bc0dgh,x4bc0dgh,x4bc0dgh,x4bc0dgh
