exercise_type_id,exercise_name,category,calories_per_minute_low,calories_per_minute_high,met_value
1jxxcr61,1jxxcr61,1jxxcr61,1jxxcr61,1jxxcr61,1jxxcr61
nzpyqxpe,nzpyqxpe,nzpyqxpe,nzpyqxpe,nzpyqxpe,nzpyqxpe
iqob9yuo,iqob9yuo,iqob9yuo,iqob9yuo,iqob9yuo,iqob9yuo
f1vg7zsh,f1vg7zsh,f1vg7zsh,f1vg7zsh,f1vg7zsh,f1vg7zsh
uoj8i2tt,uoj8i2tt,uoj8i2tt,uoj8i2tt,uoj8i2tt,uoj8i2tt
fimfk9o0,fimfk9o0,fimfk9o0,fimfk9o0,fimfk9o0,fimfk9o0
z9euzu7v,z9euzu7v,z9euzu7v,z9euzu7v,z9euzu7v,z9euzu7v
fgffukey,fgffukey,fgffukey,fgffukey,fgffukey,fgffukey
76gfvzo1,76gfvzo1,76gfvzo1,76gfvzo1,76gfvzo1,76gfvzo1
7e9sswu1,7e9sswu1,7e9sswu1,7e9sswu1,7e9sswu1,7e9sswu1
4t1shnl0,4t1shnl0,4t1shnl0,4t1shnl0,4t1shnl0,4t1shnl0
fmsp01ug,fmsp01ug,fmsp01ug,fmsp01ug,fmsp01ug,fmsp01ug
2oxts9un,2oxts9un,2oxts9un,2oxts9un,2oxts9un,2oxts9un
cf6em1is,cf6em1is,cf6em1is,cf6em1is,cf6em1is,cf6em1is
h5rvs2xw,h5rvs2xw,h5rvs2xw,h5rvs2xw,h5rvs2xw,h5rvs2xw
xd3or46x,xd3or46x,xd3or46x,xd3or46x,xd3or46x,xd3or46x
t9o8ko40,t9o8ko40,t9o8ko40,t9o8ko40,t9o8ko40,t9o8ko40
rxhvcip2,rxhvcip2,rxhvcip2,rxhvcip2,rxhvcip2,rxhvcip2
weyipio7,weyipio7,weyipio7,weyipio7,weyipio7,weyipio7
jsfkiq4g,jsfkiq4g,jsfkiq4g,jsfkiq4g,jsfkiq4g,jsfkiq4g
wcq4uyu2,wcq4uyu2,wcq4uyu2,wcq4uyu2,wcq4uyu2,wcq4uyu2
4edj40v2,4edj40v2,4edj40v2,4edj40v2,4edj40v2,4edj40v2
jvq9opo1,jvq9opo1,jvq9opo1,jvq9opo1,jvq9opo1,jvq9opo1
93xfek2r,93xfek2r,93xfek2r,93xfek2r,93xfek2r,93xfek2r
qh3qxo7p,qh3qxo7p,qh3qxo7p,qh3qxo7p,qh3qxo7p,qh3qxo7p
str6e420,str6e420,str6e420,str6e420,str6e420,str6e420
9k1znogx,9k1znogx,9k1znogx,9k1znogx,9k1znogx,9k1znogx
pn8fnmzl,pn8fnmzl,pn8fnmzl,pn8fnmzl,pn8fnmzl,pn8fnmzl
yvycw4hy,yvycw4hy,yvycw4hy,yvycw4hy,yvycw4hy,yvycw4hy
t3sta5ta,t3sta5ta,t3sta5ta,t3sta5ta,t3sta5ta,t3sta5ta
vvp2xu3d,vvp2xu3d,vvp2xu3d,vvp2xu3d,vvp2xu3d,vvp2xu3d
549y2zu2,549y2zu2,549y2zu2,549y2zu2,549y2zu2,549y2zu2
nr5usvka,nr5usvka,nr5usvka,nr5usvka,nr5usvka,nr5usvka
icxqbmo2,icxqbmo2,icxqbmo2,icxqbmo2,icxqbmo2,icxqbmo2
zuzkmczj,zuzkmczj,zuzkmczj,zuzkmczj,zuzkmczj,zuzkmczj
7hs2qo76,7hs2qo76,7hs2qo76,7hs2qo76,7hs2qo76,7hs2qo76
9xc0v4sx,9xc0v4sx,9xc0v4sx,9xc0v4sx,9xc0v4sx,9xc0v4sx
3vfpmho5,3vfpmho5,3vfpmho5,3vfpmho5,3vfpmho5,3vfpmho5
bm5nz6wf,bm5nz6wf,bm5nz6wf,bm5nz6wf,bm5nz6wf,bm5nz6wf
z6ck90ac,z6ck90ac,z6ck90ac,z6ck90ac,z6ck90ac,z6ck90ac
bqwm13mc,bqwm13mc,bqwm13mc,bqwm13mc,bqwm13mc,bqwm13mc
4lav6l9m,4lav6l9m,4lav6l9m,4lav6l9m,4lav6l9m,4lav6l9m
1e34tmx4,1e34tmx4,1e34tmx4,1e34tmx4,1e34tmx4,1e34tmx4
cz7w8px1,cz7w8px1,cz7w8px1,cz7w8px1,cz7w8px1,cz7w8px1
zfcsmpgb,zfcsmpgb,zfcsmpgb,zfcsmpgb,zfcsmpgb,zfcsmpgb
o2ejxjpl,o2ejxjpl,o2ejxjpl,o2ejxjpl,o2ejxjpl,o2ejxjpl
4sxrm1kq,4sxrm1kq,4sxrm1kq,4sxrm1kq,4sxrm1kq,4sxrm1kq
hxsc8p65,hxsc8p65,hxsc8p65,hxsc8p65,hxsc8p65,hxsc8p65
5c2hpgou,5c2hpgou,5c2hpgou,5c2hpgou,5c2hpgou,5c2hpgou
aovenwei,aovenwei,aovenwei,aovenwei,aovenwei,aovenwei
thhsv2c3,thhsv2c3,thhsv2c3,thhsv2c3,thhsv2c3,thhsv2c3
7litzd5h,7litzd5h,7litzd5h,7litzd5h,7litzd5h,7litzd5h
074nz060,074nz060,074nz060,074nz060,074nz060,074nz060
e3yxl6l5,e3yxl6l5,e3yxl6l5,e3yxl6l5,e3yxl6l5,e3yxl6l5
tzuaonn2,tzuaonn2,tzuaonn2,tzuaonn2,tzuaonn2,tzuaonn2
s12qt7na,s12qt7na,s12qt7na,s12qt7na,s12qt7na,s12qt7na
127j1f1s,127j1f1s,127j1f1s,127j1f1s,127j1f1s,127j1f1s
h02fk9w3,h02fk9w3,h02fk9w3,h02fk9w3,h02fk9w3,h02fk9w3
76jh5sih,76jh5sih,76jh5sih,76jh5sih,76jh5sih,76jh5sih
p0513j7m,p0513j7m,p0513j7m,p0513j7m,p0513j7m,p0513j7m
k913du4t,k913du4t,k913du4t,k913du4t,k913du4t,k913du4t
rvd8fny7,rvd8fny7,rvd8fny7,rvd8fny7,rvd8fny7,rvd8fny7
w9ws2wzx,w9ws2wzx,w9ws2wzx,w9ws2wzx,w9ws2wzx,w9ws2wzx
d3cpm13x,d3cpm13x,d3cpm13x,d3cpm13x,d3cpm13x,d3cpm13x
996q3ua6,996q3ua6,996q3ua6,996q3ua6,996q3ua6,996q3ua6
ooegsarw,ooegsarw,ooegsarw,ooegsarw,ooegsarw,ooegsarw
76lgaat5,76lgaat5,76lgaat5,76lgaat5,76lgaat5,76lgaat5
pba1699s,pba1699s,pba1699s,pba1699s,pba1699s,pba1699s
mhul7mfa,mhul7mfa,mhul7mfa,mhul7mfa,mhul7mfa,mhul7mfa
wgadcwku,wgadcwku,wgadcwku,wgadcwku,wgadcwku,wgadcwku
z5d2tn4a,z5d2tn4a,z5d2tn4a,z5d2tn4a,z5d2tn4a,z5d2tn4a
my77wp87,my77wp87,my77wp87,my77wp87,my77wp87,my77wp87
a78st6n1,a78st6n1,a78st6n1,a78st6n1,a78st6n1,a78st6n1
hzz7nrc2,hzz7nrc2,hzz7nrc2,hzz7nrc2,hzz7nrc2,hzz7nrc2
2ly5omoz,2ly5omoz,2ly5omoz,2ly5omoz,2ly5omoz,2ly5omoz
km3ov6t8,km3ov6t8,km3ov6t8,km3ov6t8,km3ov6t8,km3ov6t8
joav9gzd,joav9gzd,joav9gzd,joav9gzd,joav9gzd,joav9gzd
a5x7i0sa,a5x7i0sa,a5x7i0sa,a5x7i0sa,a5x7i0sa,a5x7i0sa
o1yu1mhv,o1yu1mhv,o1yu1mhv,o1yu1mhv,o1yu1mhv,o1yu1mhv
cvrm9rla,cvrm9rla,cvrm9rla,cvrm9rla,cvrm9rla,cvrm9rla
1c1bjflz,1c1bjflz,1c1bjflz,1c1bjflz,1c1bjflz,1c1bjflz
kxi7yx6n,kxi7yx6n,kxi7yx6n,kxi7yx6n,kxi7yx6n,kxi7yx6n
ritl4wpj,ritl4wpj,ritl4wpj,ritl4wpj,ritl4wpj,ritl4wpj
t5sjfopb,t5sjfopb,t5sjfopb,t5sjfopb,t5sjfopb,t5sjfopb
k9x1674t,k9x1674t,k9x1674t,k9x1674t,k9x1674t,k9x1674t
98a0asyd,98a0asyd,98a0asyd,98a0asyd,98a0asyd,98a0asyd
jiljuw2i,jiljuw2i,jiljuw2i,jiljuw2i,jiljuw2i,jiljuw2i
v3s8ycae,v3s8ycae,v3s8ycae,v3s8ycae,v3s8ycae,v3s8ycae
37blvqr5,37blvqr5,37blvqr5,37blvqr5,37blvqr5,37blvqr5
abe1kkwb,abe1kkwb,abe1kkwb,abe1kkwb,abe1kkwb,abe1kkwb
syg4tbva,syg4tbva,syg4tbva,syg4tbva,syg4tbva,syg4tbva
umhkqx0e,umhkqx0e,umhkqx0e,umhkqx0e,umhkqx0e,umhkqx0e
8p35hatd,8p35hatd,8p35hatd,8p35hatd,8p35hatd,8p35hatd
8qdu0i9y,8qdu0i9y,8qdu0i9y,8qdu0i9y,8qdu0i9y,8qdu0i9y
ujslzjgj,ujslzjgj,ujslzjgj,ujslzjgj,ujslzjgj,ujslzjgj
qvtyidcx,qvtyidcx,qvtyidcx,qvtyidcx,qvtyidcx,qvtyidcx
j597rs7x,j597rs7x,j597rs7x,j597rs7x,j597rs7x,j597rs7x
ioig64uf,ioig64uf,ioig64uf,ioig64uf,ioig64uf,ioig64uf
re7y931b,re7y931b,re7y931b,re7y931b,re7y931b,re7y931b
lf0sxhv9,lf0sxhv9,lf0sxhv9,lf0sxhv9,lf0sxhv9,lf0sxhv9
yzckt5dr,yzckt5dr,yzckt5dr,yzckt5dr,yzckt5dr,yzckt5dr
a9uyzq4k,a9uyzq4k,a9uyzq4k,a9uyzq4k,a9uyzq4k,a9uyzq4k
yzrasmd5,yzrasmd5,yzrasmd5,yzrasmd5,yzrasmd5,yzrasmd5
gnob1u55,gnob1u55,gnob1u55,gnob1u55,gnob1u55,gnob1u55
u8wm6aqp,u8wm6aqp,u8wm6aqp,u8wm6aqp,u8wm6aqp,u8wm6aqp
