water_id,date,cups,notes
zz72r4ea,zz72r4ea,zz72r4ea,zz72r4ea
61ptk2we,61ptk2we,61ptk2we,61ptk2we
l7412jo4,l7412jo4,l7412jo4,l7412jo4
q03evvh7,q03evvh7,q03evvh7,q03evvh7
25j3n2ey,25j3n2ey,25j3n2ey,25j3n2ey
hqmvg7ec,hqmvg7ec,hqmvg7ec,hqmvg7ec
dxvteo6g,dxvteo6g,dxvteo6g,dxvteo6g
ecqas27v,ecqas27v,ecqas27v,ecqas27v
1cnfc0zg,1cnfc0zg,1cnfc0zg,1cnfc0zg
cl67ui7v,cl67ui7v,cl67ui7v,cl67ui7v
n8hx17z6,n8hx17z6,n8hx17z6,n8hx17z6
xssh1yt6,xssh1yt6,xssh1yt6,xssh1yt6
ioa95m15,ioa95m15,ioa95m15,ioa95m15
57rp15hs,57rp15hs,57rp15hs,57rp15hs
x6sef8e6,x6sef8e6,x6sef8e6,x6sef8e6
mh3xkjxz,mh3xkjxz,mh3xkjxz,mh3xkjxz
xj9prje5,xj9prje5,xj9prje5,xj9prje5
dkyh3nna,dkyh3nna,dkyh3nna,dkyh3nna
d2by6hvk,d2by6hvk,d2by6hvk,d2by6hvk
h1zcofik,h1zcofik,h1zcofik,h1zcofik
3kgjozrw,3kgjozrw,3kgjozrw,3kgjozrw
b43ke8sn,b43ke8sn,b43ke8sn,b43ke8sn
bmogc6ta,bmogc6ta,bmogc6ta,bmogc6ta
6wu408mw,6wu408mw,6wu408mw,6wu408mw
1lyamf8n,1lyamf8n,1lyamf8n,1lyamf8n
8be1xwbu,8be1xwbu,8be1xwbu,8be1xwbu
h88spr87,h88spr87,h88spr87,h88spr87
gcy33nmg,gcy33nmg,gcy33nmg,gcy33nmg
l8wa62r8,l8wa62r8,l8wa62r8,l8wa62r8
djlfd5pb,djlfd5pb,djlfd5pb,djlfd5pb
nkqpkepb,nkqpkepb,nkqpkepb,nkqpkepb
e8a1tvrc,e8a1tvrc,e8a1tvrc,e8a1tvrc
jeiol5iq,jeiol5iq,jeiol5iq,jeiol5iq
fsf6wkd1,fsf6wkd1,fsf6wkd1,fsf6wkd1
9a7mdwtd,9a7mdwtd,9a7mdwtd,9a7mdwtd
ar92rzjy,ar92rzjy,ar92rzjy,ar92rzjy
9sn4bqbu,9sn4bqbu,9sn4bqbu,9sn4bqbu
2afkjdjs,2afkjdjs,2afkjdjs,2afkjdjs
d8no2tdt,d8no2tdt,d8no2tdt,d8no2tdt
nj10toje,nj10toje,nj10toje,nj10toje
htahupyg,htahupyg,htahupyg,htahupyg
nzjax105,nzjax105,nzjax105,nzjax105
wj4ynrbr,wj4ynrbr,wj4ynrbr,wj4ynrbr
mj9a4hxw,mj9a4hxw,mj9a4hxw,mj9a4hxw
vlm87nw2,vlm87nw2,vlm87nw2,vlm87nw2
s6zb2co0,s6zb2co0,s6zb2co0,s6zb2co0
k4u0u25b,k4u0u25b,k4u0u25b,k4u0u25b
8c5c64rr,8c5c64rr,8c5c64rr,8c5c64rr
2ll8t641,2ll8t641,2ll8t641,2ll8t641
q74o3eva,q74o3eva,q74o3eva,q74o3eva
nf50bhha,nf50bhha,nf50bhha,nf50bhha
2b6wnegs,2b6wnegs,2b6wnegs,2b6wnegs
bve9n9hz,bve9n9hz,bve9n9hz,bve9n9hz
6wit19h9,6wit19h9,6wit19h9,6wit19h9
h6flxyxh,h6flxyxh,h6flxyxh,h6flxyxh
ahhuottc,ahhuottc,ahhuottc,ahhuottc
rrcojum4,rrcojum4,rrcojum4,rrcojum4
xopdw0mb,xopdw0mb,xopdw0mb,xopdw0mb
6ev8cn1v,6ev8cn1v,6ev8cn1v,6ev8cn1v
76usjc2z,76usjc2z,76usjc2z,76usjc2z
vn420ik2,vn420ik2,vn420ik2,vn420ik2
1fxw8jiq,1fxw8jiq,1fxw8jiq,1fxw8jiq
0yebhy97,0yebhy97,0yebhy97,0yebhy97
kcbwwa4v,kcbwwa4v,kcbwwa4v,kcbwwa4v
aw4znsdd,aw4znsdd,aw4znsdd,aw4znsdd
p8bamc7x,p8bamc7x,p8bamc7x,p8bamc7x
8xeiv04p,8xeiv04p,8xeiv04p,8xeiv04p
jel9ooax,jel9ooax,jel9ooax,jel9ooax
ui7xj6gv,ui7xj6gv,ui7xj6gv,ui7xj6gv
49s7sw5b,49s7sw5b,49s7sw5b,49s7sw5b
ajz6u2nn,ajz6u2nn,ajz6u2nn,ajz6u2nn
pus1y41q,pus1y41q,pus1y41q,pus1y41q
rx7rvk4u,rx7rvk4u,rx7rvk4u,rx7rvk4u
qormpqfz,qormpqfz,qormpqfz,qormpqfz
rq634jds,rq634jds,rq634jds,rq634jds
nogvbhe8,nogvbhe8,nogvbhe8,nogvbhe8
tu3us4mc,tu3us4mc,tu3us4mc,tu3us4mc
v0ue026v,v0ue026v,v0ue026v,v0ue026v
0y1xc66z,0y1xc66z,0y1xc66z,0y1xc66z
zsxxubhi,zsxxubhi,zsxxubhi,zsxxubhi
52b3pm01,52b3pm01,52b3pm01,52b3pm01
9f2ns9l7,9f2ns9l7,9f2ns9l7,9f2ns9l7
wsjj9kw3,wsjj9kw3,wsjj9kw3,wsjj9kw3
u5tvqtgo,u5tvqtgo,u5tvqtgo,u5tvqtgo
ysh7jrqx,ysh7jrqx,ysh7jrqx,ysh7jrqx
mppnwo1c,mppnwo1c,mppnwo1c,mppnwo1c
6wbxsy6d,6wbxsy6d,6wbxsy6d,6wbxsy6d
a6ftf8ck,a6ftf8ck,a6ftf8ck,a6ftf8ck
1103mab3,1103mab3,1103mab3,1103mab3
c5x8ua3s,c5x8ua3s,c5x8ua3s,c5x8ua3s
5rwqf1v7,5rwqf1v7,5rwqf1v7,5rwqf1v7
r2wxxa33,r2wxxa33,r2wxxa33,r2wxxa33
rlaz1oy5,rlaz1oy5,rlaz1oy5,rlaz1oy5
7ipaeebe,7ipaeebe,7ipaeebe,7ipaeebe
9deupnw5,9deupnw5,9deupnw5,9deupnw5
gys1j3ng,gys1j3ng,gys1j3ng,gys1j3ng
ceadpy5d,ceadpy5d,ceadpy5d,ceadpy5d
