exercise_id,date,exercise_type_id,exercise_name,duration_minutes,calories_burned,notes
2emj12m7,2emj12m7,2emj12m7,2emj12m7,2emj12m7,2emj12m7,2emj12m7
jojb6xug,jojb6xug,jojb6xug,jojb6xug,jojb6xug,jojb6xug,jojb6xug
8uieh9xb,8uieh9xb,8uieh9xb,8uieh9xb,8uieh9xb,8uieh9xb,8uieh9xb
scxb5hnb,scxb5hnb,scxb5hnb,scxb5hnb,scxb5hnb,scxb5hnb,scxb5hnb
230wmc1z,230wmc1z,230wmc1z,230wmc1z,230wmc1z,230wmc1z,230wmc1z
bz0pua4a,bz0pua4a,bz0pua4a,bz0pua4a,bz0pua4a,bz0pua4a,bz0pua4a
ayn0ucge,ayn0ucge,ayn0ucge,ayn0ucge,ayn0ucge,ayn0ucge,ayn0ucge
nxaiyh34,nxaiyh34,nxaiyh34,nxaiyh34,nxaiyh34,nxaiyh34,nxaiyh34
0mjxlav2,0mjxlav2,0mjxlav2,0mjxlav2,0mjxlav2,0mjxlav2,0mjxlav2
p8umb5a4,p8umb5a4,p8umb5a4,p8umb5a4,p8umb5a4,p8umb5a4,p8umb5a4
alpsnah4,alpsnah4,alpsnah4,alpsnah4,alpsnah4,alpsnah4,alpsnah4
d3ndn1va,d3ndn1va,d3ndn1va,d3ndn1va,d3ndn1va,d3ndn1va,d3ndn1va
d4n9liwa,d4n9liwa,d4n9liwa,d4n9liwa,d4n9liwa,d4n9liwa,d4n9liwa
4t9dwha8,4t9dwha8,4t9dwha8,4t9dwha8,4t9dwha8,4t9dwha8,4t9dwha8
ikiey0lv,ikiey0lv,ikiey0lv,ikiey0lv,ikiey0lv,ikiey0lv,ikiey0lv
42uwjkqf,42uwjkqf,42uwjkqf,42uwjkqf,42uwjkqf,42uwjkqf,42uwjkqf
qh8fq6tf,qh8fq6tf,qh8fq6tf,qh8fq6tf,qh8fq6tf,qh8fq6tf,qh8fq6tf
9qbgwzfe,9qbgwzfe,9qbgwzfe,9qbgwzfe,9qbgwzfe,9qbgwzfe,9qbgwzfe
jcx8evbk,jcx8evbk,jcx8evbk,jcx8evbk,jcx8evbk,jcx8evbk,jcx8evbk
lm34oq2v,lm34oq2v,lm34oq2v,lm34oq2v,lm34oq2v,lm34oq2v,lm34oq2v
djc28v1s,djc28v1s,djc28v1s,djc28v1s,djc28v1s,djc28v1s,djc28v1s
7b9peakl,7b9peakl,7b9peakl,7b9peakl,7b9peakl,7b9peakl,7b9peakl
cg7d3mkd,cg7d3mkd,cg7d3mkd,cg7d3mkd,cg7d3mkd,cg7d3mkd,cg7d3mkd
lntqw1nn,lntqw1nn,lntqw1nn,lntqw1nn,lntqw1nn,lntqw1nn,lntqw1nn
lfsq8c0q,lfsq8c0q,lfsq8c0q,lfsq8c0q,lfsq8c0q,lfsq8c0q,lfsq8c0q
h4yzvksa,h4yzvksa,h4yzvksa,h4yzvksa,h4yzvksa,h4yzvksa,h4yzvksa
edx03y7c,edx03y7c,edx03y7c,edx03y7c,edx03y7c,edx03y7c,edx03y7c
qaqhb9yr,qaqhb9yr,qaqhb9yr,qaqhb9yr,qaqhb9yr,qaqhb9yr,qaqhb9yr
f0zlmdwk,f0zlmdwk,f0zlmdwk,f0zlmdwk,f0zlmdwk,f0zlmdwk,f0zlmdwk
nanoo5af,nanoo5af,nanoo5af,nanoo5af,nanoo5af,nanoo5af,nanoo5af
wnqf7f1m,wnqf7f1m,wnqf7f1m,wnqf7f1m,wnqf7f1m,wnqf7f1m,wnqf7f1m
e4j5ovoz,e4j5ovoz,e4j5ovoz,e4j5ovoz,e4j5ovoz,e4j5ovoz,e4j5ovoz
suop4rrl,suop4rrl,suop4rrl,suop4rrl,suop4rrl,suop4rrl,suop4rrl
957j921q,957j921q,957j921q,957j921q,957j921q,957j921q,957j921q
8850r0pf,8850r0pf,8850r0pf,8850r0pf,8850r0pf,8850r0pf,8850r0pf
xd7092zq,xd7092zq,xd7092zq,xd7092zq,xd7092zq,xd7092zq,xd7092zq
h5s7dsbo,h5s7dsbo,h5s7dsbo,h5s7dsbo,h5s7dsbo,h5s7dsbo,h5s7dsbo
ak1snmqe,ak1snmqe,ak1snmqe,ak1snmqe,ak1snmqe,ak1snmqe,ak1snmqe
n6l617f0,n6l617f0,n6l617f0,n6l617f0,n6l617f0,n6l617f0,n6l617f0
9f6zuf8g,9f6zuf8g,9f6zuf8g,9f6zuf8g,9f6zuf8g,9f6zuf8g,9f6zuf8g
usmrw07q,usmrw07q,usmrw07q,usmrw07q,usmrw07q,usmrw07q,usmrw07q
msvftc87,msvftc87,msvftc87,msvftc87,msvftc87,msvftc87,msvftc87
o2ff6djb,o2ff6djb,o2ff6djb,o2ff6djb,o2ff6djb,o2ff6djb,o2ff6djb
ph4983i0,ph4983i0,ph4983i0,ph4983i0,ph4983i0,ph4983i0,ph4983i0
yabgo738,yabgo738,yabgo738,yabgo738,yabgo738,yabgo738,yabgo738
eiqblun4,eiqblun4,eiqblun4,eiqblun4,eiqblun4,eiqblun4,eiqblun4
3bfem3yt,3bfem3yt,3bfem3yt,3bfem3yt,3bfem3yt,3bfem3yt,3bfem3yt
8adwline,8adwline,8adwline,8adwline,8adwline,8adwline,8adwline
zu8aeipn,zu8aeipn,zu8aeipn,zu8aeipn,zu8aeipn,zu8aeipn,zu8aeipn
vzaxvki9,vzaxvki9,vzaxvki9,vzaxvki9,vzaxvki9,vzaxvki9,vzaxvki9
878oy1r6,878oy1r6,878oy1r6,878oy1r6,878oy1r6,878oy1r6,878oy1r6
hp8017r8,hp8017r8,hp8017r8,hp8017r8,hp8017r8,hp8017r8,hp8017r8
fwnugghe,fwnugghe,fwnugghe,fwnugghe,fwnugghe,fwnugghe,fwnugghe
sd8nhw8r,sd8nhw8r,sd8nhw8r,sd8nhw8r,sd8nhw8r,sd8nhw8r,sd8nhw8r
7amzhoqq,7amzhoqq,7amzhoqq,7amzhoqq,7amzhoqq,7amzhoqq,7amzhoqq
myvvztqu,myvvztqu,myvvztqu,myvvztqu,myvvztqu,myvvztqu,myvvztqu
uk11mbz7,uk11mbz7,uk11mbz7,uk11mbz7,uk11mbz7,uk11mbz7,uk11mbz7
005c8mqx,005c8mqx,005c8mqx,005c8mqx,005c8mqx,005c8mqx,005c8mqx
6mt810ix,6mt810ix,6mt810ix,6mt810ix,6mt810ix,6mt810ix,6mt810ix
fklkbdmh,fklkbdmh,fklkbdmh,fklkbdmh,fklkbdmh,fklkbdmh,fklkbdmh
a60a6tqs,a60a6tqs,a60a6tqs,a60a6tqs,a60a6tqs,a60a6tqs,a60a6tqs
qenr9285,qenr9285,qenr9285,qenr9285,qenr9285,qenr9285,qenr9285
7csmmrvv,7csmmrvv,7csmmrvv,7csmmrvv,7csmmrvv,7csmmrvv,7csmmrvv
ytpbnxp7,ytpbnxp7,ytpbnxp7,ytpbnxp7,ytpbnxp7,ytpbnxp7,ytpbnxp7
79k6gy3b,79k6gy3b,79k6gy3b,79k6gy3b,79k6gy3b,79k6gy3b,79k6gy3b
dfysdobo,dfysdobo,dfysdobo,dfysdobo,dfysdobo,dfysdobo,dfysdobo
e0nzp7ht,e0nzp7ht,e0nzp7ht,e0nzp7ht,e0nzp7ht,e0nzp7ht,e0nzp7ht
vhwioq8s,vhwioq8s,vhwioq8s,vhwioq8s,vhwioq8s,vhwioq8s,vhwioq8s
r26ldnx4,r26ldnx4,r26ldnx4,r26ldnx4,r26ldnx4,r26ldnx4,r26ldnx4
jivpam05,jivpam05,jivpam05,jivpam05,jivpam05,jivpam05,jivpam05
tn2xrtrj,tn2xrtrj,tn2xrtrj,tn2xrtrj,tn2xrtrj,tn2xrtrj,tn2xrtrj
ilrhnsyh,ilrhnsyh,ilrhnsyh,ilrhnsyh,ilrhnsyh,ilrhnsyh,ilrhnsyh
p8f89dfg,p8f89dfg,p8f89dfg,p8f89dfg,p8f89dfg,p8f89dfg,p8f89dfg
17i8bp0m,17i8bp0m,17i8bp0m,17i8bp0m,17i8bp0m,17i8bp0m,17i8bp0m
btpm2el3,btpm2el3,btpm2el3,btpm2el3,btpm2el3,btpm2el3,btpm2el3
ppd01g1c,ppd01g1c,ppd01g1c,ppd01g1c,ppd01g1c,ppd01g1c,ppd01g1c
dwjftiyu,dwjftiyu,dwjftiyu,dwjftiyu,dwjftiyu,dwjftiyu,dwjftiyu
n5ffcg0b,n5ffcg0b,n5ffcg0b,n5ffcg0b,n5ffcg0b,n5ffcg0b,n5ffcg0b
xtkn20og,xtkn20og,xtkn20og,xtkn20og,xtkn20og,xtkn20og,xtkn20og
whx6thwd,whx6thwd,whx6thwd,whx6thwd,whx6thwd,whx6thwd,whx6thwd
d8gh5nfa,d8gh5nfa,d8gh5nfa,d8gh5nfa,d8gh5nfa,d8gh5nfa,d8gh5nfa
7mo9d6xo,7mo9d6xo,7mo9d6xo,7mo9d6xo,7mo9d6xo,7mo9d6xo,7mo9d6xo
26vppd47,26vppd47,26vppd47,26vppd47,26vppd47,26vppd47,26vppd47
tprkuoao,tprkuoao,tprkuoao,tprkuoao,tprkuoao,tprkuoao,tprkuoao
sejqwibn,sejqwibn,sejqwibn,sejqwibn,sejqwibn,sejqwibn,sejqwibn
yy9az82w,yy9az82w,yy9az82w,yy9az82w,yy9az82w,yy9az82w,yy9az82w
7ri5mxw6,7ri5mxw6,7ri5mxw6,7ri5mxw6,7ri5mxw6,7ri5mxw6,7ri5mxw6
k3nswumy,k3nswumy,k3nswumy,k3nswumy,k3nswumy,k3nswumy,k3nswumy
ur461qup,ur461qup,ur461qup,ur461qup,ur461qup,ur461qup,ur461qup
7c329ld7,7c329ld7,7c329ld7,7c329ld7,7c329ld7,7c329ld7,7c329ld7
q2ukza66,q2ukza66,q2ukza66,q2ukza66,q2ukza66,q2ukza66,q2ukza66
nxujwuqc,nxujwuqc,nxujwuqc,nxujwuqc,nxujwuqc,nxujwuqc,nxujwuqc
2nzf87nn,2nzf87nn,2nzf87nn,2nzf87nn,2nzf87nn,2nzf87nn,2nzf87nn
8bd0h7ej,8bd0h7ej,8bd0h7ej,8bd0h7ej,8bd0h7ej,8bd0h7ej,8bd0h7ej
00rxfsv8,00rxfsv8,00rxfsv8,00rxfsv8,00rxfsv8,00rxfsv8,00rxfsv8
282qz3xe,282qz3xe,282qz3xe,282qz3xe,282qz3xe,282qz3xe,282qz3xe
8retmf38,8retmf38,8retmf38,8retmf38,8retmf38,8retmf38,8retmf38
nk5hgbl4,nk5hgbl4,nk5hgbl4,nk5hgbl4,nk5hgbl4,nk5hgbl4,nk5hgbl4
cvg6fn0h,cvg6fn0h,cvg6fn0h,cvg6fn0h,cvg6fn0h,cvg6fn0h,cvg6fn0h
5ouxr442,5ouxr442,5ouxr442,5ouxr442,5ouxr442,5ouxr442,5ouxr442
5sf5rth2,5sf5rth2,5sf5rth2,5sf5rth2,5sf5rth2,5sf5rth2,5sf5rth2
tcxo9lsb,tcxo9lsb,tcxo9lsb,tcxo9lsb,tcxo9lsb,tcxo9lsb,tcxo9lsb
stvkhjhn,stvkhjhn,stvkhjhn,stvkhjhn,stvkhjhn,stvkhjhn,stvkhjhn
ga5blcuy,ga5blcuy,ga5blcuy,ga5blcuy,ga5blcuy,ga5blcuy,ga5blcuy
8fpk95wm,8fpk95wm,8fpk95wm,8fpk95wm,8fpk95wm,8fpk95wm,8fpk95wm
q2nz8a61,q2nz8a61,q2nz8a61,q2nz8a61,q2nz8a61,q2nz8a61,q2nz8a61
rzj4ls0b,rzj4ls0b,rzj4ls0b,rzj4ls0b,rzj4ls0b,rzj4ls0b,rzj4ls0b
qk0d9qhw,qk0d9qhw,qk0d9qhw,qk0d9qhw,qk0d9qhw,qk0d9qhw,qk0d9qhw
knmtc64g,knmtc64g,knmtc64g,knmtc64g,knmtc64g,knmtc64g,knmtc64g
isopyc8a,isopyc8a,isopyc8a,isopyc8a,isopyc8a,isopyc8a,isopyc8a
6luzlb7l,6luzlb7l,6luzlb7l,6luzlb7l,6luzlb7l,6luzlb7l,6luzlb7l
wkjq13rj,wkjq13rj,wkjq13rj,wkjq13rj,wkjq13rj,wkjq13rj,wkjq13rj
j51tmet6,j51tmet6,j51tmet6,j51tmet6,j51tmet6,j51tmet6,j51tmet6
b5kazsrx,b5kazsrx,b5kazsrx,b5kazsrx,b5kazsrx,b5kazsrx,b5kazsrx
ccoklxez,ccoklxez,ccoklxez,ccoklxez,ccoklxez,ccoklxez,ccoklxez
hd0tfkj3,hd0tfkj3,hd0tfkj3,hd0tfkj3,hd0tfkj3,hd0tfkj3,hd0tfkj3
0hl7fo5b,0hl7fo5b,0hl7fo5b,0hl7fo5b,0hl7fo5b,0hl7fo5b,0hl7fo5b
ue7zyudh,ue7zyudh,ue7zyudh,ue7zyudh,ue7zyudh,ue7zyudh,ue7zyudh
c2n4hxp6,c2n4hxp6,c2n4hxp6,c2n4hxp6,c2n4hxp6,c2n4hxp6,c2n4hxp6
