transaction_id,posted_date,description,merchant,category,amount,balance,account
TX100023,2026-10-19,Cash withdrawal ATM Cedarbrook,ATM,Cash,-20.00,526.29,Peach State CU Checking ****4471
TX100024,2026-10-20,MARTA Breeze reload,MARTA,Transit,-10.00,516.29,Peach State CU Checking ****4471
TX100025,2026-10-21,Publix groceries,Publix,Groceries,-14.67,501.62,Peach State CU Checking ****4471
TX100026,2026-10-22,McDonalds breakfast,McDonalds,Food,-5.84,495.78,Peach State CU Checking ****4471
TX100027,2026-10-23,Dollar General school supplies,Dollar General,School,-7.29,488.49,Peach State CU Checking ****4471
TX100028,2026-10-24,Kroger groceries,Kroger,Groceries,-22.10,466.39,Peach State CU Checking ****4471
TX100029,2026-10-25,Church offering Pastor Owens,New Life MBC,Personal,-10.00,456.39,Peach State CU Checking ****4471
TX100030,2026-10-26,Amazon flashcards Pharm,Amazon,School,-8.99,447.4,Peach State CU Checking ****4471
TX100031,2026-10-27,Publix groceries,Publix,Groceries,-16.55,430.85,Peach State CU Checking ****4471
TX100032,2026-10-28,Waffle House study session,Waffle House,Food,-10.85,420,Peach State CU Checking ****4471
TX100033,2026-10-29,MARTA Breeze reload,MARTA,Transit,-10.00,410,Peach State CU Checking ****4471
TX100034,2026-10-30,Gusto Payroll Cedarbrook Dining,Cedarbrook Dining Svcs,Payroll,274.63,684.63,Peach State CU Checking ****4471
TX100035,2026-10-30,Zaxbys dinner,Zaxbys,Food,-12.44,672.19,Peach State CU Checking ****4471
TX100036,2026-10-31,Publix groceries,Publix,Groceries,-13.72,658.47,Peach State CU Checking ****4471
TX100037,2026-11-01,Sprint wireless autopay,Sprint,Bills,-80.00,578.47,Peach State CU Checking ****4471
TX100038,2026-11-02,MARTA Breeze reload,MARTA,Transit,-30.00,548.47,Peach State CU Checking ****4471
TX100039,2026-11-02,Publix groceries,Publix,Groceries,-19.14,529.33,Peach State CU Checking ****4471
TX100040,2026-11-03,Barnes Noble Health Assess study,Barnes and Noble,School,-22.40,506.93,Peach State CU Checking ****4471
TX100041,2026-11-04,Chick fil A,Chick-fil-A,Food,-8.75,498.18,Peach State CU Checking ****4471
TX100042,2026-11-05,Zelle to Aunt Keisha Mabel care Nov,Zelle,Family,-75.00,423.18,Peach State CU Checking ****4471
TX100043,2026-11-06,Kroger groceries,Kroger,Groceries,-17.28,405.9,Peach State CU Checking ****4471
TX100044,2026-11-07,Church offering,New Life MBC,Personal,-10.00,395.9,Peach State CU Checking ****4471
TX100045,2026-11-08,CVS otc allergy,CVS,Personal,-9.44,386.46,Peach State CU Checking ****4471
TX100046,2026-11-09,Publix groceries,Publix,Groceries,-21.63,364.83,Peach State CU Checking ****4471
TX100047,2026-11-10,Amazon scrubs replacement top,Amazon,School,-19.99,344.84,Peach State CU Checking ****4471
TX100048,2026-11-11,MARTA Breeze reload,MARTA,Transit,-10.00,334.84,Peach State CU Checking ****4471
TX100049,2026-11-12,Cash App to Marcus split,Cash App,P2P,-18.00,316.84,Peach State CU Checking ****4471
TX100050,2026-11-13,Gusto Payroll Cedarbrook Dining,Cedarbrook Dining Svcs,Payroll,268.44,585.28,Peach State CU Checking ****4471
TX100051,2026-11-13,Waffle House post practical,Waffle House,Food,-13.10,572.18,Peach State CU Checking ****4471
TX100052,2026-11-14,Publix groceries,Publix,Groceries,-15.99,556.19,Peach State CU Checking ****4471
TX100053,2026-11-15,Spotify Premium student,Spotify,Subscriptions,-5.99,550.2,Peach State CU Checking ****4471
TX100054,2026-11-16,Kroger produce,Kroger,Groceries,-9.28,540.92,Peach State CU Checking ****4471
TX100055,2026-11-17,Chipotle dinner,Chipotle,Food,-11.99,528.93,Peach State CU Checking ****4471
TX100056,2026-11-18,Target laundry pods,Target,Personal,-12.85,516.08,Peach State CU Checking ****4471
TX100057,2026-11-19,MARTA Breeze reload,MARTA,Transit,-10.00,506.08,Peach State CU Checking ****4471
TX100058,2026-11-20,Publix groceries,Publix,Groceries,-18.44,487.64,Peach State CU Checking ****4471
TX100059,2026-11-21,Cash withdrawal ATM Cedarbrook,ATM,Cash,-20.00,467.64,Peach State CU Checking ****4471
TX100060,2026-11-22,Waffle House,Waffle House,Food,-10.29,457.35,Peach State CU Checking ****4471
TX100061,2026-11-23,Kroger Thanksgiving contribution,Kroger,Groceries,-32.14,425.21,Peach State CU Checking ****4471
TX100062,2026-11-24,MARTA to Denise home,MARTA,Transit,-5.00,420.21,Peach State CU Checking ****4471
TX100063,2026-11-25,Publix pie for Denise,Publix,Groceries,-8.99,411.22,Peach State CU Checking ****4471
TX100064,2026-11-26,Kroger cranberries momma request,Kroger,Groceries,-4.28,406.94,Peach State CU Checking ****4471
TX100065,2026-11-27,Gas Denise car help,Shell,Transit,-18.44,388.5,Peach State CU Checking ****4471
TX100066,2026-11-28,Cash App from Aisha bday gift,Cash App,Gift,40,428.5,Peach State CU Checking ****4471
TX100067,2026-11-29,Publix groceries,Publix,Groceries,-14.72,413.78,Peach State CU Checking ****4471
TX100068,2026-11-30,Gusto Payroll Cedarbrook Dining,Cedarbrook Dining Svcs,Payroll,249.87,663.65,Peach State CU Checking ****4471
TX100069,2026-12-01,Sprint wireless autopay,Sprint,Bills,-80.00,583.65,Peach State CU Checking ****4471
TX100070,2026-12-01,MARTA Breeze reload,MARTA,Transit,-30.00,553.65,Peach State CU Checking ****4471
TX100071,2026-12-02,Publix groceries,Publix,Groceries,-18.19,535.46,Peach State CU Checking ****4471
TX100072,2026-12-03,Amazon NCLEX prep book used,Amazon,School,-21.44,514.02,Peach State CU Checking ****4471
TX100073,2026-12-04,Chick fil A dinner,Chick-fil-A,Food,-9.15,504.87,Peach State CU Checking ****4471
TX100074,2026-12-05,Zelle to Aunt Keisha Mabel care Dec,Zelle,Family,-75.00,429.87,Peach State CU Checking ****4471
TX100075,2026-12-06,Kroger groceries,Kroger,Groceries,-19.88,409.99,Peach State CU Checking ****4471
TX100076,2026-12-07,Church offering,New Life MBC,Personal,-10.00,399.99,Peach State CU Checking ****4471
TX100077,2026-12-08,Publix groceries,Publix,Groceries,-14.11,385.88,Peach State CU Checking ****4471
TX100078,2026-12-09,CVS otc,CVS,Personal,-7.99,377.89,Peach State CU Checking ****4471
TX100079,2026-12-10,Amazon Christmas Denise ornament,Amazon,Gifts,-16.75,361.14,Peach State CU Checking ****4471
TX100080,2026-12-11,MARTA Breeze reload,MARTA,Transit,-10.00,351.14,Peach State CU Checking ****4471
TX100081,2026-12-11,Gusto Payroll Cedarbrook Dining,Cedarbrook Dining Svcs,Payroll,240.29,591.43,Peach State CU Checking ****4471
TX100082,2026-12-12,Chipotle birthday for me,Chipotle,Food,-12.44,578.99,Peach State CU Checking ****4471
TX100083,2026-12-13,Cash App from Denise bday,Cash App,Gift,50,628.99,Peach State CU Checking ****4471
TX100084,2026-12-14,Publix groceries,Publix,Groceries,-17.33,611.66,Peach State CU Checking ****4471
TX100085,2026-12-15,Spotify Premium student,Spotify,Subscriptions,-5.99,605.67,Peach State CU Checking ****4471
TX100086,2026-12-16,Amazon Christmas Mabel throw blanket,Amazon,Gifts,-28.44,577.23,Peach State CU Checking ****4471
TX100087,2026-12-17,Kroger groceries,Kroger,Groceries,-13.87,563.36,Peach State CU Checking ****4471
TX100088,2026-12-18,MARTA to Denise home winter break,MARTA,Transit,-5.00,558.36,Peach State CU Checking ****4471
TX100089,2026-12-19,Waffle House with Marcus,Waffle House,Food,-11.28,547.08,Peach State CU Checking ****4471
TX100090,2026-12-20,Kroger Denise fridge restock,Kroger,Groceries,-22.11,524.97,Peach State CU Checking ****4471
TX100091,2026-12-21,Gas Denise car,Shell,Transit,-15.29,509.68,Peach State CU Checking ****4471
TX100092,2026-12-22,Cash App from Aisha Christmas,Cash App,Gift,30,539.68,Peach State CU Checking ****4471
TX100093,2026-12-23,Publix Christmas contribution,Publix,Groceries,-19.44,520.24,Peach State CU Checking ****4471
TX100094,2026-12-24,Family Dollar wrapping paper,Family Dollar,Gifts,-4.44,515.8,Peach State CU Checking ****4471
TX100095,2026-12-25,MARTA to Mabel house,MARTA,Transit,-5.00,510.8,Peach State CU Checking ****4471
TX100096,2026-12-25,Gusto Payroll Cedarbrook Dining last,Cedarbrook Dining Svcs,Payroll,198.62,709.42,Peach State CU Checking ****4471
TX100097,2026-12-26,Kroger groceries,Kroger,Groceries,-14.28,695.14,Peach State CU Checking ****4471
TX100098,2026-12-27,Chick fil A,Chick-fil-A,Food,-8.99,686.15,Peach State CU Checking ****4471
TX100099,2026-12-28,Cash App to Marcus rent split,Cash App,P2P,-18.00,668.15,Peach State CU Checking ****4471
TX100100,2026-12-29,Publix,Publix,Groceries,-12.87,655.28,Peach State CU Checking ****4471
TX100101,2026-12-30,CVS,CVS,Personal,-6.44,648.84,Peach State CU Checking ****4471
TX100102,2026-12-31,Waffle House new year eve,Waffle House,Food,-13.15,635.69,Peach State CU Checking ****4471
TX100103,2027-01-01,Church offering,New Life MBC,Personal,-10.00,625.69,Peach State CU Checking ****4471
TX100104,2027-01-02,Publix groceries,Publix,Groceries,-15.44,610.25,Peach State CU Checking ****4471
TX100105,2027-01-03,Sprint wireless autopay,Sprint,Bills,-80.00,530.25,Peach State CU Checking ****4471
TX100106,2027-01-04,Kroger groceries,Kroger,Groceries,-18.72,511.53,Peach State CU Checking ****4471
TX100107,2027-01-05,Zelle to Aunt Keisha Mabel care Jan,Zelle,Family,-75.00,436.53,Peach State CU Checking ****4471
TX100108,2027-01-06,MARTA Breeze reload,MARTA,Transit,-30.00,406.53,Peach State CU Checking ****4471
TX100109,2027-01-07,Amazon Spring 2027 stethoscope earpieces,Amazon,School,-12.44,394.09,Peach State CU Checking ****4471
TX100110,2027-01-08,Publix,Publix,Groceries,-13.22,380.87,Peach State CU Checking ****4471
TX100111,2027-01-09,Gusto Payroll first spring shift,Cedarbrook Dining Svcs,Payroll,156.28,537.15,Peach State CU Checking ****4471
TX100112,2027-01-09,Waffle House with Marcus back,Waffle House,Food,-11.44,525.71,Peach State CU Checking ****4471
TX100113,2027-01-10,Church offering,New Life MBC,Personal,-10.00,515.71,Peach State CU Checking ****4471
TX100114,2027-01-10,MARTA to campus move back,MARTA,Transit,-5.00,510.71,Peach State CU Checking ****4471
TX100115,2027-01-11,Publix stock up dorm,Publix,Groceries,-28.14,482.57,Peach State CU Checking ****4471
TX100116,2027-01-11,CVS Advil,CVS,Personal,-6.99,475.58,Peach State CU Checking ****4471
TX100117,2027-01-12,Chipotle Spring semester start,Chipotle,Food,-11.42,464.16,Peach State CU Checking ****4471
