id,name,type,project_key
b20043,PRJ043 Scrum Board,kanban,PRJ043
b20044,PRJ044 Scrum Board,kanban,PRJ044
b20045,PRJ045 Scrum Board,scrum,PRJ045
b20046,PRJ046 Scrum Board,scrum,PRJ046
b20047,PRJ047 Scrum Board,scrum,PRJ047
b20048,PRJ048 Scrum Board,kanban,PRJ048
b20049,PRJ049 Scrum Board,kanban,PRJ049
b20050,PRJ050 Scrum Board,scrum,PRJ050
b20051,PRJ051 Scrum Board,kanban,PRJ051
b20052,PRJ052 Scrum Board,kanban,PRJ052
b20053,PRJ053 Scrum Board,kanban,PRJ053
b20054,PRJ054 Scrum Board,kanban,PRJ054
b20055,PRJ055 Scrum Board,scrum,PRJ055
b20056,PRJ056 Scrum Board,scrum,PRJ056
b20057,PRJ057 Scrum Board,kanban,PRJ057
b20058,PRJ058 Scrum Board,scrum,PRJ058
b20059,PRJ059 Scrum Board,scrum,PRJ059
b20060,PRJ060 Scrum Board,scrum,PRJ060
b20061,PRJ061 Scrum Board,scrum,PRJ061
b20062,PRJ062 Scrum Board,kanban,PRJ062
b20063,PRJ063 Scrum Board,kanban,PRJ063
b20064,PRJ064 Scrum Board,scrum,PRJ064
b20065,PRJ065 Scrum Board,scrum,PRJ065
b20066,PRJ066 Scrum Board,scrum,PRJ066
b20067,PRJ067 Scrum Board,scrum,PRJ067
b20068,PRJ068 Scrum Board,kanban,PRJ068
b20069,PRJ069 Scrum Board,scrum,PRJ069
b20070,PRJ070 Scrum Board,kanban,PRJ070
b20071,PRJ071 Scrum Board,scrum,PRJ071
b20072,PRJ072 Scrum Board,scrum,PRJ072
b20073,PRJ073 Scrum Board,scrum,PRJ073
b20074,PRJ074 Scrum Board,kanban,PRJ074
b20075,PRJ075 Scrum Board,kanban,PRJ075
b20076,PRJ076 Scrum Board,scrum,PRJ076
b20077,PRJ077 Scrum Board,scrum,PRJ077
b20078,PRJ078 Scrum Board,scrum,PRJ078
b20079,PRJ079 Scrum Board,scrum,PRJ079
b20080,PRJ080 Scrum Board,scrum,PRJ080
b20081,PRJ081 Scrum Board,kanban,PRJ081
b20082,PRJ082 Scrum Board,scrum,PRJ082
b20083,PRJ083 Scrum Board,kanban,PRJ083
b20084,PRJ084 Scrum Board,kanban,PRJ084
b20085,PRJ085 Scrum Board,kanban,PRJ085
b20086,PRJ086 Scrum Board,kanban,PRJ086
b20087,PRJ087 Scrum Board,scrum,PRJ087
b20088,PRJ088 Scrum Board,kanban,PRJ088
b20089,PRJ089 Scrum Board,kanban,PRJ089
b20090,PRJ090 Scrum Board,kanban,PRJ090
b20091,PRJ091 Scrum Board,scrum,PRJ091
b20092,PRJ092 Scrum Board,kanban,PRJ092
b20093,PRJ093 Scrum Board,scrum,PRJ093
b20094,PRJ094 Scrum Board,scrum,PRJ094
b20095,PRJ095 Scrum Board,scrum,PRJ095
b20096,PRJ096 Scrum Board,scrum,PRJ096
b20097,PRJ097 Scrum Board,kanban,PRJ097
b20098,PRJ098 Scrum Board,scrum,PRJ098
b20099,PRJ099 Scrum Board,kanban,PRJ099
b20100,PRJ100 Scrum Board,kanban,PRJ100
b20101,PRJ101 Scrum Board,scrum,PRJ101
b20102,PRJ102 Scrum Board,scrum,PRJ102
b20103,PRJ103 Scrum Board,kanban,PRJ103
b20104,PRJ104 Scrum Board,scrum,PRJ104
b20105,PRJ105 Scrum Board,kanban,PRJ105
b20106,PRJ106 Scrum Board,scrum,PRJ106
b20107,PRJ107 Scrum Board,kanban,PRJ107
b20108,PRJ108 Scrum Board,kanban,PRJ108
b20109,PRJ109 Scrum Board,kanban,PRJ109
b20110,PRJ110 Scrum Board,kanban,PRJ110
b20111,PRJ111 Scrum Board,scrum,PRJ111
b20112,PRJ112 Scrum Board,kanban,PRJ112
b20113,PRJ113 Scrum Board,scrum,PRJ113
b20114,PRJ114 Scrum Board,kanban,PRJ114
b20115,PRJ115 Scrum Board,kanban,PRJ115
b20116,PRJ116 Scrum Board,kanban,PRJ116
b20117,PRJ117 Scrum Board,scrum,PRJ117
b20118,PRJ118 Scrum Board,scrum,PRJ118
b20119,PRJ119 Scrum Board,scrum,PRJ119
b20120,PRJ120 Scrum Board,kanban,PRJ120
b20121,PRJ121 Scrum Board,kanban,PRJ121
b20122,PRJ122 Scrum Board,kanban,PRJ122
b20123,PRJ123 Scrum Board,scrum,PRJ123
b20124,PRJ124 Scrum Board,scrum,PRJ124
b20125,PRJ125 Scrum Board,scrum,PRJ125
b20126,PRJ126 Scrum Board,scrum,PRJ126
b20127,PRJ127 Scrum Board,scrum,PRJ127
b20128,PRJ128 Scrum Board,scrum,PRJ128
b20129,PRJ129 Scrum Board,scrum,PRJ129
b20130,PRJ130 Scrum Board,scrum,PRJ130
b20131,PRJ131 Scrum Board,scrum,PRJ131
b20132,PRJ132 Scrum Board,scrum,PRJ132
b20133,PRJ133 Scrum Board,scrum,PRJ133
b20134,PRJ134 Scrum Board,scrum,PRJ134
b20135,PRJ135 Scrum Board,kanban,PRJ135
b20136,PRJ136 Scrum Board,scrum,PRJ136
b20137,PRJ137 Scrum Board,kanban,PRJ137
b20138,PRJ138 Scrum Board,kanban,PRJ138
b20139,PRJ139 Scrum Board,scrum,PRJ139
b20140,PRJ140 Scrum Board,scrum,PRJ140
b20141,PRJ141 Scrum Board,kanban,PRJ141
b20142,PRJ142 Scrum Board,scrum,PRJ142
b20143,PRJ143 Scrum Board,scrum,PRJ143
b20144,PRJ144 Scrum Board,scrum,PRJ144
b20145,PRJ145 Scrum Board,scrum,PRJ145
b20146,PRJ146 Scrum Board,scrum,PRJ146
b20147,PRJ147 Scrum Board,kanban,PRJ147
b20148,PRJ148 Scrum Board,kanban,PRJ148
b20149,PRJ149 Scrum Board,kanban,PRJ149
b20150,PRJ150 Scrum Board,scrum,PRJ150
b20151,PRJ151 Scrum Board,kanban,PRJ151
b20152,PRJ152 Scrum Board,scrum,PRJ152
b20153,PRJ153 Scrum Board,scrum,PRJ153
b20154,PRJ154 Scrum Board,scrum,PRJ154
b20155,PRJ155 Scrum Board,scrum,PRJ155
b20156,PRJ156 Scrum Board,kanban,PRJ156
b20157,PRJ157 Scrum Board,kanban,PRJ157
b20158,PRJ158 Scrum Board,scrum,PRJ158
b20159,PRJ159 Scrum Board,kanban,PRJ159
b20160,PRJ160 Scrum Board,scrum,PRJ160
b20161,PRJ161 Scrum Board,scrum,PRJ161
b20162,PRJ162 Scrum Board,kanban,PRJ162
b20163,PRJ163 Scrum Board,scrum,PRJ163
b20164,PRJ164 Scrum Board,scrum,PRJ164
b20165,PRJ165 Scrum Board,scrum,PRJ165
b20166,PRJ166 Scrum Board,kanban,PRJ166
b20167,PRJ167 Scrum Board,kanban,PRJ167
b20168,PRJ168 Scrum Board,scrum,PRJ168
b20169,PRJ169 Scrum Board,scrum,PRJ169
b20170,PRJ170 Scrum Board,kanban,PRJ170
b20171,PRJ171 Scrum Board,kanban,PRJ171
b20172,PRJ172 Scrum Board,scrum,PRJ172
b20173,PRJ173 Scrum Board,scrum,PRJ173
b20174,PRJ174 Scrum Board,scrum,PRJ174
b20175,PRJ175 Scrum Board,kanban,PRJ175
b20176,PRJ176 Scrum Board,scrum,PRJ176
b20177,PRJ177 Scrum Board,kanban,PRJ177
b20178,PRJ178 Scrum Board,kanban,PRJ178
b20179,PRJ179 Scrum Board,kanban,PRJ179
b20180,PRJ180 Scrum Board,kanban,PRJ180
b20181,PRJ181 Scrum Board,scrum,PRJ181
b20182,PRJ182 Scrum Board,scrum,PRJ182
b20183,PRJ183 Scrum Board,kanban,PRJ183
b20184,PRJ184 Scrum Board,scrum,PRJ184
b20185,PRJ185 Scrum Board,kanban,PRJ185
b20186,PRJ186 Scrum Board,kanban,PRJ186
b20187,PRJ187 Scrum Board,scrum,PRJ187
b20188,PRJ188 Scrum Board,scrum,PRJ188
b20189,PRJ189 Scrum Board,kanban,PRJ189
b20190,PRJ190 Scrum Board,kanban,PRJ190
b20191,PRJ191 Scrum Board,scrum,PRJ191
b20192,PRJ192 Scrum Board,scrum,PRJ192
b20193,PRJ193 Scrum Board,scrum,PRJ193
b20194,PRJ194 Scrum Board,kanban,PRJ194
b20195,PRJ195 Scrum Board,kanban,PRJ195
b20196,PRJ196 Scrum Board,kanban,PRJ196
b20197,PRJ197 Scrum Board,scrum,PRJ197
b20198,PRJ198 Scrum Board,kanban,PRJ198
b20199,PRJ199 Scrum Board,kanban,PRJ199
b20200,PRJ200 Scrum Board,kanban,PRJ200
b20201,PRJ201 Scrum Board,scrum,PRJ201
b20202,PRJ202 Scrum Board,kanban,PRJ202
b20203,PRJ203 Scrum Board,scrum,PRJ203
b20204,PRJ204 Scrum Board,kanban,PRJ204
