country,deviceCategory,unifiedScreenName,activeUsers,eventCount
US-ed3a,devicecategory-00091,unifiedscreenname-00091,activeusers-00091,eventcount-00091
US-e5f1,devicecategory-00092,unifiedscreenname-00092,activeusers-00092,eventcount-00092
US-ab19,devicecategory-00093,unifiedscreenname-00093,activeusers-00093,eventcount-00093
US-b405,devicecategory-00094,unifiedscreenname-00094,activeusers-00094,eventcount-00094
US-d4f0,devicecategory-00095,unifiedscreenname-00095,activeusers-00095,eventcount-00095
US-007e,devicecategory-00096,unifiedscreenname-00096,activeusers-00096,eventcount-00096
US-1da5,devicecategory-00097,unifiedscreenname-00097,activeusers-00097,eventcount-00097
US-98c9,devicecategory-00098,unifiedscreenname-00098,activeusers-00098,eventcount-00098
US-06f2,devicecategory-00099,unifiedscreenname-00099,activeusers-00099,eventcount-00099
US-abb4,devicecategory-00100,unifiedscreenname-00100,activeusers-00100,eventcount-00100
US-67f3,devicecategory-00101,unifiedscreenname-00101,activeusers-00101,eventcount-00101
US-9125,devicecategory-00102,unifiedscreenname-00102,activeusers-00102,eventcount-00102
US-e7d0,devicecategory-00103,unifiedscreenname-00103,activeusers-00103,eventcount-00103
US-4a08,devicecategory-00104,unifiedscreenname-00104,activeusers-00104,eventcount-00104
US-7f40,devicecategory-00105,unifiedscreenname-00105,activeusers-00105,eventcount-00105
US-be92,devicecategory-00106,unifiedscreenname-00106,activeusers-00106,eventcount-00106
US-6a3d,devicecategory-00107,unifiedscreenname-00107,activeusers-00107,eventcount-00107
US-4cc9,devicecategory-00108,unifiedscreenname-00108,activeusers-00108,eventcount-00108
US-4a9a,devicecategory-00109,unifiedscreenname-00109,activeusers-00109,eventcount-00109
US-9fab,devicecategory-00110,unifiedscreenname-00110,activeusers-00110,eventcount-00110
US-eb0b,devicecategory-00111,unifiedscreenname-00111,activeusers-00111,eventcount-00111
US-6c51,devicecategory-00112,unifiedscreenname-00112,activeusers-00112,eventcount-00112
US-0435,devicecategory-00113,unifiedscreenname-00113,activeusers-00113,eventcount-00113
US-7f67,devicecategory-00114,unifiedscreenname-00114,activeusers-00114,eventcount-00114
US-0269,devicecategory-00115,unifiedscreenname-00115,activeusers-00115,eventcount-00115
US-ecb5,devicecategory-00116,unifiedscreenname-00116,activeusers-00116,eventcount-00116
US-4e98,devicecategory-00117,unifiedscreenname-00117,activeusers-00117,eventcount-00117
US-1854,devicecategory-00118,unifiedscreenname-00118,activeusers-00118,eventcount-00118
US-da80,devicecategory-00119,unifiedscreenname-00119,activeusers-00119,eventcount-00119
US-adb7,devicecategory-00120,unifiedscreenname-00120,activeusers-00120,eventcount-00120
US-f960,devicecategory-00121,unifiedscreenname-00121,activeusers-00121,eventcount-00121
US-8f9f,devicecategory-00122,unifiedscreenname-00122,activeusers-00122,eventcount-00122
US-bf38,devicecategory-00123,unifiedscreenname-00123,activeusers-00123,eventcount-00123
US-8b26,devicecategory-00124,unifiedscreenname-00124,activeusers-00124,eventcount-00124
US-70bf,devicecategory-00125,unifiedscreenname-00125,activeusers-00125,eventcount-00125
US-2df3,devicecategory-00126,unifiedscreenname-00126,activeusers-00126,eventcount-00126
US-da32,devicecategory-00127,unifiedscreenname-00127,activeusers-00127,eventcount-00127
US-d664,devicecategory-00128,unifiedscreenname-00128,activeusers-00128,eventcount-00128
US-8e47,devicecategory-00129,unifiedscreenname-00129,activeusers-00129,eventcount-00129
US-4ba4,devicecategory-00130,unifiedscreenname-00130,activeusers-00130,eventcount-00130
US-2942,devicecategory-00131,unifiedscreenname-00131,activeusers-00131,eventcount-00131
US-bc41,devicecategory-00132,unifiedscreenname-00132,activeusers-00132,eventcount-00132
US-5da7,devicecategory-00133,unifiedscreenname-00133,activeusers-00133,eventcount-00133
US-71f0,devicecategory-00134,unifiedscreenname-00134,activeusers-00134,eventcount-00134
US-178b,devicecategory-00135,unifiedscreenname-00135,activeusers-00135,eventcount-00135
US-7764,devicecategory-00136,unifiedscreenname-00136,activeusers-00136,eventcount-00136
US-fbaf,devicecategory-00137,unifiedscreenname-00137,activeusers-00137,eventcount-00137
US-a351,devicecategory-00138,unifiedscreenname-00138,activeusers-00138,eventcount-00138
US-1184,devicecategory-00139,unifiedscreenname-00139,activeusers-00139,eventcount-00139
US-ecb4,devicecategory-00140,unifiedscreenname-00140,activeusers-00140,eventcount-00140
US-51b5,devicecategory-00141,unifiedscreenname-00141,activeusers-00141,eventcount-00141
US-b1d9,devicecategory-00142,unifiedscreenname-00142,activeusers-00142,eventcount-00142
US-b4c5,devicecategory-00143,unifiedscreenname-00143,activeusers-00143,eventcount-00143
US-8fd5,devicecategory-00144,unifiedscreenname-00144,activeusers-00144,eventcount-00144
US-4e58,devicecategory-00145,unifiedscreenname-00145,activeusers-00145,eventcount-00145
US-2a4a,devicecategory-00146,unifiedscreenname-00146,activeusers-00146,eventcount-00146
US-f490,devicecategory-00147,unifiedscreenname-00147,activeusers-00147,eventcount-00147
US-52b2,devicecategory-00148,unifiedscreenname-00148,activeusers-00148,eventcount-00148
US-2b68,devicecategory-00149,unifiedscreenname-00149,activeusers-00149,eventcount-00149
US-0219,devicecategory-00150,unifiedscreenname-00150,activeusers-00150,eventcount-00150
US-2f8e,devicecategory-00151,unifiedscreenname-00151,activeusers-00151,eventcount-00151
US-5278,devicecategory-00152,unifiedscreenname-00152,activeusers-00152,eventcount-00152
US-a44d,devicecategory-00153,unifiedscreenname-00153,activeusers-00153,eventcount-00153
US-d828,devicecategory-00154,unifiedscreenname-00154,activeusers-00154,eventcount-00154
US-c972,devicecategory-00155,unifiedscreenname-00155,activeusers-00155,eventcount-00155
US-cc19,devicecategory-00156,unifiedscreenname-00156,activeusers-00156,eventcount-00156
US-e317,devicecategory-00157,unifiedscreenname-00157,activeusers-00157,eventcount-00157
US-1009,devicecategory-00158,unifiedscreenname-00158,activeusers-00158,eventcount-00158
US-1db4,devicecategory-00159,unifiedscreenname-00159,activeusers-00159,eventcount-00159
US-716a,devicecategory-00160,unifiedscreenname-00160,activeusers-00160,eventcount-00160
US-eb51,devicecategory-00161,unifiedscreenname-00161,activeusers-00161,eventcount-00161
US-212d,devicecategory-00162,unifiedscreenname-00162,activeusers-00162,eventcount-00162
US-a390,devicecategory-00163,unifiedscreenname-00163,activeusers-00163,eventcount-00163
US-94f3,devicecategory-00164,unifiedscreenname-00164,activeusers-00164,eventcount-00164
US-390b,devicecategory-00165,unifiedscreenname-00165,activeusers-00165,eventcount-00165
US-df77,devicecategory-00166,unifiedscreenname-00166,activeusers-00166,eventcount-00166
US-53d7,devicecategory-00167,unifiedscreenname-00167,activeusers-00167,eventcount-00167
US-5529,devicecategory-00168,unifiedscreenname-00168,activeusers-00168,eventcount-00168
US-918f,devicecategory-00169,unifiedscreenname-00169,activeusers-00169,eventcount-00169
US-6088,devicecategory-00170,unifiedscreenname-00170,activeusers-00170,eventcount-00170
US-c3e0,devicecategory-00171,unifiedscreenname-00171,activeusers-00171,eventcount-00171
US-4492,devicecategory-00172,unifiedscreenname-00172,activeusers-00172,eventcount-00172
US-38af,devicecategory-00173,unifiedscreenname-00173,activeusers-00173,eventcount-00173
US-8119,devicecategory-00174,unifiedscreenname-00174,activeusers-00174,eventcount-00174
US-d02a,devicecategory-00175,unifiedscreenname-00175,activeusers-00175,eventcount-00175
US-0e42,devicecategory-00176,unifiedscreenname-00176,activeusers-00176,eventcount-00176
US-4ac1,devicecategory-00177,unifiedscreenname-00177,activeusers-00177,eventcount-00177
US-ba60,devicecategory-00178,unifiedscreenname-00178,activeusers-00178,eventcount-00178
US-151b,devicecategory-00179,unifiedscreenname-00179,activeusers-00179,eventcount-00179
US-f762,devicecategory-00180,unifiedscreenname-00180,activeusers-00180,eventcount-00180
US-e7af,devicecategory-00181,unifiedscreenname-00181,activeusers-00181,eventcount-00181
US-784e,devicecategory-00182,unifiedscreenname-00182,activeusers-00182,eventcount-00182
US-c14f,devicecategory-00183,unifiedscreenname-00183,activeusers-00183,eventcount-00183
US-7b83,devicecategory-00184,unifiedscreenname-00184,activeusers-00184,eventcount-00184
US-da42,devicecategory-00185,unifiedscreenname-00185,activeusers-00185,eventcount-00185
US-b07a,devicecategory-00186,unifiedscreenname-00186,activeusers-00186,eventcount-00186
US-64ce,devicecategory-00187,unifiedscreenname-00187,activeusers-00187,eventcount-00187
US-41f4,devicecategory-00188,unifiedscreenname-00188,activeusers-00188,eventcount-00188
US-7dd0,devicecategory-00189,unifiedscreenname-00189,activeusers-00189,eventcount-00189
US-14f0,devicecategory-00190,unifiedscreenname-00190,activeusers-00190,eventcount-00190
US-4e99,devicecategory-00191,unifiedscreenname-00191,activeusers-00191,eventcount-00191
US-2706,devicecategory-00192,unifiedscreenname-00192,activeusers-00192,eventcount-00192
US-6fcb,devicecategory-00193,unifiedscreenname-00193,activeusers-00193,eventcount-00193
US-b8aa,devicecategory-00194,unifiedscreenname-00194,activeusers-00194,eventcount-00194
US-19ac,devicecategory-00195,unifiedscreenname-00195,activeusers-00195,eventcount-00195
US-18ac,devicecategory-00196,unifiedscreenname-00196,activeusers-00196,eventcount-00196
US-fde9,devicecategory-00197,unifiedscreenname-00197,activeusers-00197,eventcount-00197
US-8388,devicecategory-00198,unifiedscreenname-00198,activeusers-00198,eventcount-00198
US-c00e,devicecategory-00199,unifiedscreenname-00199,activeusers-00199,eventcount-00199
US-7ea4,devicecategory-00200,unifiedscreenname-00200,activeusers-00200,eventcount-00200
US-45a9,devicecategory-00201,unifiedscreenname-00201,activeusers-00201,eventcount-00201
US-4c5a,devicecategory-00202,unifiedscreenname-00202,activeusers-00202,eventcount-00202
US-8949,devicecategory-00203,unifiedscreenname-00203,activeusers-00203,eventcount-00203
US-0237,devicecategory-00204,unifiedscreenname-00204,activeusers-00204,eventcount-00204
US-4936,devicecategory-00205,unifiedscreenname-00205,activeusers-00205,eventcount-00205
US-3316,devicecategory-00206,unifiedscreenname-00206,activeusers-00206,eventcount-00206
US-a4a3,devicecategory-00207,unifiedscreenname-00207,activeusers-00207,eventcount-00207
US-9324,devicecategory-00208,unifiedscreenname-00208,activeusers-00208,eventcount-00208
US-06da,devicecategory-00209,unifiedscreenname-00209,activeusers-00209,eventcount-00209
US-9814,devicecategory-00210,unifiedscreenname-00210,activeusers-00210,eventcount-00210
US-9197,devicecategory-00211,unifiedscreenname-00211,activeusers-00211,eventcount-00211
US-8b85,devicecategory-00212,unifiedscreenname-00212,activeusers-00212,eventcount-00212
US-070f,devicecategory-00213,unifiedscreenname-00213,activeusers-00213,eventcount-00213
US-92a7,devicecategory-00214,unifiedscreenname-00214,activeusers-00214,eventcount-00214
US-66a8,devicecategory-00215,unifiedscreenname-00215,activeusers-00215,eventcount-00215
US-8753,devicecategory-00216,unifiedscreenname-00216,activeusers-00216,eventcount-00216
US-d68f,devicecategory-00217,unifiedscreenname-00217,activeusers-00217,eventcount-00217
US-6b0b,devicecategory-00218,unifiedscreenname-00218,activeusers-00218,eventcount-00218
US-af0a,devicecategory-00219,unifiedscreenname-00219,activeusers-00219,eventcount-00219
US-ed31,devicecategory-00220,unifiedscreenname-00220,activeusers-00220,eventcount-00220
US-fa71,devicecategory-00221,unifiedscreenname-00221,activeusers-00221,eventcount-00221
US-7e7d,devicecategory-00222,unifiedscreenname-00222,activeusers-00222,eventcount-00222
US-f153,devicecategory-00223,unifiedscreenname-00223,activeusers-00223,eventcount-00223
US-7f73,devicecategory-00224,unifiedscreenname-00224,activeusers-00224,eventcount-00224
US-71f4,devicecategory-00225,unifiedscreenname-00225,activeusers-00225,eventcount-00225
US-6ef8,devicecategory-00226,unifiedscreenname-00226,activeusers-00226,eventcount-00226
US-f545,devicecategory-00227,unifiedscreenname-00227,activeusers-00227,eventcount-00227
US-7807,devicecategory-00228,unifiedscreenname-00228,activeusers-00228,eventcount-00228
US-52ad,devicecategory-00229,unifiedscreenname-00229,activeusers-00229,eventcount-00229
US-c48b,devicecategory-00230,unifiedscreenname-00230,activeusers-00230,eventcount-00230
US-d226,devicecategory-00231,unifiedscreenname-00231,activeusers-00231,eventcount-00231
US-c313,devicecategory-00232,unifiedscreenname-00232,activeusers-00232,eventcount-00232
US-6fde,devicecategory-00233,unifiedscreenname-00233,activeusers-00233,eventcount-00233
US-13a6,devicecategory-00234,unifiedscreenname-00234,activeusers-00234,eventcount-00234
US-0f0b,devicecategory-00235,unifiedscreenname-00235,activeusers-00235,eventcount-00235
US-2e79,devicecategory-00236,unifiedscreenname-00236,activeusers-00236,eventcount-00236
US-9f03,devicecategory-00237,unifiedscreenname-00237,activeusers-00237,eventcount-00237
US-f619,devicecategory-00238,unifiedscreenname-00238,activeusers-00238,eventcount-00238
US-f076,devicecategory-00239,unifiedscreenname-00239,activeusers-00239,eventcount-00239
US-9e03,devicecategory-00240,unifiedscreenname-00240,activeusers-00240,eventcount-00240
US-73f4,devicecategory-00241,unifiedscreenname-00241,activeusers-00241,eventcount-00241
US-7dd9,devicecategory-00242,unifiedscreenname-00242,activeusers-00242,eventcount-00242
