date,country,pagePath,deviceCategory,sessions,activeUsers,screenPageViews,eventCount
2026-08-23T13:38:00Z,US,/2018/09/mount-washburn-fire-lookout,desktop,468,318,617,834
2025-11-15T17:25:00Z,US,/2019/08/beartooth-highway-passes,desktop,455,328,940,1064
2025-08-20T18:19:00Z,US,/2018/12/old-faithful-cold-morning,tablet,89,68,111,147
2026-03-02T08:12:00Z,US,/2019/04/trout-lake-thaw,tablet,203,162,321,393
2026-04-19T06:11:00Z,US,/2019/10/fall-elk-rut-mammoth,tablet,317,197,621,639
2026-02-06T06:48:00Z,US,/2018/07/grand-prismatic-overlook,tablet,431,284,810,1413
2025-10-08T06:00:00Z,US,/2019/07/avalanche-lake-glacier,mobile,418,293,521,840
2026-02-05T09:28:00Z,US,/2019/09/highline-trail-report,mobile,52,38,137,227
2025-10-16T22:16:00Z,US,/2018/10/dark-sky-astronomy-night,mobile,166,151,293,487
2026-05-10T23:26:00Z,US,/2018/11/geyser-basin-in-winter,mobile,280,168,573,695
2025-04-01T22:53:00Z,US,/2019/02/lamar-valley-wolves,desktop,267,171,502,684
2025-02-27T23:31:00Z,US,/2019/06/hayden-valley-bison,desktop,381,259,452,919
2025-03-28T11:56:00Z,US,/2018/09/mount-washburn-fire-lookout,desktop,15,13,68,73
2026-04-28T17:19:00Z,US,/2019/08/beartooth-highway-passes,desktop,129,115,291,571
2025-12-21T15:43:00Z,US,/2018/12/old-faithful-cold-morning,desktop,116,108,232,453
2026-02-07T01:01:00Z,US,/2019/04/trout-lake-thaw,tablet,230,143,363,555
2024-12-26T21:32:00Z,US,/2019/10/fall-elk-rut-mammoth,tablet,344,227,477,753
2026-03-28T16:52:00Z,US,/2018/07/grand-prismatic-overlook,tablet,458,380,579,1152
2026-03-26T01:23:00Z,US,/2019/07/avalanche-lake-glacier,tablet,445,387,550,694
2025-01-04T01:04:00Z,US,/2019/09/highline-trail-report,mobile,79,72,110,241
2025-01-30T14:47:00Z,US,/2018/10/dark-sky-astronomy-night,mobile,193,116,228,251
2025-10-15T21:50:00Z,US,/2018/11/geyser-basin-in-winter,mobile,307,236,559,657
2026-10-15T16:29:00Z,US,/2019/02/lamar-valley-wolves,mobile,421,341,706,985
2025-07-31T02:01:00Z,US,/2019/06/hayden-valley-bison,desktop,408,347,573,841
2024-11-24T02:54:00Z,US,/2018/09/mount-washburn-fire-lookout,desktop,42,37,99,148
2025-05-29T04:27:00Z,US,/2019/08/beartooth-highway-passes,desktop,156,111,189,367
2025-04-10T17:22:00Z,US,/2018/12/old-faithful-cold-morning,desktop,270,202,313,414
2025-03-28T08:59:00Z,US,/2019/04/trout-lake-thaw,tablet,257,203,540,699
2024-10-15T09:48:00Z,US,/2019/10/fall-elk-rut-mammoth,tablet,371,308,585,618
2025-03-25T05:58:00Z,US,/2018/07/grand-prismatic-overlook,tablet,5,3,48,87
2026-09-23T16:54:00Z,US,/2019/07/avalanche-lake-glacier,tablet,119,82,192,273
2025-06-10T22:53:00Z,US,/2019/09/highline-trail-report,tablet,106,77,237,261
2024-10-17T05:46:00Z,US,/2018/10/dark-sky-astronomy-night,mobile,220,169,433,704
2026-11-11T04:24:00Z,US,/2018/11/geyser-basin-in-winter,mobile,334,314,549,599
2026-07-01T23:42:00Z,US,/2019/02/lamar-valley-wolves,mobile,448,282,645,740
2024-11-09T00:25:00Z,US,/2019/06/hayden-valley-bison,mobile,435,291,575,1199
2026-06-04T10:24:00Z,US,/2018/09/mount-washburn-fire-lookout,desktop,69,49,96,103
2025-05-02T00:40:00Z,US,/2019/08/beartooth-highway-passes,desktop,183,137,400,465
2024-09-11T02:05:00Z,US,/2018/12/old-faithful-cold-morning,desktop,297,273,568,647
2026-09-08T20:14:00Z,US,/2019/04/trout-lake-thaw,desktop,284,173,592,857
2026-04-02T09:47:00Z,US,/2019/10/fall-elk-rut-mammoth,tablet,398,259,759,1248
2024-09-05T23:17:00Z,US,/2018/07/grand-prismatic-overlook,tablet,32,22,45,69
2026-09-05T00:13:00Z,US,/2019/07/avalanche-lake-glacier,tablet,146,126,309,486
2025-04-19T09:27:00Z,US,/2019/09/highline-trail-report,tablet,260,234,393,771
2026-08-01T15:07:00Z,US,/2018/10/dark-sky-astronomy-night,mobile,247,232,407,680
2026-08-30T09:27:00Z,US,/2018/11/geyser-basin-in-winter,mobile,361,227,442,699
2026-06-28T21:41:00Z,US,/2019/02/lamar-valley-wolves,mobile,475,380,483,620
2024-12-31T14:23:00Z,US,/2019/06/hayden-valley-bison,mobile,109,92,228,263
2026-02-28T10:05:00Z,US,/2018/09/mount-washburn-fire-lookout,desktop,96,84,157,194
2026-11-09T02:06:00Z,US,/2019/08/beartooth-highway-passes,desktop,210,193,233,359
2025-02-26T06:16:00Z,US,/2018/12/old-faithful-cold-morning,desktop,324,240,605,621
2025-07-01T09:21:00Z,US,/2019/04/trout-lake-thaw,desktop,438,342,809,1250
2026-05-26T12:28:00Z,US,/2019/10/fall-elk-rut-mammoth,desktop,425,348,865,1039
2025-12-24T01:24:00Z,US,/2018/07/grand-prismatic-overlook,tablet,59,51,141,306
2025-08-14T11:57:00Z,US,/2019/07/avalanche-lake-glacier,tablet,173,156,324,519
2026-06-01T13:31:00Z,US,/2019/09/highline-trail-report,tablet,287,207,570,759
2026-08-21T07:52:00Z,US,/2018/10/dark-sky-astronomy-night,tablet,274,208,294,429
2026-10-12T09:43:00Z,US,/2018/11/geyser-basin-in-winter,mobile,388,310,697,710
2026-07-28T23:24:00Z,US,/2019/02/lamar-valley-wolves,mobile,22,18,57,146
2025-04-24T17:58:00Z,US,/2019/06/hayden-valley-bison,mobile,136,90,205,408
2025-07-27T17:49:00Z,US,/2018/09/mount-washburn-fire-lookout,mobile,250,175,373,628
2026-05-08T05:02:00Z,US,/2019/08/beartooth-highway-passes,desktop,237,175,246,343
2024-09-08T06:30:00Z,US,/2018/12/old-faithful-cold-morning,desktop,351,274,494,679
2025-03-21T03:37:00Z,US,/2019/04/trout-lake-thaw,desktop,465,279,473,946
2025-04-15T20:41:00Z,US,/2019/10/fall-elk-rut-mammoth,desktop,99,63,153,235
2025-01-22T12:50:00Z,US,/2018/07/grand-prismatic-overlook,tablet,86,58,129,223
2025-06-14T06:00:00Z,US,/2019/07/avalanche-lake-glacier,tablet,200,144,333,390
2025-12-11T09:08:00Z,US,/2019/09/highline-trail-report,tablet,314,279,399,684
2026-07-30T14:44:00Z,US,/2018/10/dark-sky-astronomy-night,tablet,428,398,777,933
2026-02-21T04:22:00Z,US,/2018/11/geyser-basin-in-winter,tablet,415,257,705,1299
2026-03-16T22:26:00Z,US,/2019/02/lamar-valley-wolves,mobile,49,32,78,209
2026-04-18T18:07:00Z,US,/2019/06/hayden-valley-bison,mobile,163,114,299,480
2026-03-05T08:22:00Z,US,/2018/09/mount-washburn-fire-lookout,mobile,277,241,403,845
2024-12-21T22:48:00Z,US,/2019/08/beartooth-highway-passes,mobile,264,240,348,617
2026-05-01T16:13:00Z,US,/2018/12/old-faithful-cold-morning,desktop,378,227,787,1495
2024-10-31T01:47:00Z,US,/2019/04/trout-lake-thaw,desktop,12,8,45,64
2025-11-18T02:58:00Z,US,/2019/10/fall-elk-rut-mammoth,desktop,126,102,213,292
2025-10-24T04:00:00Z,US,/2018/07/grand-prismatic-overlook,desktop,240,204,413,510
2025-06-26T19:15:00Z,US,/2019/07/avalanche-lake-glacier,tablet,227,202,333,360
2026-04-17T06:14:00Z,US,/2019/09/highline-trail-report,tablet,341,317,408,807
2025-03-14T06:00:00Z,US,/2018/10/dark-sky-astronomy-night,tablet,455,341,873,1605
2025-03-21T13:08:00Z,US,/2018/11/geyser-basin-in-winter,tablet,89,70,186,291
2025-03-16T01:12:00Z,US,/2019/02/lamar-valley-wolves,mobile,76,63,109,175
2025-08-28T02:40:00Z,US,/2019/06/hayden-valley-bison,mobile,190,165,273,578
2025-05-06T01:51:00Z,US,/2018/09/mount-washburn-fire-lookout,mobile,304,210,357,608
2026-01-29T18:29:00Z,US,/2019/08/beartooth-highway-passes,mobile,418,305,809,1570
2024-12-19T17:12:00Z,US,/2018/12/old-faithful-cold-morning,mobile,405,312,565,689
2026-04-02T18:22:00Z,US,/2019/04/trout-lake-thaw,desktop,39,32,110,181
2025-11-30T22:52:00Z,US,/2019/10/fall-elk-rut-mammoth,desktop,153,130,303,562
2026-10-21T13:36:00Z,US,/2018/07/grand-prismatic-overlook,desktop,267,179,281,494
2024-09-10T08:21:00Z,US,/2019/07/avalanche-lake-glacier,desktop,254,180,532,535
2026-05-09T14:17:00Z,US,/2019/09/highline-trail-report,tablet,368,276,405,555
2025-09-26T14:56:00Z,US,/2018/10/dark-sky-astronomy-night,tablet,482,381,843,1458
2026-01-16T12:57:00Z,US,/2018/11/geyser-basin-in-winter,tablet,116,71,165,168
2024-09-14T17:07:00Z,US,/2019/02/lamar-valley-wolves,tablet,230,150,333,705
2025-12-21T06:39:00Z,US,/2019/06/hayden-valley-bison,mobile,217,150,445,864
2024-09-26T08:35:00Z,US,/2018/09/mount-washburn-fire-lookout,mobile,331,242,505,723
2025-02-15T02:50:00Z,US,/2019/08/beartooth-highway-passes,mobile,445,400,463,909
2026-08-16T23:25:00Z,US,/2018/12/old-faithful-cold-morning,mobile,79,74,93,224
2025-11-17T03:01:00Z,US,/2019/04/trout-lake-thaw,desktop,66,42,97,162
2026-08-25T15:12:00Z,US,/2019/10/fall-elk-rut-mammoth,desktop,180,121,333,694
2025-01-23T01:21:00Z,US,/2018/07/grand-prismatic-overlook,desktop,294,247,417,871
2024-12-12T08:36:00Z,US,/2019/07/avalanche-lake-glacier,desktop,408,359,829,992
2025-09-04T12:27:00Z,US,/2019/09/highline-trail-report,desktop,395,363,798,1486
2026-05-08T20:56:00Z,US,/2018/10/dark-sky-astronomy-night,tablet,29,18,75,141
2025-08-09T23:11:00Z,US,/2018/11/geyser-basin-in-winter,tablet,143,112,204,249
2025-05-17T21:31:00Z,US,/2019/02/lamar-valley-wolves,tablet,257,211,375,384
2026-01-08T02:17:00Z,US,/2019/06/hayden-valley-bison,tablet,244,210,484,621
2026-02-21T15:15:00Z,US,/2018/09/mount-washburn-fire-lookout,mobile,358,322,497,812
2026-11-02T16:12:00Z,US,/2019/08/beartooth-highway-passes,mobile,472,444,797,1439
2025-09-22T18:56:00Z,US,/2018/12/old-faithful-cold-morning,mobile,106,81,189,413
2025-05-25T09:43:00Z,US,/2019/04/trout-lake-thaw,mobile,93,74,121,174
2025-09-14T03:23:00Z,US,/2019/10/fall-elk-rut-mammoth,desktop,207,174,294,373
2025-03-25T23:25:00Z,US,/2018/07/grand-prismatic-overlook,desktop,321,282,450,733
2026-10-25T02:36:00Z,US,/2019/07/avalanche-lake-glacier,desktop,435,304,663,691
2026-06-16T03:25:00Z,US,/2019/09/highline-trail-report,desktop,69,51,118,245
2025-06-12T10:43:00Z,US,/2018/10/dark-sky-astronomy-night,tablet,56,44,93,228
2026-03-07T07:41:00Z,US,/2018/11/geyser-basin-in-winter,tablet,170,139,213,243
2025-07-30T03:09:00Z,US,/2019/02/lamar-valley-wolves,tablet,284,182,417,465
2026-09-10T05:36:00Z,US,/2019/06/hayden-valley-bison,tablet,398,271,711,1182
2026-10-25T15:30:00Z,US,/2018/09/mount-washburn-fire-lookout,mobile,385,277,503,786
2026-10-17T20:24:00Z,US,/2019/08/beartooth-highway-passes,mobile,19,14,77,92
2025-05-09T03:05:00Z,US,/2018/12/old-faithful-cold-morning,mobile,133,124,284,351
2024-09-13T12:31:00Z,US,/2019/04/trout-lake-thaw,mobile,247,153,292,561
2025-07-03T09:53:00Z,US,/2019/10/fall-elk-rut-mammoth,mobile,234,154,348,419
2025-05-30T08:16:00Z,US,/2018/07/grand-prismatic-overlook,desktop,348,244,561,865
2024-11-05T05:06:00Z,US,/2019/07/avalanche-lake-glacier,desktop,462,342,487,587
2024-10-01T15:34:00Z,US,/2019/09/highline-trail-report,desktop,96,87,157,330
2026-07-26T06:08:00Z,US,/2018/10/dark-sky-astronomy-night,desktop,83,50,112,184
2025-04-19T18:02:00Z,US,/2018/11/geyser-basin-in-winter,tablet,197,126,219,267
2024-10-26T11:50:00Z,US,/2019/02/lamar-valley-wolves,tablet,311,211,648,1149
2025-10-01T20:23:00Z,US,/2019/06/hayden-valley-bison,tablet,425,361,753,999
2024-11-06T12:31:00Z,US,/2018/09/mount-washburn-fire-lookout,tablet,59,53,75,141
2025-05-20T01:04:00Z,US,/2019/08/beartooth-highway-passes,mobile,46,43,113,181
2024-11-26T11:03:00Z,US,/2018/12/old-faithful-cold-morning,mobile,160,99,333,605
2025-03-28T16:49:00Z,US,/2019/04/trout-lake-thaw,mobile,274,216,321,512
2026-06-22T04:21:00Z,US,/2019/10/fall-elk-rut-mammoth,mobile,388,322,745,875
2026-08-19T18:37:00Z,US,/2018/07/grand-prismatic-overlook,desktop,375,326,398,474
2026-03-02T18:46:00Z,US,/2019/07/avalanche-lake-glacier,desktop,9,8,40,131
2024-09-20T13:16:00Z,US,/2019/09/highline-trail-report,desktop,123,90,271,595
2026-02-01T11:53:00Z,US,/2018/10/dark-sky-astronomy-night,desktop,237,182,257,272
2026-01-02T20:54:00Z,US,/2018/11/geyser-basin-in-winter,desktop,224,181,484,761
2025-06-22T10:20:00Z,US,/2019/02/lamar-valley-wolves,tablet,338,287,447,450
2025-10-10T18:44:00Z,US,/2019/06/hayden-valley-bison,tablet,452,402,477,1008
2024-10-25T06:57:00Z,US,/2018/09/mount-washburn-fire-lookout,tablet,86,61,189,282
2026-02-02T23:50:00Z,US,/2019/08/beartooth-highway-passes,tablet,73,55,133,190
2024-12-09T14:31:00Z,US,/2018/12/old-faithful-cold-morning,mobile,187,148,286,477
2026-11-07T10:59:00Z,US,/2019/04/trout-lake-thaw,mobile,301,250,470,673
2026-08-02T10:04:00Z,US,/2019/10/fall-elk-rut-mammoth,mobile,415,270,638,1327
2025-01-27T03:01:00Z,US,/2018/07/grand-prismatic-overlook,mobile,49,34,75,176
2025-04-08T07:48:00Z,US,/2019/07/avalanche-lake-glacier,desktop,36,26,105,148
2025-12-16T21:35:00Z,US,/2019/09/highline-trail-report,desktop,150,116,223,297
2024-11-30T15:06:00Z,US,/2018/10/dark-sky-astronomy-night,desktop,264,248,493,522
2025-03-21T01:24:00Z,US,/2018/11/geyser-basin-in-winter,desktop,378,238,611,736
2025-01-06T22:17:00Z,US,/2019/02/lamar-valley-wolves,tablet,365,245,543,970
2026-03-30T16:25:00Z,US,/2019/06/hayden-valley-bison,tablet,479,340,831,1380
2026-04-25T13:31:00Z,US,/2018/09/mount-washburn-fire-lookout,tablet,113,99,204,267
2025-06-11T14:58:00Z,US,/2019/08/beartooth-highway-passes,tablet,227,209,330,549
2025-09-30T21:53:00Z,US,/2018/12/old-faithful-cold-morning,tablet,214,131,460,503
2025-07-12T16:06:00Z,US,/2019/04/trout-lake-thaw,mobile,328,213,685,1115
2025-05-01T01:05:00Z,US,/2019/10/fall-elk-rut-mammoth,mobile,442,305,693,911
2025-08-09T04:21:00Z,US,/2018/07/grand-prismatic-overlook,mobile,76,65,185,388
2025-08-15T17:19:00Z,US,/2019/07/avalanche-lake-glacier,mobile,63,57,164,280
2024-11-19T19:02:00Z,US,/2019/09/highline-trail-report,desktop,177,166,218,495
2025-04-19T15:32:00Z,US,/2018/10/dark-sky-astronomy-night,desktop,291,183,298,343
2024-11-24T14:11:00Z,US,/2018/11/geyser-basin-in-winter,desktop,405,324,763,1304
2025-04-02T01:16:00Z,US,/2019/02/lamar-valley-wolves,desktop,39,33,73,176
2025-08-03T06:29:00Z,US,/2019/06/hayden-valley-bison,tablet,26,23,51,153
2025-03-02T13:12:00Z,US,/2018/09/mount-washburn-fire-lookout,tablet,140,129,273,393
2024-11-19T17:26:00Z,US,/2019/08/beartooth-highway-passes,tablet,254,188,465,936
2024-11-07T07:44:00Z,US,/2018/12/old-faithful-cold-morning,tablet,368,287,405,630
2025-11-15T04:03:00Z,US,/2019/04/trout-lake-thaw,mobile,355,291,723,842
2026-02-10T15:05:00Z,US,/2019/10/fall-elk-rut-mammoth,mobile,469,403,668,807
