"jurisdiction"	"value"	"race_ethnicity"	"year"	"measure"
"Montgomery"	"3.2"	"All races/ ethnicities (aggregated)"	"2016"	"Child Maltreatment"
"Prince George's"	"5.4"	"All races/ ethnicities (aggregated)"	"2016"	"Child Maltreatment"
"Queen Anne's"	"3.0"	"All races/ ethnicities (aggregated)"	"2016"	"Child Maltreatment"
"Saint Mary's"	"15.0"	"All races/ ethnicities (aggregated)"	"2016"	"Child Maltreatment"
"Somerset"	"5.3"	"All races/ ethnicities (aggregated)"	"2016"	"Child Maltreatment"
"Talbot"	"4.3"	"All races/ ethnicities (aggregated)"	"2016"	"Child Maltreatment"
"Washington"	"10.5"	"All races/ ethnicities (aggregated)"	"2016"	"Child Maltreatment"
"Wicomico"	"5.9"	"All races/ ethnicities (aggregated)"	"2016"	"Child Maltreatment"
"Worcester"	"11.5"	"All races/ ethnicities (aggregated)"	"2016"	"Child Maltreatment"
"State"	"7.3"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Allegany"	"21.0"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Anne Arundel"	"6.7"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Baltimore City"	"19.9"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Baltimore County"	"5.4"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Calvert"	"4.2"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Caroline"	"13.2"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Carroll"	"3.6"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Cecil"	"10.6"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Charles"	"4.1"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Dorchester"	"16.0"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Frederick"	"6.1"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Garrett"	"10.0"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Harford"	"11.7"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Howard"	"3.4"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Kent"	"9.7"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Montgomery"	"3.8"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Prince George's"	"5.2"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Queen Anne's"	"2.9"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Saint Mary's"	"3.9"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Somerset"	"23.2"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Talbot"	"6.2"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Washington"	"11.1"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Wicomico"	"5.6"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"Worcester"	"14.1"	"All races/ ethnicities (aggregated)"	"2015"	"Child Maltreatment"
"State"	"9.9"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Allegany"	"23.3"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Anne Arundel"	"7.8"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Baltimore City"	"25.8"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Baltimore County"	"8.1"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Calvert"	"8.4"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Caroline"	"15.9"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Carroll"	"3.7"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Cecil"	"16.8"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Charles"	"7.5"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Dorchester"	"25.4"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Frederick"	"7.3"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Garrett"	"9.2"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Harford"	"14.1"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Howard"	"2.7"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Kent"	"15.8"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Montgomery"	"5.1"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Prince George's"	"8.0"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Queen Anne's"	"4.9"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Saint Mary's"	"7.9"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Somerset"	"30.5"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Talbot"	"13.1"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Washington"	"13.6"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Wicomico"	"13.4"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"Worcester"	"29.0"	"All races/ ethnicities (aggregated)"	"2014"	"Child Maltreatment"
"State"	"9.2"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Allegany"	"27.5"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Anne Arundel"	"6.0"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Baltimore City"	"20.5"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Baltimore County"	"8.5"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Calvert"	"10.7"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Caroline"	"15.7"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Carroll"	"3.4"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Cecil"	"16.5"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Charles"	"7.5"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Dorchester"	"28.4"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Frederick"	"8.8"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Garrett"	"7.1"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Harford"	"10.2"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Howard"	"2.3"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Kent"	"12.5"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Montgomery"	"4.8"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Prince George's"	"7.4"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Queen Anne's"	"5.3"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Saint Mary's"	"6.2"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Somerset"	"24.2"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Talbot"	"14.4"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Washington"	"20.4"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Wicomico"	"12.1"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"Worcester"	"28.6"	"All races/ ethnicities (aggregated)"	"2013"	"Child Maltreatment"
"State"	"10.2"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Allegany"	"23.2"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Anne Arundel"	"6.2"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Baltimore City"	"20.4"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Baltimore County"	"9.6"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Calvert"	"8.8"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Caroline"	"9.6"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Carroll"	"3.5"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Cecil"	"20.1"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Charles"	"8.5"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Dorchester"	"37.3"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Frederick"	"10.4"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Garrett"	"4.9"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Harford"	"10.2"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Howard"	"2.9"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Kent"	"7.8"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Montgomery"	"5.5"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Prince George's"	"8.6"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Queen Anne's"	"6.5"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Saint Mary's"	"9.4"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Somerset"	"29.0"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Talbot"	"8.3"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Washington"	"29.3"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Wicomico"	"12.4"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"Worcester"	"37.8"	"All races/ ethnicities (aggregated)"	"2012"	"Child Maltreatment"
"State"	"9.3"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Allegany"	"25.8"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Anne Arundel"	"5.9"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Baltimore City"	"19.7"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Baltimore County"	"8.5"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Calvert"	"9.2"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Caroline"	"9.2"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Carroll"	"3.1"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Cecil"	"18.4"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Charles"	"6.7"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Dorchester"	"23.1"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Frederick"	"9.2"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Garrett"	"10.2"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Harford"	"8.8"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Howard"	"2.2"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Kent"	"11.9"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Montgomery"	"5.1"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Prince George's"	"8.1"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Queen Anne's"	"6.2"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Saint Mary's"	"7.4"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Somerset"	"37.6"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Talbot"	"10.4"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Washington"	"24.5"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Wicomico"	"7.6"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"Worcester"	"34.5"	"All races/ ethnicities (aggregated)"	"2011"	"Child Maltreatment"
"State"	"5.0"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Allegany"	"34.2"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Anne Arundel"	"2.4"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Baltimore City"	"13.8"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Baltimore County"	"3.5"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Calvert"	"3.4"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Caroline"	"3.4"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Carroll"	"3.2"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Cecil"	"10.5"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Charles"	"2.6"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Dorchester"	"8.1"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Frederick"	"2.9"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Garrett"	"4.2"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Harford"	"3.5"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Howard"	"1.8"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Kent"		"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Montgomery"	"3.2"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Prince George's"	"3.6"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Queen Anne's"	"2.9"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Saint Mary's"	"4.2"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Somerset"	"14.1"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Talbot"	"6.0"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Washington"	"11.4"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Wicomico"	"3.7"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"Worcester"	"9.6"	"All races/ ethnicities (aggregated)"	"2010"	"Child Maltreatment"
"State"	"4.87857"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Allegany"	"11.3627"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Anne Arundel"	"3.32535"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Baltimore City"	"10.765"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Baltimore County"	"4.83427"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Calvert"	"3.75587"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Caroline"	"5.05881"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Carroll"	"3.83226"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Cecil"	"10.7444"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Charles"	"3.12637"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Dorchester"	"11.2559"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Frederick"	"2.58533"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Garrett"	"19.167"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Harford"	"6.5146"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Howard"	"1.67634"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Kent"	"7.17547"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Montgomery"	"2.78284"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Somerset"	"4.78905"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Talbot"	"5.21221"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Washington"	"7.91653"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Wicomico"	"5.15055"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Worcester"	"12.1307"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Prince George's"	"4.61688"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Queen Anne's"	"1.57116"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"Saint Mary's"	"4.51608"	"All races/ ethnicities (aggregated)"	"2018"	"Child Maltreatment"
"State"	"0.682223"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Allegany"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Anne Arundel"	"1.36822"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Baltimore City"	"0.766871"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Baltimore County"	"0.990325"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Calvert"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Caroline"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Carroll"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Cecil"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Charles"	"0.667111"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Dorchester"	"10.5263"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Frederick"	"0.839866"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Garrett"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Harford"	"0.918274"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Howard"	"0.290698"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Kent"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Montgomery"	"0.483037"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Somerset"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Talbot"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Washington"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Wicomico"	"6.73854"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Worcester"	"5.31915"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Prince George's"	"0.873871"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Queen Anne's"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Saint Mary's"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"State"	"5.93"	"Black or African American"	"2018"	"Child Maltreatment"
"Allegany"	"10.38"	"Black or African American"	"2018"	"Child Maltreatment"
"Anne Arundel"	"4.68"	"Black or African American"	"2018"	"Child Maltreatment"
"Baltimore City"	"11.32"	"Black or African American"	"2018"	"Child Maltreatment"
"Baltimore County"	"5.07"	"Black or African American"	"2018"	"Child Maltreatment"
"Calvert"	"4.97"	"Black or African American"	"2018"	"Child Maltreatment"
"Caroline"	"7.22"	"Black or African American"	"2018"	"Child Maltreatment"
"Carroll"	"12.69"	"Black or African American"	"2018"	"Child Maltreatment"
"Cecil"	"6"	"Black or African American"	"2018"	"Child Maltreatment"
"Charles"	"3.15"	"Black or African American"	"2018"	"Child Maltreatment"
"Dorchester"	"14.65"	"Black or African American"	"2018"	"Child Maltreatment"
"Frederick"	"4.31"	"Black or African American"	"2018"	"Child Maltreatment"
"Garrett"	"12.5"	"Black or African American"	"2018"	"Child Maltreatment"
"Harford"	"9.52"	"Black or African American"	"2018"	"Child Maltreatment"
"Howard"	"3.2"	"Black or African American"	"2018"	"Child Maltreatment"
"Kent"	"9.15"	"Black or African American"	"2018"	"Child Maltreatment"
"Montgomery"	"3.74"	"Black or African American"	"2018"	"Child Maltreatment"
"Somerset"	"6.43"	"Black or African American"	"2018"	"Child Maltreatment"
"Talbot"	"6.88"	"Black or African American"	"2018"	"Child Maltreatment"
"Washington"	"7.56"	"Black or African American"	"2018"	"Child Maltreatment"
"Wicomico"	"5.51"	"Black or African American"	"2018"	"Child Maltreatment"
"Worcester"	"10.73"	"Black or African American"	"2018"	"Child Maltreatment"
"Prince George's"	"4.24"	"Black or African American"	"2018"	"Child Maltreatment"
"Queen Anne's"	"2.64"	"Black or African American"	"2018"	"Child Maltreatment"
"Saint Mary's"	"4.55"	"Black or African American"	"2018"	"Child Maltreatment"
"State"	"6.22978"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Allegany"	"10.7095"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Anne Arundel"	"4.81788"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Baltimore City"	"11.544"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Baltimore County"	"5.25914"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Calvert"	"5.22648"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Caroline"	"7.66871"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Carroll"	"13.1497"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Cecil"	"6.77813"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Charles"	"3.1841"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Dorchester"	"15.6006"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Frederick"	"4.87013"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Garrett"	"12.5786"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Harford"	"10.0222"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Howard"	"3.37727"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Kent"	"9.53895"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Montgomery"	"4.12597"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Somerset"	"6.68524"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Talbot"	"7.5188"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Washington"	"7.93966"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
