symbol,bid_price,bid_size,ask_price,ask_size,timestamp
SYMQ59,86.22,77,30.6,88,2026-12-01T00:59:00Z
SYMQ60,366.14,95,325.58,4,2026-12-01T01:00:00Z
SYMQ61,62.26,60,91.12,81,2026-12-01T01:01:00Z
SYMQ62,98.48,20,264.6,78,2026-12-01T01:02:00Z
SYMQ63,51.55,3,293.72,79,2026-12-01T01:03:00Z
SYMQ64,46.61,93,245.63,6,2026-12-01T01:04:00Z
SYMQ65,255.4,3,214.99,78,2026-12-01T01:05:00Z
SYMQ66,103.97,93,296.59,67,2026-12-01T01:06:00Z
SYMQ67,156.29,32,171.82,40,2026-12-01T01:07:00Z
SYMQ68,149.75,6,93.72,24,2026-12-01T01:08:00Z
SYMQ69,283.11,92,170.49,73,2026-12-01T01:09:00Z
SYMQ70,123.34,67,56.64,100,2026-12-01T01:10:00Z
SYMQ71,24.15,74,11.46,70,2026-12-01T01:11:00Z
SYMQ72,340.26,21,332.87,52,2026-12-01T01:12:00Z
SYMQ73,99.48,18,187.79,62,2026-12-01T01:13:00Z
SYMQ74,226.05,84,327.76,80,2026-12-01T01:14:00Z
SYMQ75,393.71,90,287.77,91,2026-12-01T01:15:00Z
SYMQ76,64.25,55,90.42,83,2026-12-01T01:16:00Z
SYMQ77,284.94,98,98.74,14,2026-12-01T01:17:00Z
SYMQ78,187.91,67,187.04,68,2026-12-01T01:18:00Z
SYMQ79,216.44,56,346.25,8,2026-12-01T01:19:00Z
SYMQ80,84.74,91,397.91,49,2026-12-01T01:20:00Z
SYMQ81,298.64,73,101.45,70,2026-12-01T01:21:00Z
SYMQ82,273.66,56,358.16,34,2026-12-01T01:22:00Z
SYMQ83,36.37,29,308.94,3,2026-12-01T01:23:00Z
SYMQ84,334.96,99,123.81,33,2026-12-01T01:24:00Z
SYMQ85,197.93,50,48.89,11,2026-12-01T01:25:00Z
SYMQ86,294.21,96,263.12,67,2026-12-01T01:26:00Z
SYMQ87,208.13,22,27.04,64,2026-12-01T01:27:00Z
SYMQ88,80.81,98,142.66,39,2026-12-01T01:28:00Z
SYMQ89,70.31,34,131.27,70,2026-12-01T01:29:00Z
SYMQ90,320.82,31,239.7,23,2026-12-01T01:30:00Z
SYMQ91,246.37,59,211.78,12,2026-12-01T01:31:00Z
SYMQ92,353.77,29,324.2,4,2026-12-01T01:32:00Z
SYMQ93,67.16,20,321.72,90,2026-12-01T01:33:00Z
SYMQ94,51.31,5,331.47,79,2026-12-01T01:34:00Z
SYMQ95,302.84,93,165.5,17,2026-12-01T01:35:00Z
SYMQ96,51.29,31,344.57,96,2026-12-01T01:36:00Z
SYMQ97,47.62,96,329.29,65,2026-12-01T01:37:00Z
SYMQ98,165.01,16,134.14,42,2026-12-01T01:38:00Z
SYMQ99,153.44,99,307.97,20,2026-12-01T01:39:00Z
SYMQ100,322.27,28,242.21,66,2026-12-01T01:40:00Z
SYMQ101,25.52,19,323.92,22,2026-12-01T01:41:00Z
SYMQ102,249.12,49,216.65,49,2026-12-01T01:42:00Z
SYMQ103,302.38,65,346.72,92,2026-12-01T01:43:00Z
SYMQ104,239.68,77,105.33,29,2026-12-01T01:44:00Z
