id,board_id,name,state,start_date,end_date,goal
638,1,OPS Sprint 38,closed,2026-05-25,2026-06-07,Operations backlog window 38
639,2,OPS Sprint 39,closed,2026-06-01,2026-06-14,Operations backlog window 39
640,2,OPS Sprint 40,future,2026-06-08,2026-06-21,Operations backlog window 40
641,1,OPS Sprint 41,future,2026-06-15,2026-06-28,Operations backlog window 41
642,1,OPS Sprint 42,closed,2026-06-22,2026-07-05,Operations backlog window 42
643,2,OPS Sprint 43,closed,2026-06-29,2026-07-12,Operations backlog window 43
644,1,OPS Sprint 44,closed,2026-07-06,2026-07-19,Operations backlog window 44
645,2,OPS Sprint 45,closed,2026-07-13,2026-07-26,Operations backlog window 45
646,2,OPS Sprint 46,closed,2026-07-20,2026-08-02,Operations backlog window 46
647,2,OPS Sprint 47,closed,2026-07-27,2026-08-09,Operations backlog window 47
648,2,OPS Sprint 48,future,2026-08-03,2026-08-16,Operations backlog window 48
649,1,OPS Sprint 49,future,2026-08-10,2026-08-23,Operations backlog window 49
650,1,OPS Sprint 50,closed,2026-08-17,2026-08-30,Operations backlog window 50
651,1,OPS Sprint 51,closed,2026-08-24,2026-09-06,Operations backlog window 51
652,1,OPS Sprint 52,future,2026-08-31,2026-09-13,Operations backlog window 52
653,2,OPS Sprint 53,closed,2026-09-07,2026-09-20,Operations backlog window 53
654,1,OPS Sprint 54,closed,2026-09-14,2026-09-27,Operations backlog window 54
655,2,OPS Sprint 55,closed,2026-09-21,2026-10-04,Operations backlog window 55
656,2,OPS Sprint 56,future,2026-09-28,2026-10-11,Operations backlog window 56
657,1,OPS Sprint 57,closed,2026-10-05,2026-10-18,Operations backlog window 57
658,1,OPS Sprint 58,closed,2026-10-12,2026-10-25,Operations backlog window 58
659,2,OPS Sprint 59,closed,2026-10-19,2026-11-01,Operations backlog window 59
660,2,OPS Sprint 60,future,2026-10-26,2026-11-08,Operations backlog window 60
661,2,OPS Sprint 61,closed,2026-11-02,2026-11-15,Operations backlog window 61
662,1,OPS Sprint 62,closed,2026-11-09,2026-11-22,Operations backlog window 62
663,1,OPS Sprint 63,future,2026-11-16,2026-11-29,Operations backlog window 63
664,2,OPS Sprint 64,closed,2026-11-23,2026-12-06,Operations backlog window 64
665,2,OPS Sprint 65,future,2026-11-30,2026-12-13,Operations backlog window 65
666,1,OPS Sprint 66,future,2026-12-07,2026-12-20,Operations backlog window 66
667,2,OPS Sprint 67,closed,2026-12-14,2026-12-27,Operations backlog window 67
668,1,OPS Sprint 68,future,2026-12-21,2027-01-03,Operations backlog window 68
669,1,OPS Sprint 69,closed,2026-12-28,2027-01-10,Operations backlog window 69
670,1,OPS Sprint 70,closed,2027-01-04,2027-01-17,Operations backlog window 70
671,1,OPS Sprint 71,future,2027-01-11,2027-01-24,Operations backlog window 71
672,1,OPS Sprint 72,closed,2027-01-18,2027-01-31,Operations backlog window 72
673,1,OPS Sprint 73,future,2027-01-25,2027-02-07,Operations backlog window 73
674,2,OPS Sprint 74,future,2027-02-01,2027-02-14,Operations backlog window 74
675,1,OPS Sprint 75,closed,2027-02-08,2027-02-21,Operations backlog window 75
676,2,OPS Sprint 76,future,2027-02-15,2027-02-28,Operations backlog window 76
677,2,OPS Sprint 77,future,2027-02-22,2027-03-07,Operations backlog window 77
678,1,OPS Sprint 78,closed,2027-03-01,2027-03-14,Operations backlog window 78
679,1,OPS Sprint 79,future,2027-03-08,2027-03-21,Operations backlog window 79
680,1,OPS Sprint 80,closed,2027-03-15,2027-03-28,Operations backlog window 80
681,2,OPS Sprint 81,future,2027-03-22,2027-04-04,Operations backlog window 81
682,2,OPS Sprint 82,future,2027-03-29,2027-04-11,Operations backlog window 82
683,2,OPS Sprint 83,future,2027-04-05,2027-04-18,Operations backlog window 83
684,1,OPS Sprint 84,future,2027-04-12,2027-04-25,Operations backlog window 84
685,1,OPS Sprint 85,future,2027-04-19,2027-05-02,Operations backlog window 85
686,1,OPS Sprint 86,closed,2027-04-26,2027-05-09,Operations backlog window 86
687,1,OPS Sprint 87,closed,2027-05-03,2027-05-16,Operations backlog window 87
688,2,OPS Sprint 88,closed,2027-05-10,2027-05-23,Operations backlog window 88
689,1,OPS Sprint 89,closed,2027-05-17,2027-05-30,Operations backlog window 89
690,1,OPS Sprint 90,future,2027-05-24,2027-06-06,Operations backlog window 90
691,1,OPS Sprint 91,future,2027-05-31,2027-06-13,Operations backlog window 91
692,1,OPS Sprint 92,future,2027-06-07,2027-06-20,Operations backlog window 92
693,1,OPS Sprint 93,closed,2027-06-14,2027-06-27,Operations backlog window 93
694,2,OPS Sprint 94,closed,2027-06-21,2027-07-04,Operations backlog window 94
695,1,OPS Sprint 95,closed,2027-06-28,2027-07-11,Operations backlog window 95
696,2,OPS Sprint 96,future,2027-07-05,2027-07-18,Operations backlog window 96
697,1,OPS Sprint 97,closed,2027-07-12,2027-07-25,Operations backlog window 97
698,1,OPS Sprint 98,future,2027-07-19,2027-08-01,Operations backlog window 98
699,2,OPS Sprint 99,future,2027-07-26,2027-08-08,Operations backlog window 99
700,1,OPS Sprint 100,future,2027-08-02,2027-08-15,Operations backlog window 100
701,1,OPS Sprint 101,closed,2027-08-09,2027-08-22,Operations backlog window 101
702,1,OPS Sprint 102,future,2027-08-16,2027-08-29,Operations backlog window 102
703,2,OPS Sprint 103,future,2027-08-23,2027-09-05,Operations backlog window 103
704,1,OPS Sprint 104,closed,2027-08-30,2027-09-12,Operations backlog window 104
