name,namespace,status,phase,node,pod_ip,image,container_name,restart_count,ready,created_time
metrics-pod-096e9,argocd,Running,Running,node-3,10.244.207.77,postgres:16,metrics,0,true,2026-04-22T00:00:00Z
cache-pod-1e73f,clinical,Running,Running,node-3,10.244.145.238,python:3.12-slim,cache,0,true,2026-09-08T00:00:00Z
scheduler-pod-4eb00,ml,Running,Running,node-6,10.244.49.49,node:20-alpine,scheduler,0,true,2026-09-05T00:00:00Z
viz-pod-242ee,dev,Running,Running,node-7,10.244.26.22,redis:7,viz,3,true,2026-01-13T00:00:00Z
report-pod-07bca,nejm,Running,Running,node-2,10.244.152.23,envoyproxy/envoy:v1.28,report,1,true,2026-10-26T00:00:00Z
report-pod-b4328,staging,Running,Running,node-23,10.244.203.75,postgres:16,report,3,true,2026-10-09T00:00:00Z
report-pod-c92f5,qa,Running,Running,node-6,10.244.121.58,busybox:1.36,report,0,true,2026-07-22T00:00:00Z
cache-pod-a09e5,dataviz,Running,Running,node-17,10.244.219.183,alpine:3.19,cache,2,true,2026-03-25T00:00:00Z
ingest-pod-a6ea2,staging,Running,Running,node-4,10.244.239.93,envoyproxy/envoy:v1.28,ingest,2,true,2026-06-17T00:00:00Z
etl-pod-cffd6,clinical,Running,Running,node-15,10.244.182.3,busybox:1.36,etl,2,true,2026-09-03T00:00:00Z
etl-pod-c6617,mrna,Running,Running,node-1,10.244.89.121,nginx:1.25,etl,2,true,2026-06-03T00:00:00Z
ingest-pod-133cd,analytics,Running,Running,node-1,10.244.183.182,alpine:3.19,ingest,3,true,2026-02-03T00:00:00Z
etl-pod-bd142,platform,Running,Running,node-6,10.244.241.151,grafana/grafana:10.2,etl,0,true,2026-01-26T00:00:00Z
export-pod-a85e9,argocd,Running,Running,node-15,10.244.200.202,redis:7,export,3,true,2026-04-27T00:00:00Z
viz-pod-bb446,ingress-nginx,Running,Running,node-8,10.244.95.54,redis:7,viz,1,true,2026-10-13T00:00:00Z
scheduler-pod-4abcc,staging,Running,Running,node-5,10.244.100.234,node:20-alpine,scheduler,2,true,2026-02-09T00:00:00Z
cache-pod-144c3,dev,Running,Running,node-19,10.244.78.204,node:20-alpine,cache,2,true,2026-09-12T00:00:00Z
worker-pod-217a7,default,Running,Running,node-6,10.244.24.56,python:3.12-slim,worker,2,true,2026-08-19T00:00:00Z
auth-pod-45b4c,monitoring,Running,Running,node-10,10.244.230.158,nginx:1.25,auth,2,true,2026-02-22T00:00:00Z
api-pod-5e1fd,kube-system,Running,Running,node-2,10.244.113.227,node:20-alpine,api,2,true,2026-03-27T00:00:00Z
viz-pod-3137a,prod,Running,Running,node-22,10.244.20.98,envoyproxy/envoy:v1.28,viz,0,true,2026-03-21T00:00:00Z
web-pod-3df53,data,Running,Running,node-19,10.244.26.161,python:3.12-slim,web,3,true,2026-07-13T00:00:00Z
api-pod-ed982,nejm,Running,Running,node-20,10.244.104.57,alpine:3.19,api,2,true,2026-06-03T00:00:00Z
queue-pod-dbe84,vault,Running,Running,node-2,10.244.235.83,grafana/grafana:10.2,queue,0,true,2026-08-03T00:00:00Z
api-pod-f990d,argocd,Running,Running,node-1,10.244.194.128,node:20-alpine,api,0,true,2026-03-07T00:00:00Z
queue-pod-7bdb2,dataviz,Running,Running,node-9,10.244.186.91,postgres:16,queue,1,true,2026-05-26T00:00:00Z
queue-pod-e4766,reporting,Running,Running,node-20,10.244.159.129,alpine:3.19,queue,2,true,2026-02-10T00:00:00Z
metrics-pod-f660c,clinical,Running,Running,node-4,10.244.126.93,python:3.12-slim,metrics,2,true,2026-07-18T00:00:00Z
scheduler-pod-d3a5f,grants,Running,Running,node-9,10.244.5.191,redis:7,scheduler,3,true,2026-04-15T00:00:00Z
scheduler-pod-15ff1,reporting,Running,Running,node-10,10.244.242.75,postgres:16,scheduler,2,true,2026-03-06T00:00:00Z
ingest-pod-c1bb3,data,Running,Running,node-23,10.244.211.89,postgres:16,ingest,0,true,2026-07-06T00:00:00Z
auth-pod-6a252,mrna,Running,Running,node-2,10.244.96.166,python:3.12-slim,auth,2,true,2026-09-06T00:00:00Z
auth-pod-46ac7,ph206,Running,Running,node-16,10.244.0.42,envoyproxy/envoy:v1.28,auth,0,true,2026-04-18T00:00:00Z
ingest-pod-7ad69,tracing,Running,Running,node-22,10.244.36.91,node:20-alpine,ingest,0,true,2026-07-18T00:00:00Z
scheduler-pod-b1260,nejm,Running,Running,node-3,10.244.183.102,redis:7,scheduler,0,true,2026-06-23T00:00:00Z
auth-pod-af2de,dev,Running,Running,node-16,10.244.210.41,busybox:1.36,auth,0,true,2026-04-16T00:00:00Z
etl-pod-34adf,kube-system,Running,Running,node-4,10.244.3.199,envoyproxy/envoy:v1.28,etl,1,true,2026-02-17T00:00:00Z
api-pod-e6301,nejm,Running,Running,node-15,10.244.44.68,python:3.12-slim,api,3,true,2026-04-26T00:00:00Z
api-pod-4f3ae,ingress-nginx,Running,Running,node-5,10.244.186.91,redis:7,api,2,true,2026-08-09T00:00:00Z
export-pod-f67bb,ph206,Running,Running,node-19,10.244.234.35,postgres:16,export,0,true,2026-01-10T00:00:00Z
web-pod-160a1,platform,Running,Running,node-15,10.244.144.166,nginx:1.25,web,1,true,2026-06-23T00:00:00Z
auth-pod-be752,tracing,Running,Running,node-5,10.244.197.23,busybox:1.36,auth,2,true,2026-04-06T00:00:00Z
viz-pod-116dc,monitoring,Running,Running,node-9,10.244.83.241,postgres:16,viz,2,true,2026-02-03T00:00:00Z
etl-pod-dd63c,dev,Running,Running,node-17,10.244.174.237,nginx:1.25,etl,3,true,2026-05-25T00:00:00Z
db-pod-af0df,ml,Running,Running,node-22,10.244.55.119,redis:7,db,3,true,2026-07-04T00:00:00Z
queue-pod-88a0c,data,Running,Running,node-22,10.244.168.109,envoyproxy/envoy:v1.28,queue,1,true,2026-09-05T00:00:00Z
api-pod-68e43,default,Running,Running,node-17,10.244.232.212,postgres:16,api,0,true,2026-04-27T00:00:00Z
queue-pod-9f613,dev,Running,Running,node-12,10.244.67.231,python:3.12-slim,queue,2,true,2026-07-11T00:00:00Z
ingest-pod-49529,tracing,Running,Running,node-2,10.244.145.115,busybox:1.36,ingest,1,true,2026-02-18T00:00:00Z
worker-pod-9dd73,ivft,Running,Running,node-8,10.244.252.98,prom/prometheus:v2.48,worker,2,true,2026-09-15T00:00:00Z
cache-pod-3fa9a,default,Running,Running,node-3,10.244.131.13,postgres:16,cache,2,true,2026-01-08T00:00:00Z
viz-pod-6fa1a,dev,Running,Running,node-14,10.244.19.59,redis:7,viz,1,true,2026-08-11T00:00:00Z
metrics-pod-9e8c5,logging,Running,Running,node-12,10.244.210.228,grafana/grafana:10.2,metrics,1,true,2026-07-02T00:00:00Z
db-pod-5cb25,biostat,Running,Running,node-8,10.244.185.132,nginx:1.25,db,0,true,2026-03-18T00:00:00Z
report-pod-e61da,mrna,Running,Running,node-16,10.244.139.241,grafana/grafana:10.2,report,2,true,2026-05-12T00:00:00Z
report-pod-2ca04,prod,Running,Running,node-3,10.244.129.75,node:20-alpine,report,1,true,2026-10-08T00:00:00Z
scheduler-pod-3fa23,grants,Running,Running,node-16,10.244.197.156,redis:7,scheduler,0,true,2026-06-17T00:00:00Z
ingest-pod-3c7ef,mrna,Running,Running,node-20,10.244.219.35,envoyproxy/envoy:v1.28,ingest,3,true,2026-04-19T00:00:00Z
scheduler-pod-ed5a4,kube-system,Running,Running,node-9,10.244.80.144,grafana/grafana:10.2,scheduler,0,true,2026-08-04T00:00:00Z
export-pod-f0fba,qa,Running,Running,node-2,10.244.217.142,busybox:1.36,export,0,true,2026-08-21T00:00:00Z
cache-pod-172ef,kube-system,Running,Running,node-13,10.244.61.97,envoyproxy/envoy:v1.28,cache,1,true,2026-06-10T00:00:00Z
ingest-pod-7eb36,ingress-nginx,Running,Running,node-23,10.244.36.56,alpine:3.19,ingest,2,true,2026-04-16T00:00:00Z
worker-pod-fda84,monitoring,Running,Running,node-11,10.244.97.74,alpine:3.19,worker,3,true,2026-01-06T00:00:00Z
api-pod-c9720,qa,Running,Running,node-7,10.244.206.196,envoyproxy/envoy:v1.28,api,1,true,2026-07-08T00:00:00Z
db-pod-5f3b7,biostat,Running,Running,node-23,10.244.187.190,redis:7,db,1,true,2026-03-07T00:00:00Z
scheduler-pod-7775e,argocd,Running,Running,node-1,10.244.184.133,grafana/grafana:10.2,scheduler,1,true,2026-02-24T00:00:00Z
api-pod-0e29d,monitoring,Running,Running,node-11,10.244.17.17,redis:7,api,2,true,2026-09-02T00:00:00Z
queue-pod-ebec2,ph206,Running,Running,node-11,10.244.74.14,postgres:16,queue,3,true,2026-04-08T00:00:00Z
report-pod-3b648,vault,Running,Running,node-10,10.244.156.161,alpine:3.19,report,1,true,2026-01-05T00:00:00Z
web-pod-66c1e,grants,Running,Running,node-16,10.244.161.122,envoyproxy/envoy:v1.28,web,0,true,2026-03-15T00:00:00Z
scheduler-pod-91d8d,grants,Running,Running,node-5,10.244.165.65,postgres:16,scheduler,1,true,2026-01-26T00:00:00Z
api-pod-24607,biostat,Running,Running,node-23,10.244.75.167,alpine:3.19,api,1,true,2026-07-05T00:00:00Z
cache-pod-1e447,analytics,Running,Running,node-7,10.244.196.207,grafana/grafana:10.2,cache,0,true,2026-05-25T00:00:00Z
api-pod-c7ccb,ph206,Running,Running,node-20,10.244.10.253,postgres:16,api,3,true,2026-02-19T00:00:00Z
