name,namespace,replicas,available_replicas,ready_replicas,updated_replicas,image,strategy,created_time
db-deploy-37,platform,4,4,4,4,envoyproxy/envoy:v1.28,RollingUpdate,2026-03-21T00:00:00Z
auth-deploy-38,reporting,4,4,4,4,postgres:16,RollingUpdate,2026-04-16T00:00:00Z
queue-deploy-39,ivft,1,1,1,1,alpine:3.19,RollingUpdate,2026-01-21T00:00:00Z
metrics-deploy-40,ml,2,2,2,2,alpine:3.19,RollingUpdate,2026-01-25T00:00:00Z
metrics-deploy-41,monitoring,1,1,1,1,nginx:1.25,RollingUpdate,2026-01-07T00:00:00Z
queue-deploy-42,kube-system,5,5,5,5,envoyproxy/envoy:v1.28,RollingUpdate,2026-02-21T00:00:00Z
ingest-deploy-43,ingress-nginx,2,2,2,2,alpine:3.19,RollingUpdate,2026-07-06T00:00:00Z
auth-deploy-44,grants,4,4,4,4,postgres:16,RollingUpdate,2026-08-09T00:00:00Z
etl-deploy-45,ml,2,2,2,2,node:20-alpine,RollingUpdate,2026-05-23T00:00:00Z
db-deploy-46,ingress-nginx,3,3,3,3,busybox:1.36,RollingUpdate,2026-07-06T00:00:00Z
export-deploy-47,kube-system,2,2,2,2,grafana/grafana:10.2,RollingUpdate,2026-05-09T00:00:00Z
scheduler-deploy-48,ingress-nginx,2,2,2,2,envoyproxy/envoy:v1.28,RollingUpdate,2026-09-20T00:00:00Z
viz-deploy-49,grants,3,3,3,3,grafana/grafana:10.2,RollingUpdate,2026-03-11T00:00:00Z
auth-deploy-50,clinical,5,5,5,5,node:20-alpine,RollingUpdate,2026-02-21T00:00:00Z
etl-deploy-51,monitoring,3,3,3,3,grafana/grafana:10.2,RollingUpdate,2026-08-17T00:00:00Z
api-deploy-52,ivft,4,4,4,4,busybox:1.36,RollingUpdate,2026-04-09T00:00:00Z
ingest-deploy-53,kube-system,3,3,3,3,python:3.12-slim,RollingUpdate,2026-01-13T00:00:00Z
queue-deploy-54,mrna,5,5,5,5,redis:7,RollingUpdate,2026-09-27T00:00:00Z
db-deploy-55,dev,4,4,4,4,node:20-alpine,RollingUpdate,2026-06-20T00:00:00Z
etl-deploy-56,ml,1,1,1,1,node:20-alpine,RollingUpdate,2026-01-23T00:00:00Z
export-deploy-57,qa,3,3,3,3,grafana/grafana:10.2,RollingUpdate,2026-01-07T00:00:00Z
api-deploy-58,data,2,2,2,2,nginx:1.25,RollingUpdate,2026-10-23T00:00:00Z
cache-deploy-59,ml,3,3,3,3,alpine:3.19,RollingUpdate,2026-04-08T00:00:00Z
db-deploy-60,ivft,3,3,3,3,busybox:1.36,RollingUpdate,2026-09-02T00:00:00Z
gateway-deploy-61,default,4,4,4,4,nginx:1.25,RollingUpdate,2026-07-10T00:00:00Z
web-deploy-62,dev,5,5,5,5,postgres:16,RollingUpdate,2026-04-14T00:00:00Z
viz-deploy-63,staging,5,5,5,5,alpine:3.19,RollingUpdate,2026-06-16T00:00:00Z
report-deploy-64,biostat,1,1,1,1,prom/prometheus:v2.48,RollingUpdate,2026-02-03T00:00:00Z
report-deploy-65,argocd,2,2,2,2,prom/prometheus:v2.48,RollingUpdate,2026-06-18T00:00:00Z
web-deploy-66,mrna,1,1,1,1,prom/prometheus:v2.48,RollingUpdate,2026-10-09T00:00:00Z
worker-deploy-67,analytics,1,1,1,1,prom/prometheus:v2.48,RollingUpdate,2026-02-03T00:00:00Z
gateway-deploy-68,biostat,5,5,5,5,python:3.12-slim,RollingUpdate,2026-09-10T00:00:00Z
gateway-deploy-69,monitoring,1,1,1,1,envoyproxy/envoy:v1.28,RollingUpdate,2026-08-21T00:00:00Z
queue-deploy-70,vault,1,1,1,1,grafana/grafana:10.2,RollingUpdate,2026-02-12T00:00:00Z
ingest-deploy-71,clinical,1,1,1,1,postgres:16,RollingUpdate,2026-03-05T00:00:00Z
report-deploy-72,mrna,2,2,2,2,nginx:1.25,RollingUpdate,2026-01-14T00:00:00Z
viz-deploy-73,ivft,1,1,1,1,envoyproxy/envoy:v1.28,RollingUpdate,2026-10-07T00:00:00Z
etl-deploy-74,prod,3,3,3,3,postgres:16,RollingUpdate,2026-06-13T00:00:00Z
ingest-deploy-75,tracing,5,5,5,5,redis:7,RollingUpdate,2026-02-25T00:00:00Z
export-deploy-76,staging,1,1,1,1,alpine:3.19,RollingUpdate,2026-01-27T00:00:00Z
export-deploy-77,default,4,4,4,4,prom/prometheus:v2.48,RollingUpdate,2026-06-15T00:00:00Z
db-deploy-78,dataviz,5,5,5,5,envoyproxy/envoy:v1.28,RollingUpdate,2026-03-18T00:00:00Z
report-deploy-79,dev,5,5,5,5,nginx:1.25,RollingUpdate,2026-01-20T00:00:00Z
web-deploy-80,tracing,2,2,2,2,prom/prometheus:v2.48,RollingUpdate,2026-01-07T00:00:00Z
export-deploy-81,monitoring,5,5,5,5,node:20-alpine,RollingUpdate,2026-08-26T00:00:00Z
scheduler-deploy-82,vault,4,4,4,4,nginx:1.25,RollingUpdate,2026-09-06T00:00:00Z
scheduler-deploy-83,ml,5,5,5,5,alpine:3.19,RollingUpdate,2026-10-17T00:00:00Z
auth-deploy-84,ml,2,2,2,2,busybox:1.36,RollingUpdate,2026-01-09T00:00:00Z
report-deploy-85,ingress-nginx,2,2,2,2,python:3.12-slim,RollingUpdate,2026-02-20T00:00:00Z
db-deploy-86,biostat,5,5,5,5,prom/prometheus:v2.48,RollingUpdate,2026-03-19T00:00:00Z
db-deploy-87,default,1,1,1,1,python:3.12-slim,RollingUpdate,2026-08-17T00:00:00Z
scheduler-deploy-88,tracing,5,5,5,5,envoyproxy/envoy:v1.28,RollingUpdate,2026-08-04T00:00:00Z
viz-deploy-89,kube-system,2,2,2,2,postgres:16,RollingUpdate,2026-04-23T00:00:00Z
auth-deploy-90,tracing,5,5,5,5,alpine:3.19,RollingUpdate,2026-04-11T00:00:00Z
report-deploy-91,prod,3,3,3,3,redis:7,RollingUpdate,2026-07-27T00:00:00Z
auth-deploy-92,platform,1,1,1,1,prom/prometheus:v2.48,RollingUpdate,2026-05-23T00:00:00Z
gateway-deploy-93,ingress-nginx,3,3,3,3,redis:7,RollingUpdate,2026-02-06T00:00:00Z
queue-deploy-94,vault,5,5,5,5,prom/prometheus:v2.48,RollingUpdate,2026-03-24T00:00:00Z
queue-deploy-95,logging,2,2,2,2,redis:7,RollingUpdate,2026-09-09T00:00:00Z
viz-deploy-96,analytics,3,3,3,3,alpine:3.19,RollingUpdate,2026-03-07T00:00:00Z
worker-deploy-97,vault,2,2,2,2,node:20-alpine,RollingUpdate,2026-05-15T00:00:00Z
gateway-deploy-98,bpan,4,4,4,4,alpine:3.19,RollingUpdate,2026-06-25T00:00:00Z
queue-deploy-99,ph206,3,3,3,3,busybox:1.36,RollingUpdate,2026-06-11T00:00:00Z
export-deploy-100,ivft,5,5,5,5,postgres:16,RollingUpdate,2026-10-11T00:00:00Z
