name,namespace,type,cluster_ip,external_ip,port,target_port,protocol,selector,created_time
gateway-svc-31,clinical,ClusterIP,10.96.6.187,,80,80,TCP,app=gateway-svc-31,2026-06-14T00:00:00Z
web-svc-32,vault,ClusterIP,10.96.125.13,,8080,8080,TCP,app=web-svc-32,2026-08-11T00:00:00Z
metrics-svc-33,clinical,ClusterIP,10.96.152.225,,443,443,TCP,app=metrics-svc-33,2026-05-21T00:00:00Z
gateway-svc-34,analytics,ClusterIP,10.96.213.229,,80,80,TCP,app=gateway-svc-34,2026-02-23T00:00:00Z
export-svc-35,monitoring,ClusterIP,10.96.205.96,,9090,9090,TCP,app=export-svc-35,2026-02-08T00:00:00Z
etl-svc-36,biostat,ClusterIP,10.96.106.18,,443,443,TCP,app=etl-svc-36,2026-09-24T00:00:00Z
auth-svc-37,ivft,ClusterIP,10.96.69.18,,8080,8080,TCP,app=auth-svc-37,2026-06-06T00:00:00Z
worker-svc-38,dataviz,ClusterIP,10.96.145.167,,5432,5432,TCP,app=worker-svc-38,2026-03-02T00:00:00Z
etl-svc-39,kube-system,ClusterIP,10.96.212.96,,443,443,TCP,app=etl-svc-39,2026-07-09T00:00:00Z
report-svc-40,grants,ClusterIP,10.96.171.151,,6379,6379,TCP,app=report-svc-40,2026-02-18T00:00:00Z
db-svc-41,ingress-nginx,ClusterIP,10.96.207.162,,443,443,TCP,app=db-svc-41,2026-09-26T00:00:00Z
worker-svc-42,clinical,ClusterIP,10.96.211.160,,5432,5432,TCP,app=worker-svc-42,2026-07-17T00:00:00Z
ingest-svc-43,staging,ClusterIP,10.96.184.219,,443,443,TCP,app=ingest-svc-43,2026-03-27T00:00:00Z
queue-svc-44,vault,ClusterIP,10.96.176.38,,6379,6379,TCP,app=queue-svc-44,2026-06-18T00:00:00Z
viz-svc-45,ph206,ClusterIP,10.96.121.113,,6379,6379,TCP,app=viz-svc-45,2026-06-24T00:00:00Z
queue-svc-46,prod,ClusterIP,10.96.4.103,,9090,9090,TCP,app=queue-svc-46,2026-02-22T00:00:00Z
queue-svc-47,ph206,ClusterIP,10.96.191.7,,80,80,TCP,app=queue-svc-47,2026-07-04T00:00:00Z
gateway-svc-48,dataviz,ClusterIP,10.96.187.221,,3000,3000,TCP,app=gateway-svc-48,2026-07-26T00:00:00Z
web-svc-49,ivft,ClusterIP,10.96.124.72,,80,80,TCP,app=web-svc-49,2026-03-07T00:00:00Z
web-svc-50,vault,ClusterIP,10.96.46.26,,8080,8080,TCP,app=web-svc-50,2026-08-10T00:00:00Z
etl-svc-51,nejm,ClusterIP,10.96.115.30,,6379,6379,TCP,app=etl-svc-51,2026-02-01T00:00:00Z
queue-svc-52,ivft,ClusterIP,10.96.31.227,,3000,3000,TCP,app=queue-svc-52,2026-06-14T00:00:00Z
worker-svc-53,ph206,ClusterIP,10.96.146.219,,9090,9090,TCP,app=worker-svc-53,2026-10-07T00:00:00Z
ingest-svc-54,ph206,ClusterIP,10.96.31.209,,5432,5432,TCP,app=ingest-svc-54,2026-06-07T00:00:00Z
scheduler-svc-55,ph206,ClusterIP,10.96.235.245,,5432,5432,TCP,app=scheduler-svc-55,2026-08-13T00:00:00Z
etl-svc-56,staging,ClusterIP,10.96.191.127,,443,443,TCP,app=etl-svc-56,2026-10-20T00:00:00Z
api-svc-57,platform,ClusterIP,10.96.98.198,,8080,8080,TCP,app=api-svc-57,2026-08-25T00:00:00Z
db-svc-58,ivft,ClusterIP,10.96.60.204,,6379,6379,TCP,app=db-svc-58,2026-02-07T00:00:00Z
report-svc-59,platform,ClusterIP,10.96.75.156,,8080,8080,TCP,app=report-svc-59,2026-08-20T00:00:00Z
viz-svc-60,qa,ClusterIP,10.96.237.192,,443,443,TCP,app=viz-svc-60,2026-01-06T00:00:00Z
gateway-svc-61,nejm,ClusterIP,10.96.93.3,,9090,9090,TCP,app=gateway-svc-61,2026-06-19T00:00:00Z
gateway-svc-62,platform,ClusterIP,10.96.11.209,,9090,9090,TCP,app=gateway-svc-62,2026-04-10T00:00:00Z
api-svc-63,argocd,ClusterIP,10.96.41.166,,6379,6379,TCP,app=api-svc-63,2026-03-04T00:00:00Z
web-svc-64,argocd,ClusterIP,10.96.225.38,,5432,5432,TCP,app=web-svc-64,2026-01-03T00:00:00Z
report-svc-65,platform,ClusterIP,10.96.5.184,,5432,5432,TCP,app=report-svc-65,2026-08-25T00:00:00Z
worker-svc-66,ml,ClusterIP,10.96.201.149,,3000,3000,TCP,app=worker-svc-66,2026-06-11T00:00:00Z
api-svc-67,ivft,ClusterIP,10.96.201.117,,443,443,TCP,app=api-svc-67,2026-04-24T00:00:00Z
gateway-svc-68,mrna,ClusterIP,10.96.26.199,,9090,9090,TCP,app=gateway-svc-68,2026-01-10T00:00:00Z
auth-svc-69,qa,ClusterIP,10.96.219.132,,5432,5432,TCP,app=auth-svc-69,2026-06-18T00:00:00Z
api-svc-70,prod,ClusterIP,10.96.25.155,,80,80,TCP,app=api-svc-70,2026-05-25T00:00:00Z
worker-svc-71,reporting,ClusterIP,10.96.17.176,,8080,8080,TCP,app=worker-svc-71,2026-08-02T00:00:00Z
queue-svc-72,data,ClusterIP,10.96.175.164,,80,80,TCP,app=queue-svc-72,2026-03-11T00:00:00Z
scheduler-svc-73,grants,ClusterIP,10.96.239.158,,3000,3000,TCP,app=scheduler-svc-73,2026-06-18T00:00:00Z
gateway-svc-74,biostat,ClusterIP,10.96.16.241,,3000,3000,TCP,app=gateway-svc-74,2026-08-01T00:00:00Z
db-svc-75,staging,ClusterIP,10.96.216.236,,6379,6379,TCP,app=db-svc-75,2026-10-07T00:00:00Z
ingest-svc-76,biostat,ClusterIP,10.96.23.93,,80,80,TCP,app=ingest-svc-76,2026-03-04T00:00:00Z
worker-svc-77,biostat,ClusterIP,10.96.223.101,,443,443,TCP,app=worker-svc-77,2026-03-10T00:00:00Z
metrics-svc-78,ingress-nginx,ClusterIP,10.96.252.221,,443,443,TCP,app=metrics-svc-78,2026-03-21T00:00:00Z
gateway-svc-79,dataviz,ClusterIP,10.96.188.251,,80,80,TCP,app=gateway-svc-79,2026-01-02T00:00:00Z
etl-svc-80,biostat,ClusterIP,10.96.182.54,,9090,9090,TCP,app=etl-svc-80,2026-02-26T00:00:00Z
db-svc-81,tracing,ClusterIP,10.96.65.76,,9090,9090,TCP,app=db-svc-81,2026-05-07T00:00:00Z
api-svc-82,analytics,ClusterIP,10.96.141.119,,443,443,TCP,app=api-svc-82,2026-07-20T00:00:00Z
web-svc-83,mrna,ClusterIP,10.96.14.188,,3000,3000,TCP,app=web-svc-83,2026-05-08T00:00:00Z
etl-svc-84,default,ClusterIP,10.96.95.56,,8080,8080,TCP,app=etl-svc-84,2026-01-06T00:00:00Z
etl-svc-85,dev,ClusterIP,10.96.47.37,,443,443,TCP,app=etl-svc-85,2026-05-09T00:00:00Z
cache-svc-86,dev,ClusterIP,10.96.145.194,,9090,9090,TCP,app=cache-svc-86,2026-06-12T00:00:00Z
ingest-svc-87,reporting,ClusterIP,10.96.133.103,,443,443,TCP,app=ingest-svc-87,2026-04-23T00:00:00Z
viz-svc-88,vault,ClusterIP,10.96.119.161,,6379,6379,TCP,app=viz-svc-88,2026-07-10T00:00:00Z
report-svc-89,nejm,ClusterIP,10.96.20.103,,3000,3000,TCP,app=report-svc-89,2026-01-01T00:00:00Z
gateway-svc-90,default,ClusterIP,10.96.82.64,,8080,8080,TCP,app=gateway-svc-90,2026-05-25T00:00:00Z
cache-svc-91,monitoring,ClusterIP,10.96.249.253,,5432,5432,TCP,app=cache-svc-91,2026-09-08T00:00:00Z
cache-svc-92,platform,ClusterIP,10.96.208.188,,9090,9090,TCP,app=cache-svc-92,2026-04-03T00:00:00Z
queue-svc-93,nejm,ClusterIP,10.96.130.185,,9090,9090,TCP,app=queue-svc-93,2026-10-10T00:00:00Z
report-svc-94,logging,ClusterIP,10.96.90.115,,5432,5432,TCP,app=report-svc-94,2026-04-07T00:00:00Z
export-svc-95,reporting,ClusterIP,10.96.38.239,,443,443,TCP,app=export-svc-95,2026-10-19T00:00:00Z
report-svc-96,platform,ClusterIP,10.96.162.208,,5432,5432,TCP,app=report-svc-96,2026-01-18T00:00:00Z
db-svc-97,default,ClusterIP,10.96.169.177,,443,443,TCP,app=db-svc-97,2026-10-03T00:00:00Z
auth-svc-98,ph206,ClusterIP,10.96.133.112,,9090,9090,TCP,app=auth-svc-98,2026-06-11T00:00:00Z
db-svc-99,vault,ClusterIP,10.96.138.119,,6379,6379,TCP,app=db-svc-99,2026-01-12T00:00:00Z
queue-svc-100,ph206,ClusterIP,10.96.203.109,,6379,6379,TCP,app=queue-svc-100,2026-05-14T00:00:00Z
