id,key,name,project_type_key,lead,description
jira_projects_1029,key_29,Jira item 29,project_type_key_29,lead_29,description_29
jira_projects_1030,key_30,Jira item 30,project_type_key_30,lead_30,description_30
jira_projects_1031,key_31,Jira item 31,project_type_key_31,lead_31,description_31
jira_projects_1032,key_32,Jira item 32,project_type_key_32,lead_32,description_32
jira_projects_1033,key_33,Jira item 33,project_type_key_33,lead_33,description_33
jira_projects_1034,key_34,Jira item 34,project_type_key_34,lead_34,description_34
jira_projects_1035,key_35,Jira item 35,project_type_key_35,lead_35,description_35
jira_projects_1036,key_36,Jira item 36,project_type_key_36,lead_36,description_36
jira_projects_1037,key_37,Jira item 37,project_type_key_37,lead_37,description_37
jira_projects_1038,key_38,Jira item 38,project_type_key_38,lead_38,description_38
jira_projects_1039,key_39,Jira item 39,project_type_key_39,lead_39,description_39
jira_projects_1040,key_40,Jira item 40,project_type_key_40,lead_40,description_40
jira_projects_1041,key_41,Jira item 41,project_type_key_41,lead_41,description_41
jira_projects_1042,key_42,Jira item 42,project_type_key_42,lead_42,description_42
jira_projects_1043,key_43,Jira item 43,project_type_key_43,lead_43,description_43
jira_projects_1044,key_44,Jira item 44,project_type_key_44,lead_44,description_44
jira_projects_1045,key_45,Jira item 45,project_type_key_45,lead_45,description_45
jira_projects_1046,key_46,Jira item 46,project_type_key_46,lead_46,description_46
jira_projects_1047,key_47,Jira item 47,project_type_key_47,lead_47,description_47
jira_projects_1048,key_48,Jira item 48,project_type_key_48,lead_48,description_48
jira_projects_1049,key_49,Jira item 49,project_type_key_49,lead_49,description_49
jira_projects_1050,key_50,Jira item 50,project_type_key_50,lead_50,description_50
jira_projects_1051,key_51,Jira item 51,project_type_key_51,lead_51,description_51
jira_projects_1052,key_52,Jira item 52,project_type_key_52,lead_52,description_52
jira_projects_1053,key_53,Jira item 53,project_type_key_53,lead_53,description_53
jira_projects_1054,key_54,Jira item 54,project_type_key_54,lead_54,description_54
jira_projects_1055,key_55,Jira item 55,project_type_key_55,lead_55,description_55
jira_projects_1056,key_56,Jira item 56,project_type_key_56,lead_56,description_56
jira_projects_1057,key_57,Jira item 57,project_type_key_57,lead_57,description_57
jira_projects_1058,key_58,Jira item 58,project_type_key_58,lead_58,description_58
jira_projects_1059,key_59,Jira item 59,project_type_key_59,lead_59,description_59
jira_projects_1060,key_60,Jira item 60,project_type_key_60,lead_60,description_60
jira_projects_1061,key_61,Jira item 61,project_type_key_61,lead_61,description_61
jira_projects_1062,key_62,Jira item 62,project_type_key_62,lead_62,description_62
jira_projects_1063,key_63,Jira item 63,project_type_key_63,lead_63,description_63
jira_projects_1064,key_64,Jira item 64,project_type_key_64,lead_64,description_64
jira_projects_1065,key_65,Jira item 65,project_type_key_65,lead_65,description_65
jira_projects_1066,key_66,Jira item 66,project_type_key_66,lead_66,description_66
jira_projects_1067,key_67,Jira item 67,project_type_key_67,lead_67,description_67
jira_projects_1068,key_68,Jira item 68,project_type_key_68,lead_68,description_68
jira_projects_1069,key_69,Jira item 69,project_type_key_69,lead_69,description_69
jira_projects_1070,key_70,Jira item 70,project_type_key_70,lead_70,description_70
jira_projects_1071,key_71,Jira item 71,project_type_key_71,lead_71,description_71
jira_projects_1072,key_72,Jira item 72,project_type_key_72,lead_72,description_72
jira_projects_1073,key_73,Jira item 73,project_type_key_73,lead_73,description_73
jira_projects_1074,key_74,Jira item 74,project_type_key_74,lead_74,description_74
jira_projects_1075,key_75,Jira item 75,project_type_key_75,lead_75,description_75
jira_projects_1076,key_76,Jira item 76,project_type_key_76,lead_76,description_76
jira_projects_1077,key_77,Jira item 77,project_type_key_77,lead_77,description_77
jira_projects_1078,key_78,Jira item 78,project_type_key_78,lead_78,description_78
jira_projects_1079,key_79,Jira item 79,project_type_key_79,lead_79,description_79
jira_projects_1080,key_80,Jira item 80,project_type_key_80,lead_80,description_80
jira_projects_1081,key_81,Jira item 81,project_type_key_81,lead_81,description_81
jira_projects_1082,key_82,Jira item 82,project_type_key_82,lead_82,description_82
jira_projects_1083,key_83,Jira item 83,project_type_key_83,lead_83,description_83
jira_projects_1084,key_84,Jira item 84,project_type_key_84,lead_84,description_84
jira_projects_1085,key_85,Jira item 85,project_type_key_85,lead_85,description_85
jira_projects_1086,key_86,Jira item 86,project_type_key_86,lead_86,description_86
jira_projects_1087,key_87,Jira item 87,project_type_key_87,lead_87,description_87
jira_projects_1088,key_88,Jira item 88,project_type_key_88,lead_88,description_88
jira_projects_1089,key_89,Jira item 89,project_type_key_89,lead_89,description_89
jira_projects_1090,key_90,Jira item 90,project_type_key_90,lead_90,description_90
jira_projects_1091,key_91,Jira item 91,project_type_key_91,lead_91,description_91
jira_projects_1092,key_92,Jira item 92,project_type_key_92,lead_92,description_92
jira_projects_1093,key_93,Jira item 93,project_type_key_93,lead_93,description_93
jira_projects_1094,key_94,Jira item 94,project_type_key_94,lead_94,description_94
jira_projects_1095,key_95,Jira item 95,project_type_key_95,lead_95,description_95
jira_projects_1096,key_96,Jira item 96,project_type_key_96,lead_96,description_96
jira_projects_1097,key_97,Jira item 97,project_type_key_97,lead_97,description_97
jira_projects_1098,key_98,Jira item 98,project_type_key_98,lead_98,description_98
jira_projects_1099,key_99,Jira item 99,project_type_key_99,lead_99,description_99
