ad_account_id,name,currency,country,status,created_at
ad_a_0041,Item 41,97,6129,ACTIVE,2026-01-29T23:58:55Z
ad_a_0042,Item 42,88,6149,PAUSED,2026-09-29T20:45:39Z
ad_a_0043,Item 43,87,9003,ACTIVE,2026-09-22T04:12:38Z
ad_a_0044,Item 44,62,8279,ACTIVE,2026-02-06T23:34:45Z
ad_a_0045,Item 45,19,6785,PAUSED,2026-07-22T16:33:48Z
ad_a_0046,Item 46,3,6452,ACTIVE,2026-06-03T20:21:03Z
ad_a_0047,Item 47,50,6372,ACTIVE,2026-02-02T22:19:08Z
ad_a_0048,Item 48,37,7119,PAUSED,2026-05-29T15:50:53Z
ad_a_0049,Item 49,87,1567,ACTIVE,2026-04-11T11:42:38Z
ad_a_0050,Item 50,0,1786,PAUSED,2026-03-07T09:23:57Z
ad_a_0051,Item 51,86,3906,PAUSED,2026-06-23T14:09:54Z
ad_a_0052,Item 52,61,8317,PAUSED,2026-01-06T10:51:41Z
ad_a_0053,Item 53,67,5033,ACTIVE,2026-07-21T14:47:47Z
ad_a_0054,Item 54,5,1869,ACTIVE,2026-01-10T20:13:44Z
ad_a_0055,Item 55,40,128,PAUSED,2026-09-18T11:56:01Z
ad_a_0056,Item 56,93,3380,PAUSED,2026-04-28T03:09:36Z
ad_a_0057,Item 57,58,3543,ACTIVE,2026-08-10T18:59:31Z
ad_a_0058,Item 58,94,3004,PAUSED,2026-01-28T01:06:58Z
ad_a_0059,Item 59,90,3075,PAUSED,2026-04-10T09:55:20Z
ad_a_0060,Item 60,82,7073,PAUSED,2026-05-24T23:06:50Z
ad_a_0061,Item 61,30,2472,ACTIVE,2026-08-16T00:34:44Z
ad_a_0062,Item 62,88,4657,PAUSED,2026-07-13T14:16:28Z
ad_a_0063,Item 63,93,4190,ACTIVE,2026-06-17T17:55:48Z
ad_a_0064,Item 64,85,4298,ACTIVE,2026-06-07T21:25:35Z
ad_a_0065,Item 65,93,3913,PAUSED,2026-03-12T15:13:12Z
ad_a_0066,Item 66,10,7521,ACTIVE,2026-06-02T09:16:39Z
ad_a_0067,Item 67,18,1807,ACTIVE,2026-07-24T21:59:06Z
ad_a_0068,Item 68,68,7212,ACTIVE,2026-08-31T08:20:00Z
ad_a_0069,Item 69,26,9256,PAUSED,2026-04-13T06:22:53Z
ad_a_0070,Item 70,14,1426,ACTIVE,2026-04-05T07:35:10Z
ad_a_0071,Item 71,2,7323,PAUSED,2026-04-09T04:36:31Z
ad_a_0072,Item 72,93,6817,ACTIVE,2026-05-07T06:13:33Z
ad_a_0073,Item 73,49,1818,PAUSED,2026-08-30T16:06:13Z
ad_a_0074,Item 74,8,2174,ACTIVE,2026-01-19T21:29:27Z
ad_a_0075,Item 75,85,9811,ACTIVE,2026-04-03T20:11:25Z
ad_a_0076,Item 76,40,5638,ACTIVE,2026-04-09T15:08:58Z
ad_a_0077,Item 77,19,8479,ACTIVE,2026-03-10T20:13:12Z
ad_a_0078,Item 78,5,4399,PAUSED,2026-06-22T03:26:23Z
ad_a_0079,Item 79,84,6741,ACTIVE,2026-05-02T10:22:11Z
ad_a_0080,Item 80,60,9354,ACTIVE,2026-03-28T14:36:54Z
ad_a_0081,Item 81,82,4735,ACTIVE,2026-01-16T08:08:30Z
ad_a_0082,Item 82,12,3490,PAUSED,2026-08-19T00:51:20Z
ad_a_0083,Item 83,93,9417,PAUSED,2026-01-05T18:47:35Z
ad_a_0084,Item 84,92,6314,PAUSED,2026-01-08T05:16:17Z
ad_a_0085,Item 85,47,693,PAUSED,2026-05-12T21:06:55Z
ad_a_0086,Item 86,33,6893,PAUSED,2026-01-05T05:07:38Z
ad_a_0087,Item 87,39,6108,PAUSED,2026-04-23T07:57:32Z
ad_a_0088,Item 88,25,6782,PAUSED,2026-01-19T07:18:30Z
ad_a_0089,Item 89,55,7169,ACTIVE,2026-06-04T12:05:54Z
ad_a_0090,Item 90,44,5983,PAUSED,2026-02-23T09:38:37Z
ad_a_0091,Item 91,4,2432,ACTIVE,2026-09-22T02:21:13Z
ad_a_0092,Item 92,95,9290,PAUSED,2026-08-28T17:25:26Z
ad_a_0093,Item 93,30,6613,ACTIVE,2026-08-18T05:37:32Z
ad_a_0094,Item 94,9,5761,PAUSED,2026-01-20T02:53:11Z
ad_a_0095,Item 95,33,2374,PAUSED,2026-10-08T07:33:53Z
ad_a_0096,Item 96,33,7448,ACTIVE,2026-05-09T14:06:38Z
ad_a_0097,Item 97,78,4907,ACTIVE,2026-04-24T10:37:13Z
ad_a_0098,Item 98,1,2148,ACTIVE,2026-09-03T06:23:41Z
ad_a_0099,Item 99,62,2682,ACTIVE,2026-03-13T15:11:51Z
ad_a_0100,Item 100,61,142,ACTIVE,2026-06-19T00:03:21Z
ad_a_0101,Item 101,35,8967,ACTIVE,2026-01-16T03:03:04Z
ad_a_0102,Item 102,40,5161,ACTIVE,2026-09-13T09:55:12Z
ad_a_0103,Item 103,27,4846,ACTIVE,2026-08-13T21:11:53Z
ad_a_0104,Item 104,75,1574,PAUSED,2026-05-10T07:35:35Z
ad_a_0105,Item 105,73,509,ACTIVE,2026-08-20T01:29:01Z
ad_a_0106,Item 106,100,847,ACTIVE,2026-01-24T19:54:31Z
ad_a_0107,Item 107,88,732,ACTIVE,2026-01-27T16:20:29Z
ad_a_0108,Item 108,3,8773,ACTIVE,2026-04-09T06:12:04Z
ad_a_0109,Item 109,49,414,PAUSED,2026-01-25T02:27:47Z
ad_a_0110,Item 110,12,806,PAUSED,2026-01-30T17:04:03Z
ad_a_0111,Item 111,62,3885,ACTIVE,2026-08-30T01:17:58Z
ad_a_0112,Item 112,24,2512,ACTIVE,2026-03-26T20:33:36Z
ad_a_0113,Item 113,28,2889,PAUSED,2026-10-05T13:15:14Z
ad_a_0114,Item 114,79,7722,ACTIVE,2026-07-05T21:06:36Z
ad_a_0115,Item 115,82,1974,PAUSED,2026-06-10T00:55:31Z
ad_a_0116,Item 116,96,3221,PAUSED,2026-04-30T03:17:17Z
ad_a_0117,Item 117,91,3087,ACTIVE,2026-01-02T01:42:36Z
ad_a_0118,Item 118,47,1482,PAUSED,2026-08-25T21:13:07Z
ad_a_0119,Item 119,22,8574,PAUSED,2026-07-09T17:23:53Z
ad_a_0120,Item 120,46,4913,ACTIVE,2026-02-14T22:21:20Z
ad_a_0121,Item 121,6,3188,PAUSED,2026-03-09T09:43:03Z
ad_a_0122,Item 122,83,9865,ACTIVE,2026-07-05T02:25:16Z
ad_a_0123,Item 123,50,7799,PAUSED,2026-05-25T22:26:55Z
ad_a_0124,Item 124,42,4674,PAUSED,2026-09-01T03:28:48Z
ad_a_0125,Item 125,53,7188,PAUSED,2026-07-14T05:46:59Z
ad_a_0126,Item 126,32,9723,ACTIVE,2026-09-11T00:39:41Z
ad_a_0127,Item 127,28,4159,PAUSED,2026-01-14T21:06:26Z
ad_a_0128,Item 128,34,6586,PAUSED,2026-01-03T11:28:24Z
ad_a_0129,Item 129,16,7690,ACTIVE,2026-04-30T06:33:00Z
ad_a_0130,Item 130,29,7958,PAUSED,2026-04-16T08:59:58Z
ad_a_0131,Item 131,51,7156,PAUSED,2026-09-06T05:44:11Z
ad_a_0132,Item 132,91,5850,ACTIVE,2026-02-25T18:32:40Z
ad_a_0133,Item 133,18,8783,PAUSED,2026-06-07T04:48:54Z
ad_a_0134,Item 134,79,8544,ACTIVE,2026-05-10T08:42:07Z
ad_a_0135,Item 135,14,2835,PAUSED,2026-03-27T04:51:58Z
ad_a_0136,Item 136,77,999,PAUSED,2026-06-22T05:42:09Z
ad_a_0137,Item 137,51,9046,PAUSED,2026-05-31T11:33:10Z
ad_a_0138,Item 138,80,7968,ACTIVE,2026-09-27T18:22:25Z
ad_a_0139,Item 139,22,4443,ACTIVE,2026-06-20T03:18:40Z
ad_a_0140,Item 140,96,2367,PAUSED,2026-09-23T05:44:08Z
ad_a_0141,Item 141,44,3899,ACTIVE,2026-09-27T04:01:00Z
ad_a_0142,Item 142,27,2377,PAUSED,2026-03-12T15:46:59Z
ad_a_0143,Item 143,73,5685,PAUSED,2026-05-08T03:33:50Z
ad_a_0144,Item 144,73,8524,ACTIVE,2026-06-25T15:24:56Z
ad_a_0145,Item 145,9,6732,PAUSED,2026-04-01T22:43:51Z
ad_a_0146,Item 146,17,27,PAUSED,2026-04-05T22:59:40Z
ad_a_0147,Item 147,7,4442,PAUSED,2026-02-26T22:31:18Z
ad_a_0148,Item 148,37,2907,PAUSED,2026-06-20T02:11:14Z
ad_a_0149,Item 149,22,1940,PAUSED,2026-08-19T10:04:00Z
