id,title,text,alert_type,priority,host,tags,date_happened
10035,Event 6a84mb,text m4ytmr2e6cl8zcxi9rpf,2025-11-08T18:50:00,error,system,host_a2a9,chandler-electric
10036,Event 7fcu7b,text 9iiemq41g5oxjopywcu4,2026-09-17T05:06:00,info,alert,host_k6ro,chandler-electric
10037,Event ogg8oy,text 802x6llu1ssajaluv5vi,2026-04-09T12:53:00,info,system,host_1saj,chandler-electric
10038,Event 79bc1i,text yrfriawlo00yzbf6slbn,2025-05-07T04:27:00,error,alert,host_cxeh,chandler-electric
10039,Event i40crs,text eq4t2ibpqw7tskpnduj5,2026-05-12T08:08:00,info,user,host_mwc8,chandler-electric
10040,Event pqybd7,text k3ksassixaaerc2h689g,2025-09-08T18:19:00,warning,alert,host_o7jm,chandler-electric
10041,Event nyzw6u,text z37ey1nz8wzw043dkgo2,2025-06-03T18:46:00,info,alert,host_xtkk,chandler-electric
10042,Event 5yyxiv,text 00ztrdoacvuqya2hupdq,2026-07-05T10:21:00,info,user,host_y88a,chandler-electric
10043,Event q3zgdq,text qkbxmxsp90hh2ryfcowq,2025-06-30T00:52:00,error,alert,host_lge3,chandler-electric
10044,Event fitst3,text me7t3duaiexp2mj6e0gs,2025-03-19T10:39:00,info,system,host_61ho,chandler-electric
10045,Event 0lwxxs,text 4j1u82zhrr3kai0vv57w,2026-08-17T11:18:00,info,system,host_23ik,chandler-electric
10046,Event t0y0ee,text gvkoxx663exqsjt5ptkf,2025-01-21T23:42:00,error,user,host_vl1e,chandler-electric
10047,Event 4ntu29,text ec28y7yqavirq4ci8d8e,2025-02-07T13:25:00,info,user,host_afrr,chandler-electric
10048,Event ibbqfn,text 3psbltu5fuplwhl9lvs9,2025-09-26T20:13:00,warning,user,host_sk4v,chandler-electric
10049,Event fstjzy,text 65z6n709bawwse0h2uiq,2025-10-22T15:40:00,warning,user,host_n3b5,chandler-electric
10050,Event ocm0w6,text bizchco5psv02tu6zllc,2025-12-05T17:19:00,error,user,host_9wo9,chandler-electric
10051,Event lqpgbl,text a46x3u7k30dtsednksvu,2026-06-12T20:06:00,error,alert,host_zr4h,chandler-electric
10052,Event hq2ctl,text 45qrq1xjgoukt39otdhm,2025-10-08T05:12:00,info,system,host_4hjx,chandler-electric
10053,Event gi2bph,text c11giwe7fqsafup4uljy,2025-07-13T08:03:00,warning,system,host_pptq,chandler-electric
10054,Event 45o6kh,text d0qkwggwjke6596onl9d,2026-06-17T00:45:00,warning,user,host_uemv,chandler-electric
10055,Event tfg4d0,text vvgyyswwqqb96387isup,2026-04-06T23:42:00,error,alert,host_sge4,chandler-electric
10056,Event ppu5o6,text kz8pqdynebfrio18upyv,2025-01-28T20:22:00,error,alert,host_wg7e,chandler-electric
10057,Event b2tvwo,text xm4meu6n8ryoyk50zihc,2026-04-02T16:22:00,error,alert,host_d1rt,chandler-electric
10058,Event 0m6jh2,text 3vc9ldm8yw8ou5ipvs22,2025-07-07T05:30:00,warning,user,host_bnnh,chandler-electric
10059,Event qmbnwd,text 9aif0wyz1zx7tcik7onb,2025-11-09T04:26:00,info,system,host_e2ps,chandler-electric
10060,Event fmcx8s,text exsolgkw4tsat8457sz5,2025-09-11T20:06:00,warning,system,host_m4im,chandler-electric
10061,Event 2387q6,text k02i6ynsidzf69xw33aq,2026-01-04T13:19:00,error,alert,host_6g34,chandler-electric
10062,Event vslzhq,text 2ca3d8kpktdl979wniqg,2026-03-10T17:18:00,error,alert,host_g6g3,chandler-electric
10063,Event 7e39xm,text 7hxgyal4uxt64eclhctj,2026-01-26T23:26:00,error,alert,host_b87r,chandler-electric
10064,Event 5hz4gq,text 0lqok2wyopyj5vitgibh,2026-08-23T14:12:00,info,user,host_9it3,chandler-electric
10065,Event putg8i,text bqz8sku0i4a21ci229m6,2025-03-23T06:45:00,info,system,host_mhcj,chandler-electric
10066,Event a7b9xh,text 3o5ud737zwk1mao03y98,2025-03-04T05:26:00,info,alert,host_en0e,chandler-electric
10067,Event jo1cum,text 84krrna7ob5cfha7gwhe,2026-02-23T08:43:00,error,user,host_wsb1,chandler-electric
10068,Event e99jld,text 22hbsjbv6nxurgtk71hi,2026-09-29T05:12:00,warning,user,host_ct9x,chandler-electric
10069,Event yq65rb,text siqryxc3er96qcrrr8rk,2026-06-02T19:19:00,error,user,host_9h0m,chandler-electric
10070,Event tdjysq,text ugpx23awnie1rsop482r,2025-02-04T09:50:00,info,system,host_dbth,chandler-electric
10071,Event ickvlt,text 3k6t8q0gngcp6e7tz9bh,2026-05-24T18:26:00,info,system,host_f98q,chandler-electric
10072,Event 880d83,text 1ae3qxjjv503gfdjkl8s,2025-11-15T20:52:00,warning,system,host_scxi,chandler-electric
10073,Event 5vkq0y,text 2zzrrlz6arxcg828cw9q,2026-04-06T09:31:00,warning,alert,host_2eiv,chandler-electric
10074,Event t1mlvf,text rcgbrodrhuoxd5qxno2h,2026-05-16T16:17:00,info,user,host_dztw,chandler-electric
10075,Event d1paua,text lz9eoqgywy2xajdd4x7u,2026-03-01T19:55:00,warning,system,host_n4rv,chandler-electric
10076,Event ethq2m,text yr2kp6mu5ik67nelembh,2025-05-25T01:01:00,error,user,host_y75m,chandler-electric
10077,Event x6lfu8,text hpzunraxkmo2k120vlpu,2026-06-14T05:27:00,info,alert,host_borb,chandler-electric
10078,Event bl34x9,text 7u7w09xdywnxhtif1hna,2025-07-02T08:05:00,error,alert,host_17tv,chandler-electric
10079,Event 57umej,text e4cclfq9zteizok1i3tt,2026-09-11T04:43:00,warning,system,host_014p,chandler-electric
10080,Event irq3a1,text r5ohu9pytd5jk7kw9p2i,2025-02-16T04:54:00,warning,system,host_k3y5,chandler-electric
10081,Event r7hbv8,text t3p4g3dumz3aoxjel3ha,2025-11-18T05:22:00,error,system,host_vzx1,chandler-electric
10082,Event jzjgs6,text 989cqpplssh5yfrjzmit,2026-06-06T00:56:00,error,system,host_awdd,chandler-electric
10083,Event ii1hov,text kl808ku0ir419tpg5sd4,2025-03-16T20:03:00,warning,system,host_ddio,chandler-electric
10084,Event 0r5qv5,text dwhxd87vlg8t0dxx2ev1,2025-05-19T11:39:00,info,system,host_rz3s,chandler-electric
10085,Event 3ec5vq,text j82hwvu4wu1ng3f728mp,2025-04-20T23:23:00,error,user,host_l28g,chandler-electric
10086,Event lb167t,text 6qisqtamph9tc0caogou,2025-04-06T00:24:00,warning,alert,host_m3f2,chandler-electric
10087,Event e4n4e2,text j6l8ivtqodvy8uqrpfa0,2025-06-03T18:20:00,error,user,host_ykxf,chandler-electric
10088,Event e1cttm,text o5bn2tvdn4d2i9yda9xv,2025-04-24T21:48:00,info,system,host_7084,chandler-electric
10089,Event 1i94l8,text ddh627x7q2y3wj3ifue2,2025-04-28T13:20:00,info,system,host_w093,chandler-electric
10090,Event wcwp6e,text xlqc5uj2f3y4zbij2hqn,2026-09-10T02:17:00,info,system,host_pnf2,chandler-electric
10091,Event aj9bfl,text 0hko57ztys0lkpvcn2s8,2025-09-26T09:22:00,error,alert,host_27k4,chandler-electric
10092,Event 9smk1a,text qzqa0yv65sw2wteodpwq,2026-06-21T16:49:00,error,system,host_wl9p,chandler-electric
10093,Event 7zv43r,text g03j1ewq11xx6fbxkga2,2025-09-18T07:24:00,warning,system,host_cf6o,chandler-electric
10094,Event f4xqvc,text g9xnt0itu29yzv93q7xm,2025-08-12T16:04:00,warning,user,host_748s,chandler-electric
10095,Event ltzhn2,text xalch2yoopvig0xyocg7,2025-03-21T16:32:00,info,alert,host_dkr9,chandler-electric
10096,Event 8zwdxu,text xtcj3yvezgffphsa44lp,2025-12-13T01:45:00,warning,alert,host_tcfy,chandler-electric
10097,Event pcsikv,text 6xpepqovv3ggsls72i38,2026-04-05T09:16:00,warning,alert,host_ej7o,chandler-electric
10098,Event 46u7yc,text xizqkm62djmx9nygnwib,2026-06-25T06:18:00,warning,alert,host_4obo,chandler-electric
10099,Event x7lu9q,text eb0ary3e9t1kdzal5m5a,2026-02-11T01:02:00,warning,alert,host_opow,chandler-electric
10100,Event etzuz8,text dt44qacjgqko3yxztf3a,2026-03-20T08:00:00,info,system,host_69tj,chandler-electric
10101,Event gwfuc1,text t6wvgi16hssewpjuwdwy,2025-09-17T15:55:00,warning,system,host_8s1o,chandler-electric
10102,Event l4n049,text n07di6j8f7001wki13uo,2025-01-20T08:20:00,warning,system,host_gb6a,chandler-electric
10103,Event kpnhoj,text tpi3qql6fn6c82xmgghq,2025-01-25T09:22:00,error,alert,host_gjim,chandler-electric
10104,Event zm1sjj,text wgr91ql5katy9b0jnpps,2026-09-11T11:10:00,warning,system,host_24vt,chandler-electric
10105,Event elhzc5,text 340zqkqmia9n7g8f2ldh,2025-04-29T13:26:00,warning,alert,host_9q7s,chandler-electric
10106,Event d1u603,text 8eithbzadmals2vbrr7z,2025-01-04T14:42:00,error,user,host_kie9,chandler-electric
10107,Event 4wft5w,text tk8ej2qxnxpdjgoe69om,2026-05-22T05:51:00,warning,user,host_pnlk,chandler-electric
10108,Event 04u4gy,text s7gvk4t8uw3vw7lawftf,2025-09-26T18:17:00,warning,system,host_s94c,chandler-electric
10109,Event z892q5,text nke84kyuvvjlmiejjjdo,2026-01-27T09:59:00,error,alert,host_ejmp,chandler-electric
10110,Event 59d8zx,text 4faqu46ak1rj1avegons,2025-11-11T13:16:00,warning,user,host_m6vh,chandler-electric
10111,Event ja5zl8,text 18n0k7lykubuahwt8exp,2026-07-21T03:16:00,error,system,host_2obi,chandler-electric
10112,Event csmjsi,text zr1ez1adthogmdgw8a0x,2025-12-14T15:49:00,warning,alert,host_t4mw,chandler-electric
10113,Event bywisb,text c5yayze1ewlg8nbu1bbo,2025-04-28T20:06:00,info,alert,host_5ea4,chandler-electric
10114,Event 527yjb,text ty8zg8qafvzv7ka8m92q,2025-07-22T00:22:00,error,user,host_t2fv,chandler-electric
10115,Event xpcpks,text tr1aewizicgrlih36qgr,2026-08-30T10:20:00,warning,alert,host_hjvk,chandler-electric
10116,Event 7rznxf,text k0blg8cdm4eq3j91b7sl,2026-03-24T13:52:00,info,user,host_3by4,chandler-electric
10117,Event rxd3hg,text glfcisiwxrq20pxz7vg4,2025-07-10T06:03:00,error,system,host_2541,chandler-electric
10118,Event ipud0t,text h64pbwrkjml8dmd9z3zb,2026-04-26T05:02:00,warning,alert,host_300n,chandler-electric
10119,Event wpcuej,text xuamrzzxgo224r5he2jv,2026-07-22T00:50:00,warning,system,host_t3ux,chandler-electric
10120,Event e38sy6,text ibgeb6wvkh54amg4j9v7,2025-04-08T21:26:00,error,user,host_no4b,chandler-electric
10121,Event v8rgki,text bn99asbdjh3j3137yjl3,2026-02-23T04:10:00,info,alert,host_ke6d,chandler-electric
10122,Event p2ytq0,text 6jd4jew223qsfp505e6t,2025-10-29T23:15:00,error,system,host_xtvb,chandler-electric
10123,Event gobgus,text yqb6n0q194qo4hmh6w3q,2025-09-14T09:06:00,info,system,host_5fce,chandler-electric
10124,Event u8gtlj,text hk8de0bvfktc5z9kdyb5,2025-03-11T03:50:00,warning,system,host_d6lg,chandler-electric
10125,Event 8el0l8,text bwou5t07kfpoemuvlcyj,2025-07-14T17:18:00,info,alert,host_rgkw,chandler-electric
10126,Event 1nzwc5,text tzvjm43cv58lq6jlwon9,2025-09-17T09:20:00,info,alert,host_y0h2,chandler-electric
10127,Event m2igu7,text hvd4bi1zfd397c37gs41,2026-07-02T23:04:00,info,alert,host_bcpk,chandler-electric
10128,Event 5ah8e1,text h75ir5uutwo95v33gv0f,2026-07-14T15:38:00,warning,system,host_7l4p,chandler-electric
10129,Event yye7ki,text qu61ignajrhh57gq0rdp,2025-03-23T08:39:00,warning,alert,host_kvcu,chandler-electric
10130,Event jni8ww,text hh6vybopaingakwi39h4,2025-03-01T01:16:00,error,user,host_qd63,chandler-electric
10131,Event 96sj7y,text lc6c4id11apkk66vzixi,2025-12-25T05:09:00,error,alert,host_xe7r,chandler-electric
10132,Event ql20z8,text snpz2id7in4ljrsa5o5k,2026-01-07T08:41:00,error,alert,host_73kj,chandler-electric
10133,Event cc35p7,text w17rlzxlue81yqpnzdet,2025-08-15T16:53:00,error,user,host_qj0m,chandler-electric
10134,Event cuoow9,text crtkzimuwq2ulk1n7r4t,2025-04-10T17:56:00,error,alert,host_da0i,chandler-electric
10135,Event vo7ww0,text rd5bldheaum4lu1y9ran,2025-11-17T10:50:00,info,alert,host_7agj,chandler-electric
10136,Event 8ndg2o,text gfnco6i2cw0l5w6k2w8m,2026-05-03T08:27:00,error,alert,host_yrvz,chandler-electric
10137,Event t7doys,text hzcbi1m5o1lbunlx3dvx,2026-07-16T07:31:00,error,user,host_cec9,chandler-electric
10138,Event v1mmsy,text k36bgstttpevvjba9ld1,2025-01-17T10:16:00,warning,user,host_yas1,chandler-electric
10139,Event ajm3z5,text s78ux02w5nks0ilr67b5,2025-06-05T03:40:00,error,system,host_8sn4,chandler-electric
10140,Event ld9t67,text htn11mqhagen04uy0y0e,2025-11-27T23:11:00,warning,system,host_oliz,chandler-electric
10141,Event jb4gcm,text snzyz5lfgg0r1k7xha2h,2026-07-24T12:33:00,info,system,host_rw6f,chandler-electric
10142,Event vcccjw,text bu1yd61u7unxv04uibyk,2025-08-08T16:48:00,error,user,host_p0z7,chandler-electric
10143,Event h4xpn6,text b5qyhhw68d0rdgja9fom,2025-06-06T04:07:00,info,system,host_7jc8,chandler-electric
10144,Event 9i2lov,text wqquauzkwrmybnzykb6p,2026-01-13T19:59:00,error,alert,host_r87y,chandler-electric
10145,Event b132gl,text z644nbrfvfu0bm3h4wbh,2026-03-08T14:41:00,info,user,host_q1c5,chandler-electric
10146,Event e774lm,text ah2sg94zi30kppujsk66,2026-06-07T23:31:00,warning,alert,host_fr0g,chandler-electric
10147,Event 1kfzqp,text 18pzaq8skdpow2mt53eu,2025-07-13T19:23:00,info,system,host_vh5v,chandler-electric
10148,Event s65lwx,text a7djr0w9dgqpnjsevhbz,2025-03-01T20:56:00,error,alert,host_zak2,chandler-electric
10149,Event vjd3l2,text 8bmakxajr3l7fbr8n5x4,2026-07-12T19:37:00,error,alert,host_o78t,chandler-electric
10150,Event os9kku,text r8assriwvgxtff2whcrp,2026-01-02T03:21:00,info,system,host_0cfs,chandler-electric
10151,Event 6yahfk,text 8m38132847bvfm8dwd7x,2025-12-12T12:37:00,warning,user,host_3d8i,chandler-electric
10152,Event woc440,text njrma6po4xddghcm4ol5,2025-10-10T23:43:00,error,user,host_3lcp,chandler-electric
10153,Event wr5n8b,text pu5ablsq0wxph8midk4j,2026-09-19T05:02:00,info,alert,host_9lv7,chandler-electric
10154,Event g837ct,text ukfhnflhvx44pvdahzs1,2025-04-09T20:56:00,info,user,host_jndw,chandler-electric
10155,Event y76bzu,text 8fyztkvjh475ufqzc8fg,2026-03-08T22:35:00,error,system,host_tvp1,chandler-electric
10156,Event scqtcr,text 3hj8cawsetpyt3zevp56,2025-05-23T04:08:00,info,system,host_zsc9,chandler-electric
10157,Event bxeyyt,text 42tsdredttvln495dgme,2026-01-05T04:33:00,warning,user,host_2kiu,chandler-electric
10158,Event j7puai,text 3dmsxsi58ofaexwy6q39,2026-02-19T16:57:00,error,user,host_kq27,chandler-electric
10159,Event rcos0i,text wedf1d751caukq1sbhrc,2025-02-04T00:17:00,warning,alert,host_5g3z,chandler-electric
10160,Event 6rekes,text wk4rqw7ydhatp90bzem4,2026-03-05T12:51:00,error,user,host_a2xn,chandler-electric
10161,Event u3g7ji,text f2cldz46vfo6xau3ax1k,2025-11-24T01:26:00,error,alert,host_p7mm,chandler-electric
10162,Event msei6z,text be9jukkynbdm2jqhe8ry,2025-11-24T18:59:00,info,alert,host_ndek,chandler-electric
10163,Event vxk2lz,text eh9a3gbkdlpboo4xme1w,2025-04-18T15:13:00,info,alert,host_smaf,chandler-electric
10164,Event tc3vlz,text 4h85jujvzxoir6anrw9q,2025-01-29T00:21:00,info,alert,host_il6o,chandler-electric
10165,Event 29vjkf,text lwrn35ukwq49ffuq9e9h,2025-03-27T23:58:00,warning,user,host_wicb,chandler-electric
10166,Event 050g2x,text 0x6q7yy7x7h8u6jj0gjc,2025-11-20T01:56:00,error,system,host_k3az,chandler-electric
10167,Event lbgda6,text 6wkhin8aimu9l9rjhja8,2025-12-10T01:59:00,error,system,host_1s36,chandler-electric
10168,Event qmqewt,text 3af1m40d5qjzhll6skxn,2025-11-17T10:32:00,error,alert,host_l839,chandler-electric
10169,Event imbwwe,text 4bmspfdgdtprxj1txjsl,2025-12-24T13:38:00,warning,alert,host_pmnz,chandler-electric
10170,Event 2wqevb,text aan3j1dny06bff2g6xxf,2025-08-08T17:14:00,info,alert,host_kdj8,chandler-electric
10171,Event 7gmim0,text hxceamfo0ire5qlm4fey,2025-06-14T07:20:00,error,system,host_5ygo,chandler-electric
10172,Event nehfy6,text mydgnpx53ayr02o1fij8,2026-07-28T16:08:00,error,system,host_8q2n,chandler-electric
