metric,scope,base_value,amplitude,unit
system.net.uny1,90.23280930154067,2025-02-06T12:43:00,host_4rqa,rate
system.mem.n91c,59.85656276927418,2025-04-19T09:56:00,host_ruij,rate
system.mem.aq7u,45.712896993834306,2025-09-08T04:45:00,host_4db3,gauge
system.net.gvah,79.88155573636685,2026-04-11T04:55:00,host_ww0z,gauge
system.disk.i7qn,52.27199498409193,2026-02-01T13:20:00,host_y7sl,rate
system.cpu.q0ou,25.491210439049794,2026-04-21T16:29:00,host_9mzb,gauge
system.mem.8yyp,50.99254118369525,2025-01-06T11:01:00,host_njib,gauge
system.cpu.9tzi,47.91913518149784,2025-10-08T20:21:00,host_v31b,count
system.net.846s,34.699333003094324,2025-07-13T12:16:00,host_szmc,count
system.mem.s4ud,45.21351877528982,2026-05-08T06:32:00,host_i06r,count
system.mem.pmfl,17.10378590124042,2026-01-31T14:55:00,host_hjhp,rate
system.cpu.x9dk,50.563334654722624,2026-06-05T06:43:00,host_3itv,gauge
system.net.g11h,76.42689491487981,2025-02-17T12:51:00,host_guzl,rate
system.disk.c7rr,13.697049524604566,2026-02-05T09:22:00,host_0o86,count
system.cpu.o547,50.19293311813187,2026-08-20T09:04:00,host_5zlt,gauge
system.cpu.a93v,29.432607092707606,2026-09-11T02:27:00,host_wppe,gauge
system.disk.8mty,15.55568964670292,2026-07-13T11:09:00,host_0s4r,gauge
system.disk.tmxf,30.66864798950292,2026-09-05T07:57:00,host_njoe,gauge
system.net.92zw,12.74610804789187,2026-09-20T05:23:00,host_uobb,gauge
system.cpu.4e0t,0.9853472026466581,2026-01-24T22:02:00,host_rqtx,gauge
system.net.83x9,41.482825196433005,2025-04-12T03:43:00,host_7955,gauge
system.cpu.isw4,2.2433574224894004,2025-09-02T09:55:00,host_rv8w,gauge
system.disk.umg4,8.59322704995218,2025-01-11T08:20:00,host_ta5f,rate
system.mem.t15n,23.098294003050135,2025-09-01T09:50:00,host_6rnm,gauge
system.cpu.1o9s,58.08540364293522,2025-07-22T15:37:00,host_m4h1,gauge
system.disk.f215,26.16662653810816,2026-08-27T21:52:00,host_mchn,count
system.disk.r7p2,76.27746939146726,2025-06-26T12:18:00,host_vd6r,gauge
system.net.9xgw,49.57445460605856,2025-10-17T05:41:00,host_lehe,rate
system.net.u82f,63.45398277716704,2026-06-10T07:16:00,host_mnyv,gauge
system.mem.6uq6,4.533564783332289,2026-07-06T17:30:00,host_mrp3,count
system.mem.0dxf,8.947657861858938,2026-06-23T05:44:00,host_ylyt,rate
system.disk.mne7,38.11887969347252,2026-09-04T04:24:00,host_8gs0,count
system.net.45rq,67.34572174005442,2025-08-09T22:41:00,host_6uqq,gauge
system.net.23io,57.61013235277176,2026-03-25T01:51:00,host_ypkg,count
system.net.d2p8,68.84103757047673,2025-05-22T17:26:00,host_81mf,count
system.cpu.gaw9,17.54510385812057,2025-05-18T01:03:00,host_5gsq,gauge
system.cpu.upmy,26.89618267686932,2025-02-09T11:08:00,host_c1q3,rate
system.cpu.ehty,39.818452449607854,2026-03-04T11:34:00,host_k0l3,gauge
system.cpu.ea61,28.705632863245633,2026-03-24T21:59:00,host_86lj,count
system.mem.v7co,29.005949785731843,2025-08-03T15:00:00,host_wbft,count
system.disk.gqiz,69.40363308762717,2025-12-11T09:05:00,host_wvg8,rate
system.net.hwoo,40.151739760837124,2026-07-04T20:46:00,host_mxp7,count
system.mem.2e2i,61.80803626733634,2026-08-02T06:09:00,host_okc7,rate
system.disk.7pww,38.53442048426328,2025-06-15T07:58:00,host_qn2o,gauge
system.mem.pitr,51.88082647940344,2026-04-04T05:25:00,host_8qrm,count
system.cpu.7y5d,72.70827035200901,2025-05-03T11:43:00,host_wvgg,count
system.disk.ub60,82.93868596740694,2026-05-11T13:17:00,host_in5s,gauge
system.disk.nifp,50.348893912973104,2026-03-13T20:11:00,host_zf8g,gauge
system.disk.kpf1,80.77808804309903,2025-02-11T03:05:00,host_m4k6,gauge
system.disk.x0yc,57.873840281111036,2025-07-07T09:08:00,host_fq64,rate
system.mem.pg58,34.669507656685695,2026-09-16T01:38:00,host_w9v5,count
system.disk.ndd6,7.054505341248396,2026-08-29T03:55:00,host_e0rt,rate
system.net.m5dp,19.43177858228372,2025-06-30T20:47:00,host_67in,gauge
system.cpu.q1va,5.597571392630874,2025-07-27T04:06:00,host_ojcq,rate
system.mem.nh4a,90.06681827616337,2025-10-04T06:33:00,host_m56n,count
system.net.29tz,35.700855414921776,2025-02-18T08:41:00,host_hlcp,rate
system.net.3wdu,65.04516696135326,2025-03-14T13:06:00,host_jlea,count
system.net.ozgc,94.25081811121917,2026-02-01T12:54:00,host_rzd1,count
system.cpu.ztzv,53.85159399051964,2026-08-30T10:19:00,host_ix30,count
system.disk.553g,21.334186737405158,2025-09-12T17:37:00,host_p278,rate
system.mem.89ei,73.37358386251148,2026-07-15T12:59:00,host_xf7j,rate
system.disk.qdus,63.35455191382765,2025-02-11T08:44:00,host_86w8,gauge
system.cpu.dzvk,20.493038404389218,2026-04-26T08:02:00,host_ls6j,count
system.mem.oer3,99.0838922461897,2026-06-10T14:34:00,host_pnaf,count
system.disk.7v7j,58.647517398036285,2025-03-31T08:54:00,host_uv4h,rate
system.disk.jy21,88.42608681719638,2026-01-08T15:10:00,host_79wv,rate
system.disk.5k9k,1.251119764202202,2025-07-31T05:21:00,host_6yz6,count
system.disk.byet,3.398112025614808,2025-04-22T08:14:00,host_6iqn,rate
system.mem.m8w5,61.24115022674835,2025-06-13T11:26:00,host_bi1w,rate
system.net.q7s2,79.57367079251914,2025-01-17T22:32:00,host_kex3,gauge
system.net.35g6,68.53527498287886,2026-08-18T21:18:00,host_jxtd,count
system.disk.2h6s,24.22263409324561,2025-03-11T01:45:00,host_o2u9,gauge
system.disk.37me,93.9849452904842,2025-04-14T16:36:00,host_xyoj,gauge
system.disk.r8sm,58.18691529352131,2025-10-19T00:23:00,host_owmt,count
system.mem.1ncq,75.8255919695928,2025-11-06T06:26:00,host_jfme,gauge
system.net.wtqr,2.7184078240271248,2025-03-13T08:53:00,host_vc1t,rate
system.net.w700,77.61877228812027,2026-09-19T22:00:00,host_tcd5,gauge
system.net.9ozf,47.01463466544886,2026-01-27T23:01:00,host_5n8u,count
system.mem.dqwt,19.732501391715218,2025-11-10T22:35:00,host_ws12,gauge
system.mem.z64g,19.367393762683292,2025-06-16T08:47:00,host_9fnm,count
system.net.1pgi,75.58774965766122,2025-08-09T23:47:00,host_i09x,rate
system.mem.k3lh,63.028187937413946,2025-11-25T06:32:00,host_f5mm,rate
system.disk.a5bm,82.62165035646287,2026-09-01T22:22:00,host_7d1u,rate
system.disk.fdr1,40.527350514192186,2025-06-19T19:53:00,host_dhoi,rate
system.disk.0lvq,75.8913055973064,2025-04-04T03:20:00,host_wnns,count
system.disk.q788,17.974020473940687,2026-09-18T21:35:00,host_px3o,gauge
system.mem.q64m,9.986247769643663,2026-04-25T05:40:00,host_01da,gauge
system.cpu.4bme,15.937110872834204,2025-10-23T13:17:00,host_mbl0,rate
system.cpu.5n9p,71.28238427906956,2025-11-02T04:53:00,host_y9hf,count
system.cpu.s3qk,72.37639166937669,2025-01-06T17:45:00,host_f6av,count
system.cpu.zi4z,79.37104723838429,2025-01-20T15:56:00,host_uhcl,gauge
system.cpu.fsdx,41.28296718228955,2026-02-18T18:16:00,host_nirq,gauge
system.mem.4wyx,84.7490288313931,2025-07-18T02:08:00,host_tv7j,count
system.net.bri9,12.316748645535958,2025-11-01T10:03:00,host_8ff2,rate
system.disk.7ucu,91.09915029712441,2025-06-12T19:01:00,host_p16c,rate
system.disk.ma3f,10.992896495006644,2026-07-24T20:50:00,host_innm,count
system.net.wr9o,49.01803623575805,2025-11-24T18:33:00,host_urk7,rate
system.mem.dxdi,88.94298176126239,2026-08-08T03:49:00,host_ys9e,rate
system.mem.lasw,81.15542121066598,2026-09-03T22:38:00,host_d3ge,count
system.mem.bqdh,90.75836028951558,2026-08-18T10:12:00,host_axia,gauge
system.mem.zgrb,73.77370012259486,2026-08-03T09:10:00,host_w7c3,rate
system.net.vu16,34.673532894757564,2025-06-02T00:10:00,host_myaw,count
system.net.etv9,44.060591674575534,2025-09-19T08:39:00,host_ret4,gauge
system.net.0ozd,6.17730047696583,2025-04-15T03:57:00,host_184b,count
system.disk.vr7f,77.78362508927013,2026-08-23T22:53:00,host_i5lh,gauge
system.net.q66y,73.11543912955668,2025-04-22T00:43:00,host_t1k7,count
