id,name,type,query,message,overall_state,priority,tags,created,modified
1010,Monitor 22nfcr,service check,query 4d7ra655df,No Data,msg gp4vwupitzgi4yo,2026-09-29T03:54:00,2026-04-30T00:25:00,chandler-electric,3
1011,Monitor fj0wba,event alert,query h0rfqhuzbw,Alert,msg 5d45j3pdynpxzzw,2025-11-07T01:43:00,2026-09-29T23:17:00,chandler-electric,3
1012,Monitor icwl6v,service check,query dj19w3q5jp,Alert,msg ftim67xzqy5wn5c,2026-01-06T20:48:00,2026-01-19T08:59:00,chandler-electric,5
1013,Monitor cb76ct,service check,query ct9rdbhgx0,Warn,msg sctsjullu3welck,2025-03-26T17:30:00,2025-07-12T18:20:00,chandler-electric,1
1014,Monitor yarrcg,service check,query 7ip7tkq65p,Warn,msg c57hed28x3bpp7q,2025-10-04T21:39:00,2025-11-18T07:45:00,chandler-electric,1
1015,Monitor 3f8kft,metric alert,query 3uf30u8ezg,OK,msg hbxzkpks8rgr64d,2026-02-04T03:05:00,2025-06-12T03:05:00,chandler-electric,2
1016,Monitor hziuvx,event alert,query zu77gote2x,Alert,msg say0pi3oahorn60,2026-08-17T08:15:00,2025-01-07T05:18:00,chandler-electric,3
1017,Monitor mw6i0z,event alert,query t8zkssv70f,OK,msg vfwiztcjgqgb5ba,2025-05-08T06:44:00,2025-01-12T19:00:00,chandler-electric,5
1018,Monitor c9ba2v,metric alert,query 9n08x16tqn,No Data,msg 6o0hufc5hufr4qf,2026-01-19T07:12:00,2025-03-31T22:26:00,chandler-electric,5
1019,Monitor ae2agf,event alert,query d2jdkr6ei2,OK,msg ds7yhlmd3b9tska,2025-04-27T05:57:00,2026-07-27T18:20:00,chandler-electric,4
1020,Monitor vniuml,metric alert,query svtxezzm1k,OK,msg iirs0ehxsydfac5,2025-07-06T23:01:00,2026-01-28T16:42:00,chandler-electric,5
1021,Monitor z6zzwp,event alert,query x6qifsqqj6,OK,msg a44scipmke6gfje,2025-11-14T10:35:00,2025-05-15T04:23:00,chandler-electric,1
1022,Monitor e96x8k,metric alert,query natkgnumn6,OK,msg itq55okjv8pv93q,2025-06-25T12:36:00,2025-03-28T19:20:00,chandler-electric,3
1023,Monitor hdby6g,event alert,query 6xyaouxrvu,Warn,msg bot7m2gvcm9g5kd,2026-07-21T15:50:00,2026-01-27T10:23:00,chandler-electric,2
1024,Monitor eiwkul,service check,query 5302kmij8m,No Data,msg vdyk8sitbgzpps6,2026-01-28T14:21:00,2025-01-13T18:34:00,chandler-electric,2
1025,Monitor cc8v16,event alert,query fft6x6555s,No Data,msg cs3ya6zbml2jeek,2025-12-04T07:00:00,2025-07-21T17:34:00,chandler-electric,4
1026,Monitor 2nb032,metric alert,query q0cccujchz,Warn,msg gbg8jjlfwdfzren,2025-07-22T14:58:00,2026-04-30T23:15:00,chandler-electric,2
1027,Monitor nk8afo,event alert,query 4hasfvdy1m,Warn,msg 0nbx8dlbtrxia69,2025-05-04T04:18:00,2026-01-01T12:40:00,chandler-electric,3
1028,Monitor k6s0gz,metric alert,query iz46xqpsna,Warn,msg opx3agcmxsbdm1v,2025-11-30T19:04:00,2025-04-15T18:38:00,chandler-electric,3
1029,Monitor dsieck,metric alert,query dn1rwjydwv,Warn,msg 7169evomyvdvqru,2026-03-01T19:27:00,2025-08-17T03:38:00,chandler-electric,1
1030,Monitor acafbf,metric alert,query fompgs72qk,Alert,msg rjp646z8b27ck54,2026-05-31T03:24:00,2026-04-08T21:56:00,chandler-electric,4
1031,Monitor ho0eun,event alert,query g9hh63o33w,No Data,msg zuqhx6v64iexayh,2025-02-15T15:37:00,2025-06-02T15:05:00,chandler-electric,1
1032,Monitor eyo2fw,service check,query rfilhexf9v,Warn,msg fj5uz8ldw0q82sj,2025-01-27T18:23:00,2025-05-30T11:00:00,chandler-electric,2
1033,Monitor ivld5f,event alert,query jtlq36suqa,OK,msg 310w4z9m1wfaqjn,2026-05-29T13:10:00,2025-06-10T04:04:00,chandler-electric,4
1034,Monitor 2j0x7x,service check,query b4gifsr7w0,Alert,msg 64inivli1kw36cb,2026-06-03T08:27:00,2025-01-15T16:28:00,chandler-electric,3
1035,Monitor kaf1j5,event alert,query 5erowyvfpn,OK,msg mk6e0dhlws40qgn,2025-02-24T19:27:00,2025-08-16T04:33:00,chandler-electric,5
1036,Monitor mq8doo,metric alert,query wnjsw7ifuc,Alert,msg e3rorae6xurpanl,2026-02-20T07:28:00,2025-05-09T16:16:00,chandler-electric,5
1037,Monitor wfaafy,event alert,query 1pmj4hb697,Warn,msg lbvdyiet9l5k04k,2025-03-30T04:39:00,2026-07-16T17:48:00,chandler-electric,2
1038,Monitor ed4xjt,event alert,query hso4375lgd,OK,msg 5u3fqnb140kweq1,2025-01-08T20:31:00,2025-06-25T01:45:00,chandler-electric,5
1039,Monitor w9ijax,metric alert,query ijtack0h11,OK,msg fho64xl83k8o7fr,2025-10-06T20:53:00,2026-04-17T14:31:00,chandler-electric,2
1040,Monitor 8unwes,event alert,query alk37oc668,No Data,msg jiloces73vf7gr4,2025-06-14T11:34:00,2025-07-12T11:22:00,chandler-electric,5
1041,Monitor an3rz4,event alert,query a0m1w5u6ly,OK,msg bw0yt9uasigx2yl,2025-05-10T05:14:00,2026-03-26T23:07:00,chandler-electric,2
1042,Monitor yektca,service check,query guanvflcwz,Warn,msg wix7aihsdy97arj,2025-02-03T21:14:00,2025-11-14T15:39:00,chandler-electric,1
1043,Monitor 6brwku,event alert,query loib96gl4f,OK,msg 1t3089mzog99fnc,2025-02-16T19:46:00,2026-08-29T12:35:00,chandler-electric,3
1044,Monitor atyx91,metric alert,query hfsp4j8mc0,No Data,msg ly95k4fc9io7b1k,2026-05-04T10:25:00,2026-01-09T04:40:00,chandler-electric,3
1045,Monitor oja0p0,service check,query a6ux85q9ld,Warn,msg dqcj28e7yhe2w62,2025-09-06T09:19:00,2026-02-04T11:23:00,chandler-electric,1
1046,Monitor k6b9of,metric alert,query wqzoa88chk,Alert,msg 4ozum6rgx2fthf8,2026-01-31T13:31:00,2025-11-14T15:09:00,chandler-electric,4
1047,Monitor dfqsz1,metric alert,query p0dyoyddlk,No Data,msg 58hed5nwbt2s3n4,2026-07-24T12:34:00,2025-09-16T02:10:00,chandler-electric,2
1048,Monitor chyljv,event alert,query dt17ow738r,Warn,msg q0jci0hdsysmm14,2025-01-21T05:20:00,2026-03-23T18:27:00,chandler-electric,4
1049,Monitor sggulm,event alert,query ispm2f1im3,Alert,msg rjnmdgi7munby57,2026-04-05T20:27:00,2025-12-04T20:50:00,chandler-electric,2
1050,Monitor 5f3jrj,event alert,query 7uv3bgfhsu,Alert,msg 4d06aejrvu8g3hn,2025-10-23T05:42:00,2026-05-19T01:54:00,chandler-electric,1
1051,Monitor sxf11j,service check,query u9rvxa2hlu,Warn,msg d4avbddl9u7lif4,2025-09-20T01:52:00,2026-05-23T17:57:00,chandler-electric,1
1052,Monitor fj24my,metric alert,query 5z1l1fm821,No Data,msg yvq4v7aac5m236d,2026-01-13T03:22:00,2025-02-04T18:31:00,chandler-electric,4
1053,Monitor j6adp8,service check,query us7nsd2x5l,Warn,msg kxz60wdviojtmda,2026-06-08T23:16:00,2025-05-20T00:47:00,chandler-electric,5
1054,Monitor qjd46k,service check,query bgr5bh5i58,No Data,msg vq25kwhfyx0pvl7,2025-12-13T23:27:00,2026-01-27T01:41:00,chandler-electric,2
1055,Monitor 9noy4p,event alert,query r2qtfrytew,Alert,msg smq8ap6i0x8ir91,2025-03-20T23:11:00,2026-07-04T00:29:00,chandler-electric,3
1056,Monitor an39ia,event alert,query jvxx8jzc9n,Warn,msg x9sixzch8sa3lr1,2026-04-04T20:14:00,2025-06-30T02:34:00,chandler-electric,5
1057,Monitor 2ikypp,service check,query ywpxmn2i6p,Warn,msg bre1mm9eu8pntx5,2025-01-06T02:27:00,2025-08-03T02:52:00,chandler-electric,2
1058,Monitor gm4c80,service check,query j7c1yos8is,Alert,msg 8j7qad0vwnc7f0s,2026-07-22T10:17:00,2025-05-26T04:44:00,chandler-electric,5
1059,Monitor 8p3dqz,service check,query ztv0k4txgt,No Data,msg bzgm9u9ndk0e959,2025-06-12T05:43:00,2025-08-25T00:13:00,chandler-electric,3
1060,Monitor f86inc,service check,query 80q4ro9wo0,No Data,msg li085r10evj3hhf,2026-05-25T08:58:00,2026-09-23T03:26:00,chandler-electric,2
1061,Monitor jxkk55,metric alert,query 0s07788tt4,Alert,msg twitp7sutz82r56,2025-07-18T21:49:00,2026-03-17T07:00:00,chandler-electric,4
1062,Monitor 5934wn,metric alert,query dy26eb5rgd,Warn,msg mvwm2m3136wsdca,2025-03-31T14:20:00,2025-02-19T08:20:00,chandler-electric,4
1063,Monitor whjahj,service check,query 117c014d8a,Alert,msg 95ztb9adnfy7nnl,2026-05-09T06:18:00,2025-02-18T08:17:00,chandler-electric,3
1064,Monitor 8evhbl,event alert,query 5s8vbm80nm,OK,msg roxlo91rpxcsenw,2025-03-13T13:20:00,2026-03-13T03:18:00,chandler-electric,4
1065,Monitor euy90j,service check,query kwiupdvr32,Alert,msg gwza1djszybmbba,2026-08-03T10:43:00,2025-10-10T13:39:00,chandler-electric,3
1066,Monitor m5n8cr,event alert,query 5pzt14on4p,Alert,msg wj1fon7v1o6jffz,2026-07-08T02:29:00,2025-06-02T01:08:00,chandler-electric,5
1067,Monitor 413w46,service check,query s466356qxt,OK,msg pgaf60rjd4iz0vw,2025-11-07T18:34:00,2026-02-01T13:28:00,chandler-electric,3
1068,Monitor h786ew,event alert,query 3h90jbk8nn,Alert,msg 04upnvv6cx7nxlv,2026-05-19T14:12:00,2025-03-19T00:50:00,chandler-electric,1
1069,Monitor e335ax,metric alert,query ussei4tcbc,Alert,msg 3gngkhli2l2a1n9,2025-09-30T11:26:00,2026-07-25T10:13:00,chandler-electric,3
1070,Monitor 52r62k,event alert,query 3uxlcdkl1d,No Data,msg 9f4ktw9buhxn0lo,2026-04-16T00:23:00,2025-01-28T16:39:00,chandler-electric,1
1071,Monitor 4xqdpm,service check,query ivr6zndswz,No Data,msg v81zvunagrvr5r9,2025-02-26T23:30:00,2026-06-30T04:44:00,chandler-electric,2
1072,Monitor ia3wep,event alert,query fa5q66rrdf,OK,msg ww834gk1q1qr60e,2026-05-27T06:03:00,2025-04-13T01:45:00,chandler-electric,3
1073,Monitor 8pr2ot,service check,query bbwq7qck91,Alert,msg 9tj72e4948qvtgw,2026-01-15T12:58:00,2025-06-03T10:55:00,chandler-electric,4
1074,Monitor ontvn1,service check,query y470hbbwfp,No Data,msg vdgfos0hrytp1oh,2025-07-17T07:33:00,2025-10-21T15:54:00,chandler-electric,4
1075,Monitor 53xkgr,event alert,query je20v5u65j,Alert,msg r7bxpdt94nb6dfo,2026-07-27T02:49:00,2026-06-27T00:03:00,chandler-electric,1
1076,Monitor 80hd3v,service check,query 7xkrbno65l,Warn,msg l5mlmkkum5qjyrz,2026-02-23T11:49:00,2026-04-27T04:58:00,chandler-electric,2
1077,Monitor mg6ocx,event alert,query 3wiyti43mh,Warn,msg lymw0ukmn5nelza,2026-03-09T03:57:00,2025-03-15T19:59:00,chandler-electric,5
1078,Monitor h1qq5t,metric alert,query 6oe33sbqp3,Alert,msg og1ngv4imty7j5j,2025-10-18T09:15:00,2025-11-01T22:47:00,chandler-electric,4
1079,Monitor gy0eas,metric alert,query mztag589fg,No Data,msg bixfa2cgvqk0e6v,2025-11-09T02:28:00,2026-04-13T02:01:00,chandler-electric,2
1080,Monitor c0n2e3,metric alert,query ebd6m7j1w7,OK,msg ucz7f75zozjgeay,2026-01-01T21:45:00,2025-09-13T03:27:00,chandler-electric,1
1081,Monitor sry9n2,service check,query 27onz6vn36,Alert,msg uqbduwlp94gsxos,2025-09-15T07:54:00,2025-12-19T21:24:00,chandler-electric,3
1082,Monitor 9u6ohi,event alert,query i63nc0dke7,Alert,msg nrid9r65kwxo4bp,2025-12-16T08:04:00,2025-01-31T08:02:00,chandler-electric,3
1083,Monitor x5hv12,metric alert,query eqessxkvhx,OK,msg funkg772odq4yvn,2025-01-22T19:45:00,2026-04-30T18:16:00,chandler-electric,2
1084,Monitor m2i0bl,service check,query rg2rhngq99,No Data,msg gcdf4mmyp8tmrid,2026-07-22T19:50:00,2025-07-10T19:35:00,chandler-electric,2
1085,Monitor 9t9046,metric alert,query 3uye4vf2af,No Data,msg 1sykb1nrfwx86n7,2026-06-20T04:33:00,2025-07-10T14:03:00,chandler-electric,5
1086,Monitor eyyxhz,service check,query aw9q2fv0qi,Warn,msg 3id54t24412mtbt,2026-05-17T22:23:00,2025-08-25T20:41:00,chandler-electric,4
1087,Monitor 0qeoa3,metric alert,query 7npmd45hg1,Warn,msg rpkyp3vgxgcwlxq,2026-02-14T21:09:00,2026-07-21T08:20:00,chandler-electric,2
1088,Monitor ug2gtw,metric alert,query 38x2d3j74j,Warn,msg hjjv7d8vx0hs5b3,2025-09-14T19:14:00,2025-10-04T09:13:00,chandler-electric,2
1089,Monitor 3t25km,service check,query vys9cxylbu,No Data,msg 2ntya2yk98fhvzf,2025-06-01T19:25:00,2026-03-20T13:13:00,chandler-electric,5
1090,Monitor 3kd442,metric alert,query vsjoagp7an,Alert,msg 6fuwfq7y20nk61l,2025-04-21T15:41:00,2026-09-05T01:29:00,chandler-electric,3
1091,Monitor gkrqzf,event alert,query k6h117val6,No Data,msg l571huh6w6zmq9w,2025-12-10T00:49:00,2026-01-15T14:35:00,chandler-electric,1
1092,Monitor lximt4,event alert,query fxq0cglpi5,No Data,msg xd4hc3hfkogbwk6,2025-10-28T17:26:00,2026-04-08T17:11:00,chandler-electric,5
1093,Monitor qriwhq,event alert,query l19coshqjt,Alert,msg 668qkcoj431rz0p,2025-06-02T18:16:00,2025-08-05T12:13:00,chandler-electric,3
1094,Monitor 43ojkv,metric alert,query eqo7elr8zh,OK,msg z4iscba60ga8f0f,2025-04-10T09:50:00,2025-07-20T12:16:00,chandler-electric,2
1095,Monitor wnmqfv,metric alert,query tkknbl0moc,Warn,msg gzzyzs4x59ydvft,2026-04-28T06:49:00,2025-11-18T07:53:00,chandler-electric,2
1096,Monitor n7t6ue,metric alert,query fjd6o9nkk1,OK,msg 07gfrk6liectwbr,2026-05-05T03:25:00,2025-04-06T06:59:00,chandler-electric,1
1097,Monitor rvmgpr,service check,query ty97b05516,Alert,msg igno1je2qlemguf,2025-01-10T15:05:00,2025-03-19T03:31:00,chandler-electric,2
1098,Monitor 7kha3k,service check,query 4img97h7f9,Warn,msg iv3garw511pm1f8,2026-09-23T08:48:00,2025-09-02T04:22:00,chandler-electric,5
1099,Monitor bk7lya,metric alert,query me5obad3t1,Alert,msg gsy1x4w9sto3m7g,2026-01-11T11:07:00,2026-01-20T07:53:00,chandler-electric,5
1100,Monitor wrhtpg,metric alert,query eghays0sbj,No Data,msg xbw6xbcc0t5rz6a,2025-08-30T17:05:00,2025-02-26T09:13:00,chandler-electric,4
1101,Monitor 398rml,service check,query dhcha1bwj1,No Data,msg g7kjx8opd81gbpr,2026-05-31T17:32:00,2025-11-28T00:23:00,chandler-electric,1
1102,Monitor ks9ty1,metric alert,query y697k1kihq,OK,msg zndmvv79aiv1x6b,2025-02-13T05:12:00,2025-02-16T10:06:00,chandler-electric,1
1103,Monitor zq7y3m,service check,query 1n4q2k5vyt,Warn,msg mc5crqpclyjkrhc,2025-06-06T17:20:00,2026-09-26T16:23:00,chandler-electric,2
1104,Monitor 1u6wx4,metric alert,query zf3kdu7nwj,Alert,msg lly43oaqq2t04js,2026-07-16T03:17:00,2025-10-11T05:00:00,chandler-electric,1
1105,Monitor c6meky,metric alert,query trqj4t5lmw,Warn,msg spwwkfntbi1cqdp,2026-03-22T10:51:00,2026-06-12T01:16:00,chandler-electric,5
1106,Monitor fd200g,event alert,query bd7n13s5dl,Alert,msg alnu6aelta727t0,2025-09-02T07:12:00,2026-06-14T05:09:00,chandler-electric,5
1107,Monitor 5fjvf2,metric alert,query 2gxem8hfs6,Alert,msg n3jvy5gygzl1bpd,2025-11-21T12:01:00,2025-05-12T19:15:00,chandler-electric,4
1108,Monitor i4chnq,event alert,query 2mh5pdizvz,No Data,msg aplcejs7hpvr13t,2026-07-06T23:45:00,2025-09-08T17:59:00,chandler-electric,2
1109,Monitor e45zff,event alert,query dl9z19ndl9,OK,msg 7asjmlfen5oh6i4,2025-04-14T21:29:00,2026-09-02T17:45:00,chandler-electric,2
1110,Monitor jf4mj6,event alert,query 7ftkkawian,Alert,msg qnu4gqty4ss63mw,2025-02-17T12:16:00,2025-12-01T11:58:00,chandler-electric,5
1111,Monitor t53gqp,service check,query 37beiw3wm4,Warn,msg blc7dtjlbnd8bit,2026-03-06T03:58:00,2026-05-01T22:08:00,chandler-electric,5
1112,Monitor jperwr,service check,query 8814j9tgbz,No Data,msg e3n5lwol9gbn2cc,2026-08-09T07:07:00,2026-07-02T15:13:00,chandler-electric,4
1113,Monitor vugdxb,event alert,query xpq6paieft,Alert,msg pbwp5liehqg0qrk,2026-07-11T19:38:00,2026-08-11T23:52:00,chandler-electric,1
1114,Monitor ddbkta,service check,query yfzfqs0lz2,OK,msg vf21gvf5uj5knnt,2026-07-03T11:19:00,2025-10-25T09:55:00,chandler-electric,3
1115,Monitor l6ix0y,service check,query tf8nitkxw4,Alert,msg 4p082ty06xcbhtn,2025-06-23T22:43:00,2026-08-16T11:30:00,chandler-electric,4
1116,Monitor c2n78p,service check,query 5i7nhcqvho,Warn,msg 5rm6rr4b70a3ke4,2026-05-15T02:07:00,2026-06-25T16:57:00,chandler-electric,4
1117,Monitor 0kvbav,service check,query evsoth4ypr,Warn,msg b9ukvnoqd8ec5os,2025-08-25T20:54:00,2026-09-20T00:42:00,chandler-electric,2
1118,Monitor fd4trt,metric alert,query q8bwgytlix,No Data,msg jtlmcggptre7g87,2026-03-03T22:26:00,2025-10-13T12:54:00,chandler-electric,5
1119,Monitor td2ldj,metric alert,query 4nltiwl3pb,Alert,msg 10qhtwdddql5e2j,2026-07-11T01:41:00,2025-02-15T21:32:00,chandler-electric,4
1120,Monitor o5ecvh,event alert,query gcy8xqh1xq,No Data,msg j3u544lpflt6m7d,2025-06-05T04:36:00,2026-09-16T16:45:00,chandler-electric,2
1121,Monitor whulhf,event alert,query dr6kr30gnd,No Data,msg e5n906kn5tx5kod,2025-11-29T21:44:00,2025-07-17T14:57:00,chandler-electric,5
1122,Monitor jfwt7m,service check,query 0zccsmhhgj,OK,msg kwn080h2z5apqtu,2025-12-12T08:34:00,2026-04-19T01:54:00,chandler-electric,3
1123,Monitor m986sr,service check,query yxezp2mr7q,Alert,msg gu5nx1hhx2n18t3,2025-02-21T08:09:00,2025-02-20T23:04:00,chandler-electric,3
1124,Monitor lg3x6e,service check,query mu6pbkvedg,Alert,msg lpoidg733abdw9v,2025-09-10T11:24:00,2025-08-24T03:32:00,chandler-electric,5
1125,Monitor 0wlrw8,service check,query wzf6j893qg,Alert,msg brr80x4fezpgpw4,2026-08-13T19:12:00,2025-12-08T00:27:00,chandler-electric,1
1126,Monitor kc3aq8,event alert,query y5rfm4vgtg,Alert,msg e242nut6rsh7r3z,2025-01-13T16:10:00,2026-01-14T11:16:00,chandler-electric,2
1127,Monitor 78bvcm,event alert,query 6gv3wwyynk,Alert,msg ajmqianlh8fbqda,2026-02-12T13:23:00,2026-09-30T17:16:00,chandler-electric,2
1128,Monitor qfv19f,service check,query mlkqqcz31b,OK,msg x8xomunbseb9szv,2025-06-25T15:45:00,2025-06-27T04:29:00,chandler-electric,3
1129,Monitor fg3dkp,service check,query pajvdghrh7,OK,msg 5gkx8aanvwr8qu2,2026-03-24T07:46:00,2025-10-14T15:52:00,chandler-electric,4
1130,Monitor 1p86o8,event alert,query 3x0ilk7sfv,Warn,msg 27f649l9h4d3qvh,2025-06-25T10:12:00,2025-11-22T18:26:00,chandler-electric,5
1131,Monitor 8ol8i7,event alert,query 402u9e71cv,OK,msg z4ot0re1s7b6242,2025-06-16T10:42:00,2026-07-08T15:45:00,chandler-electric,1
1132,Monitor yhujp5,metric alert,query mjq3qx6led,Alert,msg xoxqvefmpbon45q,2026-07-08T10:24:00,2025-12-26T20:37:00,chandler-electric,1
1133,Monitor mw476r,service check,query t9lvt8azny,Alert,msg wmffdj7lfj5l2pk,2025-12-15T23:32:00,2025-04-20T20:14:00,chandler-electric,3
1134,Monitor nciug0,metric alert,query spiyb86xjx,Alert,msg mtc45vuhh52eaxr,2025-03-27T09:29:00,2025-09-29T15:38:00,chandler-electric,5
1135,Monitor 2ylqag,metric alert,query 9ij7z9u9n1,Warn,msg r7q5mun7rjs7w7v,2026-07-18T04:27:00,2025-07-23T12:12:00,chandler-electric,1
1136,Monitor juga9d,service check,query c1osf0fugf,Warn,msg oruz4sru0btrusc,2025-02-12T18:13:00,2025-03-19T10:45:00,chandler-electric,1
1137,Monitor yeq2ix,service check,query thzygzuqvk,Warn,msg 5wsfth8eo6vvwnd,2026-04-20T12:17:00,2026-08-24T19:09:00,chandler-electric,4
1138,Monitor fxzqa9,metric alert,query wptw73ek7z,OK,msg ekk9c8t64if8hun,2026-03-28T18:12:00,2026-02-28T18:26:00,chandler-electric,3
1139,Monitor pub2i5,event alert,query kgn9xp5ld6,OK,msg cuv9zuopehrv3m3,2025-02-01T02:41:00,2026-06-14T15:57:00,chandler-electric,1
1140,Monitor 2lihwp,service check,query 5le7opz4ag,Alert,msg ep28vihhph8r9e3,2026-09-04T01:57:00,2025-10-23T23:43:00,chandler-electric,3
1141,Monitor wi7d41,service check,query 4a15q1gh7y,Warn,msg 6514ftyxtdq5qx3,2025-06-09T08:49:00,2025-08-21T21:23:00,chandler-electric,4
1142,Monitor 3qesna,event alert,query bn3zs3srme,No Data,msg w6ezb4a7mv5y1ve,2026-04-01T02:45:00,2025-02-27T01:48:00,chandler-electric,3
1143,Monitor 9lziwd,event alert,query 2a8rnf23hy,Warn,msg jxs2kg9uydj718f,2025-10-03T22:45:00,2026-05-17T20:50:00,chandler-electric,2
1144,Monitor 48e00a,event alert,query 1vwsaagmba,No Data,msg yo04zdo7kl6w8gb,2026-08-02T03:57:00,2025-02-27T11:30:00,chandler-electric,4
1145,Monitor xxlrc3,event alert,query x2rvwomfd2,Alert,msg z4kgcyadepexovq,2025-12-05T03:38:00,2025-06-18T22:34:00,chandler-electric,5
1146,Monitor 944iwa,event alert,query 9bb1f0jmp5,Warn,msg x65sg84g9deo1ig,2026-07-30T16:05:00,2026-08-05T20:43:00,chandler-electric,3
1147,Monitor 60q0lo,event alert,query 3qwntpjbc9,OK,msg 4vql1xyoqdtx8av,2025-10-08T10:36:00,2025-12-13T10:59:00,chandler-electric,4
1148,Monitor ver0d5,service check,query zs18r89nhd,OK,msg wdelcz98s2zw8fm,2025-01-20T17:11:00,2025-05-13T10:54:00,chandler-electric,2
1149,Monitor menjgj,metric alert,query 6kjjust404,Warn,msg zx2umy4xe8zy7cy,2025-02-11T03:03:00,2025-01-01T07:28:00,chandler-electric,2
1150,Monitor psk2va,event alert,query wy7f4myek1,OK,msg cfxafhvgslj8i7y,2025-05-30T09:48:00,2025-11-14T02:39:00,chandler-electric,1
1151,Monitor 9j6mil,metric alert,query 595gfll0i4,No Data,msg ws6ghrxoo3wlifi,2026-07-04T04:51:00,2025-01-10T13:42:00,chandler-electric,5
1152,Monitor piljoh,metric alert,query vpomwdjbnc,Warn,msg xhecno89u5og25w,2026-04-02T18:05:00,2025-11-10T14:56:00,chandler-electric,5
1153,Monitor 9x5d2i,service check,query ktc97q5n1u,Alert,msg h2wskwritqw1ze7,2025-10-05T16:49:00,2026-02-04T06:23:00,chandler-electric,1
1154,Monitor dm9wwo,metric alert,query 0nomoouk3p,Warn,msg x3s837o9rt74kgr,2025-10-23T20:43:00,2026-02-17T03:54:00,chandler-electric,2
1155,Monitor ns1xgq,service check,query ezy305us19,OK,msg r8kz7lb20usx7dg,2025-05-19T19:15:00,2025-01-08T14:58:00,chandler-electric,2
1156,Monitor ueloiu,metric alert,query obf4sf6sel,No Data,msg 9y5fv43c1s39s0m,2025-06-20T23:13:00,2025-10-26T03:14:00,chandler-electric,2
1157,Monitor so30ru,event alert,query 8oto74b3ss,OK,msg zaycqmx5bqa1jlu,2026-02-15T20:27:00,2025-09-25T17:01:00,chandler-electric,4
1158,Monitor z2crud,metric alert,query p2lu9f6m30,Alert,msg f314loz7l1driz8,2026-03-10T02:10:00,2026-03-13T07:12:00,chandler-electric,1
1159,Monitor 6k3vn9,event alert,query jmahzv2gh3,No Data,msg pvmy7f9igeipnwv,2025-07-15T09:49:00,2025-09-20T21:43:00,chandler-electric,2
1160,Monitor v3w09h,metric alert,query jgoxev8fis,No Data,msg ly6pdqphl6leo61,2025-11-26T01:07:00,2026-01-24T12:38:00,chandler-electric,1
1161,Monitor 5cfbln,service check,query pv0rui9eh9,OK,msg zii4l6i1vmerpou,2025-08-27T00:27:00,2025-07-27T07:32:00,chandler-electric,1
1162,Monitor wmga64,metric alert,query aflwp9exhl,No Data,msg 28jiame16bzskjj,2026-07-06T17:15:00,2026-07-16T19:49:00,chandler-electric,3
1163,Monitor wryvy6,event alert,query 0mcjzr8c3x,Alert,msg eugip01opax0mbi,2025-01-20T05:48:00,2026-03-28T20:21:00,chandler-electric,1
1164,Monitor 45vew3,metric alert,query fg546jwvkf,Alert,msg 85gahs15s3upg1j,2025-09-26T23:02:00,2026-05-19T09:20:00,chandler-electric,4
