id,key,name,project_type_key,lead,description
1036,violet-37,Violet willow 37,pending,delta-37,delta haze harbor note 37
1037,delta-38,Jade harbor 38,standard,zephyr-38,ember bravo jade note 38
1038,zephyr-39,Jade kelp 39,open,cedar-39,jade river bravo note 39
1039,umber-40,Orbit violet 40,standard,haze-40,summit coral ember note 40
1040,umber-41,Cedar willow 41,open,haze-41,alpha summit delta note 41
1041,bravo-42,River umber 42,pending,bravo-42,violet summit violet note 42
1042,grove-43,Cedar meadow 43,active,tidal-43,grove grove summit note 43
1043,iris-44,Alpha jade 44,active,river-44,iris willow grove note 44
1044,grove-45,Iris kelp 45,standard,river-45,willow harbor alpha note 45
1045,bravo-46,Jade alpha 46,standard,ember-46,alpha umber kelp note 46
1046,delta-47,Bravo river 47,standard,summit-47,frost frost iris note 47
1047,kelp-48,Ember orbit 48,general,bravo-48,willow willow meadow note 48
1048,alpha-49,Cedar cedar 49,closed,frost-49,summit umber ember note 49
1049,zephyr-50,Kelp grove 50,general,willow-50,river violet tidal note 50
1050,willow-51,Delta violet 51,pending,violet-51,umber iris haze note 51
1051,frost-52,Violet frost 52,standard,quartz-52,grove jade delta note 52
1052,grove-53,Summit jade 53,open,iris-53,tidal jade frost note 53
1053,grove-54,Pine willow 54,active,tidal-54,ember grove alpha note 54
1054,zephyr-55,Iris orbit 55,standard,bravo-55,willow willow iris note 55
1055,ember-56,Kelp cedar 56,open,ember-56,kelp bravo orbit note 56
1056,willow-57,Coral quartz 57,pending,umber-57,zephyr harbor haze note 57
1057,kelp-58,Jade meadow 58,standard,haze-58,haze ember quartz note 58
1058,kelp-59,Kelp haze 59,active,ember-59,umber coral orbit note 59
1059,frost-60,Orbit alpha 60,pending,umber-60,coral haze river note 60
1060,meadow-61,Kelp pine 61,standard,cedar-61,bravo jade harbor note 61
1061,quartz-62,Alpha kelp 62,open,coral-62,river violet frost note 62
1062,delta-63,Harbor harbor 63,open,violet-63,zephyr frost bravo note 63
1063,orbit-64,Alpha alpha 64,open,kelp-64,iris grove willow note 64
1064,alpha-65,Alpha tidal 65,standard,grove-65,meadow violet alpha note 65
1065,jade-66,Summit haze 66,standard,zephyr-66,kelp river cedar note 66
1066,coral-67,Harbor iris 67,open,coral-67,violet violet violet note 67
1067,meadow-68,Willow quartz 68,pending,alpha-68,zephyr meadow delta note 68
1068,umber-69,Frost frost 69,pending,river-69,grove delta iris note 69
1069,zephyr-70,Violet zephyr 70,general,violet-70,iris pine coral note 70
1070,bravo-71,Willow kelp 71,pending,jade-71,coral zephyr coral note 71
1071,pine-72,Quartz tidal 72,active,river-72,pine tidal cedar note 72
1072,delta-73,Violet harbor 73,closed,bravo-73,meadow zephyr violet note 73
1073,alpha-74,Cedar river 74,active,summit-74,umber kelp violet note 74
1074,iris-75,Meadow quartz 75,active,willow-75,frost orbit kelp note 75
1075,pine-76,Kelp zephyr 76,closed,alpha-76,meadow coral alpha note 76
1076,willow-77,Delta umber 77,open,delta-77,bravo ember grove note 77
1077,delta-78,Umber alpha 78,pending,zephyr-78,grove river river note 78
1078,bravo-79,Iris tidal 79,open,ember-79,bravo grove umber note 79
1079,jade-80,Orbit ember 80,closed,alpha-80,harbor cedar harbor note 80
1080,tidal-81,Alpha frost 81,pending,alpha-81,umber pine bravo note 81
1081,zephyr-82,Harbor bravo 82,general,grove-82,pine kelp meadow note 82
1082,umber-83,Meadow summit 83,closed,violet-83,violet bravo umber note 83
1083,meadow-84,Willow orbit 84,pending,zephyr-84,ember willow iris note 84
1084,bravo-85,Haze tidal 85,closed,pine-85,orbit frost harbor note 85
1085,orbit-86,Harbor violet 86,general,cedar-86,tidal pine tidal note 86
1086,umber-87,Harbor kelp 87,general,coral-87,quartz kelp pine note 87
1087,delta-88,Delta pine 88,standard,summit-88,tidal cedar zephyr note 88
1088,delta-89,Quartz willow 89,open,river-89,umber coral willow note 89
1089,bravo-90,Pine orbit 90,standard,kelp-90,cedar iris alpha note 90
1090,quartz-91,Pine delta 91,standard,coral-91,tidal tidal zephyr note 91
1091,umber-92,River alpha 92,standard,frost-92,jade pine quartz note 92
1092,zephyr-93,Violet pine 93,standard,tidal-93,ember willow kelp note 93
1093,coral-94,Grove pine 94,pending,willow-94,tidal cedar umber note 94
1094,frost-95,Ember jade 95,closed,meadow-95,haze violet cedar note 95
1095,river-96,Zephyr grove 96,active,delta-96,harbor frost grove note 96
1096,umber-97,Umber haze 97,closed,kelp-97,haze haze ember note 97
1097,bravo-98,Orbit delta 98,active,bravo-98,meadow haze umber note 98
1098,grove-99,Orbit willow 99,closed,summit-99,tidal jade violet note 99
1099,zephyr-100,Iris orbit 100,standard,iris-100,quartz meadow tidal note 100
