object_id,length,width,height,distance_unit,weight,mass_unit,template
parcel-0044,10,12,4,in,5.9,lb,
parcel-0045,12,12,8,in,5.9,lb,
parcel-0046,12,12,4,in,6.1,lb,
parcel-0047,18,10,6,in,6.5,lb,
parcel-0048,12,8,4,in,5.7,lb,
parcel-0049,10,12,10,in,10.8,lb,
parcel-0050,12,10,10,in,8.5,lb,
parcel-0051,18,8,10,in,9.8,lb,
parcel-0052,10,12,6,in,2.4,lb,
parcel-0053,14,8,4,in,10.5,lb,
parcel-0054,14,10,10,in,10.3,lb,
parcel-0055,12,12,6,in,6.6,lb,
parcel-0056,18,10,6,in,7.4,lb,
parcel-0057,14,12,4,in,11.7,lb,
parcel-0058,12,10,8,in,4.6,lb,
parcel-0059,18,8,4,in,6.2,lb,
parcel-0060,10,12,8,in,5.1,lb,
parcel-0061,10,8,4,in,6.5,lb,
parcel-0062,18,12,4,in,9.4,lb,
parcel-0063,18,8,6,in,2.2,lb,
parcel-0064,10,12,10,in,10.1,lb,
parcel-0065,14,12,10,in,6.4,lb,
parcel-0066,18,8,8,in,7.4,lb,
parcel-0067,16,10,4,in,2.4,lb,
parcel-0068,10,12,8,in,3.3,lb,
parcel-0069,14,10,8,in,3.4,lb,
parcel-0070,18,12,4,in,10.1,lb,
parcel-0071,18,8,8,in,7.2,lb,
parcel-0072,10,12,8,in,8.2,lb,
parcel-0073,12,12,6,in,5.6,lb,
parcel-0074,12,10,6,in,2.9,lb,
parcel-0075,18,10,6,in,10.5,lb,
parcel-0076,14,12,8,in,5.7,lb,
parcel-0077,18,12,4,in,5.4,lb,
parcel-0078,18,10,8,in,2.6,lb,
parcel-0079,12,10,8,in,2.3,lb,
parcel-0080,14,10,6,in,7.6,lb,
parcel-0081,16,8,10,in,2.6,lb,
parcel-0082,14,12,8,in,4.3,lb,
parcel-0083,10,10,10,in,10.5,lb,
parcel-0084,12,12,8,in,9.9,lb,
parcel-0085,12,12,10,in,2.4,lb,
parcel-0086,10,8,8,in,4.3,lb,
parcel-0087,18,10,4,in,6.6,lb,
parcel-0088,16,10,6,in,7.9,lb,
parcel-0089,14,10,4,in,3.9,lb,
parcel-0090,14,10,4,in,5.2,lb,
parcel-0091,18,8,8,in,4.4,lb,
parcel-0092,14,12,4,in,11.8,lb,
parcel-0093,10,12,6,in,10.0,lb,
parcel-0094,12,12,10,in,8.8,lb,
parcel-0095,14,10,8,in,2.1,lb,
parcel-0096,12,12,8,in,3.7,lb,
parcel-0097,14,8,4,in,6.6,lb,
parcel-0098,12,12,6,in,5.3,lb,
parcel-0099,14,12,4,in,2.2,lb,
parcel-0100,14,10,4,in,6.3,lb,
parcel-0101,16,8,4,in,11.0,lb,
parcel-0102,16,10,6,in,3.8,lb,
parcel-0103,10,12,6,in,9.2,lb,
parcel-0104,16,10,6,in,7.2,lb,
parcel-0105,10,12,6,in,8.4,lb,
parcel-0106,18,8,8,in,8.5,lb,
parcel-0107,12,8,6,in,10.6,lb,
parcel-0108,12,10,10,in,8.8,lb,
parcel-0109,18,12,6,in,6.6,lb,
parcel-0110,12,8,8,in,8.5,lb,
parcel-0111,12,12,6,in,2.9,lb,
parcel-0112,18,10,10,in,5.2,lb,
parcel-0113,14,12,8,in,3.7,lb,
parcel-0114,14,10,4,in,3.9,lb,
parcel-0115,16,8,6,in,9.0,lb,
parcel-0116,12,8,4,in,11.7,lb,
parcel-0117,10,10,6,in,6.8,lb,
parcel-0118,10,12,4,in,8.2,lb,
parcel-0119,12,10,6,in,2.9,lb,
parcel-0120,16,8,4,in,10.0,lb,
parcel-0121,10,8,8,in,11.2,lb,
parcel-0122,16,10,10,in,7.2,lb,
parcel-0123,14,8,8,in,10.2,lb,
parcel-0124,16,12,10,in,2.9,lb,
parcel-0125,10,12,4,in,4.5,lb,
parcel-0126,10,12,6,in,5.7,lb,
parcel-0127,16,12,10,in,10.6,lb,
parcel-0128,16,12,6,in,5.6,lb,
parcel-0129,12,12,8,in,6.5,lb,
parcel-0130,16,12,8,in,2.5,lb,
parcel-0131,10,10,6,in,10.6,lb,
parcel-0132,14,12,6,in,5.3,lb,
parcel-0133,18,12,4,in,3.8,lb,
parcel-0134,14,12,4,in,8.3,lb,
parcel-0135,10,10,8,in,6.9,lb,
parcel-0136,10,12,8,in,6.0,lb,
parcel-0137,18,12,4,in,10.6,lb,
parcel-0138,18,10,10,in,3.0,lb,
parcel-0139,12,10,10,in,5.6,lb,
parcel-0140,12,12,4,in,10.6,lb,
parcel-0141,12,10,6,in,8.7,lb,
parcel-0142,18,10,4,in,11.0,lb,
parcel-0143,18,8,6,in,2.6,lb,
parcel-0144,18,10,4,in,2.6,lb,
parcel-0145,14,12,4,in,4.9,lb,
parcel-0146,12,8,10,in,5.3,lb,
parcel-0147,16,10,8,in,2.9,lb,
parcel-0148,18,8,10,in,10.2,lb,
parcel-0149,18,10,10,in,6.6,lb,
parcel-0150,10,8,10,in,10.3,lb,
parcel-0151,16,10,10,in,3.7,lb,
parcel-0152,16,8,8,in,8.6,lb,
parcel-0153,18,8,4,in,3.9,lb,
parcel-0154,10,10,8,in,10.9,lb,
parcel-0155,10,8,6,in,2.2,lb,
parcel-0156,16,10,4,in,11.0,lb,
parcel-0157,10,10,4,in,7.0,lb,
parcel-0158,16,8,8,in,5.1,lb,
parcel-0159,10,12,10,in,7.8,lb,
parcel-0160,16,12,10,in,2.9,lb,
parcel-0161,10,8,4,in,2.1,lb,
parcel-0162,10,8,10,in,3.1,lb,
parcel-0163,16,12,6,in,7.4,lb,
parcel-0164,14,8,4,in,7.0,lb,
parcel-0165,18,12,6,in,9.1,lb,
parcel-0166,14,8,10,in,4.9,lb,
parcel-0167,10,8,4,in,7.3,lb,
parcel-0168,14,10,8,in,2.7,lb,
parcel-0169,10,10,8,in,6.9,lb,
parcel-0170,12,10,10,in,2.8,lb,
parcel-0171,18,10,8,in,5.6,lb,
parcel-0172,14,8,6,in,8.9,lb,
parcel-0173,10,10,10,in,4.7,lb,
parcel-0174,18,10,8,in,11.9,lb,
parcel-0175,12,12,4,in,5.2,lb,
parcel-0176,18,12,4,in,11.9,lb,
parcel-0177,18,8,4,in,11.0,lb,
parcel-0178,18,12,8,in,5.7,lb,
parcel-0179,18,12,6,in,4.9,lb,
parcel-0180,16,12,4,in,6.0,lb,
parcel-0181,16,10,4,in,6.9,lb,
parcel-0182,12,12,10,in,9.7,lb,
parcel-0183,14,12,8,in,9.9,lb,
parcel-0184,16,12,6,in,6.4,lb,
parcel-0185,14,8,8,in,10.9,lb,
parcel-0186,10,10,10,in,4.2,lb,
parcel-0187,14,8,6,in,4.3,lb,
parcel-0188,14,10,6,in,7.8,lb,
parcel-0189,10,10,8,in,6.5,lb,
parcel-0190,16,12,4,in,11.9,lb,
parcel-0191,10,12,8,in,5.9,lb,
parcel-0192,12,12,6,in,2.0,lb,
parcel-0193,18,8,6,in,3.9,lb,
parcel-0194,10,10,10,in,9.9,lb,
parcel-0195,16,8,4,in,3.7,lb,
parcel-0196,12,8,10,in,7.9,lb,
parcel-0197,18,8,8,in,8.9,lb,
parcel-0198,10,8,10,in,8.8,lb,
parcel-0199,10,8,8,in,10.4,lb,
parcel-0200,10,8,8,in,8.9,lb,
parcel-0201,16,12,8,in,8.8,lb,
parcel-0202,12,10,10,in,4.7,lb,
parcel-0203,12,8,8,in,4.4,lb,
parcel-0204,16,8,4,in,11.7,lb,
parcel-0205,16,8,6,in,6.9,lb,
parcel-0206,18,8,4,in,8.0,lb,
parcel-0207,12,12,4,in,11.8,lb,
parcel-0208,12,8,10,in,7.3,lb,
parcel-0209,16,12,4,in,5.9,lb,
parcel-0210,18,12,8,in,3.2,lb,
parcel-0211,16,8,4,in,7.9,lb,
parcel-0212,18,10,10,in,6.6,lb,
