Guest_Name	Role	Booking_Date	Air_Date	Segment_Topic	Segment_Type	Status	Notes
Rev. Angela Dawson	Chaplain, Golden Heart Medical Center	Apr 21 2025	May 3 2025	Interfaith Chaplaincy in Hospitals	Interview	Aired	Close colleague
Naomi Price	Social Worker, Memphis Youth Services	May 5 2025	May 17 2025	Youth and Community Support Systems	Interview	Aired	Rebecca's daughter
Dr. Priya Nair	Endocrinologist, Bluff City Diabetes Center	May 19 2025	May 31 2025	Living Well with Type 2 Diabetes	Interview	Aired	
Lisa Moore	Registered Dietitian Nutritionist	May 26 2025	Jun 7 2025	Nutrition and Spiritual Nourishment	Interview	Aired	Rebecca's own nutritionist
Dr. Stephanie Wright	Primary Care, Midtown Family Practice	Jul 14 2025	Jul 26 2025	Preventive Care for Black Women Over 40	Interview	Aired	Rebecca's own doctor
Marcus Price	Student, Crescent City University	Aug 18 2025	Aug 30 2025	Student Athletes and Faith on Campus	Interview	Aired	Rebecca's son, birthday episode
Dorothy Price	Retired Cafeteria Worker	Sep 15 2025	Sep 27 2025	A Mother's Faith: 76 Years of Grace	Interview	Aired	Rebecca's mother
Dr. Karen Whitfield	Licensed Therapist (no personal disclosures)	Sep 29 2025	Oct 11 2025	Therapy and the Church: Breaking the Stigma	Interview	Aired	No clinical details shared
Rev. Dr. Shirley Adams	Presiding Elder, AME Church Tennessee	Sep 1 2025	Sep 13 2025	Women Preachers and the Prophetic Voice	Interview	Aired	
Dr. Frances Okafor	Cardiologist, Methodist Hospital	Oct 20 2025	Nov 1 2025	Heart Health and Stress in Black Women	Interview	Aired	
Brenda Price-Hall	Teacher and Community Advocate, Jackson MS	Nov 24 2025	Dec 6 2025	Teaching as Ministry	Interview	Aired	Rebecca's sister
Pastor William Greer	Senior Pastor, Grace Community Church	Dec 1 2025	Dec 13 2025	Advent Hope and Community Light	Interview	Aired	Second appearance
Year in Review Special	Listener Call-In and Reflection	Dec 8 2025	Dec 20 2025	2025 Blessings and Listener Stories	Special Format	Aired	Highest-rated episode of year
Rev. Cynthia Porter	Hospital Chaplain, Regional One Health	Jan 12 2026	Jan 24 2026	Chaplaincy in Trauma Settings	Interview	Aired	
Dr. Raheema Osei	Psychiatrist, Mid-South Mental Health	Jan 26 2026	Feb 7 2026	Depression in the Black Church	Interview	Aired	
Pastor Evelyn Tate	Grace Chapel AME	Feb 2 2026	Feb 14 2026	Valentine's Day and Love as Ministry	Interview	Aired	Valentine episode
Keisha Monroe	Life Coach and Author	Feb 16 2026	Feb 28 2026	Discipline and Spiritual Growth	Interview	Aired	Return guest
Rev. James Whitaker	Chaplain Educator, Memphis Divinity School	Oct 27 2025	Nov 8 2025	Seminary and the Call to Pastoral Care	Interview	Aired	
Rev. Dr. Patricia Davis	Senior Pastor, Harvest Fellowship Memphis	Oct 3 2026	Oct 10 2026	Fall Community and Faith	Interview	Confirmed	
Dr. Michael Reed	Public Health Educator, Shelby County Health Dept	Oct 10 2026	Oct 17 2026	Fall Health and Wellness	Interview	Confirmed	
Shalom Carter	Contemporary Gospel Artist, Memphis	Oct 10 2026	Oct 24 2026	Praise and Worship Fall Special	Interview and Song	Confirmed	
Dr. Angela Brooks	Licensed Family Therapist, Memphis Counseling Group	Nov 7 2026	Nov 14 2026	Navigating the Holidays as a Family	Interview	Confirmed	
Rev. James Patterson	Pastor, New Life Community Church Memphis	Nov 14 2026	Nov 21 2026	Thanksgiving Gratitude Episode	Interview	Confirmed	
