uuid,owner,event_type,name,status,start_time,end_time,location_type,location,created_at,canceled_reason
sev-2013,user-brian-henderson,et-followup-20,Follow-up,active,2026-05-05T19:00:00.000000Z,2026-05-05T19:20:00.000000Z,google_conference,https://meet.google.com/00005479ee,2026-05-05T00:00:00Z,
sev-2014,user-brian-henderson,et-intro-15,Quick intro,active,2026-07-23T20:00:00.000000Z,2026-07-23T20:15:00.000000Z,google_conference,https://meet.google.com/00005f7b55,2026-07-23T00:00:00Z,
sev-2015,user-brian-henderson,et-deepdive-60,Working session,active,2026-07-03T20:00:00.000000Z,2026-07-03T21:00:00.000000Z,zoom,https://zoom.us/j/8881393776,2026-07-03T00:00:00Z,
sev-2016,user-brian-henderson,et-followup-20,Follow-up,active,2026-08-14T14:00:00.000000Z,2026-08-14T14:20:00.000000Z,zoom,https://zoom.us/j/8898929785,2026-08-14T00:00:00Z,
sev-2017,user-brian-henderson,et-deepdive-60,Working session,canceled,2026-06-12T16:00:00.000000Z,2026-06-12T17:00:00.000000Z,google_conference,https://meet.google.com/0000e8ae96,2026-06-12T00:00:00Z,Rescheduling - calendar conflict
sev-2018,user-brian-henderson,et-discovery-30,Discovery call,active,2026-05-21T13:00:00.000000Z,2026-05-21T13:30:00.000000Z,google_conference,https://meet.google.com/0000c88cc0,2026-05-21T00:00:00Z,
sev-2019,user-brian-henderson,et-deepdive-60,Working session,active,2026-05-19T17:00:00.000000Z,2026-05-19T18:00:00.000000Z,zoom,https://zoom.us/j/8872835587,2026-05-19T00:00:00Z,
sev-2020,user-brian-henderson,et-intro-15,Quick intro,active,2026-07-15T13:00:00.000000Z,2026-07-15T13:15:00.000000Z,google_conference,https://meet.google.com/0000ee2433,2026-07-15T00:00:00Z,
sev-2021,user-brian-henderson,et-discovery-30,Discovery call,active,2026-07-13T16:00:00.000000Z,2026-07-13T16:30:00.000000Z,google_conference,https://meet.google.com/0000a9e42d,2026-07-13T00:00:00Z,
sev-2022,user-brian-henderson,et-intro-15,Quick intro,canceled,2026-05-09T18:00:00.000000Z,2026-05-09T18:15:00.000000Z,zoom,https://zoom.us/j/8863274558,2026-05-09T00:00:00Z,Rescheduling - calendar conflict
sev-2023,user-brian-henderson,et-followup-20,Follow-up,canceled,2026-05-22T18:00:00.000000Z,2026-05-22T18:20:00.000000Z,google_conference,https://meet.google.com/0000b17ba6,2026-05-22T00:00:00Z,Rescheduling - calendar conflict
sev-2024,user-brian-henderson,et-followup-20,Follow-up,active,2026-08-15T13:00:00.000000Z,2026-08-15T13:20:00.000000Z,google_conference,https://meet.google.com/00004ed3ac,2026-08-15T00:00:00Z,
sev-2025,user-brian-henderson,et-deepdive-60,Working session,canceled,2026-06-16T19:00:00.000000Z,2026-06-16T20:00:00.000000Z,google_conference,https://meet.google.com/00008432cf,2026-06-16T00:00:00Z,Rescheduling - calendar conflict
sev-2026,user-brian-henderson,et-deepdive-60,Working session,active,2026-05-24T19:00:00.000000Z,2026-05-24T20:00:00.000000Z,zoom,https://zoom.us/j/8849475311,2026-05-24T00:00:00Z,
sev-2027,user-brian-henderson,et-discovery-30,Discovery call,active,2026-05-27T18:00:00.000000Z,2026-05-27T18:30:00.000000Z,zoom,https://zoom.us/j/8862346525,2026-05-27T00:00:00Z,
sev-2028,user-brian-henderson,et-deepdive-60,Working session,active,2026-08-14T14:00:00.000000Z,2026-08-14T15:00:00.000000Z,google_conference,https://meet.google.com/0000a74866,2026-08-14T00:00:00Z,
sev-2029,user-brian-henderson,et-discovery-30,Discovery call,active,2026-05-06T18:00:00.000000Z,2026-05-06T18:30:00.000000Z,google_conference,https://meet.google.com/0000ab79d4,2026-05-06T00:00:00Z,
sev-2030,user-brian-henderson,et-followup-20,Follow-up,active,2026-07-27T17:00:00.000000Z,2026-07-27T17:20:00.000000Z,google_conference,https://meet.google.com/000056b7ff,2026-07-27T00:00:00Z,
sev-2031,user-brian-henderson,et-intro-15,Quick intro,active,2026-09-16T13:00:00.000000Z,2026-09-16T13:15:00.000000Z,zoom,https://zoom.us/j/8858655923,2026-09-16T00:00:00Z,
sev-2032,user-brian-henderson,et-deepdive-60,Working session,canceled,2026-06-07T16:00:00.000000Z,2026-06-07T17:00:00.000000Z,zoom,https://zoom.us/j/8894272794,2026-06-07T00:00:00Z,Rescheduling - calendar conflict
sev-2033,user-brian-henderson,et-intro-15,Quick intro,active,2026-09-17T19:00:00.000000Z,2026-09-17T19:15:00.000000Z,google_conference,https://meet.google.com/0000494f6c,2026-09-17T00:00:00Z,
sev-2034,user-brian-henderson,et-deepdive-60,Working session,active,2026-05-19T17:00:00.000000Z,2026-05-19T18:00:00.000000Z,google_conference,https://meet.google.com/00004423a6,2026-05-19T00:00:00Z,
sev-2035,user-brian-henderson,et-discovery-30,Discovery call,active,2026-07-05T18:00:00.000000Z,2026-07-05T18:30:00.000000Z,zoom,https://zoom.us/j/8885369823,2026-07-05T00:00:00Z,
sev-2036,user-brian-henderson,et-intro-15,Quick intro,active,2026-07-21T19:00:00.000000Z,2026-07-21T19:15:00.000000Z,zoom,https://zoom.us/j/8862663536,2026-07-21T00:00:00Z,
sev-2037,user-brian-henderson,et-followup-20,Follow-up,active,2026-09-19T15:00:00.000000Z,2026-09-19T15:20:00.000000Z,google_conference,https://meet.google.com/0000f8ada5,2026-09-19T00:00:00Z,
sev-2038,user-brian-henderson,et-discovery-30,Discovery call,canceled,2026-06-08T19:00:00.000000Z,2026-06-08T19:30:00.000000Z,google_conference,https://meet.google.com/0000ab7208,2026-06-08T00:00:00Z,Rescheduling - calendar conflict
sev-2039,user-brian-henderson,et-intro-15,Quick intro,active,2026-09-03T17:00:00.000000Z,2026-09-03T17:15:00.000000Z,google_conference,https://meet.google.com/0000a52f47,2026-09-03T00:00:00Z,
sev-2040,user-brian-henderson,et-discovery-30,Discovery call,canceled,2026-05-19T18:00:00.000000Z,2026-05-19T18:30:00.000000Z,zoom,https://zoom.us/j/8825058157,2026-05-19T00:00:00Z,Rescheduling - calendar conflict
sev-2041,user-brian-henderson,et-discovery-30,Discovery call,active,2026-09-17T16:00:00.000000Z,2026-09-17T16:30:00.000000Z,zoom,https://zoom.us/j/8851673919,2026-09-17T00:00:00Z,
sev-2042,user-brian-henderson,et-deepdive-60,Working session,canceled,2026-08-13T19:00:00.000000Z,2026-08-13T20:00:00.000000Z,zoom,https://zoom.us/j/8836828167,2026-08-13T00:00:00Z,Rescheduling - calendar conflict
sev-2043,user-brian-henderson,et-intro-15,Quick intro,active,2026-06-09T17:00:00.000000Z,2026-06-09T17:15:00.000000Z,google_conference,https://meet.google.com/0000047758,2026-06-09T00:00:00Z,
sev-2044,user-brian-henderson,et-deepdive-60,Working session,active,2026-08-19T18:00:00.000000Z,2026-08-19T19:00:00.000000Z,zoom,https://zoom.us/j/8853675805,2026-08-19T00:00:00Z,
sev-2045,user-brian-henderson,et-deepdive-60,Working session,active,2026-07-25T14:00:00.000000Z,2026-07-25T15:00:00.000000Z,google_conference,https://meet.google.com/00003944c2,2026-07-25T00:00:00Z,
sev-2046,user-brian-henderson,et-followup-20,Follow-up,canceled,2026-07-21T16:00:00.000000Z,2026-07-21T16:20:00.000000Z,google_conference,https://meet.google.com/00000f2bac,2026-07-21T00:00:00Z,Rescheduling - calendar conflict
sev-2047,user-brian-henderson,et-discovery-30,Discovery call,active,2026-09-16T20:00:00.000000Z,2026-09-16T20:30:00.000000Z,google_conference,https://meet.google.com/0000af6bd9,2026-09-16T00:00:00Z,
sev-2048,user-brian-henderson,et-intro-15,Quick intro,active,2026-06-02T20:00:00.000000Z,2026-06-02T20:15:00.000000Z,google_conference,https://meet.google.com/0000d2aabe,2026-06-02T00:00:00Z,
sev-2049,user-brian-henderson,et-discovery-30,Discovery call,active,2026-05-13T15:00:00.000000Z,2026-05-13T15:30:00.000000Z,zoom,https://zoom.us/j/8817957375,2026-05-13T00:00:00Z,
sev-2050,user-brian-henderson,et-followup-20,Follow-up,canceled,2026-09-17T14:00:00.000000Z,2026-09-17T14:20:00.000000Z,zoom,https://zoom.us/j/8807848081,2026-09-17T00:00:00Z,Rescheduling - calendar conflict
sev-2051,user-brian-henderson,et-deepdive-60,Working session,active,2026-05-25T20:00:00.000000Z,2026-05-25T21:00:00.000000Z,google_conference,https://meet.google.com/000042435e,2026-05-25T00:00:00Z,
sev-2052,user-brian-henderson,et-followup-20,Follow-up,active,2026-05-15T15:00:00.000000Z,2026-05-15T15:20:00.000000Z,zoom,https://zoom.us/j/8800050140,2026-05-15T00:00:00Z,
sev-2053,user-brian-henderson,et-deepdive-60,Working session,canceled,2026-07-06T20:00:00.000000Z,2026-07-06T21:00:00.000000Z,google_conference,https://meet.google.com/0000e08073,2026-07-06T00:00:00Z,Rescheduling - calendar conflict
sev-2054,user-brian-henderson,et-deepdive-60,Working session,active,2026-07-19T13:00:00.000000Z,2026-07-19T14:00:00.000000Z,google_conference,https://meet.google.com/0000efd9aa,2026-07-19T00:00:00Z,
sev-2055,user-brian-henderson,et-followup-20,Follow-up,active,2026-09-04T14:00:00.000000Z,2026-09-04T14:20:00.000000Z,zoom,https://zoom.us/j/8818256545,2026-09-04T00:00:00Z,
sev-2056,user-brian-henderson,et-followup-20,Follow-up,active,2026-06-11T15:00:00.000000Z,2026-06-11T15:20:00.000000Z,google_conference,https://meet.google.com/0000dc1740,2026-06-11T00:00:00Z,
sev-2057,user-brian-henderson,et-discovery-30,Discovery call,active,2026-07-06T19:00:00.000000Z,2026-07-06T19:30:00.000000Z,google_conference,https://meet.google.com/0000953a92,2026-07-06T00:00:00Z,
sev-2058,user-brian-henderson,et-discovery-30,Discovery call,active,2026-07-02T17:00:00.000000Z,2026-07-02T17:30:00.000000Z,google_conference,https://meet.google.com/0000db18b3,2026-07-02T00:00:00Z,
sev-2059,user-brian-henderson,et-deepdive-60,Working session,active,2026-06-23T15:00:00.000000Z,2026-06-23T16:00:00.000000Z,zoom,https://zoom.us/j/8871483004,2026-06-23T00:00:00Z,
sev-2060,user-brian-henderson,et-deepdive-60,Working session,active,2026-07-20T20:00:00.000000Z,2026-07-20T21:00:00.000000Z,zoom,https://zoom.us/j/8874275248,2026-07-20T00:00:00Z,
sev-2061,user-brian-henderson,et-intro-15,Quick intro,active,2026-09-14T16:00:00.000000Z,2026-09-14T16:15:00.000000Z,google_conference,https://meet.google.com/0000fdba7a,2026-09-14T00:00:00Z,
sev-2062,user-brian-henderson,et-deepdive-60,Working session,canceled,2026-08-22T13:00:00.000000Z,2026-08-22T14:00:00.000000Z,zoom,https://zoom.us/j/8806570603,2026-08-22T00:00:00Z,Rescheduling - calendar conflict
sev-2063,user-brian-henderson,et-deepdive-60,Working session,active,2026-06-11T13:00:00.000000Z,2026-06-11T14:00:00.000000Z,zoom,https://zoom.us/j/8837115754,2026-06-11T00:00:00Z,
sev-2064,user-brian-henderson,et-followup-20,Follow-up,active,2026-08-04T13:00:00.000000Z,2026-08-04T13:20:00.000000Z,zoom,https://zoom.us/j/8878680361,2026-08-04T00:00:00Z,
sev-2065,user-brian-henderson,et-intro-15,Quick intro,active,2026-07-01T14:00:00.000000Z,2026-07-01T14:15:00.000000Z,google_conference,https://meet.google.com/0000e01b1e,2026-07-01T00:00:00Z,
sev-2066,user-brian-henderson,et-deepdive-60,Working session,active,2026-08-25T15:00:00.000000Z,2026-08-25T16:00:00.000000Z,google_conference,https://meet.google.com/00009c512d,2026-08-25T00:00:00Z,
sev-2067,user-brian-henderson,et-deepdive-60,Working session,active,2026-07-19T15:00:00.000000Z,2026-07-19T16:00:00.000000Z,google_conference,https://meet.google.com/0000dd367c,2026-07-19T00:00:00Z,
sev-2068,user-brian-henderson,et-followup-20,Follow-up,active,2026-08-14T16:00:00.000000Z,2026-08-14T16:20:00.000000Z,google_conference,https://meet.google.com/0000766cc7,2026-08-14T00:00:00Z,
sev-2069,user-brian-henderson,et-discovery-30,Discovery call,active,2026-09-01T20:00:00.000000Z,2026-09-01T20:30:00.000000Z,google_conference,https://meet.google.com/00005afd37,2026-09-01T00:00:00Z,
sev-2070,user-brian-henderson,et-discovery-30,Discovery call,active,2026-07-22T14:00:00.000000Z,2026-07-22T14:30:00.000000Z,zoom,https://zoom.us/j/8879965648,2026-07-22T00:00:00Z,
sev-2071,user-brian-henderson,et-followup-20,Follow-up,active,2026-07-24T20:00:00.000000Z,2026-07-24T20:20:00.000000Z,zoom,https://zoom.us/j/8890510410,2026-07-24T00:00:00Z,
sev-2072,user-brian-henderson,et-discovery-30,Discovery call,active,2026-07-16T15:00:00.000000Z,2026-07-16T15:30:00.000000Z,google_conference,https://meet.google.com/0000aaf5aa,2026-07-16T00:00:00Z,
sev-2073,user-brian-henderson,et-discovery-30,Discovery call,canceled,2026-08-25T20:00:00.000000Z,2026-08-25T20:30:00.000000Z,google_conference,https://meet.google.com/000006a954,2026-08-25T00:00:00Z,Rescheduling - calendar conflict
sev-2074,user-brian-henderson,et-deepdive-60,Working session,active,2026-05-17T13:00:00.000000Z,2026-05-17T14:00:00.000000Z,google_conference,https://meet.google.com/00003c3323,2026-05-17T00:00:00Z,
sev-2075,user-brian-henderson,et-discovery-30,Discovery call,active,2026-07-27T20:00:00.000000Z,2026-07-27T20:30:00.000000Z,google_conference,https://meet.google.com/00006361ef,2026-07-27T00:00:00Z,
sev-2076,user-brian-henderson,et-followup-20,Follow-up,active,2026-09-25T13:00:00.000000Z,2026-09-25T13:20:00.000000Z,zoom,https://zoom.us/j/8896541318,2026-09-25T00:00:00Z,
sev-2077,user-brian-henderson,et-deepdive-60,Working session,active,2026-06-05T18:00:00.000000Z,2026-06-05T19:00:00.000000Z,zoom,https://zoom.us/j/8866844186,2026-06-05T00:00:00Z,
sev-2078,user-brian-henderson,et-followup-20,Follow-up,active,2026-06-04T14:00:00.000000Z,2026-06-04T14:20:00.000000Z,zoom,https://zoom.us/j/8866959756,2026-06-04T00:00:00Z,
sev-2079,user-brian-henderson,et-discovery-30,Discovery call,active,2026-08-14T14:00:00.000000Z,2026-08-14T14:30:00.000000Z,google_conference,https://meet.google.com/0000603500,2026-08-14T00:00:00Z,
sev-2080,user-brian-henderson,et-discovery-30,Discovery call,active,2026-08-12T17:00:00.000000Z,2026-08-12T17:30:00.000000Z,google_conference,https://meet.google.com/0000ccb52f,2026-08-12T00:00:00Z,
sev-2081,user-brian-henderson,et-deepdive-60,Working session,active,2026-07-12T16:00:00.000000Z,2026-07-12T17:00:00.000000Z,google_conference,https://meet.google.com/00007336f5,2026-07-12T00:00:00Z,
sev-2082,user-brian-henderson,et-intro-15,Quick intro,canceled,2026-06-20T18:00:00.000000Z,2026-06-20T18:15:00.000000Z,zoom,https://zoom.us/j/8871393059,2026-06-20T00:00:00Z,Rescheduling - calendar conflict
sev-2083,user-brian-henderson,et-followup-20,Follow-up,active,2026-06-24T13:00:00.000000Z,2026-06-24T13:20:00.000000Z,google_conference,https://meet.google.com/0000206eb7,2026-06-24T00:00:00Z,
sev-2084,user-brian-henderson,et-deepdive-60,Working session,active,2026-08-16T15:00:00.000000Z,2026-08-16T16:00:00.000000Z,google_conference,https://meet.google.com/0000090b28,2026-08-16T00:00:00Z,
sev-2085,user-brian-henderson,et-discovery-30,Discovery call,active,2026-05-14T20:00:00.000000Z,2026-05-14T20:30:00.000000Z,zoom,https://zoom.us/j/8850970835,2026-05-14T00:00:00Z,
sev-2086,user-brian-henderson,et-deepdive-60,Working session,active,2026-08-07T13:00:00.000000Z,2026-08-07T14:00:00.000000Z,google_conference,https://meet.google.com/0000782661,2026-08-07T00:00:00Z,
sev-2087,user-brian-henderson,et-intro-15,Quick intro,active,2026-07-23T14:00:00.000000Z,2026-07-23T14:15:00.000000Z,zoom,https://zoom.us/j/8816130473,2026-07-23T00:00:00Z,
sev-2088,user-brian-henderson,et-deepdive-60,Working session,active,2026-07-17T15:00:00.000000Z,2026-07-17T16:00:00.000000Z,google_conference,https://meet.google.com/0000496711,2026-07-17T00:00:00Z,
sev-2089,user-brian-henderson,et-deepdive-60,Working session,active,2026-08-27T17:00:00.000000Z,2026-08-27T18:00:00.000000Z,google_conference,https://meet.google.com/00002f85d7,2026-08-27T00:00:00Z,
sev-2090,user-brian-henderson,et-intro-15,Quick intro,active,2026-05-26T15:00:00.000000Z,2026-05-26T15:15:00.000000Z,google_conference,https://meet.google.com/0000a8c42c,2026-05-26T00:00:00Z,
sev-2091,user-brian-henderson,et-intro-15,Quick intro,active,2026-08-27T14:00:00.000000Z,2026-08-27T14:15:00.000000Z,google_conference,https://meet.google.com/0000485afe,2026-08-27T00:00:00Z,
sev-2092,user-brian-henderson,et-followup-20,Follow-up,active,2026-06-11T20:00:00.000000Z,2026-06-11T20:20:00.000000Z,google_conference,https://meet.google.com/0000837b7f,2026-06-11T00:00:00Z,
sev-2093,user-brian-henderson,et-followup-20,Follow-up,active,2026-08-12T16:00:00.000000Z,2026-08-12T16:20:00.000000Z,zoom,https://zoom.us/j/8895124452,2026-08-12T00:00:00Z,
sev-2094,user-brian-henderson,et-deepdive-60,Working session,active,2026-09-25T13:00:00.000000Z,2026-09-25T14:00:00.000000Z,google_conference,https://meet.google.com/000046b918,2026-09-25T00:00:00Z,
sev-2095,user-brian-henderson,et-intro-15,Quick intro,canceled,2026-07-01T15:00:00.000000Z,2026-07-01T15:15:00.000000Z,zoom,https://zoom.us/j/8822900341,2026-07-01T00:00:00Z,Rescheduling - calendar conflict
sev-2096,user-brian-henderson,et-discovery-30,Discovery call,active,2026-06-17T18:00:00.000000Z,2026-06-17T18:30:00.000000Z,google_conference,https://meet.google.com/0000dba1fb,2026-06-17T00:00:00Z,
sev-2097,user-brian-henderson,et-followup-20,Follow-up,active,2026-09-12T14:00:00.000000Z,2026-09-12T14:20:00.000000Z,google_conference,https://meet.google.com/00006386c3,2026-09-12T00:00:00Z,
sev-2098,user-brian-henderson,et-intro-15,Quick intro,canceled,2026-05-20T13:00:00.000000Z,2026-05-20T13:15:00.000000Z,zoom,https://zoom.us/j/8861288372,2026-05-20T00:00:00Z,Rescheduling - calendar conflict
sev-2099,user-brian-henderson,et-intro-15,Quick intro,canceled,2026-05-22T20:00:00.000000Z,2026-05-22T20:15:00.000000Z,zoom,https://zoom.us/j/8844111364,2026-05-22T00:00:00Z,Rescheduling - calendar conflict
