id,title,organizationId,location,workplaceType,employmentType,seniority,keywords,postedAt,applicants,description
linkedin_jobs_1053,Linkedin item 53,linkedin_jobs_1053,location_53,workplaceType_53,employmentType_53,seniority_53,keywords_53,postedAt_53,applicants_53,description_53
linkedin_jobs_1054,Linkedin item 54,linkedin_jobs_1054,location_54,workplaceType_54,employmentType_54,seniority_54,keywords_54,postedAt_54,applicants_54,description_54
linkedin_jobs_1055,Linkedin item 55,linkedin_jobs_1055,location_55,workplaceType_55,employmentType_55,seniority_55,keywords_55,postedAt_55,applicants_55,description_55
linkedin_jobs_1056,Linkedin item 56,linkedin_jobs_1056,location_56,workplaceType_56,employmentType_56,seniority_56,keywords_56,postedAt_56,applicants_56,description_56
linkedin_jobs_1057,Linkedin item 57,linkedin_jobs_1057,location_57,workplaceType_57,employmentType_57,seniority_57,keywords_57,postedAt_57,applicants_57,description_57
linkedin_jobs_1058,Linkedin item 58,linkedin_jobs_1058,location_58,workplaceType_58,employmentType_58,seniority_58,keywords_58,postedAt_58,applicants_58,description_58
linkedin_jobs_1059,Linkedin item 59,linkedin_jobs_1059,location_59,workplaceType_59,employmentType_59,seniority_59,keywords_59,postedAt_59,applicants_59,description_59
linkedin_jobs_1060,Linkedin item 60,linkedin_jobs_1060,location_60,workplaceType_60,employmentType_60,seniority_60,keywords_60,postedAt_60,applicants_60,description_60
linkedin_jobs_1061,Linkedin item 61,linkedin_jobs_1061,location_61,workplaceType_61,employmentType_61,seniority_61,keywords_61,postedAt_61,applicants_61,description_61
linkedin_jobs_1062,Linkedin item 62,linkedin_jobs_1062,location_62,workplaceType_62,employmentType_62,seniority_62,keywords_62,postedAt_62,applicants_62,description_62
linkedin_jobs_1063,Linkedin item 63,linkedin_jobs_1063,location_63,workplaceType_63,employmentType_63,seniority_63,keywords_63,postedAt_63,applicants_63,description_63
linkedin_jobs_1064,Linkedin item 64,linkedin_jobs_1064,location_64,workplaceType_64,employmentType_64,seniority_64,keywords_64,postedAt_64,applicants_64,description_64
linkedin_jobs_1065,Linkedin item 65,linkedin_jobs_1065,location_65,workplaceType_65,employmentType_65,seniority_65,keywords_65,postedAt_65,applicants_65,description_65
linkedin_jobs_1066,Linkedin item 66,linkedin_jobs_1066,location_66,workplaceType_66,employmentType_66,seniority_66,keywords_66,postedAt_66,applicants_66,description_66
linkedin_jobs_1067,Linkedin item 67,linkedin_jobs_1067,location_67,workplaceType_67,employmentType_67,seniority_67,keywords_67,postedAt_67,applicants_67,description_67
linkedin_jobs_1068,Linkedin item 68,linkedin_jobs_1068,location_68,workplaceType_68,employmentType_68,seniority_68,keywords_68,postedAt_68,applicants_68,description_68
linkedin_jobs_1069,Linkedin item 69,linkedin_jobs_1069,location_69,workplaceType_69,employmentType_69,seniority_69,keywords_69,postedAt_69,applicants_69,description_69
linkedin_jobs_1070,Linkedin item 70,linkedin_jobs_1070,location_70,workplaceType_70,employmentType_70,seniority_70,keywords_70,postedAt_70,applicants_70,description_70
linkedin_jobs_1071,Linkedin item 71,linkedin_jobs_1071,location_71,workplaceType_71,employmentType_71,seniority_71,keywords_71,postedAt_71,applicants_71,description_71
linkedin_jobs_1072,Linkedin item 72,linkedin_jobs_1072,location_72,workplaceType_72,employmentType_72,seniority_72,keywords_72,postedAt_72,applicants_72,description_72
linkedin_jobs_1073,Linkedin item 73,linkedin_jobs_1073,location_73,workplaceType_73,employmentType_73,seniority_73,keywords_73,postedAt_73,applicants_73,description_73
linkedin_jobs_1074,Linkedin item 74,linkedin_jobs_1074,location_74,workplaceType_74,employmentType_74,seniority_74,keywords_74,postedAt_74,applicants_74,description_74
linkedin_jobs_1075,Linkedin item 75,linkedin_jobs_1075,location_75,workplaceType_75,employmentType_75,seniority_75,keywords_75,postedAt_75,applicants_75,description_75
linkedin_jobs_1076,Linkedin item 76,linkedin_jobs_1076,location_76,workplaceType_76,employmentType_76,seniority_76,keywords_76,postedAt_76,applicants_76,description_76
linkedin_jobs_1077,Linkedin item 77,linkedin_jobs_1077,location_77,workplaceType_77,employmentType_77,seniority_77,keywords_77,postedAt_77,applicants_77,description_77
linkedin_jobs_1078,Linkedin item 78,linkedin_jobs_1078,location_78,workplaceType_78,employmentType_78,seniority_78,keywords_78,postedAt_78,applicants_78,description_78
linkedin_jobs_1079,Linkedin item 79,linkedin_jobs_1079,location_79,workplaceType_79,employmentType_79,seniority_79,keywords_79,postedAt_79,applicants_79,description_79
linkedin_jobs_1080,Linkedin item 80,linkedin_jobs_1080,location_80,workplaceType_80,employmentType_80,seniority_80,keywords_80,postedAt_80,applicants_80,description_80
linkedin_jobs_1081,Linkedin item 81,linkedin_jobs_1081,location_81,workplaceType_81,employmentType_81,seniority_81,keywords_81,postedAt_81,applicants_81,description_81
linkedin_jobs_1082,Linkedin item 82,linkedin_jobs_1082,location_82,workplaceType_82,employmentType_82,seniority_82,keywords_82,postedAt_82,applicants_82,description_82
linkedin_jobs_1083,Linkedin item 83,linkedin_jobs_1083,location_83,workplaceType_83,employmentType_83,seniority_83,keywords_83,postedAt_83,applicants_83,description_83
linkedin_jobs_1084,Linkedin item 84,linkedin_jobs_1084,location_84,workplaceType_84,employmentType_84,seniority_84,keywords_84,postedAt_84,applicants_84,description_84
linkedin_jobs_1085,Linkedin item 85,linkedin_jobs_1085,location_85,workplaceType_85,employmentType_85,seniority_85,keywords_85,postedAt_85,applicants_85,description_85
linkedin_jobs_1086,Linkedin item 86,linkedin_jobs_1086,location_86,workplaceType_86,employmentType_86,seniority_86,keywords_86,postedAt_86,applicants_86,description_86
linkedin_jobs_1087,Linkedin item 87,linkedin_jobs_1087,location_87,workplaceType_87,employmentType_87,seniority_87,keywords_87,postedAt_87,applicants_87,description_87
linkedin_jobs_1088,Linkedin item 88,linkedin_jobs_1088,location_88,workplaceType_88,employmentType_88,seniority_88,keywords_88,postedAt_88,applicants_88,description_88
linkedin_jobs_1089,Linkedin item 89,linkedin_jobs_1089,location_89,workplaceType_89,employmentType_89,seniority_89,keywords_89,postedAt_89,applicants_89,description_89
linkedin_jobs_1090,Linkedin item 90,linkedin_jobs_1090,location_90,workplaceType_90,employmentType_90,seniority_90,keywords_90,postedAt_90,applicants_90,description_90
linkedin_jobs_1091,Linkedin item 91,linkedin_jobs_1091,location_91,workplaceType_91,employmentType_91,seniority_91,keywords_91,postedAt_91,applicants_91,description_91
linkedin_jobs_1092,Linkedin item 92,linkedin_jobs_1092,location_92,workplaceType_92,employmentType_92,seniority_92,keywords_92,postedAt_92,applicants_92,description_92
linkedin_jobs_1093,Linkedin item 93,linkedin_jobs_1093,location_93,workplaceType_93,employmentType_93,seniority_93,keywords_93,postedAt_93,applicants_93,description_93
linkedin_jobs_1094,Linkedin item 94,linkedin_jobs_1094,location_94,workplaceType_94,employmentType_94,seniority_94,keywords_94,postedAt_94,applicants_94,description_94
linkedin_jobs_1095,Linkedin item 95,linkedin_jobs_1095,location_95,workplaceType_95,employmentType_95,seniority_95,keywords_95,postedAt_95,applicants_95,description_95
linkedin_jobs_1096,Linkedin item 96,linkedin_jobs_1096,location_96,workplaceType_96,employmentType_96,seniority_96,keywords_96,postedAt_96,applicants_96,description_96
linkedin_jobs_1097,Linkedin item 97,linkedin_jobs_1097,location_97,workplaceType_97,employmentType_97,seniority_97,keywords_97,postedAt_97,applicants_97,description_97
linkedin_jobs_1098,Linkedin item 98,linkedin_jobs_1098,location_98,workplaceType_98,employmentType_98,seniority_98,keywords_98,postedAt_98,applicants_98,description_98
linkedin_jobs_1099,Linkedin item 99,linkedin_jobs_1099,location_99,workplaceType_99,employmentType_99,seniority_99,keywords_99,postedAt_99,applicants_99,description_99
