id,name,vanityName,industry,website,location,staffCountRange,followerCount,description
linkedin_organizations_1029,Linkedin item 29,Linkedin item 29,industry_29,website_29,location_29,895,4280,description_29
linkedin_organizations_1030,Linkedin item 30,Linkedin item 30,industry_30,website_30,location_30,4934,2834,description_30
linkedin_organizations_1031,Linkedin item 31,Linkedin item 31,industry_31,website_31,location_31,532,2022,description_31
linkedin_organizations_1032,Linkedin item 32,Linkedin item 32,industry_32,website_32,location_32,2453,1787,description_32
linkedin_organizations_1033,Linkedin item 33,Linkedin item 33,industry_33,website_33,location_33,2405,3649,description_33
linkedin_organizations_1034,Linkedin item 34,Linkedin item 34,industry_34,website_34,location_34,2426,4991,description_34
linkedin_organizations_1035,Linkedin item 35,Linkedin item 35,industry_35,website_35,location_35,3466,2372,description_35
linkedin_organizations_1036,Linkedin item 36,Linkedin item 36,industry_36,website_36,location_36,3353,1101,description_36
linkedin_organizations_1037,Linkedin item 37,Linkedin item 37,industry_37,website_37,location_37,4761,3246,description_37
linkedin_organizations_1038,Linkedin item 38,Linkedin item 38,industry_38,website_38,location_38,3019,4311,description_38
linkedin_organizations_1039,Linkedin item 39,Linkedin item 39,industry_39,website_39,location_39,290,3557,description_39
linkedin_organizations_1040,Linkedin item 40,Linkedin item 40,industry_40,website_40,location_40,1248,3679,description_40
linkedin_organizations_1041,Linkedin item 41,Linkedin item 41,industry_41,website_41,location_41,2211,4883,description_41
linkedin_organizations_1042,Linkedin item 42,Linkedin item 42,industry_42,website_42,location_42,4983,3944,description_42
linkedin_organizations_1043,Linkedin item 43,Linkedin item 43,industry_43,website_43,location_43,1544,864,description_43
linkedin_organizations_1044,Linkedin item 44,Linkedin item 44,industry_44,website_44,location_44,3785,1007,description_44
linkedin_organizations_1045,Linkedin item 45,Linkedin item 45,industry_45,website_45,location_45,800,1241,description_45
linkedin_organizations_1046,Linkedin item 46,Linkedin item 46,industry_46,website_46,location_46,1052,2954,description_46
linkedin_organizations_1047,Linkedin item 47,Linkedin item 47,industry_47,website_47,location_47,263,4896,description_47
linkedin_organizations_1048,Linkedin item 48,Linkedin item 48,industry_48,website_48,location_48,3377,2585,description_48
linkedin_organizations_1049,Linkedin item 49,Linkedin item 49,industry_49,website_49,location_49,4810,75,description_49
linkedin_organizations_1050,Linkedin item 50,Linkedin item 50,industry_50,website_50,location_50,3353,4662,description_50
linkedin_organizations_1051,Linkedin item 51,Linkedin item 51,industry_51,website_51,location_51,1357,36,description_51
linkedin_organizations_1052,Linkedin item 52,Linkedin item 52,industry_52,website_52,location_52,3379,479,description_52
linkedin_organizations_1053,Linkedin item 53,Linkedin item 53,industry_53,website_53,location_53,3426,163,description_53
linkedin_organizations_1054,Linkedin item 54,Linkedin item 54,industry_54,website_54,location_54,2412,4260,description_54
linkedin_organizations_1055,Linkedin item 55,Linkedin item 55,industry_55,website_55,location_55,3372,2625,description_55
linkedin_organizations_1056,Linkedin item 56,Linkedin item 56,industry_56,website_56,location_56,1206,73,description_56
linkedin_organizations_1057,Linkedin item 57,Linkedin item 57,industry_57,website_57,location_57,4107,4430,description_57
linkedin_organizations_1058,Linkedin item 58,Linkedin item 58,industry_58,website_58,location_58,4715,694,description_58
linkedin_organizations_1059,Linkedin item 59,Linkedin item 59,industry_59,website_59,location_59,2721,4456,description_59
linkedin_organizations_1060,Linkedin item 60,Linkedin item 60,industry_60,website_60,location_60,2993,3832,description_60
linkedin_organizations_1061,Linkedin item 61,Linkedin item 61,industry_61,website_61,location_61,2489,2380,description_61
linkedin_organizations_1062,Linkedin item 62,Linkedin item 62,industry_62,website_62,location_62,14,109,description_62
linkedin_organizations_1063,Linkedin item 63,Linkedin item 63,industry_63,website_63,location_63,1719,3174,description_63
linkedin_organizations_1064,Linkedin item 64,Linkedin item 64,industry_64,website_64,location_64,487,1866,description_64
linkedin_organizations_1065,Linkedin item 65,Linkedin item 65,industry_65,website_65,location_65,3310,2175,description_65
linkedin_organizations_1066,Linkedin item 66,Linkedin item 66,industry_66,website_66,location_66,322,3339,description_66
linkedin_organizations_1067,Linkedin item 67,Linkedin item 67,industry_67,website_67,location_67,1275,2898,description_67
linkedin_organizations_1068,Linkedin item 68,Linkedin item 68,industry_68,website_68,location_68,4087,2764,description_68
linkedin_organizations_1069,Linkedin item 69,Linkedin item 69,industry_69,website_69,location_69,4976,262,description_69
linkedin_organizations_1070,Linkedin item 70,Linkedin item 70,industry_70,website_70,location_70,1917,2450,description_70
linkedin_organizations_1071,Linkedin item 71,Linkedin item 71,industry_71,website_71,location_71,1951,4515,description_71
linkedin_organizations_1072,Linkedin item 72,Linkedin item 72,industry_72,website_72,location_72,4135,1305,description_72
linkedin_organizations_1073,Linkedin item 73,Linkedin item 73,industry_73,website_73,location_73,2159,3937,description_73
linkedin_organizations_1074,Linkedin item 74,Linkedin item 74,industry_74,website_74,location_74,1875,4178,description_74
linkedin_organizations_1075,Linkedin item 75,Linkedin item 75,industry_75,website_75,location_75,1487,1434,description_75
linkedin_organizations_1076,Linkedin item 76,Linkedin item 76,industry_76,website_76,location_76,1431,2656,description_76
linkedin_organizations_1077,Linkedin item 77,Linkedin item 77,industry_77,website_77,location_77,1363,2310,description_77
linkedin_organizations_1078,Linkedin item 78,Linkedin item 78,industry_78,website_78,location_78,924,649,description_78
linkedin_organizations_1079,Linkedin item 79,Linkedin item 79,industry_79,website_79,location_79,2270,1620,description_79
linkedin_organizations_1080,Linkedin item 80,Linkedin item 80,industry_80,website_80,location_80,2934,3286,description_80
linkedin_organizations_1081,Linkedin item 81,Linkedin item 81,industry_81,website_81,location_81,3311,28,description_81
linkedin_organizations_1082,Linkedin item 82,Linkedin item 82,industry_82,website_82,location_82,4278,1829,description_82
linkedin_organizations_1083,Linkedin item 83,Linkedin item 83,industry_83,website_83,location_83,4816,10,description_83
linkedin_organizations_1084,Linkedin item 84,Linkedin item 84,industry_84,website_84,location_84,4478,3073,description_84
linkedin_organizations_1085,Linkedin item 85,Linkedin item 85,industry_85,website_85,location_85,1380,2888,description_85
linkedin_organizations_1086,Linkedin item 86,Linkedin item 86,industry_86,website_86,location_86,2433,203,description_86
linkedin_organizations_1087,Linkedin item 87,Linkedin item 87,industry_87,website_87,location_87,2438,467,description_87
linkedin_organizations_1088,Linkedin item 88,Linkedin item 88,industry_88,website_88,location_88,1332,3084,description_88
linkedin_organizations_1089,Linkedin item 89,Linkedin item 89,industry_89,website_89,location_89,3955,589,description_89
linkedin_organizations_1090,Linkedin item 90,Linkedin item 90,industry_90,website_90,location_90,108,3547,description_90
linkedin_organizations_1091,Linkedin item 91,Linkedin item 91,industry_91,website_91,location_91,934,4997,description_91
linkedin_organizations_1092,Linkedin item 92,Linkedin item 92,industry_92,website_92,location_92,4313,2300,description_92
linkedin_organizations_1093,Linkedin item 93,Linkedin item 93,industry_93,website_93,location_93,4559,4641,description_93
linkedin_organizations_1094,Linkedin item 94,Linkedin item 94,industry_94,website_94,location_94,4566,4871,description_94
linkedin_organizations_1095,Linkedin item 95,Linkedin item 95,industry_95,website_95,location_95,4637,272,description_95
linkedin_organizations_1096,Linkedin item 96,Linkedin item 96,industry_96,website_96,location_96,4656,3128,description_96
linkedin_organizations_1097,Linkedin item 97,Linkedin item 97,industry_97,website_97,location_97,333,3374,description_97
linkedin_organizations_1098,Linkedin item 98,Linkedin item 98,industry_98,website_98,location_98,673,3194,description_98
linkedin_organizations_1099,Linkedin item 99,Linkedin item 99,industry_99,website_99,location_99,1677,2782,description_99
