id,name,description,type,created
00g062dept,Science Department 62,Access group for science department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-16T08:00:00.000Z
00g063dept,Social Studies Department 63,Access group for social studies department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-17T08:00:00.000Z
00g064dept,French Department 64,Access group for french department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-18T08:00:00.000Z
00g065dept,Physical Education Department 65,Access group for physical education department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-19T08:00:00.000Z
00g066dept,Arts Department 66,Access group for arts department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-20T08:00:00.000Z
00g067dept,Technology Department 67,Access group for technology department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-21T08:00:00.000Z
00g068dept,Guidance Department 68,Access group for guidance department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-22T08:00:00.000Z
00g069dept,Special Education Department 69,Access group for special education department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-23T08:00:00.000Z
00g070dept,Library Staff 70,Access group for library staff at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-24T08:00:00.000Z
00g071dept,Facilities Team 71,Access group for facilities team at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-25T08:00:00.000Z
00g072dept,First Aid Responders 72,Access group for first aid responders at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-26T08:00:00.000Z
00g073dept,Fire Wardens 73,Access group for fire wardens at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-27T08:00:00.000Z
00g074dept,Field Trip Leads 74,Access group for field trip leads at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-28T08:00:00.000Z
00g075dept,Clubs and Councils 75,Access group for clubs and councils at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-29T08:00:00.000Z
00g076dept,Athletics Coaches 76,Access group for athletics coaches at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-30T08:00:00.000Z
00g077dept,Parent Liaisons 77,Access group for parent liaisons at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-31T08:00:00.000Z
00g078dept,Data Stewards 78,Access group for data stewards at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-01T08:00:00.000Z
00g079dept,Emergency Contacts 79,Access group for emergency contacts at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-02T08:00:00.000Z
00g080dept,English Department 80,Access group for english department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-03T08:00:00.000Z
00g081dept,Mathematics Department 81,Access group for mathematics department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-04T08:00:00.000Z
00g082dept,Science Department 82,Access group for science department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-05T08:00:00.000Z
00g083dept,Social Studies Department 83,Access group for social studies department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-06T08:00:00.000Z
00g084dept,French Department 84,Access group for french department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-07T08:00:00.000Z
00g085dept,Physical Education Department 85,Access group for physical education department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-08T08:00:00.000Z
00g086dept,Arts Department 86,Access group for arts department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-09T08:00:00.000Z
00g087dept,Technology Department 87,Access group for technology department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-10T08:00:00.000Z
00g088dept,Guidance Department 88,Access group for guidance department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-11T08:00:00.000Z
00g089dept,Special Education Department 89,Access group for special education department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-12T08:00:00.000Z
00g090dept,Library Staff 90,Access group for library staff at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-13T08:00:00.000Z
00g091dept,Facilities Team 91,Access group for facilities team at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-14T08:00:00.000Z
00g092dept,First Aid Responders 92,Access group for first aid responders at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-15T08:00:00.000Z
00g093dept,Fire Wardens 93,Access group for fire wardens at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-16T08:00:00.000Z
00g094dept,Field Trip Leads 94,Access group for field trip leads at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-17T08:00:00.000Z
00g095dept,Clubs and Councils 95,Access group for clubs and councils at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-18T08:00:00.000Z
00g096dept,Athletics Coaches 96,Access group for athletics coaches at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-19T08:00:00.000Z
00g097dept,Parent Liaisons 97,Access group for parent liaisons at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-20T08:00:00.000Z
00g098dept,Data Stewards 98,Access group for data stewards at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-21T08:00:00.000Z
00g099dept,Emergency Contacts 99,Access group for emergency contacts at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-22T08:00:00.000Z
00g100dept,English Department 100,Access group for english department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-23T08:00:00.000Z
00g101dept,Mathematics Department 101,Access group for mathematics department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-24T08:00:00.000Z
00g102dept,Science Department 102,Access group for science department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-25T08:00:00.000Z
00g103dept,Social Studies Department 103,Access group for social studies department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-26T08:00:00.000Z
00g104dept,French Department 104,Access group for french department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-11-27T08:00:00.000Z
