retailer_id,name,logo_url,delivers_to_zips,min_basket,delivery_fee,service_fee_pct,eta_minutes
ret-0071,Denver Market 170,https://logos.example.com/ret71.png,"80203,80206,80218",10.00,5.02,5.0,63
ret-0072,Denver Market 171,https://logos.example.com/ret72.png,"80203,80206,80218",10.00,5.85,5.0,78
ret-0073,Denver Market 172,https://logos.example.com/ret73.png,"80203,80206,80218",10.00,5.27,5.0,78
ret-0074,Denver Market 173,https://logos.example.com/ret74.png,"80203,80206,80218",10.00,5.07,5.0,120
ret-0075,Denver Market 174,https://logos.example.com/ret75.png,"80203,80206,80218",10.00,5.74,5.0,94
ret-0076,Denver Market 175,https://logos.example.com/ret76.png,"80203,80206,80218",10.00,4.58,5.0,91
ret-0077,Denver Market 176,https://logos.example.com/ret77.png,"80203,80206,80218",10.00,4.43,5.0,77
ret-0078,Denver Market 177,https://logos.example.com/ret78.png,"80203,80206,80218",10.00,5.08,5.0,60
ret-0079,Denver Market 178,https://logos.example.com/ret79.png,"80203,80206,80218",10.00,4.39,5.0,117
ret-0080,Denver Market 179,https://logos.example.com/ret80.png,"80203,80206,80218",10.00,5.32,5.0,67
ret-0081,Denver Market 180,https://logos.example.com/ret81.png,"80203,80206,80218",10.00,5.75,5.0,88
ret-0082,Denver Market 181,https://logos.example.com/ret82.png,"80203,80206,80218",10.00,4.48,5.0,103
ret-0083,Denver Market 182,https://logos.example.com/ret83.png,"80203,80206,80218",10.00,5.54,5.0,67
ret-0084,Denver Market 183,https://logos.example.com/ret84.png,"80203,80206,80218",10.00,5.23,5.0,83
ret-0085,Denver Market 184,https://logos.example.com/ret85.png,"80203,80206,80218",10.00,5.46,5.0,120
ret-0086,Denver Market 185,https://logos.example.com/ret86.png,"80203,80206,80218",10.00,4.34,5.0,97
ret-0087,Denver Market 186,https://logos.example.com/ret87.png,"80203,80206,80218",10.00,5.98,5.0,116
ret-0088,Denver Market 187,https://logos.example.com/ret88.png,"80203,80206,80218",10.00,5.48,5.0,95
ret-0089,Denver Market 188,https://logos.example.com/ret89.png,"80203,80206,80218",10.00,5.85,5.0,81
ret-0090,Denver Market 189,https://logos.example.com/ret90.png,"80203,80206,80218",10.00,5.41,5.0,80
ret-0091,Denver Market 190,https://logos.example.com/ret91.png,"80203,80206,80218",10.00,4.35,5.0,98
ret-0092,Denver Market 191,https://logos.example.com/ret92.png,"80203,80206,80218",10.00,5.90,5.0,94
ret-0093,Denver Market 192,https://logos.example.com/ret93.png,"80203,80206,80218",10.00,4.49,5.0,79
ret-0094,Denver Market 193,https://logos.example.com/ret94.png,"80203,80206,80218",10.00,4.34,5.0,100
ret-0095,Denver Market 194,https://logos.example.com/ret95.png,"80203,80206,80218",10.00,4.31,5.0,92
ret-0096,Denver Market 195,https://logos.example.com/ret96.png,"80203,80206,80218",10.00,5.95,5.0,69
ret-0097,Denver Market 196,https://logos.example.com/ret97.png,"80203,80206,80218",10.00,5.05,5.0,90
ret-0098,Denver Market 197,https://logos.example.com/ret98.png,"80203,80206,80218",10.00,5.29,5.0,72
ret-0099,Denver Market 198,https://logos.example.com/ret99.png,"80203,80206,80218",10.00,4.56,5.0,120
ret-0100,Denver Market 199,https://logos.example.com/ret100.png,"80203,80206,80218",10.00,5.95,5.0,103
ret-0101,Denver Market 200,https://logos.example.com/ret101.png,"80203,80206,80218",10.00,4.11,5.0,104
ret-0102,Denver Market 201,https://logos.example.com/ret102.png,"80203,80206,80218",10.00,4.50,5.0,64
ret-0103,Denver Market 202,https://logos.example.com/ret103.png,"80203,80206,80218",10.00,3.99,5.0,98
ret-0104,Denver Market 203,https://logos.example.com/ret104.png,"80203,80206,80218",10.00,5.56,5.0,71
ret-0105,Denver Market 204,https://logos.example.com/ret105.png,"80203,80206,80218",10.00,5.54,5.0,81
ret-0106,Denver Market 205,https://logos.example.com/ret106.png,"80203,80206,80218",10.00,4.44,5.0,67
ret-0107,Denver Market 206,https://logos.example.com/ret107.png,"80203,80206,80218",10.00,4.38,5.0,94
ret-0108,Denver Market 207,https://logos.example.com/ret108.png,"80203,80206,80218",10.00,4.24,5.0,93
ret-0109,Denver Market 208,https://logos.example.com/ret109.png,"80203,80206,80218",10.00,5.72,5.0,74
ret-0110,Denver Market 209,https://logos.example.com/ret110.png,"80203,80206,80218",10.00,5.18,5.0,100
ret-0111,Denver Market 210,https://logos.example.com/ret111.png,"80203,80206,80218",10.00,5.22,5.0,76
ret-0112,Denver Market 211,https://logos.example.com/ret112.png,"80203,80206,80218",10.00,4.89,5.0,83
ret-0113,Denver Market 212,https://logos.example.com/ret113.png,"80203,80206,80218",10.00,5.81,5.0,107
ret-0114,Denver Market 213,https://logos.example.com/ret114.png,"80203,80206,80218",10.00,4.62,5.0,93
ret-0115,Denver Market 214,https://logos.example.com/ret115.png,"80203,80206,80218",10.00,5.01,5.0,90
ret-0116,Denver Market 215,https://logos.example.com/ret116.png,"80203,80206,80218",10.00,4.89,5.0,73
ret-0117,Denver Market 216,https://logos.example.com/ret117.png,"80203,80206,80218",10.00,4.82,5.0,75
ret-0118,Denver Market 217,https://logos.example.com/ret118.png,"80203,80206,80218",10.00,4.02,5.0,83
ret-0119,Denver Market 218,https://logos.example.com/ret119.png,"80203,80206,80218",10.00,5.60,5.0,109
ret-0120,Denver Market 219,https://logos.example.com/ret120.png,"80203,80206,80218",10.00,5.09,5.0,93
ret-0121,Denver Market 220,https://logos.example.com/ret121.png,"80203,80206,80218",10.00,5.43,5.0,81
ret-0122,Denver Market 221,https://logos.example.com/ret122.png,"80203,80206,80218",10.00,5.47,5.0,113
ret-0123,Denver Market 222,https://logos.example.com/ret123.png,"80203,80206,80218",10.00,5.14,5.0,108
ret-0124,Denver Market 223,https://logos.example.com/ret124.png,"80203,80206,80218",10.00,5.93,5.0,89
ret-0125,Denver Market 224,https://logos.example.com/ret125.png,"80203,80206,80218",10.00,4.00,5.0,60
ret-0126,Denver Market 225,https://logos.example.com/ret126.png,"80203,80206,80218",10.00,5.36,5.0,94
ret-0127,Denver Market 226,https://logos.example.com/ret127.png,"80203,80206,80218",10.00,4.47,5.0,60
ret-0128,Denver Market 227,https://logos.example.com/ret128.png,"80203,80206,80218",10.00,4.01,5.0,120
ret-0129,Denver Market 228,https://logos.example.com/ret129.png,"80203,80206,80218",10.00,5.70,5.0,69
ret-0130,Denver Market 229,https://logos.example.com/ret130.png,"80203,80206,80218",10.00,4.75,5.0,74
ret-0131,Denver Market 230,https://logos.example.com/ret131.png,"80203,80206,80218",10.00,4.72,5.0,84
ret-0132,Denver Market 231,https://logos.example.com/ret132.png,"80203,80206,80218",10.00,4.62,5.0,110
ret-0133,Denver Market 232,https://logos.example.com/ret133.png,"80203,80206,80218",10.00,4.01,5.0,117
ret-0134,Denver Market 233,https://logos.example.com/ret134.png,"80203,80206,80218",10.00,5.69,5.0,76
ret-0135,Denver Market 234,https://logos.example.com/ret135.png,"80203,80206,80218",10.00,5.31,5.0,67
ret-0136,Denver Market 235,https://logos.example.com/ret136.png,"80203,80206,80218",10.00,5.02,5.0,118
ret-0137,Denver Market 236,https://logos.example.com/ret137.png,"80203,80206,80218",10.00,5.37,5.0,103
ret-0138,Denver Market 237,https://logos.example.com/ret138.png,"80203,80206,80218",10.00,5.69,5.0,85
ret-0139,Denver Market 238,https://logos.example.com/ret139.png,"80203,80206,80218",10.00,5.94,5.0,91
ret-0140,Denver Market 239,https://logos.example.com/ret140.png,"80203,80206,80218",10.00,4.41,5.0,115
ret-0141,Denver Market 240,https://logos.example.com/ret141.png,"80203,80206,80218",10.00,4.97,5.0,113
ret-0142,Denver Market 241,https://logos.example.com/ret142.png,"80203,80206,80218",10.00,4.49,5.0,103
ret-0143,Denver Market 242,https://logos.example.com/ret143.png,"80203,80206,80218",10.00,4.62,5.0,67
ret-0144,Denver Market 243,https://logos.example.com/ret144.png,"80203,80206,80218",10.00,4.62,5.0,120
ret-0145,Denver Market 244,https://logos.example.com/ret145.png,"80203,80206,80218",10.00,4.47,5.0,83
ret-0146,Denver Market 245,https://logos.example.com/ret146.png,"80203,80206,80218",10.00,5.26,5.0,68
ret-0147,Denver Market 246,https://logos.example.com/ret147.png,"80203,80206,80218",10.00,4.70,5.0,110
ret-0148,Denver Market 247,https://logos.example.com/ret148.png,"80203,80206,80218",10.00,4.64,5.0,85
ret-0149,Denver Market 248,https://logos.example.com/ret149.png,"80203,80206,80218",10.00,5.33,5.0,107
ret-0150,Denver Market 249,https://logos.example.com/ret150.png,"80203,80206,80218",10.00,5.74,5.0,87
ret-0151,Denver Market 250,https://logos.example.com/ret151.png,"80203,80206,80218",10.00,5.47,5.0,117
ret-0152,Denver Market 251,https://logos.example.com/ret152.png,"80203,80206,80218",10.00,5.50,5.0,108
ret-0153,Denver Market 252,https://logos.example.com/ret153.png,"80203,80206,80218",10.00,4.69,5.0,108
ret-0154,Denver Market 253,https://logos.example.com/ret154.png,"80203,80206,80218",10.00,4.64,5.0,64
ret-0155,Denver Market 254,https://logos.example.com/ret155.png,"80203,80206,80218",10.00,5.38,5.0,106
ret-0156,Denver Market 255,https://logos.example.com/ret156.png,"80203,80206,80218",10.00,4.58,5.0,62
ret-0157,Denver Market 256,https://logos.example.com/ret157.png,"80203,80206,80218",10.00,4.20,5.0,87
ret-0158,Denver Market 257,https://logos.example.com/ret158.png,"80203,80206,80218",10.00,4.83,5.0,67
ret-0159,Denver Market 258,https://logos.example.com/ret159.png,"80203,80206,80218",10.00,4.29,5.0,114
ret-0160,Denver Market 259,https://logos.example.com/ret160.png,"80203,80206,80218",10.00,5.71,5.0,79
ret-0161,Denver Market 260,https://logos.example.com/ret161.png,"80203,80206,80218",10.00,5.75,5.0,120
ret-0162,Denver Market 261,https://logos.example.com/ret162.png,"80203,80206,80218",10.00,5.90,5.0,93
ret-0163,Denver Market 262,https://logos.example.com/ret163.png,"80203,80206,80218",10.00,4.77,5.0,97
ret-0164,Denver Market 263,https://logos.example.com/ret164.png,"80203,80206,80218",10.00,4.27,5.0,98
ret-0165,Denver Market 264,https://logos.example.com/ret165.png,"80203,80206,80218",10.00,4.19,5.0,107
ret-0166,Denver Market 265,https://logos.example.com/ret166.png,"80203,80206,80218",10.00,4.01,5.0,101
ret-0167,Denver Market 266,https://logos.example.com/ret167.png,"80203,80206,80218",10.00,5.86,5.0,107
ret-0168,Denver Market 267,https://logos.example.com/ret168.png,"80203,80206,80218",10.00,4.87,5.0,74
ret-0169,Denver Market 268,https://logos.example.com/ret169.png,"80203,80206,80218",10.00,5.74,5.0,65
ret-0170,Denver Market 269,https://logos.example.com/ret170.png,"80203,80206,80218",10.00,5.76,5.0,102
ret-0171,Denver Market 270,https://logos.example.com/ret171.png,"80203,80206,80218",10.00,5.20,5.0,71
ret-0172,Denver Market 271,https://logos.example.com/ret172.png,"80203,80206,80218",10.00,4.16,5.0,100
ret-0173,Denver Market 272,https://logos.example.com/ret173.png,"80203,80206,80218",10.00,5.58,5.0,102
ret-0174,Denver Market 273,https://logos.example.com/ret174.png,"80203,80206,80218",10.00,5.01,5.0,92
ret-0175,Denver Market 274,https://logos.example.com/ret175.png,"80203,80206,80218",10.00,5.05,5.0,66
ret-0176,Denver Market 275,https://logos.example.com/ret176.png,"80203,80206,80218",10.00,5.17,5.0,71
ret-0177,Denver Market 276,https://logos.example.com/ret177.png,"80203,80206,80218",10.00,5.72,5.0,101
ret-0178,Denver Market 277,https://logos.example.com/ret178.png,"80203,80206,80218",10.00,4.73,5.0,115
ret-0179,Denver Market 278,https://logos.example.com/ret179.png,"80203,80206,80218",10.00,4.12,5.0,117
ret-0180,Denver Market 279,https://logos.example.com/ret180.png,"80203,80206,80218",10.00,4.91,5.0,120
ret-0181,Denver Market 280,https://logos.example.com/ret181.png,"80203,80206,80218",10.00,5.53,5.0,73
ret-0182,Denver Market 281,https://logos.example.com/ret182.png,"80203,80206,80218",10.00,5.27,5.0,92
ret-0183,Denver Market 282,https://logos.example.com/ret183.png,"80203,80206,80218",10.00,4.83,5.0,94
ret-0184,Denver Market 283,https://logos.example.com/ret184.png,"80203,80206,80218",10.00,4.60,5.0,111
ret-0185,Denver Market 284,https://logos.example.com/ret185.png,"80203,80206,80218",10.00,5.00,5.0,114
ret-0186,Denver Market 285,https://logos.example.com/ret186.png,"80203,80206,80218",10.00,4.17,5.0,108
ret-0187,Denver Market 286,https://logos.example.com/ret187.png,"80203,80206,80218",10.00,4.11,5.0,78
ret-0188,Denver Market 287,https://logos.example.com/ret188.png,"80203,80206,80218",10.00,5.21,5.0,97
ret-0189,Denver Market 288,https://logos.example.com/ret189.png,"80203,80206,80218",10.00,4.39,5.0,102
ret-0190,Denver Market 289,https://logos.example.com/ret190.png,"80203,80206,80218",10.00,4.25,5.0,92
ret-0191,Denver Market 290,https://logos.example.com/ret191.png,"80203,80206,80218",10.00,5.53,5.0,90
ret-0192,Denver Market 291,https://logos.example.com/ret192.png,"80203,80206,80218",10.00,4.75,5.0,62
ret-0193,Denver Market 292,https://logos.example.com/ret193.png,"80203,80206,80218",10.00,4.32,5.0,72
ret-0194,Denver Market 293,https://logos.example.com/ret194.png,"80203,80206,80218",10.00,5.81,5.0,74
ret-0195,Denver Market 294,https://logos.example.com/ret195.png,"80203,80206,80218",10.00,4.27,5.0,96
ret-0196,Denver Market 295,https://logos.example.com/ret196.png,"80203,80206,80218",10.00,4.81,5.0,72
ret-0197,Denver Market 296,https://logos.example.com/ret197.png,"80203,80206,80218",10.00,5.26,5.0,80
ret-0198,Denver Market 297,https://logos.example.com/ret198.png,"80203,80206,80218",10.00,5.85,5.0,83
ret-0199,Denver Market 298,https://logos.example.com/ret199.png,"80203,80206,80218",10.00,4.67,5.0,73
ret-0200,Denver Market 299,https://logos.example.com/ret200.png,"80203,80206,80218",10.00,4.82,5.0,108
ret-0201,Denver Market 300,https://logos.example.com/ret201.png,"80203,80206,80218",10.00,4.58,5.0,65
ret-0202,Denver Market 301,https://logos.example.com/ret202.png,"80203,80206,80218",10.00,4.28,5.0,97
ret-0203,Denver Market 302,https://logos.example.com/ret203.png,"80203,80206,80218",10.00,4.31,5.0,84
ret-0204,Denver Market 303,https://logos.example.com/ret204.png,"80203,80206,80218",10.00,4.53,5.0,71
ret-0205,Denver Market 288-x1,https://logos.example.com/ret42.png,"80203,80206,80218",10.00,5.42,5.0,106
ret-0206,Denver Market 201-x2,https://logos.example.com/ret26.png,"80203,80206,80218",10.00,4.24,5.0,114
ret-0207,Denver Market 239-x3,https://logos.example.com/ret37.png,"80203,80206,80218",10.00,5.90,5.0,112
ret-0208,Denver Market 178-x4,https://logos.example.com/ret155.png,"80203,80206,80218",10.00,5.38,5.0,106
ret-0209,Denver Market 276-x5,https://logos.example.com/ret40.png,"80203,80206,80218",10.00,4.29,5.0,76
ret-0210,Denver Market 210-x6,https://logos.example.com/ret1.png,"80203,80206,80218",10.00,4.39,5.0,98
ret-0211,Denver Market 144-x7,https://logos.example.com/ret153.png,"80203,80206,80218",10.00,4.69,5.0,108
ret-0212,Denver Market 293-x8,https://logos.example.com/ret186.png,"80203,80206,80218",10.00,4.17,5.0,108
ret-0213,Denver Market 303-x9,https://logos.example.com/ret142.png,"80203,80206,80218",10.00,4.49,5.0,103
ret-0214,Denver Market 232-x10,https://logos.example.com/ret61.png,"80203,80206,80218",10.00,4.31,5.0,94
ret-0215,Denver Market 144-x11,https://logos.example.com/ret5.png,"80203,80206,80218",10.00,4.53,5.0,120
ret-0216,Denver Market 183-x12,https://logos.example.com/ret167.png,"80203,80206,80218",10.00,5.86,5.0,107
ret-0217,Denver Market 265-x13,https://logos.example.com/ret193.png,"80203,80206,80218",10.00,4.32,5.0,72
ret-0218,Denver Market 123-x14,https://logos.example.com/ret125.png,"80203,80206,80218",10.00,4.00,5.0,60
ret-0219,Denver Market 208-x15,https://logos.example.com/ret111.png,"80203,80206,80218",10.00,5.22,5.0,76
ret-0220,Denver Market 297-x16,https://logos.example.com/ret119.png,"80203,80206,80218",10.00,5.60,5.0,109
ret-0221,Denver Market 256-x17,https://logos.example.com/ret56.png,"80203,80206,80218",10.00,4.79,5.0,65
ret-0222,Denver Market 121-x18,https://logos.example.com/ret43.png,"80203,80206,80218",10.00,5.20,5.0,88
ret-0223,Denver Market 237-x19,https://logos.example.com/ret92.png,"80203,80206,80218",10.00,5.90,5.0,94
ret-0224,Denver Market 190-x20,https://logos.example.com/ret188.png,"80203,80206,80218",10.00,5.21,5.0,97
ret-0225,Denver Market 302-x21,https://logos.example.com/ret174.png,"80203,80206,80218",10.00,5.01,5.0,92
ret-0226,Denver Market 233-x22,https://logos.example.com/ret104.png,"80203,80206,80218",10.00,5.56,5.0,71
ret-0227,Costco-x23,https://logos.example.com/ret114.png,"80203,80206,80218",10.00,4.62,5.0,93
ret-0228,Denver Market 208-x24,https://logos.example.com/ret118.png,"80203,80206,80218",10.00,4.02,5.0,83
ret-0229,Denver Market 173-x25,https://logos.example.com/ret2.png,"80203,80206,80218",10.00,5.38,5.0,115
ret-0230,Denver Market 133-x26,https://logos.example.com/ret169.png,"80203,80206,80218",10.00,5.74,5.0,65
ret-0231,Denver Market 258-x27,https://logos.example.com/ret1.png,"80203,80206,80218",10.00,4.39,5.0,98
