invoice_id	invoice_number	vendor	date	due_date	status	total	reference
i0000073-0000-0000-0000-000000000073	BILL-8033	Belmont Bar Tools	2026-07-12	2026-08-11	PAID	1035.82	Q3 supply purchase Belmont Bar Tools
i0000085-0000-0000-0000-000000000085	BILL-8045	Fairmount Hardware Plus	2026-07-12	2026-08-11	PAID	1119.72	Q3 supply purchase Fairmount Hardware Plus
i0000096-0000-0000-0000-000000000096	BILL-8056	Manatawna Material	2026-07-13	2026-08-12	AUTHORISED	4766.63	Q3 supply purchase Manatawna Material
i0000103-0000-0000-0000-000000000103	BILL-8063	Powelton Village Tools	2026-07-13	2026-08-12	PAID	2356.68	Q3 supply purchase Powelton Village Tools
i0000154-0000-0000-0000-000000000154	BILL-8114	Dickinson Square Industrial	2026-07-13	2026-08-12	PAID	1282.76	Q3 supply purchase Dickinson Square Industrial
i0000119-0000-0000-0000-000000000119	BILL-8079	Frankford Junction Tools	2026-07-14	2026-08-13	PAID	3258.58	Q3 supply purchase Frankford Junction Tools
i0000120-0000-0000-0000-000000000120	BILL-8080	Cresheim Plumbing Wholesale	2026-07-14	2026-08-13	PAID	3347.20	Q3 supply purchase Cresheim Plumbing Wholesale
i0000129-0000-0000-0000-000000000129	BILL-8089	Rittenhouse Square Material	2026-07-14	2026-08-13	PAID	2298.94	Q3 supply purchase Rittenhouse Square Material
i0000132-0000-0000-0000-000000000132	BILL-8092	Logan Pump and Motor	2026-07-14	2026-08-13	PAID	370.97	Q3 supply purchase Logan Pump and Motor
i0000043-0000-0000-0000-000000000043	BILL-8003	Northgate Tool Rental	2026-07-15	2026-08-14	PAID	575.00	Q3 supply purchase Northgate Tool Rental
i0000065-0000-0000-0000-000000000065	BILL-8025	Olney Industrial Supply	2026-07-15	2026-08-14	AUTHORISED	3893.65	Q3 supply purchase Olney Industrial Supply
i0000075-0000-0000-0000-000000000075	BILL-8035	Lower Moyamensing Hardware	2026-07-15	2026-08-14	PAID	4856.57	Q3 supply purchase Lower Moyamensing Hardware
i0000107-0000-0000-0000-000000000107	BILL-8067	Pennsport Drain Supply	2026-07-15	2026-08-14	PAID	3091.84	Q3 supply purchase Pennsport Drain Supply
i0000084-0000-0000-0000-000000000084	BILL-8044	McPherson Square Supply	2026-07-16	2026-08-15	AUTHORISED	3590.82	Q3 supply purchase McPherson Square Supply
i0000086-0000-0000-0000-000000000086	BILL-8046	Allegheny West Trade Supply	2026-07-16	2026-08-15	PAID	848.80	Q3 supply purchase Allegheny West Trade Supply
i0000156-0000-0000-0000-000000000156	BILL-8116	Cresheim Plumbing Wholesale	2026-07-16	2026-08-15	PAID	3364.52	Q3 supply purchase Cresheim Plumbing Wholesale
i0000069-0000-0000-0000-000000000069	BILL-8029	Olney Industrial Supply	2026-07-18	2026-08-17	AUTHORISED	4485.36	Q3 supply purchase Olney Industrial Supply
i0000140-0000-0000-0000-000000000140	BILL-8100	Pennypack Industrial	2026-07-18	2026-08-17	PAID	854.26	Q3 supply purchase Pennypack Industrial
i0000090-0000-0000-0000-000000000090	BILL-8050	Stenton Park Supply	2026-07-19	2026-08-18	PAID	2214.78	Q3 supply purchase Stenton Park Supply
i0000049-0000-0000-0000-000000000049	BILL-8009	Northern Liberties Hardware	2026-07-20	2026-08-19	PAID	540.36	Q3 supply purchase Northern Liberties Hardware
i0000055-0000-0000-0000-000000000055	BILL-8015	Italian Market Tools	2026-07-20	2026-08-19	PAID	3798.52	Q3 supply purchase Italian Market Tools
i0000074-0000-0000-0000-000000000074	BILL-8034	Henry Avenue Wholesale	2026-07-20	2026-08-19	PAID	374.37	Q3 supply purchase Henry Avenue Wholesale
i0000040-0000-0000-0000-000000000040	BILL-8000	Home Depot Aramingo	2026-07-22	2026-08-21	AUTHORISED	2349.60	Q3 supply purchase Home Depot Aramingo
i0000067-0000-0000-0000-000000000067	BILL-8027	Manatawna Material	2026-07-23	2026-08-22	PAID	2169.12	Q3 supply purchase Manatawna Material
i0000157-0000-0000-0000-000000000157	BILL-8117	Northern Liberties Hardware	2026-07-24	2026-08-23	AUTHORISED	932.00	Q3 supply purchase Northern Liberties Hardware
i0000179-0000-0000-0000-000000000179	BILL-8139	Bridge Street Tools	2026-07-26	2026-08-25	PAID	4910.66	Q3 supply purchase Bridge Street Tools
i0000102-0000-0000-0000-000000000102	BILL-8062	Pennypack Industrial	2026-07-27	2026-08-26	PAID	4789.12	Q3 supply purchase Pennypack Industrial
i0000122-0000-0000-0000-000000000122	BILL-8082	Schuylkill Supply Co	2026-07-27	2026-08-26	PAID	4284.10	Q3 supply purchase Schuylkill Supply Co
i0000052-0000-0000-0000-000000000052	BILL-8012	Mount Airy Hardware	2026-07-28	2026-08-27	PAID	4436.95	Q3 supply purchase Mount Airy Hardware
i0000135-0000-0000-0000-000000000135	BILL-8095	Bells Corner Supply	2026-07-28	2026-08-27	AUTHORISED	386.07	Q3 supply purchase Bells Corner Supply
i0000106-0000-0000-0000-000000000106	BILL-8066	Academy Plumbing Supply	2026-07-29	2026-08-28	PAID	3166.29	Q3 supply purchase Academy Plumbing Supply
i0000118-0000-0000-0000-000000000118	BILL-8078	West Kensington Wholesale	2026-07-29	2026-08-28	AUTHORISED	1221.82	Q3 supply purchase West Kensington Wholesale
i0000168-0000-0000-0000-000000000168	BILL-8128	Kensington Casting Works	2026-07-29	2026-08-28	PAID	786.10	Q3 supply purchase Kensington Casting Works
i0000058-0000-0000-0000-000000000058	BILL-8018	Frankford Avenue Salvage	2026-07-30	2026-08-29	PAID	3277.81	Q3 supply purchase Frankford Avenue Salvage
i0000091-0000-0000-0000-000000000091	BILL-8051	Mantua Construction Goods	2026-07-30	2026-08-29	PAID	720.13	Q3 supply purchase Mantua Construction Goods
i0000136-0000-0000-0000-000000000136	BILL-8096	Frankford Junction Tools	2026-07-30	2026-08-29	AUTHORISED	4539.17	Q3 supply purchase Frankford Junction Tools
i0000050-0000-0000-0000-000000000050	BILL-8010	Grays Ferry Industrial Supply	2026-07-31	2026-08-30	PAID	2225.67	Q3 supply purchase Grays Ferry Industrial Supply
i0000095-0000-0000-0000-000000000095	BILL-8055	Holmesburg Tool Co	2026-08-01	2026-08-31	AUTHORISED	4319.46	Q3 supply purchase Holmesburg Tool Co
i0000115-0000-0000-0000-000000000115	BILL-8075	Brewery Town Pipe Outlet	2026-08-01	2026-08-31	PAID	3247.23	Q3 supply purchase Brewery Town Pipe Outlet
i0000077-0000-0000-0000-000000000077	BILL-8037	South Philly Plumbing Parts	2026-08-02	2026-09-01	PAID	1779.02	Q3 supply purchase South Philly Plumbing Parts
i0000130-0000-0000-0000-000000000130	BILL-8090	Tabor Industrial Goods	2026-08-02	2026-09-01	AUTHORISED	4413.56	Q3 supply purchase Tabor Industrial Goods
i0000186-0000-0000-0000-000000000186	BILL-8146	Schuylkill Supply Co	2026-08-02	2026-09-01	PAID	2540.13	Q3 supply purchase Schuylkill Supply Co
i0000163-0000-0000-0000-000000000163	BILL-8123	Eastwick Welding Supply	2026-08-03	2026-09-02	PAID	1515.33	Q3 supply purchase Eastwick Welding Supply
i0000097-0000-0000-0000-000000000097	BILL-8057	Torresdale Pipe Outlet	2026-08-04	2026-09-03	AUTHORISED	1749.82	Q3 supply purchase Torresdale Pipe Outlet
i0000187-0000-0000-0000-000000000187	BILL-8147	Fishtown Tool Exchange	2026-08-04	2026-09-03	AUTHORISED	369.28	Q3 supply purchase Fishtown Tool Exchange
i0000116-0000-0000-0000-000000000116	BILL-8076	Rhawnhurst Hardware	2026-08-05	2026-09-04	PAID	2075.14	Q3 supply purchase Rhawnhurst Hardware
i0000167-0000-0000-0000-000000000167	BILL-8127	Castor Avenue Supply	2026-08-05	2026-09-04	PAID	4371.62	Q3 supply purchase Castor Avenue Supply
i0000178-0000-0000-0000-000000000178	BILL-8138	Academy Plumbing Supply	2026-08-05	2026-09-04	PAID	996.83	Q3 supply purchase Academy Plumbing Supply
i0000124-0000-0000-0000-000000000124	BILL-8084	Ridge Avenue Supply	2026-08-06	2026-09-05	PAID	4733.52	Q3 supply purchase Ridge Avenue Supply
i0000153-0000-0000-0000-000000000153	BILL-8113	Mayfair Plumbing Supply	2026-08-06	2026-09-05	PAID	1705.20	Q3 supply purchase Mayfair Plumbing Supply
i0000111-0000-0000-0000-000000000111	BILL-8071	Schuylkill Supply Co	2026-08-07	2026-09-06	PAID	3939.13	Q3 supply purchase Schuylkill Supply Co
i0000083-0000-0000-0000-000000000083	BILL-8043	Bells Corner Supply	2026-08-08	2026-09-07	PAID	1206.91	Q3 supply purchase Bells Corner Supply
i0000139-0000-0000-0000-000000000139	BILL-8099	Manayunk Lumber and Building	2026-08-08	2026-09-07	AUTHORISED	2205.91	Q3 supply purchase Manayunk Lumber and Building
i0000171-0000-0000-0000-000000000171	BILL-8131	Italian Market Tools	2026-08-08	2026-09-07	PAID	2149.21	Q3 supply purchase Italian Market Tools
i0000117-0000-0000-0000-000000000117	BILL-8077	Schuylkill Supply Co	2026-08-09	2026-09-08	PAID	4241.79	Q3 supply purchase Schuylkill Supply Co
i0000146-0000-0000-0000-000000000146	BILL-8106	Society Hill Trim Supply	2026-08-09	2026-09-08	PAID	4236.22	Q3 supply purchase Society Hill Trim Supply
i0000054-0000-0000-0000-000000000054	BILL-8014	Stenton Avenue Hardware	2026-08-10	2026-09-09	AUTHORISED	2598.24	Q3 supply purchase Stenton Avenue Hardware
i0000137-0000-0000-0000-000000000137	BILL-8097	Bustleton Industrial	2026-08-10	2026-09-09	PAID	2254.15	Q3 supply purchase Bustleton Industrial
i0000045-0000-0000-0000-000000000045	BILL-8005	Eastside Hardware Mart	2026-08-12	2026-09-11	PAID	440.00	Q3 supply purchase Eastside Hardware Mart
i0000173-0000-0000-0000-000000000173	BILL-8133	Garden Court Industrial	2026-08-12	2026-09-11	PAID	1837.02	Q3 supply purchase Garden Court Industrial
i0000099-0000-0000-0000-000000000099	BILL-8059	Squirrel Hill Supply	2026-08-14	2026-09-13	PAID	4678.95	Q3 supply purchase Squirrel Hill Supply
i0000121-0000-0000-0000-000000000121	BILL-8081	Rhawnhurst Hardware	2026-08-14	2026-09-13	PAID	1486.98	Q3 supply purchase Rhawnhurst Hardware
i0000082-0000-0000-0000-000000000082	BILL-8042	Domino Lane Hardware	2026-08-16	2026-09-15	PAID	3237.12	Q3 supply purchase Domino Lane Hardware
i0000155-0000-0000-0000-000000000155	BILL-8115	Spring Garden Insulation	2026-08-16	2026-09-15	AUTHORISED	2365.32	Q3 supply purchase Spring Garden Insulation
i0000056-0000-0000-0000-000000000056	BILL-8016	Castor Avenue Supply	2026-08-18	2026-09-17	PAID	3661.91	Q3 supply purchase Castor Avenue Supply
i0000131-0000-0000-0000-000000000131	BILL-8091	Lemon Hill Tool Supply	2026-08-18	2026-09-17	AUTHORISED	4770.40	Q3 supply purchase Lemon Hill Tool Supply
i0000042-0000-0000-0000-000000000042	BILL-8002	Riverdale Plumbing Supply	2026-08-19	2026-09-18	PAID	2100.00	Q3 supply purchase Riverdale Plumbing Supply
i0000088-0000-0000-0000-000000000088	BILL-8048	Ridge Avenue Supply	2026-08-19	2026-09-18	PAID	3107.60	Q3 supply purchase Ridge Avenue Supply
i0000142-0000-0000-0000-000000000142	BILL-8102	Bells Corner Supply	2026-08-19	2026-09-18	PAID	1372.89	Q3 supply purchase Bells Corner Supply
i0000151-0000-0000-0000-000000000151	BILL-8111	Harrowgate Hardware	2026-08-20	2026-09-19	AUTHORISED	2260.91	Q3 supply purchase Harrowgate Hardware
i0000152-0000-0000-0000-000000000152	BILL-8112	Frankford Junction Tools	2026-08-20	2026-09-19	PAID	2968.20	Q3 supply purchase Frankford Junction Tools
i0000071-0000-0000-0000-000000000071	BILL-8031	Garden Court Industrial	2026-08-21	2026-09-20	AUTHORISED	1286.40	Q3 supply purchase Garden Court Industrial
i0000149-0000-0000-0000-000000000149	BILL-8109	Spruce Hill Plumbing	2026-08-22	2026-09-21	AUTHORISED	2639.23	Q3 supply purchase Spruce Hill Plumbing
i0000169-0000-0000-0000-000000000169	BILL-8129	Dickinson Square Industrial	2026-08-25	2026-09-24	PAID	669.26	Q3 supply purchase Dickinson Square Industrial
i0000189-0000-0000-0000-000000000189	BILL-8149	Tioga Heating Parts	2026-08-25	2026-09-24	PAID	1103.47	Q3 supply purchase Tioga Heating Parts
i0000081-0000-0000-0000-000000000081	BILL-8041	Grays Ferry Industrial Supply	2026-08-26	2026-09-25	AUTHORISED	3811.77	Q3 supply purchase Grays Ferry Industrial Supply
i0000159-0000-0000-0000-000000000159	BILL-8119	Tacony Tool Rental	2026-08-26	2026-09-25	PAID	3526.77	Q3 supply purchase Tacony Tool Rental
i0000170-0000-0000-0000-000000000170	BILL-8130	Northern Industries Group	2026-08-26	2026-09-25	PAID	950.76	Q3 supply purchase Northern Industries Group
i0000047-0000-0000-0000-000000000047	BILL-8007	Aramingo Fuel plus Service	2026-08-28	2026-09-27	PAID	612.50	Q3 supply purchase Aramingo Fuel plus Service
i0000144-0000-0000-0000-000000000144	BILL-8104	Holmesburg Tool Co	2026-08-28	2026-09-27	PAID	1579.28	Q3 supply purchase Holmesburg Tool Co
i0000162-0000-0000-0000-000000000162	BILL-8122	Crescentville Building Supply	2026-08-28	2026-09-27	PAID	4259.76	Q3 supply purchase Crescentville Building Supply
i0000182-0000-0000-0000-000000000182	BILL-8142	Rittenhouse Hardware Plus	2026-08-28	2026-09-27	PAID	1687.03	Q3 supply purchase Rittenhouse Hardware Plus
i0000183-0000-0000-0000-000000000183	BILL-8143	Somerton Hardware Plus	2026-08-29	2026-09-28	PAID	4415.73	Q3 supply purchase Somerton Hardware Plus
i0000064-0000-0000-0000-000000000064	BILL-8024	Frankford Junction Tools	2026-08-30	2026-09-29	PAID	3384.76	Q3 supply purchase Frankford Junction Tools
i0000066-0000-0000-0000-000000000066	BILL-8026	Brewery Town Pipe Outlet	2026-08-30	2026-09-29	AUTHORISED	4617.90	Q3 supply purchase Brewery Town Pipe Outlet
i0000109-0000-0000-0000-000000000109	BILL-8069	Cobbs Creek Plumbing Co	2026-08-30	2026-09-29	AUTHORISED	3095.59	Q3 supply purchase Cobbs Creek Plumbing Co
i0000147-0000-0000-0000-000000000147	BILL-8107	Tacony Tool Rental	2026-08-30	2026-09-29	PAID	4411.78	Q3 supply purchase Tacony Tool Rental
i0000087-0000-0000-0000-000000000087	BILL-8047	Mill Creek Supply Co	2026-08-31	2026-09-30	PAID	481.81	Q3 supply purchase Mill Creek Supply Co
i0000104-0000-0000-0000-000000000104	BILL-8064	Eastwick Junction Supply	2026-08-31	2026-09-30	PAID	2272.82	Q3 supply purchase Eastwick Junction Supply
i0000128-0000-0000-0000-000000000128	BILL-8088	Society Hill Trim Supply	2026-08-31	2026-09-30	PAID	1454.82	Q3 supply purchase Society Hill Trim Supply
i0000059-0000-0000-0000-000000000059	BILL-8019	Center City Electrical Wholesale	2026-09-01	2026-10-01	AUTHORISED	373.54	Q3 supply purchase Center City Electrical Wholesale
i0000161-0000-0000-0000-000000000161	BILL-8121	Frankford Avenue Salvage	2026-09-03	2026-10-03	AUTHORISED	4832.79	Q3 supply purchase Frankford Avenue Salvage
i0000060-0000-0000-0000-000000000060	BILL-8020	Lemon Hill Tool Supply	2026-09-04	2026-10-04	PAID	1422.81	Q3 supply purchase Lemon Hill Tool Supply
i0000138-0000-0000-0000-000000000138	BILL-8098	Holme Avenue Hardware	2026-09-04	2026-10-04	PAID	2861.97	Q3 supply purchase Holme Avenue Hardware
i0000143-0000-0000-0000-000000000143	BILL-8103	Bridesburg Welding Equipment	2026-09-04	2026-10-04	PAID	1643.66	Q3 supply purchase Bridesburg Welding Equipment
i0000181-0000-0000-0000-000000000181	BILL-8141	Norris Square Goods	2026-09-04	2026-10-04	PAID	2295.42	Q3 supply purchase Norris Square Goods
i0000044-0000-0000-0000-000000000044	BILL-8004	Northgate Tool Rental	2026-09-05	2026-10-05	AUTHORISED	575.00	Q3 supply purchase Northgate Tool Rental
i0000076-0000-0000-0000-000000000076	BILL-8036	Squirrel Hill Supply	2026-09-07	2026-10-07	PAID	2899.85	Q3 supply purchase Squirrel Hill Supply
i0000112-0000-0000-0000-000000000112	BILL-8072	Queen Village Lumber Co	2026-09-07	2026-10-07	AUTHORISED	1092.10	Q3 supply purchase Queen Village Lumber Co
i0000057-0000-0000-0000-000000000057	BILL-8017	Lawnton Plumbing Wholesale	2026-09-10	2026-10-10	PAID	4445.98	Q3 supply purchase Lawnton Plumbing Wholesale
i0000164-0000-0000-0000-000000000164	BILL-8124	Tacony Tool Rental	2026-09-10	2026-10-10	AUTHORISED	1752.57	Q3 supply purchase Tacony Tool Rental
i0000063-0000-0000-0000-000000000063	BILL-8023	Kensington Iron Works	2026-09-11	2026-10-11	PAID	1796.53	Q3 supply purchase Kensington Iron Works
i0000068-0000-0000-0000-000000000068	BILL-8028	Strawberry Mansion Concrete	2026-09-11	2026-10-11	PAID	817.76	Q3 supply purchase Strawberry Mansion Concrete
i0000125-0000-0000-0000-000000000125	BILL-8085	Roxborough Sand and Gravel	2026-09-12	2026-10-12	PAID	1398.02	Q3 supply purchase Roxborough Sand and Gravel
i0000175-0000-0000-0000-000000000175	BILL-8135	Logan Square Material	2026-09-12	2026-10-12	PAID	4985.90	Q3 supply purchase Logan Square Material
i0000051-0000-0000-0000-000000000051	BILL-8011	Manayunk Lumber and Building	2026-09-14	2026-10-14	PAID	4822.32	Q3 supply purchase Manayunk Lumber and Building
i0000134-0000-0000-0000-000000000134	BILL-8094	Italian Market Tools	2026-09-14	2026-10-14	PAID	1224.27	Q3 supply purchase Italian Market Tools
i0000184-0000-0000-0000-000000000184	BILL-8144	Far Northeast Supply	2026-09-14	2026-10-14	AUTHORISED	2334.44	Q3 supply purchase Far Northeast Supply
i0000113-0000-0000-0000-000000000113	BILL-8073	Walnut Hill Hardware	2026-09-15	2026-10-15	PAID	2661.47	Q3 supply purchase Walnut Hill Hardware
i0000141-0000-0000-0000-000000000141	BILL-8101	Umbria Street Supply	2026-09-15	2026-10-15	PAID	632.95	Q3 supply purchase Umbria Street Supply
i0000166-0000-0000-0000-000000000166	BILL-8126	East Falls Material Supply	2026-09-15	2026-10-15	AUTHORISED	1971.67	Q3 supply purchase East Falls Material Supply
i0000126-0000-0000-0000-000000000126	BILL-8086	Allens Lane Hardware	2026-09-16	2026-10-16	PAID	2105.74	Q3 supply purchase Allens Lane Hardware
i0000150-0000-0000-0000-000000000150	BILL-8110	Aramingo Auto Parts	2026-09-18	2026-10-18	PAID	4397.97	Q3 supply purchase Aramingo Auto Parts
i0000072-0000-0000-0000-000000000072	BILL-8032	West Kensington Wholesale	2026-09-20	2026-10-20	AUTHORISED	594.40	Q3 supply purchase West Kensington Wholesale
i0000145-0000-0000-0000-000000000145	BILL-8105	Manayunk Lumber and Building	2026-09-20	2026-10-20	AUTHORISED	3399.95	Q3 supply purchase Manayunk Lumber and Building
i0000079-0000-0000-0000-000000000079	BILL-8039	Rittenhouse Square Material	2026-09-21	2026-10-21	PAID	3194.52	Q3 supply purchase Rittenhouse Square Material
i0000127-0000-0000-0000-000000000127	BILL-8087	McPherson Square Supply	2026-09-21	2026-10-21	PAID	4047.86	Q3 supply purchase McPherson Square Supply
i0000046-0000-0000-0000-000000000046	BILL-8006	Eastside Hardware Mart	2026-09-22	2026-10-22	PAID	440.00	Q3 supply purchase Eastside Hardware Mart
i0000078-0000-0000-0000-000000000078	BILL-8038	Tabor Industrial Goods	2026-09-22	2026-10-22	PAID	2275.21	Q3 supply purchase Tabor Industrial Goods
i0000177-0000-0000-0000-000000000177	BILL-8137	Mill Creek Supply Co	2026-09-23	2026-10-23	PAID	2601.33	Q3 supply purchase Mill Creek Supply Co
i0000114-0000-0000-0000-000000000114	BILL-8074	Andorra Hardware Plus	2026-09-24	2026-10-24	PAID	1682.90	Q3 supply purchase Andorra Hardware Plus
i0000133-0000-0000-0000-000000000133	BILL-8093	Somerton Hardware Plus	2026-09-24	2026-10-24	PAID	4907.34	Q3 supply purchase Somerton Hardware Plus
i0000174-0000-0000-0000-000000000174	BILL-8134	Society Hill Trim Supply	2026-09-25	2026-10-25	PAID	975.52	Q3 supply purchase Society Hill Trim Supply
i0000188-0000-0000-0000-000000000188	BILL-8148	Pennypack Industrial	2026-09-25	2026-10-25	PAID	3503.56	Q3 supply purchase Pennypack Industrial
i0000089-0000-0000-0000-000000000089	BILL-8049	Bridesburg Welding Equipment	2026-09-26	2026-10-26	PAID	2541.64	Q3 supply purchase Bridesburg Welding Equipment
i0000093-0000-0000-0000-000000000093	BILL-8053	Norris Square Goods	2026-09-26	2026-10-26	PAID	4050.02	Q3 supply purchase Norris Square Goods
i0000062-0000-0000-0000-000000000062	BILL-8022	Bells Corner Supply	2026-09-28	2026-10-28	PAID	1399.42	Q3 supply purchase Bells Corner Supply
i0000094-0000-0000-0000-000000000094	BILL-8054	Center City Electrical Wholesale	2026-09-28	2026-10-28	PAID	1875.87	Q3 supply purchase Center City Electrical Wholesale
i0000172-0000-0000-0000-000000000172	BILL-8132	Sedgwick Industrial	2026-09-28	2026-10-28	PAID	3540.28	Q3 supply purchase Sedgwick Industrial
i0000101-0000-0000-0000-000000000101	BILL-8061	Eastwick Welding Supply	2026-09-29	2026-10-29	AUTHORISED	229.01	Q3 supply purchase Eastwick Welding Supply
i0000048-0000-0000-0000-000000000048	BILL-8008	Ridge Avenue Supply	2026-09-30	2026-10-30	PAID	3235.49	Q3 supply purchase Ridge Avenue Supply
i0000100-0000-0000-0000-000000000100	BILL-8060	Tacony Tool Rental	2026-09-30	2026-10-30	PAID	2503.00	Q3 supply purchase Tacony Tool Rental
i0000176-0000-0000-0000-000000000176	BILL-8136	Rittenhouse Hardware Plus	2026-09-30	2026-10-30	PAID	4882.37	Q3 supply purchase Rittenhouse Hardware Plus
i0000185-0000-0000-0000-000000000185	BILL-8145	Pratt Pipe and Stack	2026-09-30	2026-10-30	PAID	3633.00	Q3 supply purchase Pratt Pipe and Stack
